V1,V2,V3
aaeR,aaeA,1
aaeR,aaeB,1
aaeR,aaeX,1
accA,accA,-1
accA,accD,-1
accB,accB,-1
accB,accC,-1
accD,accA,-1
accD,accD,-1
acnB,acnB,1
acrR,acrA,-1
acrR,acrB,-1
acrR,acrR,-1
acrR,flhC,-1
acrR,flhD,-1
acrR,marA,-1
acrR,marB,-1
acrR,marR,-1
acrR,mdtI,-1
acrR,mdtJ,-1
acrR,mdtU,-1
acrR,micF,-1
acrR,puuA,-1
acrR,soxR,-1
acrR,soxS,-1
ada,ada,5
ada,aidB,1
ada,alkA,1
ada,alkB,5
adiY,adiA,1
adiY,gadA,1
adiY,gadB,1
adiY,gadC,1
adiY,gadX,1
adiY,gltB,1
adiY,gltD,1
adiY,gltF,1
agaR,agaB,-1
agaR,agaC,-1
agaR,agaD,-1
agaR,agaI,-1
agaR,agaR,-1
agaR,agaS,-1
agaR,agaV,-1
agaR,agaW,-1
agaR,kbaY,-1
agaR,kbaZ,-1
agrB,dinQ,-1
aidB,aidB,-1
alaS,alaS,-1
allR,allA,-1
allR,allB,-1
allR,allS,-1
allR,gcl,-1
allR,glxK,-1
allR,glxR,-1
allR,hyi,-1
allR,ybbW,-1
allR,ybbY,-1
allS,allC,1
allS,allD,1
allS,allE,1
alpA,intA,1
alpA,phoB,-1
alpA,phoR,-1
alsR,alsA,-1
alsR,alsB,-1
alsR,alsC,-1
alsR,alsE,-1
alsR,alsR,-1
alsR,rpiB,-1
ameF,mazE,1
ameF,mazF,1
appY,appA,1
appY,appB,1
appY,appC,1
appY,appX,1
appY,hyaA,1
appY,hyaB,1
appY,hyaC,1
appY,hyaD,1
appY,hyaE,1
appY,hyaF,1
araC,araA,5
araC,araB,5
araC,araC,5
araC,araD,5
araC,araE,1
araC,araF,1
araC,araG,1
araC,araH,1
araC,araJ,1
araC,xylA,-1
araC,xylB,-1
araC,ydeM,-1
araC,ydeN,-1
araC,ygeA,1
araC,yjfF,-1
araC,ytfQ,-1
araC,ytfR,-1
araC,ytfT,-1
arcA,aceA,-1
arcA,aceB,-1
arcA,aceE,-1
arcA,aceF,-1
arcA,aceK,-1
arcA,ackA,1
arcA,acnA,-1
arcA,acnB,-1
arcA,acpP,1
arcA,aldA,-1
arcA,appA,1
arcA,appB,1
