,"Tested environment","Tucker2002","Maurer2004","Bhatia2022","Feugas2016","Caglar2017","Wang2009","Ng2018","Bergholz2009","White-Ziegler2007","Kim2020","Durfee2008"
"Tucker2002","pH","30","0","13","2","16","4","4","0","0","4","4"
"Maurer2004","pH","0","667","26","86","363","37","13","28","31","78","158"
"Bhatia2022","Metabolic stress","13","26","147","27","76","15","2","9","6","18","19"
"Feugas2016","Medium of growth","2","86","27","390","207","25","5","10","28","33","60"
"Caglar2017","Sources of C and Mg","16","363","76","207","1694","76","29","49","60","156","270"
"Wang2009","Oxidative stress","4","37","15","25","76","127","3","8","14","22","23"
"Ng2018","Aerosolization","4","13","2","5","29","3","59","5","6","9","8"
"Bergholz2009","Exposure to apple juice","0","28","9","10","49","8","5","112","1","9","23"
"White-Ziegler2007","Temperature change","0","31","6","28","60","14","6","1","120","17","7"
"Kim2020","Temperature change","4","78","18","33","156","22","9","9","17","217","41"
"Durfee2008","Stringent response","4","158","19","60","270","23","8","23","7","41","513"
