"","FBL_number","No_FBL","FBL"
"1",6,0,1
"2",3,0,1
"3",0,0,1
"4",0,0,1
"5",2,0,1
"6",0,0,1
"7",2,0,1
"8",0,0,1
"9",28,0,1
"10",13,0,1
"11",4,0,1
"12",33,0,1
"13",0,0,1
"14",2,0,1
"15",44,0,1
"16",86,0,1
"17",0,0,1
"18",5,0,1
"19",1,0,1
"20",0,0,1
"21",0,0,1
"22",0,0,1
"23",119,0,1
"24",2,0,1
"25",21,0,1
"26",5,0,1
"27",4,0,1
"28",0,0,1
"29",2,0,1
"30",0,0,1
"31",2,0,1
"32",1,0,1
"33",4,0,1
"34",7,0,1
"35",1,0,1
"36",12,0,1
"37",10,0,1
"38",1,0,1
"39",9,0,1
"40",0,0,1
"41",0,0,1
"42",0,0,1
"43",0,0,1
"44",1,0,1
"45",0,0,1
"46",0,0,1
"47",0,0,1
"48",0,0,1
"49",2,0,1
"50",173,0,1
"51",73,0,1
"52",2,0,1
"53",0,0,1
"54",0,0,1
"55",0,0,1
"56",0,0,1
"57",24,0,1
"58",1,0,1
"59",0,0,1
"60",0,0,1
"61",0,0,1
"62",1,0,1
"63",1,0,1
"64",41,0,1
"65",0,0,1
"66",22,0,1
"67",0,0,1
"68",0,0,1
"69",0,0,1
"70",3,0,1
"71",100,0,1
"72",3,0,1
"73",4,0,1
"74",1,0,1
"75",58,0,1
"76",12,0,1
"77",0,0,1
"78",4,0,1
"79",1,0,1
"80",3,0,1
"81",2,0,1
"82",263,0,1
"83",17,0,1
"84",16,0,1
"85",2,0,1
"86",0,0,1
"87",1,0,1
"88",0,0,1
"89",16,0,1
"90",54,0,1
"91",1,0,1
"92",4,0,1
"93",21,0,1
"94",1,0,1
"95",24,0,1
"96",172,0,1
"97",1,0,1
"98",9,0,1
"99",1,0,1
"100",4,0,1
"101",7,0,1
"102",214,0,1
"103",2,0,1
"104",15,0,1
"105",5,0,1
"106",0,0,1
"107",4,0,1
"108",49,0,1
"109",8,0,1
"110",1,0,1
"111",10,0,1
"112",3,0,1
"113",7,0,1
"114",233,0,1
"115",0,0,1
"116",6,0,1
"117",34,0,1
"118",1,0,1
"119",65,0,1
"120",2,0,1
"121",79,0,1
"122",25,0,1
"123",168,0,1
"124",1,0,1
"125",45,0,1
"126",8,0,1
"127",52,0,1
"128",0,0,1
"129",20,0,1
"130",0,0,1
"131",1,0,1
"132",0,0,1
"133",2,0,1
"134",0,0,1
"135",0,0,1
"136",0,0,1
"137",54,0,1
"138",29,0,1
"139",441,0,1
"140",101,0,1
"141",0,0,1
"142",78,0,1
"143",4,0,1
"144",9,0,1
"145",0,0,1
"146",278,0,1
"147",0,0,1
"148",0,0,1
"149",1,0,1
"150",0,0,1
"151",0,0,1
"152",2,0,1
"153",0,0,1
"154",12,0,1
"155",28,0,1
"156",14,0,1
"157",363,0,1
"158",20,0,1
"159",0,0,1
"160",1,0,1
"161",33,0,1
"162",2,0,1
"163",13,0,1
"164",6,0,1
"165",0,0,1
"166",1,0,1
