"","Loop_number","No_loop","Loop"
"1",18,0,1
"2",2,0,1
"3",15,0,1
"4",9,0,1
"5",4,0,1
"6",5,0,1
"7",17,0,1
"8",0,0,1
"9",2,0,1
"10",10,0,1
"11",0,0,1
"12",17,0,1
"13",25,0,1
"14",1,0,1
"15",2,0,1
"16",32,0,1
"17",4,0,1
"18",2,0,1
"19",16,0,1
"20",3,0,1
"21",16,0,1
"22",16,0,1
"23",30,0,1
"24",17,0,1
"25",3,0,1
"26",31,0,1
"27",13,0,1
"28",6,0,1
"29",16,0,1
"30",6,0,1
"31",6,0,1
"32",0,0,1
"33",7,0,1
"34",3,0,1
"35",1,0,1
"36",3,0,1
"37",11,0,1
"38",0,0,1
"39",5,0,1
"40",10,0,1
"41",22,0,1
"42",3,0,1
"43",3,0,1
"44",33,0,1
"45",6,0,1
"46",5,0,1
"47",18,0,1
"48",11,0,1
"49",9,0,1
"50",8,0,1
"51",1,0,1
"52",5,0,1
"53",0,0,1
"54",6,0,1
"55",16,0,1
"56",6,0,1
"57",3,0,1
"58",19,0,1
"59",9,0,1
"60",14,0,1
"61",18,0,1
"62",3,0,1
"63",31,0,1
"64",7,0,1
"65",8,0,1
"66",9,0,1
"67",8,0,1
"68",1,0,1
"69",28,0,1
"70",8,0,1
"71",1,0,1
"72",15,0,1
"73",15,0,1
"74",2,0,1
"75",0,0,1
"76",4,0,1
"77",1,0,1
"78",37,0,1
"79",4,0,1
"80",9,0,1
"81",3,0,1
"82",11,0,1
"83",9,0,1
"84",7,0,1
"85",18,0,1
"86",7,0,1
"87",25,0,1
"88",18,0,1
"89",11,0,1
"90",14,0,1
"91",20,0,1
"92",29,0,1
"93",0,0,1
"94",0,0,1
"95",10,0,1
"96",7,0,1
"97",5,0,1
"98",31,0,1
"99",0,0,1
"100",4,0,1
"101",11,0,1
"102",17,0,1
"103",18,0,1
"104",4,0,1
"105",11,0,1
"106",4,0,1
"107",22,0,1
"108",16,0,1
"109",22,0,1
"110",1,0,1
"111",3,0,1
"112",13,0,1
"113",3,0,1
"114",7,0,1
"115",7,0,1
"116",22,0,1
"117",1,0,1
"118",2,0,1
"119",7,0,1
"120",7,0,1
"121",14,0,1
"122",0,0,1
"123",17,0,1
"124",15,0,1
"125",11,0,1
"126",9,0,1
"127",0,0,1
"128",0,0,1
"129",1,0,1
"130",5,0,1
"131",1,0,1
"132",15,0,1
"133",35,0,1
"134",16,0,1
"135",28,0,1
"136",3,0,1
"137",15,0,1
"138",1,0,1
"139",9,0,1
"140",5,0,1
"141",11,0,1
"142",1,0,1
"143",3,0,1
"144",5,0,1
"145",14,0,1
"146",25,0,1
"147",20,0,1
"148",10,0,1
"149",1,0,1
"150",1,0,1
"151",51,0,1
"152",10,0,1
"153",2,0,1
"154",44,0,1
"155",12,0,1
"156",9,0,1
"157",36,0,1
"158",14,0,1
"159",23,0,1
"160",0,0,1
"161",21,0,1
"162",9,0,1
"163",1,0,1
"164",55,0,1
"165",3,0,1
"166",7,0,1
"167",6,0,1
"168",10,0,1
"169",29,0,1
"170",13,0,1
"171",3,0,1
"172",3,0,1
"173",0,0,1
"174",5,0,1
"175",7,0,1
"176",16,0,1
"177",3,0,1
"178",4,0,1
"179",3,0,1
"180",5,0,1
"181",20,0,1
"182",3,0,1
"183",6,0,1
"184",1,0,1
"185",1,0,1
"186",19,0,1
"187",14,0,1
"188",0,0,1
"189",42,0,1
"190",11,0,1
"191",11,0,1
"192",8,0,1
"193",7,0,1
"194",7,0,1
"195",13,0,1
"196",6,0,1
"197",6,0,1
"198",4,0,1
"199",14,0,1
"200",16,0,1
"201",12,0,1
"202",3,0,1
"203",4,0,1
"204",19,0,1
"205",3,0,1
"206",13,0,1
"207",22,0,1
"208",4,0,1
"209",7,0,1
"210",6,0,1
"211",8,0,1
"212",22,0,1
"213",1,0,1
"214",8,0,1
"215",9,0,1
"216",1,0,1
"217",21,0,1
"218",9,0,1
"219",24,0,1
"220",15,0,1
"221",13,0,1
"222",4,0,1
"223",4,0,1
"224",17,0,1
"225",0,0,1
"226",4,0,1
"227",4,0,1
"228",11,0,1
"229",0,0,1
"230",18,0,1
"231",22,0,1
"232",28,0,1
"233",19,0,1
"234",10,0,1
"235",15,0,1
"236",26,0,1
"237",3,0,1
"238",23,0,1
"239",9,0,1
"240",5,0,1
"241",3,0,1
"242",0,0,1
"243",9,0,1
"244",12,0,1
"245",3,0,1
"246",2,0,1
"247",6,0,1
"248",12,0,1
"249",9,0,1
"250",1,0,1
"251",14,0,1
"252",12,0,1
"253",3,0,1
"254",16,0,1
"255",3,0,1
"256",3,0,1
"257",35,0,1
"258",20,0,1
"259",12,0,1
"260",25,0,1
"261",11,0,1
"262",6,0,1
"263",33,0,1
"264",8,0,1
"265",9,0,1
"266",10,0,1
"267",1,0,1
"268",2,0,1
"269",3,0,1
"270",10,0,1
"271",0,0,1
"272",2,0,1
"273",14,0,1
"274",26,0,1
"275",3,0,1
"276",8,0,1
"277",6,0,1
"278",57,0,1
"279",2,0,1
"280",22,0,1
"281",5,0,1
"282",9,0,1
"283",5,0,1
"284",7,0,1
"285",12,0,1
"286",5,0,1
"287",2,0,1
"288",17,0,1
"289",11,0,1
"290",22,0,1
"291",22,0,1
"292",41,0,1
"293",9,0,1
"294",11,0,1
"295",6,0,1
"296",3,0,1
"297",18,0,1
"298",21,0,1
"299",39,0,1
"300",5,0,1
"301",2,0,1
"302",0,0,1
"303",0,0,1
"304",3,0,1
"305",9,0,1
"306",5,0,1
"307",1,0,1
"308",8,0,1
"309",2,0,1
"310",0,0,1
"311",5,0,1
"312",35,0,1
"313",8,0,1
"314",2,0,1
"315",17,0,1
"316",0,0,1
"317",2,0,1
"318",8,0,1
"319",3,0,1
"320",12,0,1
"321",5,0,1
"322",15,0,1
"323",2,0,1
"324",4,0,1
"325",5,0,1
"326",13,0,1
"327",44,0,1
"328",6,0,1
"329",2,0,1
"330",18,0,1
"331",2,0,1
"332",0,0,1
"333",16,0,1
"334",4,0,1
"335",7,0,1
"336",7,0,1
"337",37,0,1
"338",24,0,1
"339",2,0,1
"340",1,0,1
"341",1,0,1
"342",19,0,1
"343",25,0,1
"344",24,0,1
"345",0,0,1
"346",54,0,1
"347",0,0,1
"348",4,0,1
"349",0,0,1
"350",12,0,1
"351",1,0,1
"352",6,0,1
"353",7,0,1
"354",2,0,1
"355",0,0,1
"356",5,0,1
"357",3,0,1
"358",3,0,1
"359",10,0,1
"360",63,0,1
"361",0,0,1
"362",20,0,1
"363",2,0,1
"364",11,0,1
"365",79,0,1
"366",6,0,1
"367",4,0,1
"368",10,0,1
"369",11,0,1
"370",10,0,1
"371",8,0,1
"372",15,0,1
"373",12,0,1
"374",45,0,1
"375",30,0,1
"376",2,0,1
"377",0,0,1
"378",6,0,1
"379",2,0,1
"380",4,0,1
"381",22,0,1
"382",1,0,1
"383",20,0,1
"384",0,0,1
"385",0,0,1
"386",3,0,1
"387",31,0,1
"388",0,0,1
"389",19,0,1
"390",30,0,1
"391",5,0,1
"392",8,0,1
"393",20,0,1
"394",29,0,1
"395",2,0,1
"396",1,0,1
"397",9,0,1
"398",9,0,1
"399",2,0,1
"400",25,0,1
"401",33,0,1
"402",18,0,1
"403",19,0,1
"404",13,0,1
"405",1,0,1
"406",15,0,1
"407",21,0,1
"408",1,0,1
"409",0,0,1
"410",6,0,1
"411",4,0,1
"412",15,0,1
"413",11,0,1
"414",3,0,1
"415",11,0,1
"416",16,0,1
"417",23,0,1
"418",9,0,1
"419",8,0,1
"420",1,0,1
"421",21,0,1
"422",1,0,1
"423",0,0,1
"424",38,0,1
"425",0,0,1
"426",6,0,1
"427",6,0,1
"428",6,0,1
"429",6,0,1
"430",5,0,1
"431",25,0,1
"432",18,0,1
"433",19,0,1
"434",2,0,1
"435",7,0,1
"436",0,0,1
"437",29,0,1
"438",3,0,1
"439",1,0,1
"440",9,0,1
"441",25,0,1
"442",0,0,1
"443",4,0,1
"444",7,0,1
"445",7,0,1
"446",22,0,1
"447",2,0,1
"448",1,0,1
"449",0,0,1
"450",3,0,1
"451",11,0,1
"452",4,0,1
"453",5,0,1
"454",1,0,1
"455",7,0,1
"456",0,0,1
"457",1,0,1
"458",1,0,1
"459",2,0,1
"460",11,0,1
"461",39,0,1
"462",13,0,1
"463",21,0,1
"464",5,0,1
"465",16,0,1
"466",12,0,1
"467",14,0,1
"468",9,0,1
"469",12,0,1
"470",18,0,1
"471",4,0,1
"472",0,0,1
"473",0,0,1
"474",29,0,1
"475",0,0,1
"476",31,0,1
"477",13,0,1
"478",6,0,1
"479",6,0,1
"480",31,0,1
"481",23,0,1
"482",4,0,1
"483",2,0,1
"484",6,0,1
"485",0,0,1
"486",9,0,1
"487",7,0,1
"488",37,0,1
"489",0,0,1
"490",0,0,1
"491",4,0,1
"492",23,0,1
"493",6,0,1
"494",42,0,1
"495",10,0,1
"496",18,0,1
"497",15,0,1
"498",0,0,1
"499",21,0,1
"500",32,0,1
"501",53,0,1
"502",1,0,1
"503",19,0,1
"504",12,0,1
"505",0,0,1
"506",0,0,1
"507",3,0,1
"508",5,0,1
"509",25,0,1
"510",11,0,1
"511",22,0,1
"512",2,0,1
"513",18,0,1
"514",0,0,1
"515",23,0,1
"516",6,0,1
"517",0,0,1
"518",13,0,1
"519",3,0,1
"520",7,0,1
"521",14,0,1
"522",22,0,1
"523",4,0,1
"524",4,0,1
"525",4,0,1
"526",39,0,1
"527",16,0,1
"528",21,0,1
"529",0,0,1
"530",7,0,1
"531",2,0,1
"532",2,0,1
"533",24,0,1
"534",21,0,1
"535",0,0,1
"536",0,0,1
"537",23,0,1
"538",0,0,1
"539",34,0,1
"540",63,0,1
"541",46,0,1
"542",11,0,1
"543",11,0,1
"544",5,0,1
"545",23,0,1
"546",8,0,1
"547",14,0,1
"548",11,0,1
"549",13,0,1
"550",18,0,1
"551",25,0,1
"552",3,0,1
"553",2,0,1
"554",5,0,1
"555",3,0,1
"556",0,0,1
"557",1,0,1
"558",6,0,1
"559",16,0,1
"560",8,0,1
"561",36,0,1
"562",3,0,1
"563",2,0,1
"564",11,0,1
"565",10,0,1
"566",13,0,1
"567",4,0,1
"568",8,0,1
"569",34,0,1
"570",10,0,1
"571",0,0,1
"572",0,0,1
"573",11,0,1
"574",11,0,1
"575",2,0,1
"576",22,0,1
"577",0,0,1
"578",8,0,1
"579",9,0,1
"580",1,0,1
"581",54,0,1
"582",12,0,1
"583",12,0,1
"584",11,0,1
"585",26,0,1
"586",0,0,1
"587",10,0,1
"588",2,0,1
"589",33,0,1
"590",19,0,1
"591",8,0,1
"592",3,0,1
"593",18,0,1
"594",16,0,1
"595",41,0,1
"596",6,0,1
"597",14,0,1
"598",3,0,1
"599",9,0,1
"600",1,0,1
