"","FBL_number","No_FBL","FBL"
"1",185,0,1
"2",30,0,1
"3",78,0,1
"4",40,0,1
"5",20,0,1
"6",23,0,1
"7",109,0,1
"8",6,0,1
"9",70,0,1
"10",35,0,1
"11",5,0,1
"12",97,0,1
"13",247,0,1
"14",0,0,1
"15",25,0,1
"16",141,0,1
"17",12,0,1
"18",83,0,1
"19",83,0,1
"20",33,0,1
"21",77,0,1
"22",91,0,1
"23",142,0,1
"24",111,0,1
"25",22,0,1
"26",152,0,1
"27",72,0,1
"28",68,0,1
"29",34,0,1
"30",25,0,1
"31",84,0,1
"32",15,0,1
"33",54,0,1
"34",24,0,1
"35",22,0,1
"36",18,0,1
"37",28,0,1
"38",5,0,1
"39",3,0,1
"40",65,0,1
"41",48,0,1
"42",44,0,1
"43",24,0,1
"44",450,0,1
"45",80,0,1
"46",45,0,1
"47",231,0,1
"48",113,0,1
"49",90,0,1
"50",36,0,1
"51",6,0,1
"52",25,0,1
"53",2,0,1
"54",69,0,1
"55",250,0,1
"56",67,0,1
"57",142,0,1
"58",214,0,1
"59",19,0,1
"60",131,0,1
"61",79,0,1
"62",29,0,1
"63",72,0,1
"64",27,0,1
"65",21,0,1
"66",173,0,1
"67",101,0,1
"68",99,0,1
"69",376,0,1
"70",269,0,1
"71",0,0,1
"72",76,0,1
"73",64,0,1
"74",33,0,1
"75",9,0,1
"76",35,0,1
"77",13,0,1
"78",933,0,1
"79",39,0,1
"80",49,0,1
"81",4,0,1
"82",134,0,1
"83",44,0,1
"84",18,0,1
"85",60,0,1
"86",10,0,1
"87",349,0,1
"88",122,0,1
"89",14,0,1
"90",259,0,1
"91",514,0,1
"92",296,0,1
"93",1,0,1
"94",14,0,1
"95",112,0,1
"96",49,0,1
"97",79,0,1
"98",189,0,1
"99",16,0,1
"100",12,0,1
"101",91,0,1
"102",69,0,1
"103",114,0,1
"104",76,0,1
"105",162,0,1
"106",88,0,1
"107",116,0,1
"108",183,0,1
"109",87,0,1
"110",1,0,1
"111",25,0,1
"112",315,0,1
"113",46,0,1
"114",43,0,1
"115",34,0,1
"116",293,0,1
"117",33,0,1
"118",14,0,1
"119",11,0,1
"120",70,0,1
"121",64,0,1
"122",25,0,1
"123",84,0,1
"124",118,0,1
"125",53,0,1
"126",63,0,1
"127",0,0,1
"128",7,0,1
"129",9,0,1
"130",19,0,1
"131",45,0,1
"132",370,0,1
"133",253,0,1
"134",115,0,1
"135",185,0,1
"136",79,0,1
"137",32,0,1
"138",9,0,1
"139",33,0,1
"140",20,0,1
"141",60,0,1
"142",3,0,1
"143",8,0,1
"144",67,0,1
"145",199,0,1
"146",374,0,1
"147",147,0,1
"148",106,0,1
"149",39,0,1
"150",2,0,1
"151",751,0,1
"152",186,0,1
"153",10,0,1
"154",527,0,1
"155",16,0,1
"156",48,0,1
"157",100,0,1
"158",72,0,1
"159",165,0,1
"160",4,0,1
"161",294,0,1
"162",134,0,1
"163",16,0,1
"164",529,0,1
"165",24,0,1
"166",40,0,1
"167",38,0,1
"168",135,0,1
"169",443,0,1
"170",105,0,1
"171",25,0,1
"172",60,0,1
"173",5,0,1
"174",85,0,1
"175",68,0,1
"176",37,0,1
"177",74,0,1
"178",33,0,1
"179",12,0,1
"180",106,0,1
"181",65,0,1
"182",26,0,1
"183",28,0,1
"184",7,0,1
"185",4,0,1
"186",133,0,1
"187",200,0,1
"188",4,0,1
"189",307,0,1
"190",159,0,1
"191",109,0,1
"192",103,0,1
"193",116,0,1
"194",75,0,1
"195",130,0,1
"196",34,0,1
"197",97,0,1
"198",42,0,1
"199",92,0,1
"200",123,0,1
"201",55,0,1
"202",24,0,1
"203",9,0,1
"204",109,0,1
"205",5,0,1
"206",147,0,1
"207",424,0,1
"208",13,0,1
"209",16,0,1
"210",37,0,1
"211",45,0,1
"212",287,0,1
"213",0,0,1
"214",10,0,1
"215",40,0,1
"216",3,0,1
"217",227,0,1
"218",111,0,1
"219",329,0,1
"220",117,0,1
"221",166,0,1
"222",57,0,1
"223",11,0,1
"224",108,0,1
"225",7,0,1
"226",23,0,1
"227",8,0,1
"228",201,0,1
"229",22,0,1
"230",275,0,1
"231",156,0,1
"232",273,0,1
"233",16,0,1
"234",36,0,1
"235",103,0,1
"236",221,0,1
"237",32,0,1
"238",400,0,1
"239",50,0,1
"240",10,0,1
"241",15,0,1
"242",7,0,1
"243",41,0,1
"244",35,0,1
"245",6,0,1
"246",6,0,1
"247",124,0,1
"248",121,0,1
"249",63,0,1
"250",7,0,1
"251",183,0,1
"252",81,0,1
"253",3,0,1
"254",108,0,1
"255",6,0,1
"256",122,0,1
"257",148,0,1
"258",56,0,1
"259",262,0,1
"260",127,0,1
"261",94,0,1
"262",7,0,1
"263",240,0,1
"264",63,0,1
"265",102,0,1
"266",111,0,1
"267",17,0,1
"268",17,0,1
"269",74,0,1
"270",110,0,1
"271",11,0,1
"272",25,0,1
"273",47,0,1
"274",247,0,1
"275",9,0,1
"276",102,0,1
"277",127,0,1
"278",725,0,1
"279",4,0,1
"280",272,0,1
"281",64,0,1
"282",58,0,1
"283",9,0,1
"284",91,0,1
