"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",1,0,0,0.0555555555555556,0,0.277777777777778,0.222222222222222,0.0555555555555556,0.222222222222222,0.111111111111111,0.0555555555555556,0,0
"2",1,0,0,0.5,0,0,0,0,0,0,0.5,0,0
"3",1,0,0,0.0666666666666667,0,0.0666666666666667,0.0666666666666667,0.2,0,0.266666666666667,0.0666666666666667,0.266666666666667,0
"4",1,0,0,0.111111111111111,0.111111111111111,0,0,0.222222222222222,0,0.222222222222222,0.111111111111111,0.222222222222222,0
"5",1,0,0,0,0,0,0.25,0,0.25,0.5,0,0,0
"6",1,0,0.2,0,0,0.2,0,0,0,0.4,0,0.2,0
"7",1,0,0.0588235294117647,0.0588235294117647,0,0.235294117647059,0,0,0.176470588235294,0.176470588235294,0.294117647058824,0,0
"8",0,1,0,0,0,0,0,0,0,0,0,0,0
"9",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"10",1,0,0.1,0.1,0,0.1,0,0,0.1,0.2,0.4,0,0
"11",0,1,0,0,0,0,0,0,0,0,0,0,0
"12",1,0,0.0588235294117647,0,0.0588235294117647,0.0588235294117647,0.176470588235294,0.0588235294117647,0.176470588235294,0.294117647058824,0.117647058823529,0,0
"13",1,0,0,0.08,0.04,0.2,0.24,0.04,0.08,0.12,0.2,0,0
"14",1,0,0,0,0,0,0,0,0,1,0,0,0
"15",1,0,0,0.5,0,0,0.5,0,0,0,0,0,0
"16",1,0,0,0.125,0,0.125,0.15625,0.03125,0.09375,0.0625,0.28125,0.125,0
"17",1,0,0,0.25,0,0.25,0,0,0.25,0,0.25,0,0
"18",1,0,0,0,0,0,0.5,0,0,0.5,0,0,0
"19",1,0,0.25,0.125,0,0.25,0.125,0,0.0625,0,0.1875,0,0
"20",1,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0
"21",1,0,0.0625,0.0625,0,0,0.125,0.125,0,0.375,0.125,0.125,0
"22",1,0,0.0625,0,0,0.125,0.375,0,0.1875,0.0625,0.125,0.0625,0
"23",1,0,0,0.0666666666666667,0,0.166666666666667,0.366666666666667,0.0333333333333333,0.133333333333333,0.0666666666666667,0.133333333333333,0.0333333333333333,0
"24",1,0,0.235294117647059,0.0588235294117647,0,0.176470588235294,0.0588235294117647,0,0.0588235294117647,0.176470588235294,0.235294117647059,0,0
"25",1,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0
"26",1,0,0.161290322580645,0.129032258064516,0,0.129032258064516,0.129032258064516,0.0645161290322581,0.032258064516129,0.290322580645161,0.032258064516129,0.032258064516129,0
"27",1,0,0.0769230769230769,0.230769230769231,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0,0.230769230769231,0.153846153846154,0.0769230769230769,0
"28",1,0,0.166666666666667,0,0,0.5,0,0,0.333333333333333,0,0,0,0
"29",1,0,0,0,0,0.0625,0.3125,0.0625,0.0625,0.1875,0.1875,0.125,0
"30",1,0,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0
"31",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0.166666666666667,0.166666666666667,0,0
"32",0,1,0,0,0,0,0,0,0,0,0,0,0
"33",1,0,0,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0,0.142857142857143,0.428571428571429,0,0
"34",1,0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0
"35",1,0,1,0,0,0,0,0,0,0,0,0,0
"36",1,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0
"37",1,0,0.363636363636364,0,0,0.0909090909090909,0,0,0.181818181818182,0.272727272727273,0.0909090909090909,0,0
"38",0,1,0,0,0,0,0,0,0,0,0,0,0
"39",1,0,0.2,0,0,0,0.2,0,0,0.4,0.2,0,0
"40",1,0,0,0.1,0,0,0,0.2,0.2,0.4,0.1,0,0
"41",1,0,0,0.0454545454545455,0,0.272727272727273,0.227272727272727,0.0454545454545455,0.181818181818182,0.0909090909090909,0.136363636363636,0,0
"42",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0
"43",1,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0
"44",1,0,0.0606060606060606,0.212121212121212,0.0909090909090909,0,0.212121212121212,0.121212121212121,0.0606060606060606,0.0909090909090909,0.0606060606060606,0.0909090909090909,0
"45",1,0,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0,0,0.166666666666667,0.333333333333333,0,0
"46",1,0,0.2,0,0,0,0.2,0,0,0.6,0,0,0
"47",1,0,0.111111111111111,0,0,0.0555555555555556,0.166666666666667,0.0555555555555556,0.277777777777778,0.277777777777778,0,0.0555555555555556,0
"48",1,0,0,0.0909090909090909,0,0.272727272727273,0.0909090909090909,0,0.363636363636364,0.0909090909090909,0.0909090909090909,0,0
"49",1,0,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0,0.111111111111111,0.444444444444444,0.111111111111111,0,0
"50",1,0,0,0.125,0,0,0.25,0.125,0,0.25,0,0.25,0
"51",1,0,0,1,0,0,0,0,0,0,0,0,0
"52",1,0,0.2,0,0,0.8,0,0,0,0,0,0,0
"53",0,1,0,0,0,0,0,0,0,0,0,0,0
"54",1,0,0,0.166666666666667,0.333333333333333,0,0,0,0,0,0.5,0,0
"55",1,0,0,0.0625,0,0,0.1875,0.0625,0.0625,0.25,0.1875,0.1875,0
"56",1,0,0.333333333333333,0,0,0,0,0,0.166666666666667,0.333333333333333,0.166666666666667,0,0
"57",1,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0,0
"58",1,0,0.0526315789473684,0,0.0526315789473684,0,0.263157894736842,0.157894736842105,0,0.210526315789474,0.105263157894737,0.157894736842105,0
"59",1,0,0,0.222222222222222,0,0,0.222222222222222,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111,0,0
"60",1,0,0.0714285714285714,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.357142857142857,0.0714285714285714,0.0714285714285714,0,0
"61",1,0,0.0555555555555556,0,0.111111111111111,0,0,0.222222222222222,0,0.444444444444445,0.0555555555555556,0.111111111111111,0
"62",1,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0
"63",1,0,0.0967741935483871,0.0967741935483871,0,0.0967741935483871,0.0967741935483871,0,0.193548387096774,0.225806451612903,0.129032258064516,0.0645161290322581,0
"64",1,0,0.142857142857143,0.285714285714286,0,0.142857142857143,0.285714285714286,0,0,0.142857142857143,0,0,0
"65",1,0,0,0,0.125,0.125,0,0.125,0,0.375,0.25,0,0
"66",1,0,0,0.222222222222222,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0.222222222222222,0.111111111111111,0
"67",1,0,0.125,0,0,0.5,0,0,0.375,0,0,0,0
"68",1,0,0,0,0,0,0,0,0,1,0,0,0
"69",1,0,0.142857142857143,0.0357142857142857,0.0357142857142857,0.107142857142857,0.142857142857143,0,0.0714285714285714,0.214285714285714,0.214285714285714,0.0357142857142857,0
"70",1,0,0,0.125,0.25,0,0,0,0,0.125,0,0.5,0
"71",1,0,0,0,0,0,0,0,1,0,0,0,0
"72",1,0,0.133333333333333,0.133333333333333,0,0.266666666666667,0,0,0.0666666666666667,0.133333333333333,0.266666666666667,0,0
"73",1,0,0.0666666666666667,0,0,0.133333333333333,0.333333333333333,0.0666666666666667,0.0666666666666667,0.133333333333333,0.133333333333333,0.0666666666666667,0
"74",1,0,0,0.5,0,0,0,0,0,0,0.5,0,0
"75",0,1,0,0,0,0,0,0,0,0,0,0,0
"76",1,0,0,0,0,0.25,0.5,0,0.25,0,0,0,0
"77",1,0,0,0,0,0,0,0,1,0,0,0,0
"78",1,0,0.108108108108108,0,0,0.108108108108108,0.108108108108108,0.0540540540540541,0.243243243243243,0.297297297297297,0.0810810810810811,0,0
"79",1,0,0,0.25,0,0.5,0,0,0.25,0,0,0,0
"80",1,0,0,0.111111111111111,0,0.444444444444444,0.111111111111111,0,0.111111111111111,0.111111111111111,0.111111111111111,0,0
"81",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0
"82",1,0,0,0,0.0909090909090909,0,0,0.181818181818182,0,0.181818181818182,0.181818181818182,0.363636363636364,0
"83",1,0,0.111111111111111,0,0,0.111111111111111,0.222222222222222,0.111111111111111,0,0.444444444444444,0,0,0
"84",1,0,0,0,0.142857142857143,0,0,0,0,0.428571428571429,0.428571428571429,0,0
"85",1,0,0.222222222222222,0.166666666666667,0,0.0555555555555556,0.111111111111111,0.0555555555555556,0.0555555555555556,0.277777777777778,0.0555555555555556,0,0
"86",1,0,0,0,0,0.857142857142857,0,0,0.142857142857143,0,0,0,0
"87",1,0,0.08,0.04,0,0.04,0.24,0.04,0.2,0.24,0.08,0.04,0
"88",1,0,0.0555555555555556,0.166666666666667,0.0555555555555556,0,0.166666666666667,0.0555555555555556,0.0555555555555556,0.0555555555555556,0.277777777777778,0.111111111111111,0
"89",1,0,0.0909090909090909,0.181818181818182,0,0.272727272727273,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0
"90",1,0,0.142857142857143,0.142857142857143,0.0714285714285714,0.0714285714285714,0.142857142857143,0,0,0.142857142857143,0.214285714285714,0.0714285714285714,0
"91",1,0,0.1,0.15,0,0.2,0.1,0,0.35,0.05,0.05,0,0
"92",1,0,0.0689655172413793,0.206896551724138,0.0344827586206897,0,0.0689655172413793,0.0689655172413793,0.103448275862069,0.241379310344828,0.103448275862069,0.103448275862069,0
"93",0,1,0,0,0,0,0,0,0,0,0,0,0
"94",0,1,0,0,0,0,0,0,0,0,0,0,0
"95",1,0,0.1,0.4,0.1,0.1,0,0,0,0.2,0,0.1,0
"96",1,0,0,0,0,0.142857142857143,0.428571428571429,0.142857142857143,0,0.142857142857143,0.142857142857143,0,0
"97",1,0,0,0,0,0,0.4,0,0.4,0.2,0,0,0
"98",1,0,0.032258064516129,0.193548387096774,0.032258064516129,0.0967741935483871,0.193548387096774,0.0645161290322581,0.129032258064516,0.032258064516129,0.161290322580645,0.0645161290322581,0
"99",0,1,0,0,0,0,0,0,0,0,0,0,0
"100",1,0,0,0,0,0,0.5,0,0,0,0.25,0.25,0
"101",1,0,0,0.0909090909090909,0.272727272727273,0,0.181818181818182,0.181818181818182,0,0.181818181818182,0,0.0909090909090909,0
"102",1,0,0.0588235294117647,0,0,0.352941176470588,0.0588235294117647,0,0.235294117647059,0.0588235294117647,0.235294117647059,0,0
"103",1,0,0.166666666666667,0.333333333333333,0.0555555555555556,0.0555555555555556,0.0555555555555556,0,0,0.0555555555555556,0.166666666666667,0.111111111111111,0
"104",1,0,0.25,0,0,0.5,0,0,0.25,0,0,0,0
"105",1,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0,0.181818181818182,0.363636363636364,0,0,0
"106",1,0,0,0,0,1,0,0,0,0,0,0,0
"107",1,0,0,0.181818181818182,0,0.0454545454545455,0.136363636363636,0.136363636363636,0.0454545454545455,0.227272727272727,0,0.227272727272727,0
"108",1,0,0,0.0625,0.0625,0.25,0.125,0.0625,0.0625,0.1875,0.0625,0.125,0
"109",1,0,0,0.0909090909090909,0,0.0454545454545455,0.227272727272727,0.0454545454545455,0.227272727272727,0.136363636363636,0.181818181818182,0.0454545454545455,0
"110",1,0,1,0,0,0,0,0,0,0,0,0,0
"111",1,0,0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0
"112",1,0,0,0,0,0.153846153846154,0.384615384615385,0,0.153846153846154,0.153846153846154,0.153846153846154,0,0
"113",1,0,0,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0
"114",1,0,0.142857142857143,0.285714285714286,0,0.142857142857143,0,0,0.285714285714286,0.142857142857143,0,0,0
"115",1,0,0,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0,0.428571428571429,0,0.142857142857143,0
"116",1,0,0.181818181818182,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0,0.272727272727273,0.0909090909090909,0.227272727272727,0.0454545454545455,0
"117",1,0,0,0,0,1,0,0,0,0,0,0,0
"118",1,0,0,0.5,0,0,0.5,0,0,0,0,0,0
"119",1,0,0.142857142857143,0.142857142857143,0,0.142857142857143,0.285714285714286,0,0,0,0.285714285714286,0,0
"120",1,0,0,0,0,0.571428571428571,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0,0
"121",1,0,0,0.0714285714285714,0,0.0714285714285714,0.142857142857143,0,0.5,0.142857142857143,0.0714285714285714,0,0
"122",0,1,0,0,0,0,0,0,0,0,0,0,0
"123",1,0,0.117647058823529,0.235294117647059,0,0.294117647058824,0,0,0.294117647058824,0,0.0588235294117647,0,0
"124",1,0,0,0.133333333333333,0,0.2,0.266666666666667,0,0.133333333333333,0,0.266666666666667,0,0
"125",1,0,0,0.272727272727273,0,0.0909090909090909,0,0,0.181818181818182,0.0909090909090909,0.363636363636364,0,0
"126",1,0,0,0,0,0.111111111111111,0.222222222222222,0.222222222222222,0,0.222222222222222,0.222222222222222,0,0
"127",0,1,0,0,0,0,0,0,0,0,0,0,0
"128",0,1,0,0,0,0,0,0,0,0,0,0,0
"129",1,0,0,0,0,0,0,0,0,1,0,0,0
"130",1,0,0.2,0.2,0,0,0.2,0,0,0.4,0,0,0
"131",1,0,0,1,0,0,0,0,0,0,0,0,0
"132",1,0,0.0666666666666667,0.0666666666666667,0,0.133333333333333,0.0666666666666667,0,0.4,0.0666666666666667,0.2,0,0
"133",1,0,0.0571428571428571,0.0857142857142857,0,0.0285714285714286,0.2,0.142857142857143,0,0.171428571428571,0.142857142857143,0.171428571428571,0
"134",1,0,0,0.0625,0,0.25,0.125,0,0.1875,0.0625,0.3125,0,0
"135",1,0,0.0714285714285714,0.107142857142857,0,0.285714285714286,0.0714285714285714,0,0.321428571428571,0,0.142857142857143,0,0
"136",1,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0
"137",1,0,0,0.0666666666666667,0,0.0666666666666667,0.2,0.2,0,0.2,0.133333333333333,0.133333333333333,0
"138",1,0,0,0,0,0,0,0,1,0,0,0,0
"139",1,0,0.111111111111111,0,0,0.333333333333333,0,0,0.444444444444444,0,0.111111111111111,0,0
"140",1,0,0,0.2,0,0.2,0.4,0,0,0,0.2,0,0
"141",1,0,0.272727272727273,0,0,0.0909090909090909,0,0,0.0909090909090909,0.363636363636364,0.181818181818182,0,0
