"","FBL_number","No_FBL","FBL"
"1",8,0,1
"2",2,0,1
"3",64,0,1
"4",0,0,1
"5",3,0,1
"6",83,0,1
"7",4,0,1
"8",0,0,1
"9",4,0,1
"10",0,0,1
"11",5,0,1
"12",64,0,1
"13",3,0,1
"14",3,0,1
"15",65,0,1
"16",2,0,1
"17",21,0,1
"18",7,0,1
"19",1,0,1
"20",5,0,1
"21",11,0,1
"22",0,0,1
"23",21,0,1
"24",18,0,1
"25",1,0,1
"26",31,0,1
"27",4,0,1
"28",1,0,1
"29",2,0,1
"30",3,0,1
"31",3367,0,1
"32",1,0,1
"33",27,0,1
"34",3,0,1
"35",1413,0,1
"36",100,0,1
"37",44,0,1
"38",0,0,1
"39",22,0,1
"40",0,0,1
"41",11,0,1
"42",0,0,1
"43",0,0,1
"44",4,0,1
"45",19,0,1
"46",0,0,1
"47",0,0,1
"48",0,0,1
"49",29,0,1
"50",35,0,1
"51",123,0,1
"52",0,0,1
"53",0,0,1
"54",9,0,1
"55",28,0,1
"56",0,0,1
"57",2,0,1
"58",6,0,1
"59",0,0,1
"60",35,0,1
"61",22,0,1
"62",0,0,1
"63",8,0,1
"64",11,0,1
"65",137,0,1
"66",9,0,1
"67",0,0,1
"68",2,0,1
"69",3,0,1
"70",3,0,1
"71",17,0,1
"72",2,0,1
"73",4,0,1
"74",0,0,1
"75",68,0,1
"76",255,0,1
"77",1,0,1
"78",0,0,1
"79",23,0,1
"80",1,0,1
"81",12,0,1
"82",40,0,1
"83",6,0,1
"84",0,0,1
"85",0,0,1
"86",51,0,1
"87",0,0,1
"88",0,0,1
"89",8,0,1
"90",2,0,1
"91",2,0,1
"92",0,0,1
"93",6,0,1
"94",2,0,1
"95",1,0,1
"96",5,0,1
"97",0,0,1
"98",179,0,1
"99",57,0,1
"100",28,0,1
"101",0,0,1
"102",0,0,1
"103",0,0,1
"104",24,0,1
"105",18,0,1
"106",5,0,1
"107",2,0,1
"108",11,0,1
"109",19,0,1
"110",22,0,1
"111",8,0,1
"112",42,0,1
"113",2,0,1
"114",57,0,1
"115",1,0,1
"116",9,0,1
"117",158,0,1
"118",2,0,1
"119",24,0,1
"120",9,0,1
"121",48,0,1
"122",21,0,1
"123",23,0,1
"124",0,0,1
"125",89,0,1
"126",22,0,1
"127",9,0,1
"128",0,0,1
"129",1,0,1
"130",9,0,1
"131",26,0,1
"132",2,0,1
"133",18,0,1
"134",0,0,1
"135",0,0,1
"136",0,0,1
"137",229,0,1
"138",11,0,1
"139",547,0,1
"140",82,0,1
"141",0,0,1
"142",224,0,1
"143",0,0,1
"144",0,0,1
"145",0,0,1
"146",18,0,1
"147",1,0,1
"148",1,0,1
"149",22,0,1
"150",0,0,1
"151",1,0,1
"152",15,0,1
"153",4,0,1
"154",6,0,1
"155",2,0,1
"156",14,0,1
"157",135,0,1
"158",6,0,1
"159",0,0,1
"160",4,0,1
"161",11,0,1
"162",8,0,1
"163",0,0,1
"164",1,0,1
"165",27,0,1
"166",0,0,1
"167",1,0,1
"168",14,0,1
"169",0,0,1
"170",16,0,1
"171",17,0,1
"172",8,0,1
"173",1,0,1
"174",1,0,1
"175",47,0,1
"176",0,0,1
"177",0,0,1
"178",2,0,1
"179",42,0,1
"180",7,0,1
"181",13,0,1
"182",4,0,1
"183",0,0,1
"184",0,0,1
"185",50,0,1
"186",0,0,1
"187",18,0,1
"188",9,0,1
"189",4,0,1
"190",10,0,1
"191",1,0,1
"192",0,0,1
"193",21,0,1
"194",2,0,1
"195",31,0,1
"196",15,0,1
"197",19,0,1
"198",1,0,1
"199",0,0,1
"200",35,0,1
"201",177,0,1
"202",3,0,1
"203",15,0,1
"204",11,0,1
"205",1,0,1
"206",4,0,1
"207",3,0,1
"208",68,0,1
"209",15,0,1
"210",1,0,1
"211",8,0,1
"212",1,0,1
"213",0,0,1
"214",0,0,1
"215",17,0,1
"216",468,0,1
"217",792,0,1
"218",6,0,1
"219",22,0,1
"220",25,0,1
"221",1,0,1
"222",14,0,1
"223",37,0,1
"224",9,0,1
"225",3,0,1
"226",21,0,1
"227",9,0,1
"228",0,0,1
"229",0,0,1
"230",1,0,1
"231",1,0,1
"232",2,0,1
"233",51,0,1
"234",49,0,1
"235",2,0,1
"236",2,0,1
"237",23,0,1
"238",4,0,1
"239",25,0,1
"240",128,0,1
"241",30,0,1
"242",1,0,1
"243",32,0,1
"244",157,0,1
"245",0,0,1
"246",4,0,1
"247",405,0,1
"248",4,0,1
"249",5,0,1
"250",0,0,1
"251",4,0,1
"252",44,0,1
"253",2,0,1
"254",0,0,1
"255",3,0,1
"256",249,0,1
"257",18,0,1
"258",132,0,1
"259",35,0,1
"260",21,0,1
"261",4,0,1
"262",80,0,1
"263",0,0,1
"264",2,0,1
"265",0,0,1
"266",12,0,1
"267",16,0,1
"268",3,0,1
"269",13,0,1
"270",38,0,1
"271",5,0,1
"272",0,0,1
"273",5,0,1
"274",23,0,1
"275",24,0,1
"276",7,0,1
"277",5,0,1
"278",822,0,1
"279",4,0,1
"280",0,0,1
"281",35,0,1
"282",0,0,1
"283",3,0,1
"284",93,0,1
"285",124,0,1
"286",21,0,1
"287",83,0,1
"288",4,0,1
"289",0,0,1
"290",0,0,1
"291",250,0,1
"292",97,0,1
"293",3,0,1
"294",6,0,1
"295",1,0,1
"296",6,0,1
"297",2,0,1
"298",2,0,1
"299",441,0,1
"300",0,0,1
"301",24,0,1
"302",20,0,1
"303",2,0,1
"304",0,0,1
"305",0,0,1
"306",101,0,1
"307",1,0,1
"308",3,0,1
"309",28,0,1
"310",31,0,1
"311",217,0,1
"312",1,0,1
"313",4,0,1
"314",0,0,1
"315",10,0,1
"316",22,0,1
"317",37,0,1
"318",2,0,1
"319",48,0,1
"320",48,0,1
"321",2,0,1
"322",7,0,1
"323",7,0,1
"324",4,0,1
"325",0,0,1
"326",15,0,1
"327",3,0,1
"328",0,0,1
"329",0,0,1
"330",8,0,1
"331",105,0,1
"332",23,0,1
"333",0,0,1
"334",11,0,1
"335",0,0,1
"336",4,0,1
"337",3,0,1
"338",146,0,1
"339",52,0,1
"340",3,0,1
"341",0,0,1
"342",1,0,1
"343",20,0,1
"344",25,0,1
"345",20,0,1
"346",4,0,1
"347",0,0,1
"348",40,0,1
"349",1,0,1
"350",1,0,1
"351",0,0,1
"352",11,0,1
"353",24,0,1
"354",25,0,1
"355",19,0,1
"356",16,0,1
"357",10,0,1
"358",20,0,1
"359",6,0,1
"360",0,0,1
"361",1,0,1
"362",574,0,1
"363",9,0,1
"364",10,0,1
