"","FBL_number","No_FBL","FBL"
"1",20,0,1
"2",9,0,1
"3",5,0,1
"4",46,0,1
"5",18,0,1
"6",16,0,1
"7",22,0,1
"8",16,0,1
"9",6,0,1
"10",128,0,1
"11",19,0,1
"12",403,0,1
"13",84,0,1
"14",2,0,1
"15",186,0,1
"16",46,0,1
"17",1,0,1
"18",189,0,1
"19",25,0,1
"20",57,0,1
"21",10,0,1
"22",43,0,1
"23",8,0,1
"24",65,0,1
"25",36,0,1
"26",189,0,1
"27",150,0,1
"28",28,0,1
"29",259,0,1
"30",83,0,1
"31",23,0,1
"32",46,0,1
"33",75,0,1
"34",9,0,1
"35",7,0,1
"36",44,0,1
"37",43,0,1
"38",10,0,1
"39",6,0,1
"40",49,0,1
"41",47,0,1
"42",58,0,1
"43",93,0,1
"44",8,0,1
"45",85,0,1
"46",58,0,1
"47",33,0,1
"48",76,0,1
"49",30,0,1
"50",17,0,1
"51",7,0,1
"52",47,0,1
"53",3,0,1
"54",30,0,1
"55",93,0,1
"56",64,0,1
"57",46,0,1
"58",33,0,1
"59",5,0,1
"60",10,0,1
"61",4,0,1
"62",24,0,1
"63",23,0,1
"64",58,0,1
"65",192,0,1
"66",69,0,1
"67",368,0,1
"68",61,0,1
"69",275,0,1
"70",182,0,1
"71",100,0,1
"72",114,0,1
"73",17,0,1
"74",85,0,1
"75",114,0,1
"76",9,0,1
"77",3,0,1
"78",980,0,1
"79",27,0,1
"80",21,0,1
"81",1,0,1
"82",63,0,1
"83",14,0,1
"84",285,0,1
"85",47,0,1
"86",0,0,1
"87",311,0,1
"88",59,0,1
"89",61,0,1
"90",305,0,1
"91",88,0,1
"92",191,0,1
"93",2,0,1
"94",229,0,1
"95",32,0,1
"96",12,0,1
"97",122,0,1
"98",84,0,1
"99",17,0,1
"100",2,0,1
"101",17,0,1
"102",180,0,1
"103",27,0,1
"104",157,0,1
"105",25,0,1
"106",42,0,1
"107",138,0,1
"108",67,0,1
"109",81,0,1
"110",3,0,1
"111",17,0,1
"112",167,0,1
"113",11,0,1
"114",52,0,1
"115",20,0,1
"116",30,0,1
"117",22,0,1
"118",14,0,1
"119",94,0,1
"120",3,0,1
"121",135,0,1
"122",13,0,1
"123",26,0,1
"124",52,0,1
"125",56,0,1
"126",16,0,1
"127",5,0,1
"128",9,0,1
"129",16,0,1
"130",12,0,1
"131",129,0,1
"132",40,0,1
"133",139,0,1
"134",82,0,1
"135",68,0,1
"136",76,0,1
"137",81,0,1
