"","Loop_number","No_loop","Loop"
"1",11,0,1
"2",0,0,1
"3",4,0,1
"4",2,0,1
"5",2,0,1
"6",2,0,1
"7",2,0,1
"8",2,0,1
"9",2,0,1
"10",9,0,1
"11",2,0,1
"12",27,0,1
"13",14,0,1
"14",2,0,1
"15",5,0,1
"16",1,0,1
"17",1,0,1
"18",2,0,1
"19",8,0,1
"20",4,0,1
"21",8,0,1
"22",13,0,1
"23",12,0,1
"24",9,0,1
"25",3,0,1
"26",24,0,1
"27",10,0,1
"28",4,0,1
"29",18,0,1
"30",15,0,1
"31",5,0,1
"32",8,0,1
"33",14,0,1
"34",1,0,1
"35",1,0,1
"36",7,0,1
"37",6,0,1
"38",1,0,1
"39",7,0,1
"40",8,0,1
"41",8,0,1
"42",6,0,1
"43",10,0,1
"44",2,0,1
"45",6,0,1
"46",7,0,1
"47",12,0,1
"48",9,0,1
"49",4,0,1
"50",0,0,1
"51",1,0,1
"52",3,0,1
"53",1,0,1
"54",2,0,1
"55",1,0,1
"56",11,0,1
"57",3,0,1
"58",6,0,1
"59",5,0,1
"60",4,0,1
"61",5,0,1
"62",3,0,1
"63",9,0,1
"64",15,0,1
"65",11,0,1
"66",9,0,1
"67",11,0,1
"68",4,0,1
"69",14,0,1
"70",6,0,1
"71",6,0,1
"72",8,0,1
"73",7,0,1
"74",11,0,1
"75",5,0,1
"76",4,0,1
"77",2,0,1
"78",20,0,1
"79",4,0,1
"80",6,0,1
"81",0,0,1
"82",5,0,1
"83",3,0,1
"84",12,0,1
"85",5,0,1
"86",11,0,1
"87",13,0,1
"88",1,0,1
"89",12,0,1
"90",4,0,1
"91",7,0,1
"92",12,0,1
"93",1,0,1
"94",9,0,1
"95",2,0,1
"96",2,0,1
"97",6,0,1
"98",10,0,1
"99",2,0,1
"100",3,0,1
"101",4,0,1
"102",15,0,1
"103",0,0,1
"104",6,0,1
"105",4,0,1
"106",15,0,1
"107",9,0,1
"108",5,0,1
"109",6,0,1
"110",1,0,1
"111",0,0,1
"112",2,0,1
"113",2,0,1
"114",10,0,1
"115",6,0,1
"116",6,0,1
"117",5,0,1
"118",1,0,1
"119",6,0,1
"120",3,0,1
"121",21,0,1
"122",3,0,1
"123",6,0,1
"124",5,0,1
"125",3,0,1
"126",5,0,1
"127",3,0,1
"128",2,0,1
"129",3,0,1
"130",0,0,1
"131",5,0,1
"132",5,0,1
"133",15,0,1
"134",7,0,1
"135",8,0,1
"136",3,0,1
"137",9,0,1
"138",1,0,1
"139",13,0,1
"140",3,0,1
"141",6,0,1
"142",2,0,1
"143",1,0,1
"144",8,0,1
"145",5,0,1
"146",3,0,1
"147",12,0,1
"148",8,0,1
"149",2,0,1
"150",0,0,1
"151",19,0,1
"152",7,0,1
"153",3,0,1
"154",16,0,1
"155",9,0,1
"156",4,0,1
"157",8,0,1
"158",1,0,1
"159",5,0,1
"160",0,0,1
"161",4,0,1
"162",2,0,1
"163",2,0,1
"164",10,0,1
"165",15,0,1
"166",2,0,1
"167",0,0,1
"168",12,0,1
"169",6,0,1
"170",3,0,1
"171",6,0,1
"172",5,0,1
"173",1,0,1
"174",15,0,1
"175",1,0,1
"176",6,0,1
"177",6,0,1
"178",3,0,1
"179",8,0,1
"180",2,0,1
"181",11,0,1
"182",5,0,1
"183",8,0,1
"184",2,0,1
"185",5,0,1
"186",14,0,1
"187",7,0,1
"188",5,0,1
"189",6,0,1
"190",4,0,1
"191",5,0,1
"192",3,0,1
"193",3,0,1
"194",3,0,1
"195",7,0,1
"196",5,0,1
"197",6,0,1
"198",4,0,1
"199",7,0,1
"200",3,0,1
"201",2,0,1
"202",4,0,1
"203",2,0,1
"204",9,0,1
"205",5,0,1
"206",16,0,1
"207",5,0,1
"208",5,0,1
"209",12,0,1
"210",6,0,1
"211",0,0,1
"212",24,0,1
"213",1,0,1
"214",5,0,1
"215",4,0,1
"216",5,0,1
"217",5,0,1
"218",3,0,1
"219",7,0,1
"220",8,0,1
"221",6,0,1
"222",8,0,1
"223",4,0,1
"224",6,0,1
"225",4,0,1
"226",1,0,1
"227",3,0,1
"228",4,0,1
"229",10,0,1
"230",2,0,1
"231",11,0,1
"232",8,0,1
"233",3,0,1
"234",7,0,1
"235",4,0,1
"236",10,0,1
"237",3,0,1
"238",12,0,1
"239",7,0,1
"240",2,0,1
"241",5,0,1
"242",0,0,1
"243",10,0,1
"244",9,0,1
"245",12,0,1
"246",3,0,1
"247",5,0,1
"248",5,0,1
"249",13,0,1
"250",0,0,1
"251",11,0,1
"252",16,0,1
"253",4,0,1
"254",7,0,1
"255",1,0,1
"256",5,0,1
"257",13,0,1
"258",17,0,1
"259",7,0,1
"260",14,0,1
"261",0,0,1
"262",5,0,1
"263",4,0,1
"264",8,0,1
"265",4,0,1
"266",5,0,1
"267",0,0,1
"268",4,0,1
"269",4,0,1
"270",4,0,1
"271",3,0,1
"272",9,0,1
"273",10,0,1
"274",6,0,1
"275",9,0,1
"276",6,0,1
"277",4,0,1
"278",5,0,1
"279",6,0,1
"280",0,0,1
"281",4,0,1
"282",11,0,1
"283",3,0,1
"284",17,0,1
"285",13,0,1
"286",10,0,1
"287",0,0,1
"288",5,0,1
"289",6,0,1
"290",2,0,1
"291",20,0,1
"292",9,0,1
"293",2,0,1
"294",0,0,1
"295",2,0,1
"296",2,0,1
"297",19,0,1
"298",13,0,1
"299",19,0,1
"300",8,0,1
"301",0,0,1
"302",2,0,1
"303",3,0,1
"304",11,0,1
"305",6,0,1
"306",10,0,1
"307",2,0,1
"308",13,0,1
"309",1,0,1
"310",4,0,1
"311",1,0,1
"312",5,0,1
"313",13,0,1
"314",9,0,1
"315",6,0,1
"316",0,0,1
"317",4,0,1
"318",1,0,1
"319",6,0,1
"320",10,0,1
"321",1,0,1
"322",6,0,1
"323",3,0,1
"324",5,0,1
"325",6,0,1
"326",5,0,1
"327",8,0,1
"328",2,0,1
"329",2,0,1
"330",4,0,1
"331",4,0,1
"332",2,0,1
"333",4,0,1
"334",4,0,1
"335",3,0,1
"336",9,0,1
"337",12,0,1
"338",27,0,1
"339",7,0,1
"340",3,0,1
"341",7,0,1
"342",12,0,1
"343",9,0,1
"344",5,0,1
"345",1,0,1
"346",4,0,1
"347",2,0,1
"348",3,0,1
"349",2,0,1
"350",2,0,1
"351",2,0,1
"352",3,0,1
