"","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"1",1,0,0.5,0,0,0,0,0,0,0.5,0
"2",1,0,0,0,0,1,0,0,0,0,0
"3",1,0,0,0.25,0.25,0,0,0,0.25,0.25,0
"4",1,0,0,0.5,0,0,0,0.5,0,0,0
"5",1,0,0,0,0.25,0,0.25,0,0,0.5,0
"6",1,0,0,0.166666666666667,0.333333333333333,0,0,0,0.166666666666667,0.333333333333333,0
"7",0,1,0,0,0,0,0,0,0,0,0
"8",0,1,0,0,0,0,0,0,0,0,0
"9",1,0,0,0.25,0,0,0,0.25,0.25,0.25,0
"10",1,0,0,1,0,0,0,0,0,0,0
"11",0,1,0,0,0,0,0,0,0,0,0
"12",1,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.363636363636364,0.272727272727273,0.0909090909090909,0
"13",0,1,0,0,0,0,0,0,0,0,0
"14",0,1,0,0,0,0,0,0,0,0,0
"15",1,0,0,0.15,0.2,0.15,0,0.4,0.05,0.05,0
"16",0,1,0,0,0,0,0,0,0,0,0
"17",1,0,0,0,0.25,0.25,0,0,0.25,0.25,0
"18",1,0,0,0.25,0,0.25,0,0.25,0.25,0,0
"19",0,1,0,0,0,0,0,0,0,0,0
"20",1,0,0,1,0,0,0,0,0,0,0
"21",1,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0
"22",0,1,0,0,0,0,0,0,0,0,0
"23",1,0,0,0,0.25,0,0.25,0,0,0.5,0
"24",1,0,0,0.4,0,0,0,0.6,0,0,0
"25",1,0,0,0,0,0,0,0,0,1,0
"26",1,0,0,0.272727272727273,0,0.0909090909090909,0,0.272727272727273,0.272727272727273,0.0909090909090909,0
"27",1,0,0,0,0,0.5,0,0,0.5,0,0
"28",0,1,0,0,0,0,0,0,0,0,0
"29",0,1,0,0,0,0,0,0,0,0,0
"30",0,1,0,0,0,0,0,0,0,0,0
"31",1,0,0.117647058823529,0.176470588235294,0.176470588235294,0.0588235294117647,0.0588235294117647,0.117647058823529,0.0882352941176471,0.205882352941176,0
"32",1,0,0,0,1,0,0,0,0,0,0
"33",1,0,0,0,0.25,0,0.25,0,0.25,0.25,0
"34",1,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0.5,0,0,0
"35",1,0,0,0.263157894736842,0.105263157894737,0.105263157894737,0.0526315789473684,0.157894736842105,0.157894736842105,0.157894736842105,0
"36",1,0,0,0.333333333333333,0.19047619047619,0.0476190476190476,0,0.333333333333333,0,0.0952380952380952,0
"37",1,0,0,0.5,0,0,0,0.5,0,0,0
"38",0,1,0,0,0,0,0,0,0,0,0
"39",1,0,0,0,0.4,0,0.2,0,0,0.4,0
"40",1,0,0,0,0,1,0,0,0,0,0
"41",1,0,0,0.8,0,0,0,0.2,0,0,0
"42",1,0,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0
"43",0,1,0,0,0,0,0,0,0,0,0
"44",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0
"45",1,0,0,0,0.5,0,0,0,0,0.5,0
