"","Loop_number","No_loop","Loop"
"1",11,0,1
"2",5,0,1
"3",8,0,1
"4",4,0,1
"5",15,0,1
"6",10,0,1
"7",6,0,1
"8",36,0,1
"9",7,0,1
"10",7,0,1
"11",7,0,1
"12",10,0,1
"13",43,0,1
"14",38,0,1
"15",26,0,1
"16",10,0,1
"17",21,0,1
"18",6,0,1
"19",17,0,1
"20",7,0,1
"21",8,0,1
"22",23,0,1
"23",20,0,1
"24",29,0,1
"25",56,0,1
"26",0,0,1
"27",10,0,1
"28",28,0,1
"29",6,0,1
"30",43,0,1
"31",0,0,1
"32",27,0,1
"33",42,0,1
"34",39,0,1
"35",19,0,1
"36",4,0,1
"37",10,0,1
"38",33,0,1
"39",5,0,1
"40",13,0,1
"41",34,0,1
"42",10,0,1
"43",16,0,1
"44",12,0,1
"45",9,0,1
"46",0,0,1
"47",11,0,1
"48",3,0,1
"49",7,0,1
"50",14,0,1
"51",9,0,1
"52",5,0,1
"53",8,0,1
"54",24,0,1
"55",25,0,1
"56",1,0,1
"57",1,0,1
"58",2,0,1
"59",29,0,1
"60",24,0,1
"61",13,0,1
"62",4,0,1
"63",4,0,1
"64",11,0,1
"65",17,0,1
"66",11,0,1
"67",15,0,1
"68",35,0,1
"69",1,0,1
"70",6,0,1
"71",11,0,1
"72",9,0,1
"73",7,0,1
"74",14,0,1
"75",7,0,1
"76",0,0,1
"77",4,0,1
"78",6,0,1
"79",6,0,1
"80",12,0,1
"81",17,0,1
"82",3,0,1
"83",18,0,1
"84",5,0,1
"85",2,0,1
"86",48,0,1
"87",13,0,1
"88",10,0,1
"89",8,0,1
"90",10,0,1
"91",3,0,1
"92",8,0,1
"93",36,0,1
"94",7,0,1
"95",5,0,1
"96",7,0,1
"97",35,0,1
"98",2,0,1
"99",2,0,1
"100",21,0,1
"101",11,0,1
"102",18,0,1
"103",1,0,1
"104",2,0,1
"105",5,0,1
"106",6,0,1
"107",23,0,1
"108",48,0,1
"109",13,0,1
"110",11,0,1
"111",8,0,1
"112",19,0,1
"113",9,0,1
"114",19,0,1
"115",17,0,1
"116",6,0,1
"117",9,0,1
"118",0,0,1
"119",15,0,1
"120",7,0,1
"121",4,0,1
"122",12,0,1
"123",13,0,1
"124",14,0,1
"125",19,0,1
"126",2,0,1
"127",4,0,1
"128",17,0,1
"129",10,0,1
"130",1,0,1
"131",7,0,1
"132",3,0,1
"133",0,0,1
"134",12,0,1
"135",7,0,1
"136",13,0,1
"137",7,0,1
"138",7,0,1
"139",7,0,1
"140",2,0,1
"141",22,0,1
"142",53,0,1
"143",2,0,1
"144",16,0,1
"145",51,0,1
"146",6,0,1
"147",19,0,1
"148",7,0,1
"149",12,0,1
"150",3,0,1
"151",24,0,1
"152",11,0,1
"153",30,0,1
"154",15,0,1
"155",1,0,1
"156",2,0,1
"157",11,0,1
"158",0,0,1
"159",1,0,1
"160",0,0,1
"161",0,0,1
"162",9,0,1
"163",18,0,1
"164",17,0,1
"165",3,0,1
"166",5,0,1
"167",1,0,1
"168",37,0,1
"169",0,0,1
"170",12,0,1
"171",4,0,1
"172",6,0,1
"173",4,0,1
"174",0,0,1
"175",6,0,1
"176",11,0,1
"177",4,0,1
"178",9,0,1
"179",30,0,1
"180",6,0,1
"181",28,0,1
"182",4,0,1
"183",5,0,1
"184",6,0,1
"185",10,0,1
"186",0,0,1
"187",28,0,1
"188",4,0,1
"189",33,0,1
"190",8,0,1
"191",7,0,1
"192",5,0,1
"193",16,0,1
"194",39,0,1
"195",9,0,1
"196",9,0,1
"197",2,0,1
"198",10,0,1
"199",3,0,1
"200",0,0,1
"201",10,0,1
"202",2,0,1
"203",12,0,1
"204",14,0,1
"205",0,0,1
"206",1,0,1
"207",1,0,1
"208",4,0,1
"209",3,0,1
"210",2,0,1
"211",6,0,1
"212",11,0,1
"213",1,0,1
"214",21,0,1
"215",25,0,1
"216",5,0,1
"217",18,0,1
"218",0,0,1
"219",8,0,1
"220",12,0,1
"221",2,0,1
"222",6,0,1
"223",7,0,1
"224",45,0,1
"225",2,0,1
"226",5,0,1
"227",10,0,1
"228",2,0,1
"229",11,0,1
"230",1,0,1
"231",7,0,1
"232",20,0,1
"233",8,0,1
"234",0,0,1
"235",14,0,1
"236",0,0,1
"237",0,0,1
"238",14,0,1
"239",4,0,1
"240",10,0,1
"241",13,0,1
"242",4,0,1
"243",3,0,1
"244",11,0,1
"245",0,0,1
"246",45,0,1
"247",9,0,1
"248",2,0,1
"249",6,0,1
"250",4,0,1
"251",3,0,1
"252",17,0,1
"253",4,0,1
"254",18,0,1
"255",9,0,1
"256",0,0,1
"257",11,0,1
"258",8,0,1
"259",12,0,1
"260",24,0,1
"261",7,0,1
"262",13,0,1
"263",0,0,1
"264",12,0,1
"265",22,0,1
"266",1,0,1
"267",1,0,1
"268",8,0,1
"269",0,0,1
"270",1,0,1
"271",2,0,1
"272",38,0,1
"273",9,0,1
"274",5,0,1
"275",15,0,1
"276",12,0,1
"277",2,0,1
"278",8,0,1
"279",10,0,1
"280",26,0,1
"281",14,0,1
"282",17,0,1
"283",2,0,1
"284",6,0,1
"285",18,0,1
"286",10,0,1
"287",4,0,1
"288",2,0,1
"289",16,0,1
"290",0,0,1
"291",14,0,1
"292",3,0,1
"293",2,0,1
"294",3,0,1
"295",1,0,1
"296",18,0,1
"297",49,0,1
"298",24,0,1
"299",2,0,1
"300",5,0,1
