"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",9,0,1
"3",3,0,1
"4",13,0,1
"5",1,0,1
"6",1,0,1
"7",3,0,1
"8",0,0,1
"9",2,0,1
"10",3,0,1
"11",3,0,1
"12",1,0,1
"13",4,0,1
"14",3,0,1
"15",3,0,1
"16",3,0,1
"17",0,0,1
"18",6,0,1
"19",11,0,1
"20",2,0,1
"21",2,0,1
"22",3,0,1
"23",1,0,1
"24",1,0,1
"25",1,0,1
"26",1,0,1
"27",0,0,1
"28",0,0,1
"29",3,0,1
"30",0,0,1
"31",1,0,1
"32",0,0,1
"33",5,0,1
"34",8,0,1
"35",0,0,1
"36",3,0,1
"37",0,0,1
"38",1,0,1
"39",1,0,1
"40",0,0,1
"41",0,0,1
"42",2,0,1
"43",0,0,1
"44",2,0,1
"45",0,0,1
"46",0,0,1
"47",0,0,1
"48",15,0,1
"49",18,0,1
"50",1,0,1
"51",4,0,1
"52",6,0,1
"53",3,0,1
"54",0,0,1
"55",2,0,1
"56",3,0,1
"57",5,0,1
"58",4,0,1
"59",2,0,1
"60",0,0,1
"61",3,0,1
"62",0,0,1
"63",13,0,1
"64",12,0,1
"65",3,0,1
"66",3,0,1
"67",3,0,1
"68",2,0,1
"69",3,0,1
"70",3,0,1
"71",3,0,1
"72",1,0,1
"73",1,0,1
"74",3,0,1
"75",3,0,1
"76",3,0,1
"77",2,0,1
"78",4,0,1
"79",1,0,1
"80",0,0,1
"81",3,0,1
"82",8,0,1
"83",3,0,1
"84",3,0,1
"85",3,0,1
"86",1,0,1
"87",3,0,1
"88",1,0,1
"89",2,0,1
"90",1,0,1
"91",1,0,1
"92",3,0,1
"93",2,0,1
"94",2,0,1
"95",2,0,1
"96",0,0,1
"97",20,0,1
"98",28,0,1
"99",15,0,1
"100",5,0,1
"101",2,0,1
"102",3,0,1
"103",0,0,1
"104",3,0,1
"105",5,0,1
"106",0,0,1
"107",6,0,1
"108",0,0,1
"109",2,0,1
"110",1,0,1
"111",3,0,1
"112",0,0,1
"113",15,0,1
"114",0,0,1
"115",0,0,1
"116",4,0,1
"117",2,0,1
"118",0,0,1
"119",0,0,1
"120",2,0,1
"121",0,0,1
"122",5,0,1
"123",0,0,1
"124",2,0,1
"125",1,0,1
"126",0,0,1
"127",12,0,1
"128",26,0,1
"129",5,0,1
"130",6,0,1
"131",2,0,1
"132",6,0,1
"133",4,0,1
"134",1,0,1
"135",1,0,1
"136",1,0,1
"137",6,0,1
"138",6,0,1
"139",0,0,1
"140",2,0,1
"141",0,0,1
"142",7,0,1
"143",12,0,1
"144",4,0,1
"145",2,0,1
"146",5,0,1
"147",5,0,1
"148",4,0,1
"149",4,0,1
"150",2,0,1
"151",0,0,1
"152",1,0,1
"153",1,0,1
"154",1,0,1
"155",5,0,1
"156",0,0,1
"157",11,0,1
"158",12,0,1
"159",0,0,1
"160",3,0,1
"161",2,0,1
"162",1,0,1
"163",1,0,1
"164",0,0,1
"165",1,0,1
"166",3,0,1
"167",4,0,1
"168",6,0,1
"169",4,0,1
"170",0,0,1
"171",0,0,1
"172",23,0,1
"173",19,0,1
"174",1,0,1
"175",0,0,1
"176",1,0,1
"177",1,0,1
"178",3,0,1
"179",4,0,1
"180",3,0,1
"181",5,0,1
"182",0,0,1
"183",3,0,1
"184",3,0,1
"185",0,0,1
"186",0,0,1
"187",1,0,1
"188",0,0,1
"189",0,0,1
"190",1,0,1
"191",0,0,1
"192",0,0,1
"193",0,0,1
"194",0,0,1
"195",0,0,1
"196",0,0,1
"197",0,0,1
"198",0,0,1
"199",0,0,1
"200",0,0,1
"201",0,0,1
"202",12,0,1
"203",12,0,1
"204",6,0,1
"205",1,0,1
"206",6,0,1
"207",1,0,1
"208",1,0,1
"209",0,0,1
"210",2,0,1
"211",5,0,1
"212",1,0,1
"213",0,0,1
"214",1,0,1
"215",3,0,1
"216",3,0,1
"217",0,0,1
"218",7,0,1
"219",19,0,1
"220",4,0,1
"221",3,0,1
"222",3,0,1
"223",1,0,1
"224",4,0,1
"225",1,0,1
"226",3,0,1
"227",1,0,1
"228",2,0,1
"229",3,0,1
"230",0,0,1
"231",4,0,1
"232",0,0,1
"233",16,0,1
"234",0,0,1
"235",0,0,1
"236",1,0,1
"237",1,0,1
"238",0,0,1
"239",1,0,1
"240",0,0,1
"241",0,0,1
"242",1,0,1
"243",0,0,1
"244",0,0,1
"245",0,0,1
"246",0,0,1
"247",9,0,1
"248",13,0,1
"249",16,0,1
"250",6,0,1
"251",8,0,1
"252",5,0,1
"253",2,0,1
"254",10,0,1
"255",0,0,1
"256",2,0,1
"257",8,0,1
"258",8,0,1
"259",1,0,1
"260",7,0,1
"261",0,0,1
"262",0,0,1
"263",0,0,1
"264",0,0,1
"265",0,0,1
"266",1,0,1
"267",0,0,1
"268",0,0,1
"269",1,0,1
"270",0,0,1
"271",0,0,1
"272",1,0,1
"273",0,0,1
"274",0,0,1
"275",1,0,1
"276",1,0,1
"277",0,0,1
"278",9,0,1
"279",1,0,1
"280",0,0,1
"281",1,0,1
"282",1,0,1
"283",0,0,1
"284",1,0,1
"285",1,0,1
"286",1,0,1
"287",0,0,1
"288",1,0,1
"289",1,0,1
"290",2,0,1
"291",0,0,1
"292",0,0,1
"293",13,0,1
"294",1,0,1
"295",4,0,1
"296",1,0,1
"297",1,0,1
"298",0,0,1
"299",1,0,1
"300",4,0,1
"301",0,0,1
"302",2,0,1
"303",0,0,1
"304",1,0,1
"305",2,0,1
"306",0,0,1
"307",12,0,1
"308",31,0,1
"309",3,0,1
"310",3,0,1
"311",0,0,1
"312",1,0,1
"313",3,0,1
"314",5,0,1
"315",7,0,1
"316",4,0,1
"317",2,0,1
"318",5,0,1
"319",2,0,1
"320",5,0,1
"321",0,0,1
"322",1,0,1
"323",12,0,1
"324",7,0,1
"325",5,0,1
"326",1,0,1
"327",1,0,1
"328",1,0,1
"329",3,0,1
"330",4,0,1
"331",0,0,1
"332",4,0,1
"333",2,0,1
"334",3,0,1
"335",2,0,1
"336",3,0,1
"337",0,0,1
"338",15,0,1
"339",38,0,1
"340",3,0,1
"341",3,0,1
"342",7,0,1
"343",8,0,1
"344",8,0,1
"345",4,0,1
"346",8,0,1
"347",2,0,1
"348",2,0,1
"349",6,0,1
"350",2,0,1
"351",7,0,1
"352",0,0,1
"353",0,0,1
"354",10,0,1
"355",17,0,1
"356",7,0,1
"357",4,0,1
"358",0,0,1
"359",5,0,1
"360",2,0,1
"361",8,0,1
"362",7,0,1
"363",1,0,1
"364",1,0,1
"365",3,0,1
"366",9,0,1
"367",7,0,1
"368",0,0,1
"369",5,0,1
"370",0,0,1
"371",0,0,1
"372",0,0,1
"373",0,0,1
"374",0,0,1
"375",0,0,1
"376",0,0,1
"377",0,0,1
"378",0,0,1
"379",0,0,1
"380",1,0,1
"381",0,0,1
"382",0,0,1
"383",20,0,1
"384",10,0,1
"385",2,0,1
"386",3,0,1
"387",1,0,1
"388",4,0,1
"389",4,0,1
"390",0,0,1
"391",2,0,1
"392",2,0,1
"393",1,0,1
"394",0,0,1
"395",1,0,1
"396",1,0,1
"397",1,0,1
"398",0,0,1
"399",15,0,1
"400",23,0,1
"401",7,0,1
"402",2,0,1
"403",4,0,1
"404",0,0,1
"405",0,0,1
"406",0,0,1
"407",4,0,1
"408",2,0,1
"409",0,0,1
"410",6,0,1
"411",0,0,1
"412",0,0,1
"413",0,0,1
"414",4,0,1
"415",1,0,1
"416",2,0,1
"417",0,0,1
"418",0,0,1
"419",0,0,1
"420",0,0,1
"421",0,0,1
"422",0,0,1
"423",2,0,1
"424",1,0,1
"425",1,0,1
"426",0,0,1
"427",0,0,1
"428",17,0,1
"429",0,0,1
"430",3,0,1
"431",0,0,1
"432",0,0,1
"433",0,0,1
"434",0,0,1
"435",0,0,1
"436",0,0,1
"437",2,0,1
"438",2,0,1
"439",0,0,1
"440",2,0,1
"441",0,0,1
"442",0,0,1
"443",9,0,1
"444",13,0,1
"445",1,0,1
"446",5,0,1
"447",2,0,1
"448",3,0,1
"449",5,0,1
"450",5,0,1
"451",2,0,1
"452",3,0,1
"453",7,0,1
"454",5,0,1
"455",0,0,1
"456",1,0,1
"457",0,0,1
"458",17,0,1
"459",2,0,1
"460",5,0,1
"461",0,0,1
"462",3,0,1
"463",0,0,1
"464",0,0,1
"465",0,0,1
"466",1,0,1
"467",3,0,1
"468",5,0,1
"469",7,0,1
"470",4,0,1
"471",0,0,1
"472",4,0,1
"473",17,0,1
"474",10,0,1
"475",0,0,1
"476",0,0,1
"477",1,0,1
"478",0,0,1
"479",1,0,1
"480",0,0,1
"481",1,0,1
"482",1,0,1
"483",0,0,1
"484",2,0,1
"485",0,0,1
"486",0,0,1
"487",0,0,1
"488",26,0,1
"489",2,0,1
"490",12,0,1
"491",3,0,1
"492",5,0,1
"493",3,0,1
"494",3,0,1
"495",3,0,1
"496",5,0,1
"497",5,0,1
"498",4,0,1
"499",5,0,1
"500",6,0,1
"501",1,0,1
"502",4,0,1
"503",0,0,1
"504",4,0,1
"505",1,0,1
"506",0,0,1
"507",0,0,1
"508",5,0,1
"509",0,0,1
"510",0,0,1
"511",1,0,1
"512",5,0,1
"513",5,0,1
"514",2,0,1
"515",5,0,1
"516",1,0,1
"517",0,0,1
"518",0,0,1
"519",16,0,1
"520",11,0,1
"521",14,0,1
"522",1,0,1
"523",0,0,1
"524",0,0,1
"525",1,0,1
"526",6,0,1
"527",0,0,1
"528",7,0,1
"529",6,0,1
"530",4,0,1
"531",0,0,1
"532",5,0,1
"533",3,0,1
"534",0,0,1
"535",34,0,1
"536",4,0,1
"537",7,0,1
"538",12,0,1
"539",7,0,1
"540",11,0,1
"541",5,0,1
"542",4,0,1
"543",9,0,1
"544",6,0,1
"545",7,0,1
"546",1,0,1
"547",2,0,1
"548",1,0,1
"549",4,0,1
"550",0,0,1
"551",0,0,1
"552",18,0,1
"553",14,0,1
"554",23,0,1
"555",2,0,1
"556",6,0,1
"557",3,0,1
"558",7,0,1
"559",3,0,1
"560",2,0,1
"561",2,0,1
"562",6,0,1
"563",3,0,1
"564",1,0,1
"565",2,0,1
"566",4,0,1
"567",0,0,1
"568",32,0,1
"569",25,0,1
"570",21,0,1
"571",4,0,1
"572",5,0,1
"573",6,0,1
"574",1,0,1
"575",2,0,1
"576",4,0,1
"577",3,0,1
"578",0,0,1
"579",6,0,1
"580",7,0,1
"581",5,0,1
"582",1,0,1
"583",0,0,1
"584",5,0,1
"585",12,0,1
"586",35,0,1
"587",1,0,1
"588",5,0,1
"589",1,0,1
"590",3,0,1
"591",6,0,1
"592",1,0,1
"593",1,0,1
"594",4,0,1
"595",5,0,1
"596",6,0,1
"597",3,0,1
"598",4,0,1
"599",7,0,1
"600",0,0,1
"601",4,0,1
"602",0,0,1
"603",1,0,1
"604",1,0,1
"605",0,0,1
"606",0,0,1
"607",1,0,1
"608",1,0,1
"609",0,0,1
"610",0,0,1
"611",1,0,1
"612",0,0,1
"613",0,0,1
"614",0,0,1
"615",22,0,1
"616",16,0,1
"617",1,0,1
"618",6,0,1
"619",5,0,1
"620",4,0,1
"621",5,0,1
"622",0,0,1
"623",5,0,1
"624",1,0,1
"625",4,0,1
"626",4,0,1
"627",1,0,1
"628",0,0,1
"629",0,0,1
"630",0,0,1
"631",22,0,1
"632",4,0,1
"633",20,0,1
"634",1,0,1
"635",4,0,1
"636",6,0,1
"637",4,0,1
"638",4,0,1
"639",3,0,1
"640",2,0,1
"641",7,0,1
"642",4,0,1
"643",1,0,1
"644",0,0,1
"645",1,0,1
"646",0,0,1
"647",36,0,1
"648",16,0,1
"649",43,0,1
"650",0,0,1
"651",3,0,1
"652",5,0,1
"653",4,0,1
"654",1,0,1
"655",0,0,1
"656",4,0,1
"657",0,0,1
"658",0,0,1
"659",7,0,1
"660",1,0,1
"661",10,0,1
"662",0,0,1
"663",1,0,1
"664",0,0,1
"665",0,0,1
"666",0,0,1
"667",0,0,1
"668",0,0,1
"669",0,0,1
"670",1,0,1
"671",0,0,1
"672",0,0,1
"673",0,0,1
"674",0,0,1
"675",0,0,1
"676",11,0,1
"677",2,0,1
"678",2,0,1
"679",2,0,1
"680",2,0,1
"681",4,0,1
"682",4,0,1
"683",2,0,1
"684",0,0,1
"685",1,0,1
"686",0,0,1
"687",2,0,1
