"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",0,0,1
"3",1,0,1
"4",4,0,1
"5",6,0,1
"6",0,0,1
"7",0,0,1
"8",1,0,1
"9",2,0,1
"10",1,0,1
"11",3,0,1
"12",1,0,1
"13",2,0,1
"14",0,0,1
"15",1,0,1
"16",3,0,1
"17",1,0,1
"18",0,0,1
"19",2,0,1
"20",1,0,1
"21",1,0,1
"22",3,0,1
"23",0,0,1
"24",0,0,1
"25",0,0,1
"26",0,0,1
"27",2,0,1
"28",0,0,1
"29",4,0,1
"30",1,0,1
"31",2,0,1
"32",3,0,1
"33",0,0,1
"34",1,0,1
"35",0,0,1
"36",1,0,1
"37",0,0,1
"38",3,0,1
"39",1,0,1
"40",2,0,1
"41",0,0,1
"42",0,0,1
"43",5,0,1
"44",1,0,1
"45",4,0,1
"46",0,0,1
"47",5,0,1
"48",0,0,1
"49",3,0,1
"50",1,0,1
"51",0,0,1
"52",2,0,1
"53",0,0,1
"54",1,0,1
"55",0,0,1
"56",0,0,1
"57",1,0,1
"58",3,0,1
"59",0,0,1
"60",2,0,1
"61",2,0,1
"62",2,0,1
"63",0,0,1
"64",0,0,1
"65",3,0,1
"66",4,0,1
"67",0,0,1
"68",2,0,1
"69",1,0,1
"70",0,0,1
"71",5,0,1
"72",4,0,1
"73",0,0,1
"74",0,0,1
"75",0,0,1
"76",1,0,1
"77",0,0,1
"78",0,0,1
"79",0,0,1
"80",0,0,1
"81",0,0,1
"82",5,0,1
"83",5,0,1
"84",5,0,1
"85",5,0,1
"86",1,0,1
"87",4,0,1
"88",1,0,1
"89",3,0,1
"90",1,0,1
"91",0,0,1
"92",1,0,1
"93",2,0,1
"94",3,0,1
"95",0,0,1
"96",0,0,1
"97",0,0,1
"98",4,0,1
"99",2,0,1
"100",1,0,1
"101",0,0,1
"102",0,0,1
"103",2,0,1
"104",1,0,1
"105",0,0,1
"106",1,0,1
"107",2,0,1
"108",0,0,1
"109",0,0,1
"110",0,0,1
"111",1,0,1
"112",0,0,1
"113",1,0,1
"114",0,0,1
"115",3,0,1
"116",4,0,1
"117",2,0,1
"118",1,0,1
"119",1,0,1
"120",3,0,1
"121",1,0,1
"122",0,0,1
"123",1,0,1
"124",0,0,1
"125",1,0,1
"126",0,0,1
"127",6,0,1
"128",2,0,1
"129",3,0,1
"130",3,0,1
"131",3,0,1
"132",4,0,1
"133",0,0,1
"134",2,0,1
"135",2,0,1
"136",2,0,1
"137",1,0,1
"138",3,0,1
"139",3,0,1
"140",0,0,1
"141",5,0,1
"142",7,0,1
"143",0,0,1
"144",5,0,1
"145",7,0,1
"146",2,0,1
"147",2,0,1
"148",3,0,1
"149",3,0,1
"150",4,0,1
"151",0,0,1
"152",0,0,1
"153",1,0,1
"154",2,0,1
"155",0,0,1
"156",0,0,1
"157",1,0,1
