"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0
"2",1,0,0.25,0.235294117647059,0.0441176470588235,0.102941176470588,0,0,0.0588235294117647,0.0882352941176471,0.176470588235294,0.0441176470588235,0
"3",1,0,1,0,0,0,0,0,0,0,0,0,0
"4",1,0,0.333333333333333,0.444444444444444,0.0740740740740741,0.0185185185185185,0,0,0.0925925925925926,0,0.037037037037037,0,0
"5",0,1,0,0,0,0,0,0,0,0,0,0,0
"6",1,0,0,0,1,0,0,0,0,0,0,0,0
"7",1,0,0.833333333333333,0,0,0,0,0,0.166666666666667,0,0,0,0
"8",0,1,0,0,0,0,0,0,0,0,0,0,0
"9",0,1,0,0,0,0,0,0,0,0,0,0,0
"10",1,0,0,0,0.666666666666667,0,0,0,0,0,0,0.333333333333333,0
"11",1,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0
"12",1,0,0,1,0,0,0,0,0,0,0,0,0
"13",1,0,0.8,0,0,0,0,0,0.2,0,0,0,0
"14",1,0,0,0.5,0.166666666666667,0,0,0,0.166666666666667,0,0.166666666666667,0,0
"15",1,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0
"16",1,0,0,0.5,0,0,0,0,0,0.5,0,0,0
"17",0,1,0,0,0,0,0,0,0,0,0,0,0
"18",1,0,0.35,0.05,0.025,0.025,0.025,0,0.2,0.2,0.125,0,0
"19",1,0,0.285714285714286,0.326530612244898,0.0612244897959184,0.0204081632653061,0,0,0.0816326530612245,0.102040816326531,0.102040816326531,0.0204081632653061,0
"20",0,1,0,0,0,0,0,0,0,0,0,0,0
"21",1,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0
"22",1,0,0.625,0.25,0,0,0,0,0.125,0,0,0,0
"23",1,0,0,0.25,0.5,0,0,0.25,0,0,0,0,0
"24",1,0,1,0,0,0,0,0,0,0,0,0,0
"25",1,0,0,0,0,0,0,0,1,0,0,0,0
"26",1,0,1,0,0,0,0,0,0,0,0,0,0
"27",1,0,0,0,1,0,0,0,0,0,0,0,0
"28",1,0,0,0,1,0,0,0,0,0,0,0,0
"29",1,0,1,0,0,0,0,0,0,0,0,0,0
"30",0,1,0,0,0,0,0,0,0,0,0,0,0
"31",1,0,0,0,1,0,0,0,0,0,0,0,0
"32",0,1,0,0,0,0,0,0,0,0,0,0,0
"33",1,0,0.0666666666666667,0.266666666666667,0.0666666666666667,0.0666666666666667,0,0,0.266666666666667,0,0.266666666666667,0,0
"34",1,0,0.206349206349206,0.507936507936508,0.19047619047619,0.0476190476190476,0,0,0,0,0.0476190476190476,0,0
"35",1,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0.333333333333333,0
"36",1,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0
"37",0,1,0,0,0,0,0,0,0,0,0,0,0
"38",1,0,0,0,1,0,0,0,0,0,0,0,0
"39",1,0,0.5,0,0,0.25,0,0,0.25,0,0,0,0
"40",0,1,0,0,0,0,0,0,0,0,0,0,0
"41",0,1,0,0,0,0,0,0,0,0,0,0,0
"42",1,0,0.5,0,0,0,0,0,0.333333333333333,0.166666666666667,0,0,0
