"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",1,0,0.0476190476190476,0.19047619047619,0,0.0476190476190476,0.142857142857143,0,0.19047619047619,0.19047619047619,0.0952380952380952,0.0952380952380952,0
"2",1,0,0.0909090909090909,0.227272727272727,0,0.136363636363636,0,0,0.272727272727273,0.0454545454545455,0.181818181818182,0.0454545454545455,0
"3",1,0,0.142857142857143,0.285714285714286,0,0,0,0,0.428571428571429,0,0.142857142857143,0,0
"4",0,1,0,0,0,0,0,0,0,0,0,0,0
"5",1,0,0.111111111111111,0.166666666666667,0,0.222222222222222,0.0555555555555556,0,0.277777777777778,0.111111111111111,0.0555555555555556,0,0
"6",1,0,0.2,0,0,0,0.2,0,0.4,0,0.2,0,0
"7",1,0,0,0,0,0,1,0,0,0,0,0,0
"8",1,0,0,0,0,0,0,0,0,0.5,0.5,0,0
"9",0,1,0,0,0,0,0,0,0,0,0,0,0
"10",0,1,0,0,0,0,0,0,0,0,0,0,0
"11",1,0,0.357142857142857,0,0,0.0714285714285714,0,0,0.571428571428571,0,0,0,0
"12",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0,0,0
"13",0,1,0,0,0,0,0,0,0,0,0,0,0
"14",0,1,0,0,0,0,0,0,0,0,0,0,0
"15",0,1,0,0,0,0,0,0,0,0,0,0,0
"16",0,1,0,0,0,0,0,0,0,0,0,0,0
"17",0,1,0,0,0,0,0,0,0,0,0,0,0
"18",1,0,0,0.357142857142857,0.357142857142857,0,0,0,0,0.0714285714285714,0,0.214285714285714,0
"19",1,0,0.0769230769230769,0.307692307692308,0,0,0.153846153846154,0,0.0769230769230769,0.153846153846154,0.230769230769231,0,0
"20",1,0,0.0909090909090909,0.363636363636364,0,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.272727272727273,0,0
"21",0,1,0,0,0,0,0,0,0,0,0,0,0
"22",1,0,0,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.294117647058824,0.117647058823529,0.0588235294117647,0.235294117647059,0.117647058823529,0,0
"23",1,0,0,0,0,0,0,0,1,0,0,0,0
"24",1,0,0.4,0,0,0.4,0,0,0.2,0,0,0,0
"25",0,1,0,0,0,0,0,0,0,0,0,0,0
"26",0,1,0,0,0,0,0,0,0,0,0,0,0
"27",1,0,0,0.285714285714286,0.142857142857143,0,0.142857142857143,0,0,0.142857142857143,0.285714285714286,0,0
"28",1,0,0,0.285714285714286,0,0.142857142857143,0,0,0.285714285714286,0.142857142857143,0.142857142857143,0,0
"29",0,1,0,0,0,0,0,0,0,0,0,0,0
"30",1,0,0,0.5,0.25,0,0.25,0,0,0,0,0,0
"31",1,0,0.142857142857143,0,0,0.142857142857143,0,0,0.571428571428571,0.142857142857143,0,0,0
"32",0,1,0,0,0,0,0,0,0,0,0,0,0
"33",1,0,0.1,0.2,0,0.2,0,0,0,0,0.4,0.1,0
"34",1,0,0.111111111111111,0.277777777777778,0,0.0555555555555556,0.0555555555555556,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0
"35",0,1,0,0,0,0,0,0,0,0,0,0,0
"36",1,0,0,0,0,0,0,0,0,0,1,0,0
"37",0,1,0,0,0,0,0,0,0,0,0,0,0
"38",1,0,0.111111111111111,0,0,0.333333333333333,0,0,0.555555555555556,0,0,0,0
"39",0,1,0,0,0,0,0,0,0,0,0,0,0
"40",1,0,0,0,0,0,0,0,0,1,0,0,0
"41",0,1,0,0,0,0,0,0,0,0,0,0,0
"42",1,0,0,0,0,0,1,0,0,0,0,0,0
"43",0,1,0,0,0,0,0,0,0,0,0,0,0
"44",1,0,0.5,0,0,0.5,0,0,0,0,0,0,0
"45",1,0,0,0.142857142857143,0.857142857142857,0,0,0,0,0,0,0,0
"46",1,0,0.169811320754717,0.150943396226415,0,0.0377358490566038,0.113207547169811,0,0.150943396226415,0.226415094339623,0.113207547169811,0.0377358490566038,0
"47",1,0,0,0.25,0,0,0,0,0,0.25,0.5,0,0
"48",0,1,0,0,0,0,0,0,0,0,0,0,0
"49",1,0,0,1,0,0,0,0,0,0,0,0,0
"50",0,1,0,0,0,0,0,0,0,0,0,0,0
"51",0,1,0,0,0,0,0,0,0,0,0,0,0
"52",0,1,0,0,0,0,0,0,0,0,0,0,0
"53",1,0,0,0.19047619047619,0,0.0476190476190476,0.0476190476190476,0,0.476190476190476,0.0952380952380952,0.142857142857143,0,0
"54",1,0,0,0,0,0,0,0,0,0,0,1,0
"55",1,0,0,0,0,0,1,0,0,0,0,0,0
"56",1,0,0.35,0,0,0.1,0,0,0.55,0,0,0,0
"57",1,0,0.2,0,0,0.2,0,0,0.6,0,0,0,0
"58",1,0,0.266666666666667,0,0,0.133333333333333,0,0,0,0.2,0.4,0,0
"59",1,0,0.428571428571429,0,0,0.142857142857143,0,0,0.428571428571429,0,0,0,0
"60",0,1,0,0,0,0,0,0,0,0,0,0,0
"61",1,0,0,0.142857142857143,0,0,0.142857142857143,0,0,0.428571428571429,0.285714285714286,0,0
"62",1,0,0.0434782608695652,0.130434782608696,0.0652173913043478,0.152173913043478,0.195652173913043,0.0217391304347826,0.195652173913043,0.130434782608696,0.0434782608695652,0.0217391304347826,0
"63",0,1,0,0,0,0,0,0,0,0,0,0,0
"64",0,1,0,0,0,0,0,0,0,0,0,0,0
"65",0,1,0,0,0,0,0,0,0,0,0,0,0
"66",1,0,0.04,0.24,0.08,0.08,0.08,0,0.12,0.04,0.28,0.04,0
"67",0,1,0,0,0,0,0,0,0,0,0,0,0
"68",1,0,0,0,1,0,0,0,0,0,0,0,0
"69",0,1,0,0,0,0,0,0,0,0,0,0,0
"70",0,1,0,0,0,0,0,0,0,0,0,0,0
"71",0,1,0,0,0,0,0,0,0,0,0,0,0
"72",1,0,0,0,0,0,0,0,1,0,0,0,0
"73",0,1,0,0,0,0,0,0,0,0,0,0,0
"74",1,0,0,0,0,0,0,0,1,0,0,0,0
"75",0,1,0,0,0,0,0,0,0,0,0,0,0
"76",0,1,0,0,0,0,0,0,0,0,0,0,0
"77",0,1,0,0,0,0,0,0,0,0,0,0,0
"78",1,0,0,1,0,0,0,0,0,0,0,0,0
"79",0,1,0,0,0,0,0,0,0,0,0,0,0
"80",0,1,0,0,0,0,0,0,0,0,0,0,0
"81",0,1,0,0,0,0,0,0,0,0,0,0,0
"82",0,1,0,0,0,0,0,0,0,0,0,0,0
"83",0,1,0,0,0,0,0,0,0,0,0,0,0
"84",1,0,0.1,0,0,0.2,0.2,0,0.4,0.1,0,0,0
"85",1,0,0,1,0,0,0,0,0,0,0,0,0
"86",0,1,0,0,0,0,0,0,0,0,0,0,0
"87",1,0,0,0.5,0,0,0,0,0,0,0.5,0,0
"88",1,0,0,0.5,0,0,0,0,0,0,0.5,0,0
"89",1,0,0.25,0,0,0.25,0,0,0.5,0,0,0,0
"90",0,1,0,0,0,0,0,0,0,0,0,0,0
"91",1,0,0.125,0.3125,0.09375,0,0.03125,0,0.09375,0.15625,0.125,0.0625,0
"92",1,0,0.0333333333333333,0.133333333333333,0.1,0.0333333333333333,0.1,0,0.1,0.133333333333333,0.233333333333333,0.133333333333333,0
"93",1,0,1,0,0,0,0,0,0,0,0,0,0
"94",1,0,0,0,0,1,0,0,0,0,0,0,0
"95",1,0,0.25,0.5,0,0,0,0,0,0,0.25,0,0
"96",1,0,0.0625,0.1875,0.25,0,0,0.0625,0,0.1875,0,0.25,0
"97",0,1,0,0,0,0,0,0,0,0,0,0,0
"98",0,1,0,0,0,0,0,0,0,0,0,0,0
"99",0,1,0,0,0,0,0,0,0,0,0,0,0
"100",1,0,0,0.5,0,0,0,0,0,0,0.5,0,0
"101",1,0,0,0.25,0.0625,0,0.0625,0.125,0,0.0625,0.125,0.3125,0
"102",1,0,0.101449275362319,0.239130434782609,0.0797101449275362,0,0.0579710144927536,0.0652173913043478,0.0507246376811594,0.246376811594203,0.0507246376811594,0.108695652173913,0
"103",1,0,0.0883116883116883,0.138961038961039,0.0363636363636364,0.115584415584416,0.11948051948052,0.0220779220779221,0.218181818181818,0.0922077922077922,0.133766233766234,0.0350649350649351,0
"104",1,0,0,0,0.230769230769231,0,0,0.153846153846154,0,0,0,0.615384615384615,0
"105",1,0,0,0.2,0.2,0,0.0909090909090909,0.0909090909090909,0,0.127272727272727,0.0909090909090909,0.2,0
"106",0,1,0,0,0,0,0,0,0,0,0,0,0
"107",1,0,0,0,1,0,0,0,0,0,0,0,0
"108",1,0,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0
"109",1,0,0.1,0.3,0,0,0,0,0.3,0.1,0.1,0.1,0
"110",1,0,0.333333333333333,0,0,0.111111111111111,0,0,0.555555555555556,0,0,0,0
"111",1,0,0,0,0,0,0,0,1,0,0,0,0
"112",0,1,0,0,0,0,0,0,0,0,0,0,0
"113",0,1,0,0,0,0,0,0,0,0,0,0,0
"114",0,1,0,0,0,0,0,0,0,0,0,0,0
"115",0,1,0,0,0,0,0,0,0,0,0,0,0
"116",1,0,0.5,0,0,0,0,0,0,0,0.5,0,0
"117",0,1,0,0,0,0,0,0,0,0,0,0,0
"118",0,1,0,0,0,0,0,0,0,0,0,0,0
"119",0,1,0,0,0,0,0,0,0,0,0,0,0
"120",0,1,0,0,0,0,0,0,0,0,0,0,0
"121",0,1,0,0,0,0,0,0,0,0,0,0,0
"122",1,0,0,0,0,0,1,0,0,0,0,0,0
"123",0,1,0,0,0,0,0,0,0,0,0,0,0
"124",0,1,0,0,0,0,0,0,0,0,0,0,0
"125",0,1,0,0,0,0,0,0,0,0,0,0,0
"126",0,1,0,0,0,0,0,0,0,0,0,0,0
"127",0,1,0,0,0,0,0,0,0,0,0,0,0
"128",1,0,0.2,0.2,0,0.2,0,0,0,0,0.4,0,0
"129",0,1,0,0,0,0,0,0,0,0,0,0,0
"130",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0
"131",1,0,0,0,0,0,0,0,1,0,0,0,0
"132",0,1,0,0,0,0,0,0,0,0,0,0,0
"133",0,1,0,0,0,0,0,0,0,0,0,0,0
"134",0,1,0,0,0,0,0,0,0,0,0,0,0
"135",1,0,0.2,0,0,0.2,0.4,0,0,0,0.2,0,0
"136",0,1,0,0,0,0,0,0,0,0,0,0,0
"137",0,1,0,0,0,0,0,0,0,0,0,0,0
"138",0,1,0,0,0,0,0,0,0,0,0,0,0
"139",1,0,0,1,0,0,0,0,0,0,0,0,0
"140",0,1,0,0,0,0,0,0,0,0,0,0,0
"141",0,1,0,0,0,0,0,0,0,0,0,0,0
"142",0,1,0,0,0,0,0,0,0,0,0,0,0
"143",0,1,0,0,0,0,0,0,0,0,0,0,0
"144",0,1,0,0,0,0,0,0,0,0,0,0,0
"145",0,1,0,0,0,0,0,0,0,0,0,0,0
"146",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"147",0,1,0,0,0,0,0,0,0,0,0,0,0
"148",0,1,0,0,0,0,0,0,0,0,0,0,0
"149",0,1,0,0,0,0,0,0,0,0,0,0,0
"150",0,1,0,0,0,0,0,0,0,0,0,0,0
"151",0,1,0,0,0,0,0,0,0,0,0,0,0
"152",0,1,0,0,0,0,0,0,0,0,0,0,0
"153",0,1,0,0,0,0,0,0,0,0,0,0,0
"154",0,1,0,0,0,0,0,0,0,0,0,0,0
"155",0,1,0,0,0,0,0,0,0,0,0,0,0
"156",0,1,0,0,0,0,0,0,0,0,0,0,0
"157",0,1,0,0,0,0,0,0,0,0,0,0,0
"158",0,1,0,0,0,0,0,0,0,0,0,0,0
"159",0,1,0,0,0,0,0,0,0,0,0,0,0
"160",0,1,0,0,0,0,0,0,0,0,0,0,0
"161",0,1,0,0,0,0,0,0,0,0,0,0,0
"162",0,1,0,0,0,0,0,0,0,0,0,0,0
"163",1,0,0.0476190476190476,0.238095238095238,0.142857142857143,0.0952380952380952,0.0476190476190476,0,0.0952380952380952,0,0.333333333333333,0,0
"164",1,0,0.0595238095238095,0.214285714285714,0.154761904761905,0,0.0595238095238095,0.0119047619047619,0.0952380952380952,0.119047619047619,0.119047619047619,0.166666666666667,0
"165",1,0,0,0,1,0,0,0,0,0,0,0,0
"166",0,1,0,0,0,0,0,0,0,0,0,0,0
"167",0,1,0,0,0,0,0,0,0,0,0,0,0
"168",0,1,0,0,0,0,0,0,0,0,0,0,0
"169",0,1,0,0,0,0,0,0,0,0,0,0,0
"170",1,0,0.2,0.2,0,0,0,0,0.4,0,0.2,0,0
"171",0,1,0,0,0,0,0,0,0,0,0,0,0
"172",1,0,0,0.5,0.166666666666667,0,0.166666666666667,0,0,0,0.166666666666667,0,0
"173",0,1,0,0,0,0,0,0,0,0,0,0,0
"174",1,0,0.230769230769231,0.230769230769231,0,0.0769230769230769,0,0,0.230769230769231,0,0.230769230769231,0,0
"175",1,0,0,0.2,0,0.2,0,0,0,0,0.6,0,0
"176",0,1,0,0,0,0,0,0,0,0,0,0,0
"177",0,1,0,0,0,0,0,0,0,0,0,0,0
"178",1,0,0,0,0,0.25,0.25,0,0.25,0.25,0,0,0
"179",0,1,0,0,0,0,0,0,0,0,0,0,0
"180",0,1,0,0,0,0,0,0,0,0,0,0,0
"181",0,1,0,0,0,0,0,0,0,0,0,0,0
"182",0,1,0,0,0,0,0,0,0,0,0,0,0
"183",1,0,0.166666666666667,0,0,0,0,0,0.5,0.333333333333333,0,0,0
"184",1,0,0.285714285714286,0,0,0,0,0,0.714285714285714,0,0,0,0
"185",0,1,0,0,0,0,0,0,0,0,0,0,0
"186",0,1,0,0,0,0,0,0,0,0,0,0,0
"187",0,1,0,0,0,0,0,0,0,0,0,0,0
"188",1,0,0,0,0,0,0,0,0,1,0,0,0
"189",0,1,0,0,0,0,0,0,0,0,0,0,0
"190",1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"191",1,0,1,0,0,0,0,0,0,0,0,0,0
"192",0,1,0,0,0,0,0,0,0,0,0,0,0
"193",0,1,0,0,0,0,0,0,0,0,0,0,0
"194",0,1,0,0,0,0,0,0,0,0,0,0,0
"195",0,1,0,0,0,0,0,0,0,0,0,0,0
"196",0,1,0,0,0,0,0,0,0,0,0,0,0
"197",0,1,0,0,0,0,0,0,0,0,0,0,0
"198",0,1,0,0,0,0,0,0,0,0,0,0,0
"199",0,1,0,0,0,0,0,0,0,0,0,0,0
"200",0,1,0,0,0,0,0,0,0,0,0,0,0
"201",0,1,0,0,0,0,0,0,0,0,0,0,0
"202",0,1,0,0,0,0,0,0,0,0,0,0,0
"203",0,1,0,0,0,0,0,0,0,0,0,0,0
"204",0,1,0,0,0,0,0,0,0,0,0,0,0
"205",0,1,0,0,0,0,0,0,0,0,0,0,0
"206",0,1,0,0,0,0,0,0,0,0,0,0,0
"207",0,1,0,0,0,0,0,0,0,0,0,0,0
"208",0,1,0,0,0,0,0,0,0,0,0,0,0
"209",0,1,0,0,0,0,0,0,0,0,0,0,0
"210",1,0,0,1,0,0,0,0,0,0,0,0,0
"211",0,1,0,0,0,0,0,0,0,0,0,0,0
"212",1,0,0.1,0.2,0,0,0.1,0,0.2,0.2,0.1,0.1,0
"213",1,0,0,0.375,0.125,0,0,0,0,0.25,0,0.25,0
"214",1,0,0,1,0,0,0,0,0,0,0,0,0
"215",0,1,0,0,0,0,0,0,0,0,0,0,0
"216",0,1,0,0,0,0,0,0,0,0,0,0,0
"217",0,1,0,0,0,0,0,0,0,0,0,0,0
"218",0,1,0,0,0,0,0,0,0,0,0,0,0
"219",0,1,0,0,0,0,0,0,0,0,0,0,0
"220",1,0,0.6,0,0,0,0,0,0.4,0,0,0,0
"221",1,0,0.163636363636364,0.181818181818182,0.0545454545454545,0.0181818181818182,0.0545454545454545,0.0181818181818182,0.218181818181818,0.163636363636364,0.0727272727272727,0.0545454545454545,0
"222",1,0,0.2,0.3,0.06,0.02,0.02,0,0.22,0,0.14,0.04,0
"223",0,1,0,0,0,0,0,0,0,0,0,0,0
"224",1,0,0,0,1,0,0,0,0,0,0,0,0
"225",0,1,0,0,0,0,0,0,0,0,0,0,0
"226",0,1,0,0,0,0,0,0,0,0,0,0,0
"227",1,0,0,0,0,0,0,0,0,1,0,0,0
"228",1,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0,0,0.555555555555556,0.111111111111111,0,0,0
"229",0,1,0,0,0,0,0,0,0,0,0,0,0
"230",1,0,0.416666666666667,0,0,0,0,0,0.583333333333333,0,0,0,0
"231",1,0,0,0,0,0,0,0,0,0,1,0,0
"232",1,0,0.178571428571429,0,0,0.142857142857143,0,0,0.607142857142857,0,0.0714285714285714,0,0
"233",1,0,0.181818181818182,0.0909090909090909,0,0,0,0,0.0909090909090909,0.363636363636364,0.272727272727273,0,0
"234",1,0,0.125,0.15,0.1,0.1,0.075,0,0.2,0.025,0.2,0.025,0
"235",0,1,0,0,0,0,0,0,0,0,0,0,0
"236",0,1,0,0,0,0,0,0,0,0,0,0,0
"237",1,0,0,0,0,0,0,0,1,0,0,0,0
"238",1,0,0,0,0,0,0,0,0,0,1,0,0
"239",0,1,0,0,0,0,0,0,0,0,0,0,0
"240",0,1,0,0,0,0,0,0,0,0,0,0,0
"241",1,0,0,0.222222222222222,0,0,0,0.111111111111111,0,0.555555555555556,0,0.111111111111111,0
"242",1,0,0.125,0.3125,0.0625,0.0625,0.0625,0,0.09375,0.09375,0.125,0.0625,0
"243",1,0,0.2,0,0,0.2,0.4,0,0.2,0,0,0,0
"244",1,0,0.35,0.2,0,0.2,0,0,0.1,0.05,0.1,0,0
"245",1,0,0.1,0.4,0,0,0.1,0,0,0.1,0.1,0.2,0
"246",1,0,0.113636363636364,0.227272727272727,0.0909090909090909,0.0909090909090909,0.0227272727272727,0.0227272727272727,0.159090909090909,0.0681818181818182,0.113636363636364,0.0909090909090909,0
"247",1,0,0.0515463917525773,0.195876288659794,0.0721649484536082,0.0515463917525773,0.0721649484536082,0,0.154639175257732,0.123711340206186,0.195876288659794,0.0824742268041237,0
"248",0,1,0,0,0,0,0,0,0,0,0,0,0
"249",1,0,0.181818181818182,0.318181818181818,0,0.0909090909090909,0.0454545454545455,0,0.181818181818182,0.0454545454545455,0.136363636363636,0,0
"250",0,1,0,0,0,0,0,0,0,0,0,0,0
"251",0,1,0,0,0,0,0,0,0,0,0,0,0
"252",1,0,0.0909090909090909,0.318181818181818,0,0.0909090909090909,0.0909090909090909,0,0.0454545454545455,0.181818181818182,0.181818181818182,0,0
"253",0,1,0,0,0,0,0,0,0,0,0,0,0
"254",1,0,0,0.428571428571428,0.0714285714285714,0,0.214285714285714,0,0,0.0714285714285714,0.0714285714285714,0.142857142857143,0
"255",1,0,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0
"256",0,1,0,0,0,0,0,0,0,0,0,0,0
"257",1,0,0.2,0.32,0,0.12,0,0,0.24,0,0.12,0,0
"258",1,0,0.3,0.25,0,0,0,0,0.3,0.05,0.1,0,0
"259",0,1,0,0,0,0,0,0,0,0,0,0,0
"260",1,0,0.222222222222222,0.444444444444445,0,0,0,0,0,0.222222222222222,0.111111111111111,0,0
"261",1,0,0,1,0,0,0,0,0,0,0,0,0
"262",1,0,0,0.5,0,0,0,0,0.125,0.125,0.125,0.125,0
"263",0,1,0,0,0,0,0,0,0,0,0,0,0
"264",1,0,0.111111111111111,0.277777777777778,0.166666666666667,0,0,0,0,0.222222222222222,0.111111111111111,0.111111111111111,0
"265",0,1,0,0,0,0,0,0,0,0,0,0,0
"266",0,1,0,0,0,0,0,0,0,0,0,0,0
"267",1,0,0,0,0,0,0,0,0,1,0,0,0
"268",0,1,0,0,0,0,0,0,0,0,0,0,0
"269",1,0,0,0,0,0,0.5,0,0.25,0.25,0,0,0
"270",1,0,0,0,0,0,0,0,0,0,1,0,0
"271",0,1,0,0,0,0,0,0,0,0,0,0,0
"272",0,1,0,0,0,0,0,0,0,0,0,0,0
"273",0,1,0,0,0,0,0,0,0,0,0,0,0
"274",0,1,0,0,0,0,0,0,0,0,0,0,0
"275",1,0,0,0,0,1,0,0,0,0,0,0,0
"276",0,1,0,0,0,0,0,0,0,0,0,0,0
"277",1,0,0.206896551724138,0.103448275862069,0,0.0344827586206897,0.103448275862069,0.0344827586206897,0.275862068965517,0.137931034482759,0.0344827586206897,0.0689655172413793,0
"278",1,0,0.394736842105263,0.131578947368421,0,0.0789473684210526,0.0789473684210526,0,0.263157894736842,0.0526315789473684,0,0,0
"279",1,0,0.09375,0.25,0.0625,0,0.03125,0.03125,0.0625,0.28125,0,0.1875,0
"280",0,1,0,0,0,0,0,0,0,0,0,0,0
"281",0,1,0,0,0,0,0,0,0,0,0,0,0
"282",1,0,0.647058823529412,0,0,0.176470588235294,0,0,0.176470588235294,0,0,0,0
"283",1,0,0,0,1,0,0,0,0,0,0,0,0
"284",0,1,0,0,0,0,0,0,0,0,0,0,0
"285",0,1,0,0,0,0,0,0,0,0,0,0,0
"286",1,0,0.248175182481752,0.204379562043796,0.0145985401459854,0.0510948905109489,0.0291970802919708,0,0.204379562043796,0.109489051094891,0.102189781021898,0.0364963503649635,0
"287",1,0,0.333333333333333,0,0,0.142857142857143,0,0,0.523809523809524,0,0,0,0
"288",1,0,0.111111111111111,0.2,0.0444444444444444,0,0.0888888888888889,0.0222222222222222,0.133333333333333,0.2,0.155555555555556,0.0444444444444444,0
"289",1,0,0,1,0,0,0,0,0,0,0,0,0
"290",0,1,0,0,0,0,0,0,0,0,0,0,0
"291",1,0,0.0588235294117647,0.470588235294118,0.352941176470588,0,0,0,0,0.117647058823529,0,0,0
"292",1,0,0,0,0,0,0,0,0,0,0,1,0
"293",0,1,0,0,0,0,0,0,0,0,0,0,0
"294",1,0,0.4,0,0,0,0,0,0.6,0,0,0,0
"295",0,1,0,0,0,0,0,0,0,0,0,0,0
"296",1,0,0,0.5,0,0,0,0,0,0,0.5,0,0
"297",1,0,0,0.0714285714285714,0,0,0.214285714285714,0.142857142857143,0.214285714285714,0.214285714285714,0.0714285714285714,0.0714285714285714,0
"298",0,1,0,0,0,0,0,0,0,0,0,0,0
"299",0,1,0,0,0,0,0,0,0,0,0,0,0
"300",1,0,0.125,0.25,0.5,0,0,0,0,0,0,0.125,0
"301",1,0,0,0,0.142857142857143,0.0476190476190476,0.19047619047619,0.0476190476190476,0,0,0.285714285714286,0.285714285714286,0
"302",1,0,0.036144578313253,0.120481927710843,0.036144578313253,0.0843373493975904,0.132530120481928,0.0240963855421687,0.168674698795181,0.132530120481928,0.216867469879518,0.0481927710843374,0
"303",0,1,0,0,0,0,0,0,0,0,0,0,0
"304",1,0,0,0.12,0.04,0,0.2,0,0.04,0.24,0.28,0.08,0
"305",0,1,0,0,0,0,0,0,0,0,0,0,0
"306",1,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"307",0,1,0,0,0,0,0,0,0,0,0,0,0
"308",0,1,0,0,0,0,0,0,0,0,0,0,0
"309",0,1,0,0,0,0,0,0,0,0,0,0,0
"310",0,1,0,0,0,0,0,0,0,0,0,0,0
"311",0,1,0,0,0,0,0,0,0,0,0,0,0
"312",0,1,0,0,0,0,0,0,0,0,0,0,0
"313",0,1,0,0,0,0,0,0,0,0,0,0,0
"314",0,1,0,0,0,0,0,0,0,0,0,0,0
"315",0,1,0,0,0,0,0,0,0,0,0,0,0
"316",0,1,0,0,0,0,0,0,0,0,0,0,0
"317",0,1,0,0,0,0,0,0,0,0,0,0,0
"318",0,1,0,0,0,0,0,0,0,0,0,0,0
"319",0,1,0,0,0,0,0,0,0,0,0,0,0
"320",0,1,0,0,0,0,0,0,0,0,0,0,0
"321",0,1,0,0,0,0,0,0,0,0,0,0,0
