"","Loop_number","No_loop","Loop"
"1",2,0,1
"2",41,0,1
"3",33,0,1
"4",0,0,1
"5",16,0,1
"6",9,0,1
"7",20,0,1
"8",7,0,1
"9",2,0,1
"10",0,0,1
"11",14,0,1
"12",4,0,1
"13",0,0,1
"14",0,0,1
"15",0,0,1
"16",0,0,1
"17",5,0,1
"18",0,0,1
"19",1,0,1
"20",3,0,1
"21",0,0,1
"22",2,0,1
"23",6,0,1
"24",0,0,1
"25",1,0,1
"26",0,0,1
"27",2,0,1
"28",2,0,1
"29",6,0,1
"30",14,0,1
"31",9,0,1
"32",0,0,1
"33",4,0,1
"34",9,0,1
"35",0,0,1
"36",1,0,1
"37",0,0,1
"38",16,0,1
"39",4,0,1
"40",5,0,1
"41",1,0,1
"42",3,0,1
"43",3,0,1
"44",9,0,1
"45",16,0,1
"46",32,0,1
"47",5,0,1
"48",0,0,1
"49",0,0,1
"50",2,0,1
"51",6,0,1
"52",0,0,1
"53",1,0,1
"54",0,0,1
"55",0,0,1
"56",0,0,1
"57",1,0,1
"58",2,0,1
"59",0,0,1
"60",0,0,1
"61",1,0,1
"62",5,0,1
"63",0,0,1
"64",0,0,1
"65",3,0,1
"66",18,0,1
"67",1,0,1
"68",0,0,1
"69",0,0,1
"70",0,0,1
"71",1,0,1
"72",2,0,1
"73",0,0,1
"74",1,0,1
"75",0,0,1
"76",0,0,1
"77",0,0,1
"78",0,0,1
"79",0,0,1
"80",0,0,1
"81",6,0,1
"82",0,0,1
"83",0,0,1
"84",4,0,1
"85",0,0,1
"86",2,0,1
"87",1,0,1
"88",0,0,1
"89",3,0,1
"90",0,0,1
"91",8,0,1
"92",3,0,1
"93",4,0,1
"94",10,0,1
"95",0,0,1
"96",5,0,1
"97",1,0,1
"98",1,0,1
"99",4,0,1
"100",0,0,1
"101",4,0,1
"102",15,0,1
"103",13,0,1
"104",4,0,1
"105",1,0,1
"106",0,0,1
"107",5,0,1
"108",0,0,1
"109",6,0,1
"110",1,0,1
"111",0,0,1
"112",0,0,1
"113",0,0,1
"114",0,0,1
"115",0,0,1
"116",3,0,1
"117",0,0,1
"118",0,0,1
"119",2,0,1
"120",0,0,1
"121",3,0,1
"122",4,0,1
"123",1,0,1
"124",4,0,1
"125",0,0,1
"126",8,0,1
"127",5,0,1
"128",2,0,1
"129",10,0,1
"130",24,0,1
"131",5,0,1
"132",1,0,1
"133",0,0,1
"134",0,0,1
"135",2,0,1
"136",1,0,1
"137",0,0,1
"138",0,0,1
"139",14,0,1
"140",0,0,1
"141",5,0,1
"142",0,0,1
"143",0,0,1
"144",0,0,1
"145",3,0,1
"146",4,0,1
"147",0,0,1
"148",0,0,1
"149",1,0,1
