"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",68,0,1
"3",64,0,1
"4",0,0,1
"5",34,0,1
"6",33,0,1
"7",48,0,1
"8",7,0,1
"9",7,0,1
"10",0,0,1
"11",24,0,1
"12",0,0,1
"13",2,0,1
"14",0,0,1
"15",0,0,1
"16",0,0,1
"17",23,0,1
"18",0,0,1
"19",0,0,1
"20",3,0,1
"21",0,0,1
"22",2,0,1
"23",3,0,1
"24",9,0,1
"25",0,0,1
"26",3,0,1
"27",46,0,1
"28",4,0,1
"29",21,0,1
"30",26,0,1
"31",8,0,1
"32",0,0,1
"33",17,0,1
"34",20,0,1
"35",0,0,1
"36",1,0,1
"37",0,0,1
"38",76,0,1
"39",1,0,1
"40",9,0,1
"41",2,0,1
"42",5,0,1
"43",15,0,1
"44",14,0,1
"45",17,0,1
"46",45,0,1
"47",7,0,1
"48",0,0,1
"49",15,0,1
"50",1,0,1
"51",0,0,1
"52",0,0,1
"53",12,0,1
"54",0,0,1
"55",0,0,1
"56",2,0,1
"57",15,0,1
"58",6,0,1
"59",0,0,1
"60",0,0,1
"61",2,0,1
"62",127,0,1
"63",0,0,1
"64",0,0,1
"65",138,0,1
"66",21,0,1
"67",9,0,1
"68",0,0,1
"69",0,0,1
"70",0,0,1
"71",0,0,1
"72",0,0,1
"73",0,0,1
"74",0,0,1
"75",0,0,1
"76",0,0,1
"77",0,0,1
"78",2,0,1
"79",0,0,1
"80",0,0,1
"81",4,0,1
"82",0,0,1
"83",0,0,1
"84",5,0,1
"85",0,0,1
"86",1,0,1
"87",3,0,1
"88",0,0,1
"89",4,0,1
"90",2,0,1
"91",3,0,1
"92",2,0,1
"93",39,0,1
"94",10,0,1
"95",2,0,1
"96",28,0,1
"97",2,0,1
"98",0,0,1
"99",0,0,1
"100",3,0,1
"101",3,0,1
"102",76,0,1
"103",225,0,1
"104",69,0,1
"105",19,0,1
"106",0,0,1
"107",32,0,1
"108",2,0,1
"109",8,0,1
"110",13,0,1
"111",6,0,1
"112",0,0,1
"113",0,0,1
"114",0,0,1
"115",0,0,1
"116",13,0,1
"117",0,0,1
"118",0,0,1
"119",0,0,1
"120",0,0,1
"121",0,0,1
"122",1,0,1
"123",0,0,1
"124",11,0,1
"125",1,0,1
"126",8,0,1
"127",15,0,1
"128",8,0,1
"129",27,0,1
"130",59,0,1
"131",16,0,1
"132",0,0,1
"133",0,0,1
"134",0,0,1
"135",25,0,1
"136",6,0,1
"137",20,0,1
"138",23,0,1
"139",24,0,1
"140",0,0,1
"141",11,0,1
"142",0,0,1
"143",1,0,1
"144",0,0,1
"145",10,0,1
"146",21,0,1
"147",0,0,1
"148",4,0,1
"149",0,0,1
"150",3,0,1
"151",0,0,1
"152",3,0,1
"153",0,0,1
"154",0,0,1
"155",0,0,1
"156",0,0,1
"157",4,0,1
"158",0,0,1
"159",0,0,1
"160",4,0,1
"161",0,0,1
"162",1,0,1
"163",43,0,1
"164",45,0,1
"165",31,0,1
"166",0,0,1
"167",0,0,1
"168",1,0,1
"169",0,0,1
"170",3,0,1
"171",0,0,1
"172",2,0,1
"173",0,0,1
"174",446,0,1
"175",23,0,1
"176",78,0,1
"177",0,0,1
"178",67,0,1
"179",6,0,1
"180",15,0,1
"181",1,0,1
"182",0,0,1
"183",0,0,1
"184",12,0,1
"185",0,0,1
"186",0,0,1
"187",0,0,1
"188",0,0,1
"189",0,0,1
"190",22,0,1
"191",2,0,1
"192",0,0,1
"193",0,0,1
"194",0,0,1
"195",0,0,1
"196",0,0,1
"197",0,0,1
"198",0,0,1
"199",0,0,1
"200",0,0,1
"201",0,0,1
"202",0,0,1
"203",0,0,1
"204",4,0,1
"205",0,0,1
"206",0,0,1
"207",0,0,1
"208",0,0,1
"209",0,0,1
"210",0,0,1
"211",0,0,1
"212",0,0,1
"213",2,0,1
"214",0,0,1
"215",0,0,1
"216",0,0,1
"217",0,0,1
"218",0,0,1
"219",0,0,1
"220",1,0,1
"221",5,0,1
"222",204,0,1
"223",0,0,1
"224",16,0,1
"225",0,0,1
"226",0,0,1
"227",3,0,1
"228",34,0,1
"229",9,0,1
"230",11,0,1
"231",3,0,1
"232",39,0,1
"233",5,0,1
"234",1,0,1
"235",0,0,1
"236",5,0,1
"237",4,0,1
"238",18,0,1
"239",2,0,1
"240",4,0,1
"241",33,0,1
"242",20,0,1
"243",6,0,1
"244",28,0,1
"245",0,0,1
"246",16,0,1
"247",4,0,1
"248",0,0,1
"249",0,0,1
"250",2,0,1
"251",0,0,1
"252",10,0,1
"253",0,0,1
"254",18,0,1
"255",12,0,1
"256",36,0,1
"257",77,0,1
"258",33,0,1
"259",0,0,1
"260",14,0,1
"261",42,0,1
"262",30,0,1
"263",0,0,1
"264",39,0,1
"265",0,0,1
"266",0,0,1
"267",0,0,1
"268",0,0,1
"269",4,0,1
"270",1,0,1
"271",0,0,1
"272",0,0,1
"273",0,0,1
"274",0,0,1
"275",0,0,1
"276",1,0,1
"277",1,0,1
"278",7,0,1
"279",0,0,1
"280",0,0,1
"281",2,0,1
"282",13,0,1
"283",0,0,1
"284",0,0,1
"285",0,0,1
"286",50,0,1
"287",7,0,1
"288",8,0,1
"289",10,0,1
"290",6,0,1
"291",0,0,1
"292",117,0,1
"293",1,0,1
"294",1,0,1
"295",24,0,1
"296",14,0,1
"297",229,0,1
"298",84,0,1
"299",111,0,1
"300",2,0,1
"301",67,0,1
"302",1,0,1
"303",11,0,1
"304",13,0,1
"305",0,0,1
"306",2,0,1
"307",0,0,1
"308",0,0,1
"309",0,0,1
"310",0,0,1
"311",0,0,1
"312",0,0,1
"313",0,0,1
"314",0,0,1
"315",1,0,1
"316",2,0,1
"317",0,0,1
"318",0,0,1
"319",0,0,1
"320",0,0,1
"321",1,0,1
"322",98,0,1
"323",3,0,1
"324",154,0,1
"325",37,0,1
"326",0,0,1
"327",0,0,1
"328",8,0,1
"329",0,0,1
"330",45,0,1
"331",1,0,1
"332",0,0,1
"333",6,0,1
"334",1,0,1
"335",0,0,1
"336",22,0,1
"337",0,0,1
"338",0,0,1
"339",1,0,1
"340",1,0,1
"341",0,0,1
"342",18,0,1
"343",0,0,1
"344",0,0,1
"345",0,0,1
"346",37,0,1
"347",7,0,1
"348",0,0,1
"349",6,0,1
"350",54,0,1
"351",25,0,1
"352",0,0,1
"353",0,0,1
"354",11,0,1
"355",3,0,1
"356",11,0,1
"357",25,0,1
"358",1,0,1
"359",22,0,1
"360",0,0,1
"361",0,0,1
"362",14,0,1
"363",0,0,1
"364",0,0,1
"365",0,0,1
"366",10,0,1
"367",16,0,1
"368",3,0,1
"369",0,0,1
"370",0,0,1
"371",0,0,1
"372",3,0,1
"373",0,0,1
"374",0,0,1
"375",0,0,1
"376",0,0,1
"377",0,0,1
"378",1,0,1
"379",0,0,1
"380",1,0,1
"381",0,0,1
"382",0,0,1
"383",1,0,1
"384",1,0,1
"385",0,0,1
"386",0,0,1
"387",0,0,1
"388",44,0,1
"389",24,0,1
"390",68,0,1
"391",0,0,1
"392",0,0,1
"393",0,0,1
"394",21,0,1
"395",11,0,1
"396",13,0,1
"397",0,0,1
"398",4,0,1
"399",0,0,1
"400",1,0,1
"401",0,0,1
"402",1,0,1
"403",6,0,1
"404",0,0,1
"405",0,0,1
"406",23,0,1
"407",0,0,1
"408",39,0,1
"409",0,0,1
"410",18,0,1
"411",4,0,1
"412",0,0,1
"413",0,0,1
"414",9,0,1
"415",8,0,1
