"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0
"2",1,0,0,0,0,0,1,0,0,0,0,0,0
"3",0,1,0,0,0,0,0,0,0,0,0,0,0
"4",0,1,0,0,0,0,0,0,0,0,0,0,0
"5",0,1,0,0,0,0,0,0,0,0,0,0,0
"6",0,1,0,0,0,0,0,0,0,0,0,0,0
"7",0,1,0,0,0,0,0,0,0,0,0,0,0
"8",0,1,0,0,0,0,0,0,0,0,0,0,0
"9",1,0,0,0,1,0,0,0,0,0,0,0,0
"10",1,0,0.181818181818182,0.363636363636364,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0
"11",1,0,0,0.25,0.125,0,0.125,0,0.125,0.125,0.125,0.125,0
"12",1,0,0,0,0,0,0,0,0,0,1,0,0
"13",1,0,0.0625,0.25,0.0625,0,0.0625,0.0625,0.3125,0.0625,0.125,0,0
"14",0,1,0,0,0,0,0,0,0,0,0,0,0
"15",0,1,0,0,0,0,0,0,0,0,0,0,0
"16",0,1,0,0,0,0,0,0,0,0,0,0,0
"17",0,1,0,0,0,0,0,0,0,0,0,0,0
"18",0,1,0,0,0,0,0,0,0,0,0,0,0
"19",1,0,0.230769230769231,0,0,0.307692307692308,0,0,0.461538461538462,0,0,0,0
"20",0,1,0,0,0,0,0,0,0,0,0,0,0
"21",1,0,0.166666666666667,0.166666666666667,0,0.166666666666667,0.333333333333333,0,0.166666666666667,0,0,0,0
"22",0,1,0,0,0,0,0,0,0,0,0,0,0
"23",0,1,0,0,0,0,0,0,0,0,0,0,0
"24",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0
"25",0,1,0,0,0,0,0,0,0,0,0,0,0
"26",1,0,0,0,0,0,0,0,0,0,1,0,0
"27",0,1,0,0,0,0,0,0,0,0,0,0,0
"28",0,1,0,0,0,0,0,0,0,0,0,0,0
"29",1,0,0,0.111111111111111,0.259259259259259,0,0.0740740740740741,0.0740740740740741,0,0.0740740740740741,0.111111111111111,0.296296296296296,0
"30",0,1,0,0,0,0,0,0,0,0,0,0,0
"31",0,1,0,0,0,0,0,0,0,0,0,0,0
"32",1,0,0.166666666666667,0,0,0.333333333333333,0,0,0.5,0,0,0,0
"33",0,1,0,0,0,0,0,0,0,0,0,0,0
"34",0,1,0,0,0,0,0,0,0,0,0,0,0
"35",0,1,0,0,0,0,0,0,0,0,0,0,0
"36",1,0,0,0.5,0,0,0,0,0,0,0.5,0,0
"37",0,1,0,0,0,0,0,0,0,0,0,0,0
"38",1,0,0.227272727272727,0.545454545454545,0.227272727272727,0,0,0,0,0,0,0,0
"39",0,1,0,0,0,0,0,0,0,0,0,0,0
"40",0,1,0,0,0,0,0,0,0,0,0,0,0
"41",0,1,0,0,0,0,0,0,0,0,0,0,0
"42",0,1,0,0,0,0,0,0,0,0,0,0,0
"43",0,1,0,0,0,0,0,0,0,0,0,0,0
"44",0,1,0,0,0,0,0,0,0,0,0,0,0
"45",0,1,0,0,0,0,0,0,0,0,0,0,0
"46",0,1,0,0,0,0,0,0,0,0,0,0,0
"47",0,1,0,0,0,0,0,0,0,0,0,0,0
"48",0,1,0,0,0,0,0,0,0,0,0,0,0
"49",1,0,0.0609756097560976,0.195121951219512,0.0487804878048781,0.024390243902439,0.134146341463415,0.0487804878048781,0.109756097560976,0.134146341463415,0.121951219512195,0.121951219512195,0
"50",1,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0
"51",1,0,0.138888888888889,0.138888888888889,0,0.166666666666667,0.111111111111111,0,0.277777777777778,0.138888888888889,0.0277777777777778,0,0
"52",0,1,0,0,0,0,0,0,0,0,0,0,0
"53",0,1,0,0,0,0,0,0,0,0,0,0,0
"54",0,1,0,0,0,0,0,0,0,0,0,0,0
"55",1,0,0,0.333333333333333,0,0,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0
"56",0,1,0,0,0,0,0,0,0,0,0,0,0
"57",0,1,0,0,0,0,0,0,0,0,0,0,0
"58",1,0,0,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0
"59",0,1,0,0,0,0,0,0,0,0,0,0,0
"60",0,1,0,0,0,0,0,0,0,0,0,0,0
"61",0,1,0,0,0,0,0,0,0,0,0,0,0
"62",0,1,0,0,0,0,0,0,0,0,0,0,0
"63",1,0,0,0,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0
"64",0,1,0,0,0,0,0,0,0,0,0,0,0
"65",1,0,0.125,0.270833333333333,0.0416666666666667,0.0625,0.125,0.0208333333333333,0.0625,0.0833333333333333,0.145833333333333,0.0625,0
"66",1,0,0.0948905109489051,0.109489051094891,0.0656934306569343,0.0875912408759124,0.138686131386861,0.0875912408759124,0.124087591240876,0.102189781021898,0.131386861313869,0.0583941605839416,0
"67",0,1,0,0,0,0,0,0,0,0,0,0,0
"68",1,0,0,0,0,0,0,0,0,0,1,0,0
"69",1,0,0,0.666666666666667,0.166666666666667,0,0,0,0,0.166666666666667,0,0,0
"70",0,1,0,0,0,0,0,0,0,0,0,0,0
"71",1,0,0.0625,0.25,0.09375,0.03125,0.0625,0.03125,0.125,0.0625,0.21875,0.0625,0
"72",0,1,0,0,0,0,0,0,0,0,0,0,0
"73",0,1,0,0,0,0,0,0,0,0,0,0,0
"74",0,1,0,0,0,0,0,0,0,0,0,0,0
"75",0,1,0,0,0,0,0,0,0,0,0,0,0
"76",0,1,0,0,0,0,0,0,0,0,0,0,0
"77",0,1,0,0,0,0,0,0,0,0,0,0,0
"78",0,1,0,0,0,0,0,0,0,0,0,0,0
"79",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0
"80",1,0,0,0.6,0.2,0,0.2,0,0,0,0,0,0
"81",0,1,0,0,0,0,0,0,0,0,0,0,0
"82",1,0,0.136363636363636,0.409090909090909,0,0,0.0454545454545455,0,0.0909090909090909,0.181818181818182,0.0454545454545455,0.0909090909090909,0
"83",0,1,0,0,0,0,0,0,0,0,0,0,0
"84",1,0,0.0666666666666667,0.333333333333333,0,0,0.0666666666666667,0,0.133333333333333,0.133333333333333,0.133333333333333,0.133333333333333,0
"85",1,0,0.45,0,0,0.1,0,0,0.45,0,0,0,0
"86",1,0,0,0.2,0.2,0,0,0,0,0.4,0.2,0,0
"87",1,0,0,0.25,0,0,0.375,0,0,0,0.375,0,0
"88",0,1,0,0,0,0,0,0,0,0,0,0,0
"89",1,0,0,0,0,0,0,0,1,0,0,0,0
"90",0,1,0,0,0,0,0,0,0,0,0,0,0
"91",0,1,0,0,0,0,0,0,0,0,0,0,0
"92",0,1,0,0,0,0,0,0,0,0,0,0,0
"93",0,1,0,0,0,0,0,0,0,0,0,0,0
"94",0,1,0,0,0,0,0,0,0,0,0,0,0
"95",0,1,0,0,0,0,0,0,0,0,0,0,0
"96",1,0,0,0,0,0,1,0,0,0,0,0,0
"97",0,1,0,0,0,0,0,0,0,0,0,0,0
"98",0,1,0,0,0,0,0,0,0,0,0,0,0
"99",0,1,0,0,0,0,0,0,0,0,0,0,0
"100",1,0,0,0.428571428571429,0.142857142857143,0,0,0,0.142857142857143,0,0.285714285714286,0,0
"101",0,1,0,0,0,0,0,0,0,0,0,0,0
"102",1,0,0.3,0,0,0.2,0,0,0.5,0,0,0,0
"103",0,1,0,0,0,0,0,0,0,0,0,0,0
"104",1,0,0,0,1,0,0,0,0,0,0,0,0
"105",0,1,0,0,0,0,0,0,0,0,0,0,0
"106",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0
"107",0,1,0,0,0,0,0,0,0,0,0,0,0
"108",0,1,0,0,0,0,0,0,0,0,0,0,0
"109",0,1,0,0,0,0,0,0,0,0,0,0,0
"110",0,1,0,0,0,0,0,0,0,0,0,0,0
"111",0,1,0,0,0,0,0,0,0,0,0,0,0
"112",1,0,0.116883116883117,0.0649350649350649,0,0.142857142857143,0.168831168831169,0,0.350649350649351,0.12987012987013,0.025974025974026,0,0
"113",1,0,0.166666666666667,0.0833333333333333,0,0.166666666666667,0,0,0.5,0,0.0833333333333333,0,0
"114",0,1,0,0,0,0,0,0,0,0,0,0,0
