"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",3,0,1
"3",0,0,1
"4",6,0,1
"5",1,0,1
"6",0,0,1
"7",0,0,1
"8",0,0,1
"9",0,0,1
"10",0,0,1
"11",29,0,1
"12",0,0,1
"13",38,0,1
"14",0,0,1
"15",2,0,1
"16",11,0,1
"17",0,0,1
"18",10,0,1
"19",13,0,1
"20",0,0,1
"21",7,0,1
"22",0,0,1
"23",2,0,1
"24",0,0,1
"25",0,0,1
"26",0,0,1
"27",0,0,1
"28",101,0,1
"29",41,0,1
"30",53,0,1
"31",51,0,1
"32",0,0,1
"33",0,0,1
"34",0,0,1
"35",7,0,1
"36",2,0,1
"37",0,0,1
"38",0,0,1
"39",0,0,1
"40",33,0,1
"41",0,0,1
"42",1,0,1
"43",0,0,1
"44",0,0,1
"45",167,0,1
"46",116,0,1
"47",26,0,1
"48",0,0,1
"49",0,0,1
"50",0,0,1
"51",4,0,1
"52",0,0,1
"53",0,0,1
"54",9,0,1
"55",0,0,1
"56",0,0,1
"57",30,0,1
"58",19,0,1
"59",0,0,1
"60",0,0,1
"61",9,0,1
"62",0,0,1
"63",0,0,1
"64",0,0,1
"65",8,0,1
"66",0,0,1
"67",0,0,1
"68",0,0,1
"69",0,0,1
"70",4,0,1
"71",0,0,1
"72",22,0,1
"73",5,0,1
"74",0,0,1
"75",0,0,1
"76",571,0,1
"77",132,0,1
"78",95,0,1
"79",27,0,1
"80",25,0,1
"81",0,0,1
"82",3,0,1
"83",134,0,1
"84",6,0,1
"85",8,0,1
"86",16,0,1
"87",0,0,1
"88",8,0,1
"89",0,0,1
"90",0,0,1
"91",0,0,1
"92",0,0,1
"93",0,0,1
"94",217,0,1
"95",4,0,1
"96",4,0,1
"97",23,0,1
"98",15,0,1
"99",19,0,1
"100",0,0,1
"101",0,0,1
"102",0,0,1
"103",41,0,1
"104",0,0,1
"105",0,0,1
"106",0,0,1
"107",0,0,1
"108",0,0,1
"109",0,0,1
"110",0,0,1
"111",0,0,1
"112",0,0,1
"113",1,0,1
"114",1,0,1
"115",0,0,1
"116",0,0,1
"117",11,0,1
"118",1,0,1
"119",0,0,1
"120",60,0,1
"121",0,0,1
"122",48,0,1
"123",79,0,1
"124",0,0,1
"125",0,0,1
"126",0,0,1
"127",5,0,1
"128",44,0,1
"129",0,0,1
"130",0,0,1
"131",0,0,1
"132",0,0,1
"133",0,0,1
"134",0,0,1
"135",7,0,1
"136",79,0,1
"137",0,0,1
"138",21,0,1
"139",0,0,1
"140",1,0,1
"141",1,0,1
"142",2,0,1
"143",42,0,1
"144",9,0,1
"145",0,0,1
"146",18,0,1
"147",9,0,1
"148",1,0,1
"149",0,0,1
"150",2,0,1
"151",4,0,1
"152",0,0,1
"153",0,0,1
"154",14,0,1
"155",0,0,1
"156",0,0,1
"157",0,0,1
"158",24,0,1
"159",0,0,1
"160",0,0,1
"161",0,0,1
"162",0,0,1
"163",0,0,1
"164",0,0,1
"165",17,0,1
"166",0,0,1
"167",1,0,1
"168",0,0,1
"169",0,0,1
"170",0,0,1
"171",0,0,1
"172",3,0,1
"173",0,0,1
"174",0,0,1
"175",0,0,1
"176",0,0,1
"177",0,0,1
"178",0,0,1
"179",35,0,1
"180",1,0,1
"181",1,0,1
"182",1,0,1
"183",12,0,1
"184",5,0,1
"185",0,0,1
"186",1,0,1
"187",0,0,1
"188",1,0,1
"189",0,0,1
"190",0,0,1
"191",148,0,1
"192",64,0,1
"193",163,0,1
"194",35,0,1
"195",0,0,1
"196",5,0,1
"197",19,0,1
"198",0,0,1
"199",1,0,1
"200",0,0,1
"201",275,0,1
"202",39,0,1
"203",65,0,1
"204",61,0,1
"205",87,0,1
"206",0,0,1
"207",0,0,1
"208",55,0,1
"209",5,0,1
"210",8,0,1
"211",8,0,1
"212",0,0,1
"213",5,0,1
"214",18,0,1
"215",0,0,1
"216",0,0,1
"217",5,0,1
"218",15,0,1
"219",1,0,1
"220",0,0,1
"221",4,0,1
"222",15,0,1
"223",5,0,1
"224",0,0,1
"225",2,0,1
"226",15,0,1
"227",0,0,1
"228",3,0,1
"229",0,0,1
"230",0,0,1
"231",0,0,1
"232",0,0,1
"233",0,0,1
"234",0,0,1
"235",0,0,1
"236",0,0,1
"237",0,0,1
"238",3,0,1
"239",0,0,1
"240",7,0,1
"241",0,0,1
"242",56,0,1
"243",0,0,1
"244",0,0,1
"245",2,0,1
"246",1,0,1
"247",0,0,1
"248",0,0,1
"249",0,0,1
"250",0,0,1
"251",0,0,1
"252",0,0,1
"253",0,0,1
"254",0,0,1
"255",9,0,1
"256",9,0,1
"257",0,0,1
"258",0,0,1
"259",0,0,1
"260",9,0,1
"261",21,0,1
"262",1,0,1
"263",0,0,1
"264",8,0,1
"265",24,0,1
"266",2,0,1
"267",0,0,1
"268",3,0,1
"269",1,0,1
"270",0,0,1
"271",0,0,1
"272",0,0,1
"273",4,0,1
"274",0,0,1
"275",0,0,1
"276",5,0,1
"277",2,0,1
"278",0,0,1
"279",1,0,1
"280",1,0,1
"281",2,0,1
"282",0,0,1
"283",48,0,1
"284",0,0,1
"285",0,0,1
"286",29,0,1
"287",0,0,1
"288",0,0,1
"289",2,0,1
"290",0,0,1
"291",0,0,1
"292",42,0,1
"293",0,0,1
"294",0,0,1
"295",0,0,1
"296",1,0,1
"297",0,0,1
"298",21,0,1
"299",0,0,1
"300",16,0,1
"301",0,0,1
"302",28,0,1
"303",0,0,1
"304",24,0,1
"305",0,0,1
"306",199,0,1
"307",66,0,1
"308",17,0,1
"309",2,0,1
"310",0,0,1
"311",12,0,1
"312",0,0,1
"313",0,0,1
"314",0,0,1
"315",117,0,1
"316",10,0,1
"317",22,0,1
"318",0,0,1
"319",46,0,1
"320",2,0,1
"321",0,0,1
"322",16,0,1
"323",5,0,1
"324",0,0,1
"325",56,0,1
"326",49,0,1
"327",1,0,1
"328",49,0,1
"329",0,0,1
"330",0,0,1
"331",0,0,1
"332",0,0,1
"333",0,0,1
"334",0,0,1
"335",3,0,1
"336",2,0,1
