"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0
"2",1,0,0,0,0,0.25,0.25,0,0.5,0,0,0,0
"3",0,1,0,0,0,0,0,0,0,0,0,0,0
"4",1,0,0,0,0,0,1,0,0,0,0,0,0
"5",0,1,0,0,0,0,0,0,0,0,0,0,0
"6",1,0,0,0,0,0,0,1,0,0,0,0,0
"7",0,1,0,0,0,0,0,0,0,0,0,0,0
"8",0,1,0,0,0,0,0,0,0,0,0,0,0
"9",1,0,0,0,0,0,0,0,1,0,0,0,0
"10",0,1,0,0,0,0,0,0,0,0,0,0,0
"11",1,0,0.333333333333333,0,0,0.166666666666667,0,0,0.5,0,0,0,0
"12",0,1,0,0,0,0,0,0,0,0,0,0,0
"13",1,0,0.235294117647059,0,0,0.235294117647059,0,0,0.529411764705882,0,0,0,0
"14",0,1,0,0,0,0,0,0,0,0,0,0,0
"15",1,0,0,0.15,0.1,0,0,0.1,0,0.15,0.1,0.4,0
"16",1,0,0,0.2,0,0,0.4,0,0,0.2,0.2,0,0
"17",0,1,0,0,0,0,0,0,0,0,0,0,0
"18",1,0,0.0303030303030303,0.151515151515152,0,0.0606060606060606,0.272727272727273,0.0303030303030303,0.0606060606060606,0.181818181818182,0.0909090909090909,0.121212121212121,0
"19",1,0,0.0769230769230769,0.307692307692308,0.0769230769230769,0,0,0,0,0.230769230769231,0,0.307692307692308,0
"20",0,1,0,0,0,0,0,0,0,0,0,0,0
"21",1,0,0,0.5,0,0,0,0,0,0,0.5,0,0
"22",0,1,0,0,0,0,0,0,0,0,0,0,0
"23",1,0,0,0.5,0,0,0,0,0,0.5,0,0,0
"24",0,1,0,0,0,0,0,0,0,0,0,0,0
"25",0,1,0,0,0,0,0,0,0,0,0,0,0
"26",0,1,0,0,0,0,0,0,0,0,0,0,0
"27",0,1,0,0,0,0,0,0,0,0,0,0,0
"28",1,0,0.144654088050314,0.0628930817610063,0,0.132075471698113,0.0943396226415094,0.00628930817610063,0.327044025157233,0.150943396226415,0.0628930817610063,0.0188679245283019,0
"29",1,0,0.04,0.13,0.1,0,0.11,0.12,0.02,0.22,0.14,0.12,0
"30",1,0,0.0330578512396694,0.132231404958678,0.0330578512396694,0.0743801652892562,0.140495867768595,0.0165289256198347,0.206611570247934,0.0909090909090909,0.206611570247934,0.0661157024793388,0
"31",1,0,0.0357142857142857,0.169642857142857,0.0267857142857143,0.0714285714285714,0.125,0.0178571428571429,0.107142857142857,0.133928571428571,0.196428571428571,0.116071428571429,0
"32",0,1,0,0,0,0,0,0,0,0,0,0,0
"33",0,1,0,0,0,0,0,0,0,0,0,0,0
"34",1,0,0,0,0,0,0,0,1,0,0,0,0
"35",1,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0
"36",1,0,0,0,0,0,0,0,1,0,0,0,0
"37",0,1,0,0,0,0,0,0,0,0,0,0,0
"38",0,1,0,0,0,0,0,0,0,0,0,0,0
"39",0,1,0,0,0,0,0,0,0,0,0,0,0
"40",1,0,0.305555555555556,0.277777777777778,0,0.0833333333333333,0.0555555555555556,0,0.166666666666667,0,0.111111111111111,0,0
"41",0,1,0,0,0,0,0,0,0,0,0,0,0
"42",0,1,0,0,0,0,0,0,0,0,0,0,0
"43",0,1,0,0,0,0,0,0,0,0,0,0,0
"44",0,1,0,0,0,0,0,0,0,0,0,0,0
