"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",3,0,1
"3",0,0,1
"4",4,0,1
"5",1,0,1
"6",1,0,1
"7",0,0,1
"8",0,0,1
"9",0,0,1
"10",0,0,1
"11",5,0,1
"12",0,0,1
"13",10,0,1
"14",0,0,1
"15",2,0,1
"16",5,0,1
"17",0,0,1
"18",8,0,1
"19",6,0,1
"20",0,0,1
"21",0,0,1
"22",0,0,1
"23",2,0,1
"24",0,0,1
"25",0,0,1
"26",0,0,1
"27",0,0,1
"28",18,0,1
"29",15,0,1
"30",21,0,1
"31",17,0,1
"32",0,0,1
"33",0,0,1
"34",1,0,1
"35",6,0,1
"36",0,0,1
"37",1,0,1
"38",0,0,1
"39",0,0,1
"40",15,0,1
"41",0,0,1
"42",0,0,1
"43",1,0,1
"44",0,0,1
"45",12,0,1
"46",16,0,1
"47",5,0,1
"48",0,0,1
"49",2,0,1
"50",0,0,1
"51",13,0,1
"52",3,0,1
"53",4,0,1
"54",8,0,1
"55",0,0,1
"56",3,0,1
"57",8,0,1
"58",3,0,1
"59",0,0,1
"60",3,0,1
"61",12,0,1
"62",0,0,1
"63",0,0,1
"64",1,0,1
"65",1,0,1
"66",0,0,1
"67",6,0,1
"68",4,0,1
"69",0,0,1
"70",8,0,1
"71",14,0,1
"72",13,0,1
"73",8,0,1
"74",0,0,1
"75",0,0,1
"76",29,0,1
"77",1,0,1
"78",5,0,1
"79",3,0,1
"80",0,0,1
"81",0,0,1
"82",20,0,1
"83",93,0,1
"84",13,0,1
"85",12,0,1
"86",12,0,1
"87",0,0,1
"88",5,0,1
"89",0,0,1
"90",0,0,1
"91",0,0,1
"92",2,0,1
"93",0,0,1
"94",44,0,1
"95",4,0,1
"96",7,0,1
"97",7,0,1
"98",11,0,1
"99",15,0,1
"100",0,0,1
"101",0,0,1
"102",0,0,1
"103",4,0,1
"104",0,0,1
"105",0,0,1
"106",0,0,1
"107",0,0,1
"108",0,0,1
"109",0,0,1
"110",0,0,1
"111",2,0,1
"112",2,0,1
"113",8,0,1
"114",0,0,1
"115",0,0,1
"116",13,0,1
"117",11,0,1
"118",1,0,1
"119",0,0,1
"120",4,0,1
"121",0,0,1
"122",15,0,1
"123",19,0,1
"124",0,0,1
"125",0,0,1
"126",0,0,1
"127",1,0,1
"128",15,0,1
"129",6,0,1
"130",0,0,1
"131",2,0,1
"132",4,0,1
"133",2,0,1
"134",0,0,1
"135",1,0,1
"136",1,0,1
"137",0,0,1
"138",11,0,1
"139",0,0,1
"140",2,0,1
"141",5,0,1
"142",0,0,1
"143",6,0,1
"144",6,0,1
"145",0,0,1
"146",10,0,1
"147",3,0,1
"148",7,0,1
"149",3,0,1
"150",5,0,1
"151",4,0,1
"152",2,0,1
"153",0,0,1
"154",1,0,1
"155",0,0,1
"156",0,0,1
"157",0,0,1
"158",4,0,1
"159",0,0,1
"160",0,0,1
"161",0,0,1
"162",7,0,1
"163",4,0,1
"164",0,0,1
"165",10,0,1
"166",0,0,1
"167",3,0,1
"168",2,0,1
"169",0,0,1
"170",0,0,1
"171",1,0,1
"172",2,0,1
"173",2,0,1
"174",0,0,1
"175",2,0,1
"176",0,0,1
"177",1,0,1
"178",0,0,1
"179",7,0,1
"180",2,0,1
"181",0,0,1
"182",0,0,1
"183",0,0,1
"184",2,0,1
"185",0,0,1
"186",0,0,1
"187",3,0,1
"188",1,0,1
"189",0,0,1
"190",0,0,1
"191",55,0,1
"192",6,0,1
"193",13,0,1
"194",27,0,1
"195",0,0,1
"196",39,0,1
"197",7,0,1
"198",0,0,1
"199",1,0,1
"200",0,0,1
"201",25,0,1
"202",14,0,1
"203",12,0,1
"204",18,0,1
"205",26,0,1
"206",0,0,1
"207",0,0,1
"208",13,0,1
"209",3,0,1
"210",2,0,1
"211",0,0,1
"212",0,0,1
"213",0,0,1
"214",3,0,1
"215",0,0,1
"216",0,0,1
"217",2,0,1
"218",5,0,1
"219",4,0,1
"220",2,0,1
"221",0,0,1
"222",1,0,1
"223",1,0,1
"224",0,0,1
"225",8,0,1
"226",7,0,1
"227",0,0,1
"228",3,0,1
"229",0,0,1
"230",2,0,1
"231",0,0,1
"232",1,0,1
"233",0,0,1
"234",0,0,1
"235",1,0,1
"236",0,0,1
"237",0,0,1
"238",1,0,1
"239",0,0,1
"240",1,0,1
"241",0,0,1
"242",6,0,1
"243",0,0,1
"244",1,0,1
"245",0,0,1
"246",0,0,1
"247",0,0,1
"248",4,0,1
"249",8,0,1
"250",14,0,1
"251",0,0,1
"252",7,0,1
"253",7,0,1
"254",0,0,1
"255",17,0,1
"256",3,0,1
"257",0,0,1
"258",2,0,1
"259",0,0,1
"260",1,0,1
"261",7,0,1
"262",9,0,1
"263",0,0,1
"264",50,0,1
"265",1,0,1
"266",8,0,1
"267",0,0,1
"268",1,0,1
"269",1,0,1
"270",0,0,1
"271",0,0,1
"272",1,0,1
"273",1,0,1
"274",0,0,1
"275",0,0,1
"276",1,0,1
"277",5,0,1
"278",0,0,1
"279",0,0,1
"280",1,0,1
"281",1,0,1
"282",0,0,1
"283",4,0,1
"284",6,0,1
"285",7,0,1
"286",7,0,1
"287",0,0,1
"288",0,0,1
"289",14,0,1
"290",0,0,1
"291",0,0,1
"292",1,0,1
"293",1,0,1
"294",0,0,1
"295",0,0,1
"296",3,0,1
"297",0,0,1
"298",13,0,1
"299",0,0,1
"300",5,0,1
"301",1,0,1
"302",4,0,1
"303",0,0,1
"304",19,0,1
"305",0,0,1
"306",63,0,1
"307",10,0,1
"308",16,0,1
"309",1,0,1
"310",0,0,1
"311",2,0,1
"312",0,0,1
"313",1,0,1
"314",0,0,1
"315",9,0,1
"316",1,0,1
"317",5,0,1
"318",0,0,1
"319",2,0,1
"320",4,0,1
"321",0,0,1
"322",3,0,1
"323",6,0,1
"324",0,0,1
"325",1,0,1
"326",7,0,1
"327",8,0,1
"328",1,0,1
"329",0,0,1
"330",5,0,1
"331",0,0,1
"332",0,0,1
"333",3,0,1
"334",5,0,1
"335",4,0,1
"336",1,0,1
