"","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"1",1,0,0,1,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0,0
"3",0,1,0,0,0,0,0,0,0,0,0
"4",0,1,0,0,0,0,0,0,0,0,0
"5",0,1,0,0,0,0,0,0,0,0,0
"6",0,1,0,0,0,0,0,0,0,0,0
"7",0,1,0,0,0,0,0,0,0,0,0
"8",1,0,0.6,0,0,0,0.2,0,0.2,0,0
"9",0,1,0,0,0,0,0,0,0,0,0
"10",1,0,0,0.5,0,0,0,0.333333333333333,0,0.166666666666667,0
"11",1,0,0.0833333333333333,0,0.25,0.25,0.0833333333333333,0.166666666666667,0.166666666666667,0,0
"12",1,0,0,0,0,0,1,0,0,0,0
"13",0,1,0,0,0,0,0,0,0,0,0
"14",0,1,0,0,0,0,0,0,0,0,0
"15",0,1,0,0,0,0,0,0,0,0,0
"16",1,0,0,0,0.5,0,0,0.25,0.25,0,0
"17",0,1,0,0,0,0,0,0,0,0,0
"18",0,1,0,0,0,0,0,0,0,0,0
"19",0,1,0,0,0,0,0,0,0,0,0
"20",0,1,0,0,0,0,0,0,0,0,0
"21",1,0,0.333333333333333,0,0,0,0.333333333333333,0,0.333333333333333,0,0
"22",0,1,0,0,0,0,0,0,0,0,0
"23",0,1,0,0,0,0,0,0,0,0,0
"24",1,0,0,1,0,0,0,0,0,0,0
"25",0,1,0,0,0,0,0,0,0,0,0
"26",1,0,0,0,0,0,1,0,0,0,0
"27",0,1,0,0,0,0,0,0,0,0,0
"28",0,1,0,0,0,0,0,0,0,0,0
"29",1,0,0,0.205882352941176,0.0294117647058824,0.0294117647058824,0,0.294117647058824,0.294117647058824,0.147058823529412,0
"30",0,1,0,0,0,0,0,0,0,0,0
"31",0,1,0,0,0,0,0,0,0,0,0
"32",0,1,0,0,0,0,0,0,0,0,0
"33",0,1,0,0,0,0,0,0,0,0,0
"34",0,1,0,0,0,0,0,0,0,0,0
"35",1,0,0,0,0,0,0,0,1,0,0
"36",1,0,0,0,0,0,0,1,0,0,0
"37",1,0,1,0,0,0,0,0,0,0,0
"38",0,1,0,0,0,0,0,0,0,0,0
"39",0,1,0,0,0,0,0,0,0,0,0
"40",0,1,0,0,0,0,0,0,0,0,0
"41",0,1,0,0,0,0,0,0,0,0,0
"42",0,1,0,0,0,0,0,0,0,0,0
"43",0,1,0,0,0,0,0,0,0,0,0
"44",0,1,0,0,0,0,0,0,0,0,0
"45",0,1,0,0,0,0,0,0,0,0,0
"46",0,1,0,0,0,0,0,0,0,0,0
"47",0,1,0,0,0,0,0,0,0,0,0
"48",0,1,0,0,0,0,0,0,0,0,0
"49",1,0,0.185185185185185,0,0.037037037037037,0.0740740740740741,0.111111111111111,0,0.222222222222222,0.37037037037037,0
"50",1,0,0,0,0,1,0,0,0,0,0
"51",0,1,0,0,0,0,0,0,0,0,0
"52",0,1,0,0,0,0,0,0,0,0,0
"53",0,1,0,0,0,0,0,0,0,0,0
"54",1,0,0.333333333333333,0,0.333333333333333,0,0,0,0.333333333333333,0,0
"55",1,0,0.5,0,0,0,0,0,0,0.5,0
"56",0,1,0,0,0,0,0,0,0,0,0
"57",0,1,0,0,0,0,0,0,0,0,0
"58",0,1,0,0,0,0,0,0,0,0,0
"59",0,1,0,0,0,0,0,0,0,0,0
"60",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0.333333333333333,0
