"","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"1",0,1,0,0,0,0,0,0,0,0,0
"2",1,0,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0
"3",0,1,0,0,0,0,0,0,0,0,0
"4",1,0,0.222222222222222,0,0.333333333333333,0.111111111111111,0,0,0.222222222222222,0.111111111111111,0
"5",1,0,0,0,0,0,0.5,0,0.5,0,0
"6",1,0,0,0,0,0,0,0,1,0,0
"7",0,1,0,0,0,0,0,0,0,0,0
"8",0,1,0,0,0,0,0,0,0,0,0
"9",0,1,0,0,0,0,0,0,0,0,0
"10",0,1,0,0,0,0,0,0,0,0,0
"11",1,0,0,0.111111111111111,0.111111111111111,0.222222222222222,0,0.444444444444444,0,0.111111111111111,0
"12",0,1,0,0,0,0,0,0,0,0,0
"13",1,0,0,0.4,0,0,0,0.6,0,0,0
"14",0,1,0,0,0,0,0,0,0,0,0
"15",1,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0
"16",1,0,0,0,0,0.333333333333333,0.666666666666667,0,0,0,0
"17",0,1,0,0,0,0,0,0,0,0,0
"18",1,0,0,0.416666666666667,0,0.166666666666667,0.0833333333333333,0.25,0,0.0833333333333333,0
"19",1,0,0,0,0,0,0.5,0,0.5,0,0
"20",0,1,0,0,0,0,0,0,0,0,0
"21",1,0,0,0,0.25,0,0,0.5,0.25,0,0
"22",0,1,0,0,0,0,0,0,0,0,0
"23",1,0,0,0,0,0,0.5,0,0,0.5,0
"24",0,1,0,0,0,0,0,0,0,0,0
"25",1,0,0,0,0,0,0,1,0,0,0
"26",1,0,0,0,0,0,0,1,0,0,0
"27",0,1,0,0,0,0,0,0,0,0,0
"28",1,0,0,0.4,0.1,0.2,0,0,0.1,0.2,0
"29",1,0,0.666666666666667,0,0.111111111111111,0,0,0,0.222222222222222,0,0
"30",1,0,0,0.2,0.2,0,0,0.2,0.2,0.2,0
"31",1,0,0,0.333333333333333,0.111111111111111,0,0,0.111111111111111,0.111111111111111,0.333333333333333,0
"32",0,1,0,0,0,0,0,0,0,0,0
"33",0,1,0,0,0,0,0,0,0,0,0
"34",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0
"35",1,0,0,0.375,0,0,0,0.5,0,0.125,0
"36",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0
"37",0,1,0,0,0,0,0,0,0,0,0
"38",0,1,0,0,0,0,0,0,0,0,0
"39",0,1,0,0,0,0,0,0,0,0,0
"40",1,0,0,0.666666666666667,0,0,0,0.222222222222222,0,0.111111111111111,0
"41",0,1,0,0,0,0,0,0,0,0,0
"42",1,0,0,1,0,0,0,0,0,0,0
"43",1,0,0,0,0,0,1,0,0,0,0
"44",0,1,0,0,0,0,0,0,0,0,0
"45",1,0,0.0802919708029197,0.248175182481752,0.167883211678832,0.109489051094891,0.0656934306569343,0.0875912408759124,0.124087591240876,0.116788321167883,0
"46",1,0,0.148148148148148,0.0740740740740741,0.148148148148148,0.111111111111111,0.0740740740740741,0.148148148148148,0.111111111111111,0.185185185185185,0
"47",1,0,0.12,0.04,0.24,0.16,0.04,0.12,0.12,0.16,0
"48",0,1,0,0,0,0,0,0,0,0,0
"49",1,0,0.25,0,0.25,0.25,0,0,0,0.25,0
"50",0,1,0,0,0,0,0,0,0,0,0
"51",1,0,0.0625,0.1875,0.125,0.125,0,0.25,0.125,0.125,0
"52",1,0,0,0.428571428571429,0,0.142857142857143,0,0,0.428571428571429,0,0
"53",1,0,0.2,0.2,0,0,0.2,0,0.4,0,0
"54",1,0,0.117647058823529,0.0588235294117647,0,0.235294117647059,0,0.235294117647059,0.176470588235294,0.176470588235294,0
"55",0,1,0,0,0,0,0,0,0,0,0
"56",1,0,0,0,0,0,0,1,0,0,0
"57",1,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0
"58",1,0,0,0.25,0.25,0.125,0,0,0.375,0,0
"59",0,1,0,0,0,0,0,0,0,0,0
"60",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0
"61",1,0,0,0,0,0,0.166666666666667,0.166666666666667,0.5,0.166666666666667,0
"62",0,1,0,0,0,0,0,0,0,0,0
"63",0,1,0,0,0,0,0,0,0,0,0
"64",1,0,0,0,0,0,0,0,1,0,0
"65",1,0,0,0.333333333333333,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0
"66",0,1,0,0,0,0,0,0,0,0,0
"67",1,0,0,0.5,0.5,0,0,0,0,0,0
"68",1,0,0,0,0.5,0,0,0.5,0,0,0
"69",0,1,0,0,0,0,0,0,0,0,0
"70",1,0,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0
"71",1,0,0,0.307692307692308,0.230769230769231,0,0,0.230769230769231,0.0769230769230769,0.153846153846154,0
"72",1,0,0,0.333333333333333,0.111111111111111,0.111111111111111,0,0.111111111111111,0.222222222222222,0.111111111111111,0
"73",1,0,0.1,0,0.1,0.1,0.2,0.1,0.2,0.2,0
"74",0,1,0,0,0,0,0,0,0,0,0
"75",0,1,0,0,0,0,0,0,0,0,0
"76",1,0,0.132075471698113,0.113207547169811,0.0943396226415094,0.169811320754717,0.169811320754717,0.0943396226415094,0.132075471698113,0.0943396226415094,0
"77",1,0,0,0.25,0,0.5,0,0.25,0,0,0
"78",1,0,0,0.444444444444444,0,0,0,0.555555555555556,0,0,0
"79",1,0,0.25,0.25,0.5,0,0,0,0,0,0
"80",1,0,0.333333333333333,0,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0
"81",0,1,0,0,0,0,0,0,0,0,0
"82",1,0,0,0.1875,0.09375,0.1875,0.125,0.09375,0.0625,0.25,0
"83",1,0,0.0740740740740741,0.160493827160494,0.135802469135802,0.111111111111111,0.0740740740740741,0.197530864197531,0.0987654320987654,0.148148148148148,0
"84",1,0,0,0.388888888888889,0.333333333333333,0.0555555555555556,0,0.222222222222222,0,0,0
"85",1,0,0.0833333333333333,0.166666666666667,0.25,0.0833333333333333,0.166666666666667,0,0.0833333333333333,0.166666666666667,0
"86",1,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.222222222222222,0
"87",0,1,0,0,0,0,0,0,0,0,0
"88",1,0,0.2,0,0.2,0.4,0,0,0,0.2,0
"89",0,1,0,0,0,0,0,0,0,0,0
"90",1,0,0,0,0,0,0,0,1,0,0
"91",0,1,0,0,0,0,0,0,0,0,0
"92",1,0,0,0,0.5,0.5,0,0,0,0,0
"93",0,1,0,0,0,0,0,0,0,0,0
"94",1,0,0.0555555555555556,0.203703703703704,0.12962962962963,0.0925925925925926,0.0925925925925926,0.0740740740740741,0.259259259259259,0.0925925925925926,0
"95",1,0,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0
"96",1,0,0,0.5,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0,0
"97",1,0,0,0,0,0,0,1,0,0,0
"98",1,0,0.142857142857143,0.142857142857143,0.285714285714286,0.285714285714286,0,0,0.142857142857143,0,0
"99",1,0,0.25,0,0.25,0,0,0.25,0,0.25,0
"100",0,1,0,0,0,0,0,0,0,0,0
"101",0,1,0,0,0,0,0,0,0,0,0
"102",0,1,0,0,0,0,0,0,0,0,0
"103",1,0,0,0.454545454545455,0.181818181818182,0,0,0.272727272727273,0.0909090909090909,0,0
"104",0,1,0,0,0,0,0,0,0,0,0
"105",0,1,0,0,0,0,0,0,0,0,0
"106",0,1,0,0,0,0,0,0,0,0,0
"107",0,1,0,0,0,0,0,0,0,0,0
"108",0,1,0,0,0,0,0,0,0,0,0
"109",0,1,0,0,0,0,0,0,0,0,0
"110",0,1,0,0,0,0,0,0,0,0,0
"111",1,0,0,0,0,0.666666666666667,0,0.333333333333333,0,0,0
"112",1,0,0,0,0.5,0,0,0,0.5,0,0
"113",1,0,0,0,0,0.5,0,0.5,0,0,0
"114",1,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0
"115",0,1,0,0,0,0,0,0,0,0,0
"116",1,0,0.25,0,0,0.25,0.25,0,0,0.25,0
"117",1,0,0,0,0.25,0.25,0,0.25,0.25,0,0
"118",1,0,0,0.25,0.5,0,0,0,0.25,0,0
"119",0,1,0,0,0,0,0,0,0,0,0
"120",1,0,0,1,0,0,0,0,0,0,0
"121",0,1,0,0,0,0,0,0,0,0,0
"122",1,0,0,0,0.4,0,0.2,0,0.2,0.2,0
"123",1,0,0,0.833333333333333,0,0.166666666666667,0,0,0,0,0
"124",0,1,0,0,0,0,0,0,0,0,0
"125",0,1,0,0,0,0,0,0,0,0,0
"126",0,1,0,0,0,0,0,0,0,0,0
"127",1,0,0,0.428571428571429,0.142857142857143,0,0,0,0.285714285714286,0.142857142857143,0
"128",1,0,0.1875,0.3125,0,0.1875,0,0.0625,0.0625,0.1875,0
"129",1,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0
"130",0,1,0,0,0,0,0,0,0,0,0
"131",1,0,0,0.5,0,0,0,0.5,0,0,0
"132",1,0,0.2,0.2,0,0,0.2,0,0,0.4,0
"133",1,0,0,0.2,0,0,0.2,0,0.4,0.2,0
"134",0,1,0,0,0,0,0,0,0,0,0
"135",0,1,0,0,0,0,0,0,0,0,0
"136",0,1,0,0,0,0,0,0,0,0,0
"137",0,1,0,0,0,0,0,0,0,0,0
"138",1,0,0.1,0.4,0.1,0,0.1,0,0.2,0.1,0
"139",0,1,0,0,0,0,0,0,0,0,0
"140",1,0,0.5,0,0.5,0,0,0,0,0,0
"141",1,0,0,0.2,0,0,0.2,0.2,0.2,0.2,0
"142",0,1,0,0,0,0,0,0,0,0,0
"143",1,0,0,0.571428571428571,0,0,0,0.428571428571429,0,0,0
"144",1,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0
"145",0,1,0,0,0,0,0,0,0,0,0
"146",1,0,0,1,0,0,0,0,0,0,0
"147",1,0,0,0.5,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0
"148",1,0,0,0.5,0,0.333333333333333,0,0,0.166666666666667,0,0
"149",1,0,0,0.4,0,0,0,0.2,0.2,0.2,0
"150",1,0,0,0,0.1,0,0.1,0.1,0.2,0.5,0
"151",1,0,0,0.222222222222222,0,0.222222222222222,0,0.222222222222222,0.111111111111111,0.222222222222222,0
"152",1,0,0.333333333333333,0,0.333333333333333,0,0,0,0.166666666666667,0.166666666666667,0
"153",0,1,0,0,0,0,0,0,0,0,0
