"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",2,0,1
"3",2,0,1
"4",4,0,1
"5",0,0,1
"6",2,0,1
"7",4,0,1
"8",1,0,1
"9",2,0,1
"10",1,0,1
"11",4,0,1
"12",0,0,1
"13",0,0,1
"14",0,0,1
"15",0,0,1
"16",0,0,1
"17",0,0,1
"18",0,0,1
"19",0,0,1
"20",1,0,1
"21",0,0,1
"22",0,0,1
"23",0,0,1
"24",0,0,1
"25",0,0,1
"26",1,0,1
"27",2,0,1
"28",1,0,1
"29",0,0,1
"30",0,0,1
"31",0,0,1
"32",0,0,1
"33",1,0,1
"34",0,0,1
"35",1,0,1
"36",1,0,1
"37",0,0,1
"38",6,0,1
"39",2,0,1
"40",2,0,1
"41",0,0,1
"42",2,0,1
"43",0,0,1
"44",0,0,1
"45",1,0,1
"46",0,0,1
"47",2,0,1
"48",0,0,1
"49",0,0,1
"50",0,0,1
"51",1,0,1
"52",0,0,1
"53",0,0,1
"54",0,0,1
"55",0,0,1
"56",0,0,1
"57",0,0,1
"58",0,0,1
"59",1,0,1
"60",1,0,1
"61",1,0,1
"62",0,0,1
"63",1,0,1
"64",2,0,1
"65",1,0,1
"66",0,0,1
"67",0,0,1
"68",2,0,1
"69",6,0,1
"70",1,0,1
"71",3,0,1
"72",3,0,1
"73",1,0,1
"74",0,0,1
"75",1,0,1
"76",2,0,1
"77",1,0,1
"78",2,0,1
"79",1,0,1
"80",2,0,1
"81",4,0,1
"82",5,0,1
"83",0,0,1
"84",1,0,1
"85",0,0,1
"86",3,0,1
"87",0,0,1
"88",1,0,1
"89",0,0,1
"90",0,0,1
"91",2,0,1
"92",0,0,1
"93",0,0,1
"94",3,0,1
"95",0,0,1
"96",0,0,1
"97",2,0,1
"98",1,0,1
"99",0,0,1
"100",1,0,1
"101",2,0,1
"102",0,0,1
"103",2,0,1
"104",1,0,1
"105",0,0,1
"106",2,0,1
"107",2,0,1
"108",0,0,1
"109",1,0,1
"110",0,0,1
"111",0,0,1
"112",1,0,1
"113",2,0,1
"114",0,0,1
"115",0,0,1
"116",1,0,1
"117",1,0,1
"118",2,0,1
"119",0,0,1
"120",2,0,1
"121",2,0,1
"122",3,0,1
"123",0,0,1
"124",0,0,1
"125",0,0,1
"126",0,0,1
"127",0,0,1
"128",0,0,1
"129",0,0,1
"130",1,0,1
"131",0,0,1
"132",0,0,1
"133",0,0,1
"134",2,0,1
"135",0,0,1
"136",0,0,1
"137",0,0,1
"138",0,0,1
"139",1,0,1
"140",0,0,1
"141",2,0,1
"142",0,0,1
"143",0,0,1
"144",0,0,1
"145",2,0,1
"146",4,0,1
"147",4,0,1
"148",0,0,1
"149",0,0,1
"150",0,0,1
"151",0,0,1
"152",0,0,1
"153",0,0,1
"154",0,0,1
"155",1,0,1
"156",1,0,1
"157",0,0,1
"158",0,0,1
"159",1,0,1
"160",0,0,1
"161",0,0,1
"162",1,0,1
"163",1,0,1
"164",0,0,1
"165",1,0,1
"166",0,0,1
"167",0,0,1
"168",0,0,1
"169",0,0,1
"170",1,0,1
"171",2,0,1
"172",1,0,1
"173",0,0,1
"174",1,0,1
"175",3,0,1
"176",1,0,1
"177",3,0,1
"178",0,0,1
"179",2,0,1
"180",3,0,1
"181",1,0,1
"182",1,0,1
"183",2,0,1
"184",3,0,1
"185",0,0,1
"186",4,0,1
"187",0,0,1
"188",4,0,1
"189",3,0,1
"190",3,0,1
"191",2,0,1
"192",7,0,1
"193",1,0,1
"194",3,0,1
"195",4,0,1
"196",0,0,1
"197",1,0,1
"198",4,0,1
"199",4,0,1
"200",4,0,1
"201",1,0,1
"202",0,0,1
"203",0,0,1
"204",1,0,1
"205",1,0,1
"206",0,0,1
"207",1,0,1
"208",0,0,1
"209",0,0,1
"210",0,0,1
"211",3,0,1
"212",2,0,1
"213",0,0,1
"214",5,0,1
"215",1,0,1
"216",1,0,1
"217",0,0,1
"218",0,0,1
"219",0,0,1
"220",0,0,1
"221",2,0,1
"222",0,0,1
"223",2,0,1
"224",1,0,1
"225",3,0,1
"226",0,0,1
"227",0,0,1
"228",1,0,1
"229",0,0,1
"230",0,0,1
"231",1,0,1
"232",0,0,1
"233",2,0,1
"234",2,0,1
"235",0,0,1
"236",0,0,1
"237",0,0,1
"238",1,0,1
"239",1,0,1
"240",0,0,1
"241",0,0,1
"242",0,0,1
"243",0,0,1
"244",0,0,1
"245",0,0,1
"246",0,0,1
"247",0,0,1
"248",1,0,1
"249",1,0,1
"250",4,0,1
"251",0,0,1
"252",1,0,1
"253",0,0,1
"254",1,0,1
"255",4,0,1
"256",1,0,1
"257",1,0,1
"258",0,0,1
"259",1,0,1
"260",3,0,1
"261",6,0,1
"262",0,0,1
