"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",0,0,1
"3",0,0,1
"4",1,0,1
"5",0,0,1
"6",0,0,1
"7",0,0,1
"8",2,0,1
"9",0,0,1
"10",0,0,1
"11",0,0,1
"12",18,0,1
"13",0,0,1
"14",3,0,1
"15",0,0,1
"16",14,0,1
"17",20,0,1
"18",0,0,1
"19",0,0,1
"20",0,0,1
"21",4,0,1
"22",0,0,1
"23",23,0,1
"24",0,0,1
"25",5,0,1
"26",22,0,1
"27",20,0,1
"28",0,0,1
"29",9,0,1
"30",0,0,1
"31",0,0,1
"32",20,0,1
"33",7,0,1
"34",6,0,1
"35",0,0,1
"36",0,0,1
"37",49,0,1
"38",4,0,1
"39",2,0,1
"40",15,0,1
"41",1,0,1
"42",0,0,1
"43",0,0,1
"44",0,0,1
"45",2,0,1
"46",19,0,1
"47",16,0,1
"48",2,0,1
"49",0,0,1
"50",0,0,1
"51",0,0,1
"52",2,0,1
"53",2,0,1
"54",0,0,1
"55",0,0,1
"56",0,0,1
"57",22,0,1
"58",19,0,1
"59",15,0,1
"60",18,0,1
"61",13,0,1
"62",0,0,1
"63",0,0,1
"64",0,0,1
"65",0,0,1
"66",2,0,1
"67",0,0,1
"68",0,0,1
"69",0,0,1
"70",21,0,1
"71",21,0,1
"72",0,0,1
"73",72,0,1
"74",16,0,1
"75",22,0,1
"76",1,0,1
"77",0,0,1
"78",0,0,1
"79",6,0,1
"80",11,0,1
"81",0,0,1
"82",0,0,1
"83",0,0,1
"84",7,0,1
"85",0,0,1
"86",0,0,1
"87",0,0,1
"88",14,0,1
"89",9,0,1
"90",4,0,1
"91",0,0,1
"92",0,0,1
"93",2,0,1
"94",12,0,1
"95",1,0,1
"96",2,0,1
"97",5,0,1
"98",10,0,1
"99",1,0,1
"100",0,0,1
"101",7,0,1
"102",2,0,1
"103",0,0,1
"104",6,0,1
"105",0,0,1
"106",28,0,1
"107",15,0,1
"108",31,0,1
"109",13,0,1
"110",0,0,1
"111",12,0,1
"112",3,0,1
"113",1,0,1
"114",0,0,1
"115",0,0,1
"116",4,0,1
"117",4,0,1
"118",9,0,1
"119",0,0,1
"120",0,0,1
"121",0,0,1
"122",0,0,1
"123",0,0,1
"124",5,0,1
"125",7,0,1
"126",1,0,1
"127",0,0,1
"128",0,0,1
"129",53,0,1
"130",0,0,1
"131",4,0,1
"132",34,0,1
"133",8,0,1
"134",11,0,1
"135",0,0,1
"136",10,0,1
"137",0,0,1
"138",2,0,1
"139",5,0,1
"140",28,0,1
"141",22,0,1
"142",4,0,1
"143",16,0,1
"144",0,0,1
"145",0,0,1
"146",0,0,1
"147",0,0,1
"148",0,0,1
"149",0,0,1
"150",0,0,1
"151",3,0,1
"152",3,0,1
"153",3,0,1
"154",0,0,1
"155",0,0,1
"156",0,0,1
"157",2,0,1
