"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",12,0,1
"3",7,0,1
"4",10,0,1
"5",8,0,1
"6",10,0,1
"7",6,0,1
"8",3,0,1
"9",12,0,1
"10",9,0,1
"11",10,0,1
"12",14,0,1
"13",0,0,1
"14",2,0,1
"15",5,0,1
"16",5,0,1
"17",7,0,1
"18",7,0,1
"19",8,0,1
"20",3,0,1
"21",5,0,1
"22",5,0,1
"23",0,0,1
"24",58,0,1
"25",12,0,1
"26",13,0,1
"27",9,0,1
"28",14,0,1
"29",5,0,1
"30",8,0,1
"31",9,0,1
"32",10,0,1
"33",13,0,1
"34",4,0,1
"35",12,0,1
"36",14,0,1
"37",0,0,1
"38",5,0,1
"39",9,0,1
"40",7,0,1
"41",4,0,1
"42",7,0,1
"43",5,0,1
"44",4,0,1
"45",10,0,1
"46",0,0,1
"47",22,0,1
"48",6,0,1
"49",8,0,1
"50",4,0,1
"51",5,0,1
"52",7,0,1
"53",7,0,1
"54",6,0,1
"55",7,0,1
"56",13,0,1
"57",13,0,1
"58",0,0,1
"59",8,0,1
"60",8,0,1
"61",7,0,1
"62",6,0,1
"63",7,0,1
"64",7,0,1
"65",7,0,1
"66",6,0,1
"67",7,0,1
"68",13,0,1
"69",14,0,1
"70",0,0,1
"71",2,0,1
"72",4,0,1
"73",8,0,1
"74",3,0,1
"75",8,0,1
"76",2,0,1
"77",6,0,1
"78",4,0,1
"79",0,0,1
"80",5,0,1
"81",5,0,1
"82",4,0,1
"83",5,0,1
"84",5,0,1
"85",4,0,1
"86",5,0,1
"87",5,0,1
"88",0,0,1
"89",20,0,1
"90",0,0,1
"91",8,0,1
"92",7,0,1
"93",10,0,1
"94",5,0,1
"95",5,0,1
"96",0,0,1
"97",3,0,1
"98",8,0,1
"99",3,0,1
"100",6,0,1
"101",8,0,1
"102",6,0,1
"103",7,0,1
"104",13,0,1
"105",0,0,1
"106",0,0,1
"107",0,0,1
"108",0,0,1
"109",5,0,1
"110",1,0,1
"111",1,0,1
"112",1,0,1
"113",3,0,1
"114",4,0,1
"115",1,0,1
"116",2,0,1
"117",0,0,1
"118",6,0,1
"119",8,0,1
"120",5,0,1
"121",0,0,1
"122",8,0,1
"123",7,0,1
"124",11,0,1
"125",6,0,1
"126",9,0,1
"127",7,0,1
"128",9,0,1
"129",8,0,1
"130",8,0,1
"131",14,0,1
"132",5,0,1
"133",9,0,1
"134",0,0,1
"135",13,0,1
"136",13,0,1
"137",13,0,1
"138",8,0,1
"139",11,0,1
"140",10,0,1
"141",12,0,1
