"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0
"2",1,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0909090909090909,0.0909090909090909,0.136363636363636,0.181818181818182,0
"3",1,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0.285714285714286,0.142857142857143,0.285714285714286,0
"4",1,0,0,0.125,0.0625,0.125,0.125,0,0.375,0,0.1875,0,0
"5",1,0,0.0833333333333333,0.25,0,0,0.25,0.0833333333333333,0.166666666666667,0,0.166666666666667,0,0
"6",1,0,0.1875,0.1875,0,0.0625,0.1875,0,0.25,0.0625,0.0625,0,0
"7",1,0,0.333333333333333,0,0,0.166666666666667,0,0,0.5,0,0,0,0
"8",1,0,0,0.4,0.2,0,0.2,0,0,0,0,0.2,0
"9",1,0,0.208333333333333,0.25,0,0.0416666666666667,0.125,0,0.125,0.125,0.0833333333333333,0.0416666666666667,0
"10",1,0,0.0588235294117647,0.235294117647059,0.0588235294117647,0.0588235294117647,0.117647058823529,0,0.294117647058824,0.0588235294117647,0.117647058823529,0,0
"11",1,0,0,0.157894736842105,0.0526315789473684,0,0.0526315789473684,0.210526315789474,0,0.0526315789473684,0.105263157894737,0.368421052631579,0
"12",1,0,0.0769230769230769,0.153846153846154,0,0.0384615384615385,0.153846153846154,0.0384615384615385,0.346153846153846,0.0384615384615385,0.153846153846154,0,0
"13",0,1,0,0,0,0,0,0,0,0,0,0,0
"14",1,0,0,0,0.2,0,0,0.4,0,0,0,0.4,0
"15",1,0,0.153846153846154,0,0,0.230769230769231,0.0769230769230769,0,0.461538461538462,0,0.0769230769230769,0,0
"16",1,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0,0.363636363636364,0.0909090909090909,0.0909090909090909,0,0
"17",1,0,0.166666666666667,0,0,0.166666666666667,0.0833333333333333,0,0.25,0.0833333333333333,0.25,0,0
"18",1,0,0.0769230769230769,0.153846153846154,0.0769230769230769,0.230769230769231,0.0769230769230769,0,0.230769230769231,0.153846153846154,0,0,0
"19",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.142857142857143,0,0.357142857142857,0.0714285714285714,0.0714285714285714,0,0
"20",1,0,0,0,0,0,0.2,0.2,0,0.4,0,0.2,0
"21",1,0,0,0.181818181818182,0.0909090909090909,0,0,0.272727272727273,0,0.181818181818182,0,0.272727272727273,0
"22",1,0,0,0.111111111111111,0,0,0.222222222222222,0.111111111111111,0,0.333333333333333,0.111111111111111,0.111111111111111,0
"23",0,1,0,0,0,0,0,0,0,0,0,0,0
"24",1,0,0.0292207792207792,0.178571428571429,0.142857142857143,0.0162337662337662,0.0909090909090909,0.0681818181818182,0.0714285714285714,0.0844155844155844,0.13961038961039,0.178571428571429,0
"25",1,0,0.159574468085106,0.148936170212766,0.0212765957446809,0.0319148936170213,0.106382978723404,0.0425531914893617,0.191489361702128,0.191489361702128,0.0851063829787234,0.0212765957446809,0
"26",1,0,0,0.115384615384615,0.153846153846154,0.0384615384615385,0.115384615384615,0.0769230769230769,0,0.0384615384615385,0.346153846153846,0.115384615384615,0
"27",1,0,0.210526315789474,0.0526315789473684,0,0,0.105263157894737,0,0.157894736842105,0.368421052631579,0.105263157894737,0,0
"28",1,0,0.166666666666667,0.0333333333333333,0,0.133333333333333,0.133333333333333,0,0.266666666666667,0.266666666666667,0,0,0
"29",1,0,0,0.2,0,0.2,0,0,0,0,0.6,0,0
"30",1,0,0.137931034482759,0.0689655172413793,0,0.0344827586206897,0.172413793103448,0,0.241379310344828,0.275862068965517,0.0689655172413793,0,0
"31",1,0,0.0434782608695652,0.173913043478261,0,0.173913043478261,0.0434782608695652,0,0.391304347826087,0.0434782608695652,0.130434782608696,0,0
"32",1,0,0.115384615384615,0.153846153846154,0,0.115384615384615,0,0,0.307692307692308,0.0384615384615385,0.269230769230769,0,0
"33",1,0,0,0.163265306122449,0.0816326530612245,0,0.0816326530612245,0.183673469387755,0,0.183673469387755,0,0.306122448979592,0
"34",1,0,0,0.4,0,0,0.1,0,0.1,0.2,0,0.2,0
"35",1,0,0.146341463414634,0.0731707317073171,0,0.024390243902439,0.0731707317073171,0.121951219512195,0.146341463414634,0.341463414634146,0.0487804878048781,0.024390243902439,0
"36",1,0,0.0298507462686567,0.134328358208955,0.0447761194029851,0.104477611940299,0.104477611940299,0.0298507462686567,0.119402985074627,0.134328358208955,0.238805970149254,0.0597014925373134,0
"37",0,1,0,0,0,0,0,0,0,0,0,0,0
"38",1,0,0,0,0,0.176470588235294,0.470588235294118,0.117647058823529,0.0588235294117647,0.117647058823529,0.0588235294117647,0,0
"39",1,0,0.0666666666666667,0.2,0,0,0.266666666666667,0.2,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0
"40",1,0,0.105263157894737,0.0526315789473684,0,0.157894736842105,0.421052631578947,0.105263157894737,0.0526315789473684,0.105263157894737,0,0,0
"41",1,0,0,0,0,0.153846153846154,0.461538461538462,0.0769230769230769,0,0,0.230769230769231,0.0769230769230769,0
"42",1,0,0,0.0476190476190476,0,0.0476190476190476,0.333333333333333,0.285714285714286,0.0476190476190476,0.19047619047619,0.0476190476190476,0,0
"43",1,0,0,0,0.0909090909090909,0.0909090909090909,0.454545454545455,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0
"44",1,0,0.1,0,0,0.6,0,0,0.3,0,0,0,0
"45",1,0,0.111111111111111,0,0.166666666666667,0,0.277777777777778,0.222222222222222,0,0.0555555555555556,0.0555555555555556,0.111111111111111,0
"46",0,1,0,0,0,0,0,0,0,0,0,0,0
"47",1,0,0.00980392156862745,0.166666666666667,0.254901960784314,0,0.0686274509803922,0.0686274509803922,0.00980392156862745,0.0686274509803922,0.0686274509803922,0.284313725490196,0
"48",1,0,0,0.1,0.1,0.1,0.3,0,0,0.2,0.2,0,0
"49",1,0,0.0476190476190476,0.0952380952380952,0.0952380952380952,0.142857142857143,0.238095238095238,0.0476190476190476,0,0.0952380952380952,0,0.238095238095238,0
"50",1,0,0,0.2,0.2,0,0.4,0,0,0,0.2,0,0
"51",1,0,0.2,0,0,0.4,0.2,0,0,0,0.2,0,0
"52",1,0,0.142857142857143,0,0,0.142857142857143,0.285714285714286,0,0.142857142857143,0.214285714285714,0.0714285714285714,0,0
"53",1,0,0.0588235294117647,0.0588235294117647,0,0.0588235294117647,0.352941176470588,0.117647058823529,0.0588235294117647,0.176470588235294,0.117647058823529,0,0
"54",1,0,0.0909090909090909,0,0,0.272727272727273,0.272727272727273,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0
"55",1,0,0.117647058823529,0,0,0.235294117647059,0.294117647058824,0,0.117647058823529,0.176470588235294,0.0588235294117647,0,0
"56",1,0,0.0526315789473684,0.12280701754386,0.0175438596491228,0.0350877192982456,0.210526315789474,0.140350877192982,0.105263157894737,0.175438596491228,0.12280701754386,0.0175438596491228,0
"57",1,0,0.0576923076923077,0.115384615384615,0.0576923076923077,0.0192307692307692,0.153846153846154,0.0961538461538462,0.0961538461538462,0.230769230769231,0.134615384615385,0.0384615384615385,0
"58",0,1,0,0,0,0,0,0,0,0,0,0,0
"59",1,0,0.0526315789473684,0,0,0.0526315789473684,0.263157894736842,0.0526315789473684,0.263157894736842,0.210526315789474,0.105263157894737,0,0
"60",1,0,0.0476190476190476,0,0.0476190476190476,0.0476190476190476,0.142857142857143,0.142857142857143,0.0476190476190476,0.380952380952381,0.0952380952380952,0.0476190476190476,0
"61",1,0,0,0.105263157894737,0.0526315789473684,0.0526315789473684,0.210526315789474,0.105263157894737,0,0.0526315789473684,0.210526315789474,0.210526315789474,0
"62",1,0,0,0,0,0.0833333333333333,0.333333333333333,0,0.25,0.333333333333333,0,0,0
"63",1,0,0.04,0.08,0,0.16,0.24,0,0.24,0.12,0.12,0,0
"64",1,0,0.0769230769230769,0,0,0.0769230769230769,0.230769230769231,0,0.307692307692308,0.230769230769231,0.0769230769230769,0,0
"65",1,0,0.0625,0,0,0.3125,0.1875,0,0.3125,0,0.125,0,0
"66",1,0,0.0714285714285714,0,0,0.0714285714285714,0.285714285714286,0,0.357142857142857,0.214285714285714,0,0,0
"67",1,0,0,0,0.0714285714285714,0,0.214285714285714,0.0714285714285714,0,0.142857142857143,0.214285714285714,0.285714285714286,0
"68",1,0,0.0625,0.03125,0,0.1875,0.15625,0.03125,0.21875,0.203125,0.109375,0,0
"69",1,0,0,0.0740740740740741,0.037037037037037,0.037037037037037,0.111111111111111,0.12962962962963,0.037037037037037,0.111111111111111,0.259259259259259,0.203703703703704,0
"70",0,1,0,0,0,0,0,0,0,0,0,0,0
"71",1,0,0,0,0.2,0,0.2,0,0,0.2,0.2,0.2,0
"72",1,0,0.2,0,0,0.2,0,0,0.6,0,0,0,0
"73",1,0,0.105263157894737,0.105263157894737,0,0.157894736842105,0.210526315789474,0,0.263157894736842,0.105263157894737,0.0526315789473684,0,0
"74",1,0,0,0.1,0.1,0,0.3,0.1,0.1,0.3,0,0,0
"75",1,0,0,0.166666666666667,0.0555555555555556,0,0.277777777777778,0.111111111111111,0,0.111111111111111,0.166666666666667,0.111111111111111,0
"76",1,0,0,0.125,0,0,0.375,0.125,0.125,0.25,0,0,0
"77",1,0,0.294117647058824,0,0,0.411764705882353,0,0,0.294117647058824,0,0,0,0
"78",1,0,0,0.181818181818182,0.0909090909090909,0,0,0.272727272727273,0.181818181818182,0.272727272727273,0,0,0
"79",0,1,0,0,0,0,0,0,0,0,0,0,0
"80",1,0,0,0.0740740740740741,0.0740740740740741,0,0.259259259259259,0.185185185185185,0.037037037037037,0.037037037037037,0.148148148148148,0.185185185185185,0
"81",1,0,0,0.1,0.1,0,0.1,0,0,0.1,0.2,0.4,0
"82",1,0,0.133333333333333,0,0,0.0666666666666667,0.0666666666666667,0,0.333333333333333,0.133333333333333,0.266666666666667,0,0
"83",1,0,0,0,0.111111111111111,0,0.222222222222222,0.111111111111111,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111,0
"84",1,0,0.133333333333333,0,0,0.166666666666667,0.1,0,0.533333333333333,0.0666666666666667,0,0,0
"85",1,0,0,0.111111111111111,0.111111111111111,0,0.222222222222222,0.111111111111111,0,0.111111111111111,0.111111111111111,0.222222222222222,0
"86",1,0,0.0625,0.0625,0,0.25,0,0,0.375,0.0625,0.1875,0,0
"87",1,0,0.0434782608695652,0.0869565217391304,0.0434782608695652,0.130434782608696,0.173913043478261,0.0434782608695652,0.173913043478261,0.0434782608695652,0.173913043478261,0.0869565217391304,0
"88",0,1,0,0,0,0,0,0,0,0,0,0,0
"89",1,0,0.0458715596330275,0.174311926605505,0.0642201834862385,0.036697247706422,0.146788990825688,0.073394495412844,0.073394495412844,0.155963302752294,0.110091743119266,0.119266055045872,0
"90",1,0,0.363636363636364,0.0909090909090909,0,0,0,0,0,0.454545454545455,0,0.0909090909090909,0
"91",1,0,0.157894736842105,0.289473684210526,0.0526315789473684,0,0.131578947368421,0.0526315789473684,0.0789473684210526,0.131578947368421,0.0526315789473684,0.0526315789473684,0
"92",1,0,0.178571428571429,0.321428571428571,0.0714285714285714,0.214285714285714,0.0357142857142857,0,0.0357142857142857,0.0357142857142857,0.107142857142857,0,0
"93",1,0,0.157894736842105,0.184210526315789,0.0526315789473684,0,0.105263157894737,0.0789473684210526,0.0263157894736842,0.210526315789474,0.131578947368421,0.0526315789473684,0
