"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",138,0,1
"3",12,0,1
"4",1,0,1
"5",0,0,1
"6",0,0,1
"7",0,0,1
"8",0,0,1
"9",0,0,1
"10",0,0,1
"11",0,0,1
"12",0,0,1
"13",0,0,1
"14",0,0,1
"15",21,0,1
"16",3,0,1
"17",0,0,1
"18",0,0,1
"19",8,0,1
"20",8,0,1
"21",0,0,1
"22",0,0,1
"23",2,0,1
"24",18,0,1
"25",0,0,1
"26",11,0,1
"27",0,0,1
"28",0,0,1
"29",1,0,1
"30",1,0,1
"31",0,0,1
"32",11,0,1
"33",0,0,1
"34",0,0,1
"35",0,0,1
"36",6,0,1
"37",1,0,1
"38",0,0,1
"39",0,0,1
"40",0,0,1
"41",3,0,1
"42",0,0,1
"43",1,0,1
"44",1,0,1
"45",0,0,1
"46",0,0,1
"47",0,0,1
"48",3,0,1
"49",3,0,1
"50",2,0,1
"51",3,0,1
"52",1,0,1
"53",0,0,1
"54",2,0,1
"55",0,0,1
"56",0,0,1
"57",6,0,1
"58",3,0,1
"59",3,0,1
"60",1,0,1
"61",1,0,1
"62",3,0,1
"63",1,0,1
"64",1,0,1
"65",3,0,1
"66",0,0,1
"67",3,0,1
"68",4,0,1
"69",0,0,1
"70",1,0,1
"71",0,0,1
"72",0,0,1
"73",0,0,1
"74",0,0,1
"75",0,0,1
"76",0,0,1
"77",0,0,1
"78",1,0,1
"79",0,0,1
"80",0,0,1
"81",2,0,1
"82",4,0,1
"83",0,0,1
"84",0,0,1
"85",0,0,1
"86",0,0,1
"87",1,0,1
"88",0,0,1
"89",0,0,1
"90",0,0,1
"91",0,0,1
"92",0,0,1
"93",4,0,1
"94",10,0,1
"95",0,0,1
"96",2,0,1
"97",1,0,1
"98",0,0,1
"99",2,0,1
"100",0,0,1
"101",2,0,1
"102",0,0,1
"103",1,0,1
"104",0,0,1
"105",0,0,1
"106",2,0,1
"107",2,0,1
"108",2,0,1
"109",2,0,1
"110",0,0,1
"111",1,0,1
"112",2,0,1
"113",0,0,1
"114",2,0,1
"115",0,0,1
"116",1,0,1
"117",1,0,1
"118",2,0,1
"119",2,0,1
"120",0,0,1
"121",2,0,1
"122",0,0,1
"123",0,0,1
"124",0,0,1
"125",15,0,1
"126",2,0,1
"127",2,0,1
"128",14,0,1
"129",5,0,1
"130",0,0,1
"131",6,0,1
"132",0,0,1
"133",6,0,1
"134",2,0,1
"135",0,0,1
"136",0,0,1
"137",2,0,1
"138",0,0,1
"139",6,0,1
"140",3,0,1
"141",4,0,1
"142",1,0,1
"143",3,0,1
"144",0,0,1
"145",4,0,1
"146",6,0,1
"147",12,0,1
"148",0,0,1
"149",0,0,1
"150",1,0,1
"151",0,0,1
"152",1,0,1
"153",0,0,1
"154",2,0,1
"155",0,0,1
"156",2,0,1
"157",0,0,1
"158",2,0,1
"159",0,0,1
"160",0,0,1
"161",2,0,1
"162",0,0,1
"163",6,0,1
"164",2,0,1
"165",2,0,1
"166",0,0,1
"167",1,0,1
"168",0,0,1
"169",0,0,1
"170",0,0,1
"171",0,0,1
"172",0,0,1
"173",1,0,1
"174",0,0,1
"175",2,0,1
"176",0,0,1
"177",0,0,1
"178",3,0,1
"179",0,0,1
"180",1,0,1
"181",2,0,1
"182",2,0,1
"183",0,0,1
"184",0,0,1
"185",3,0,1
"186",4,0,1
"187",4,0,1
"188",5,0,1
"189",0,0,1
"190",0,0,1
"191",0,0,1
"192",0,0,1
"193",1,0,1
"194",0,0,1
"195",1,0,1
"196",0,0,1
"197",0,0,1
"198",0,0,1
"199",0,0,1
"200",9,0,1
"201",0,0,1
"202",2,0,1
"203",11,0,1
"204",8,0,1
"205",0,0,1
"206",2,0,1
"207",0,0,1
"208",0,0,1
"209",0,0,1
"210",0,0,1
"211",0,0,1
"212",0,0,1
"213",0,0,1
"214",1,0,1
"215",1,0,1
"216",0,0,1
"217",0,0,1
"218",2,0,1
"219",3,0,1
"220",0,0,1
"221",6,0,1
"222",1,0,1
"223",0,0,1
"224",0,0,1
"225",0,0,1
"226",0,0,1
"227",2,0,1
"228",2,0,1
"229",0,0,1
"230",0,0,1
"231",11,0,1
"232",5,0,1
"233",0,0,1
"234",0,0,1
"235",0,0,1
"236",0,0,1
"237",1,0,1
"238",0,0,1
"239",0,0,1
"240",0,0,1
"241",0,0,1
"242",0,0,1
"243",1,0,1
"244",1,0,1
"245",0,0,1
"246",1,0,1
"247",0,0,1
"248",0,0,1
"249",1,0,1
"250",0,0,1
"251",0,0,1
"252",0,0,1
"253",1,0,1
"254",2,0,1
"255",2,0,1
"256",2,0,1
"257",0,0,1
"258",4,0,1
"259",0,0,1
"260",3,0,1
"261",3,0,1
"262",2,0,1
"263",2,0,1
"264",1,0,1
"265",0,0,1
"266",0,0,1
"267",0,0,1
"268",1,0,1
"269",1,0,1
"270",0,0,1
"271",3,0,1
