"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0
"2",1,0,0.0289855072463768,0.173913043478261,0.123188405797101,0.036231884057971,0.13768115942029,0.0579710144927536,0.0579710144927536,0.0579710144927536,0.159420289855073,0.166666666666667,0
"3",1,0,0,0,0.166666666666667,0,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.0833333333333333,0,0
"4",1,0,1,0,0,0,0,0,0,0,0,0,0
"5",0,1,0,0,0,0,0,0,0,0,0,0,0
"6",0,1,0,0,0,0,0,0,0,0,0,0,0
"7",0,1,0,0,0,0,0,0,0,0,0,0,0
"8",0,1,0,0,0,0,0,0,0,0,0,0,0
"9",0,1,0,0,0,0,0,0,0,0,0,0,0
"10",0,1,0,0,0,0,0,0,0,0,0,0,0
"11",0,1,0,0,0,0,0,0,0,0,0,0,0
"12",0,1,0,0,0,0,0,0,0,0,0,0,0
"13",0,1,0,0,0,0,0,0,0,0,0,0,0
"14",0,1,0,0,0,0,0,0,0,0,0,0,0
"15",1,0,0.0952380952380952,0.285714285714286,0,0.19047619047619,0,0,0.0476190476190476,0.142857142857143,0.142857142857143,0.0952380952380952,0
"16",1,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0
"17",0,1,0,0,0,0,0,0,0,0,0,0,0
"18",0,1,0,0,0,0,0,0,0,0,0,0,0
"19",1,0,0,0.25,0.375,0,0,0,0.125,0,0.25,0,0
"20",1,0,0.125,0.375,0,0,0,0,0.25,0,0.25,0,0
"21",0,1,0,0,0,0,0,0,0,0,0,0,0
"22",0,1,0,0,0,0,0,0,0,0,0,0,0
"23",1,0,0,0,0.5,0,0,0,0,0.5,0,0,0
"24",1,0,0.222222222222222,0.277777777777778,0,0,0,0,0.166666666666667,0.111111111111111,0.222222222222222,0,0
"25",0,1,0,0,0,0,0,0,0,0,0,0,0
"26",1,0,0,0,0.181818181818182,0,0.0909090909090909,0.181818181818182,0,0.363636363636364,0.0909090909090909,0.0909090909090909,0
"27",0,1,0,0,0,0,0,0,0,0,0,0,0
"28",0,1,0,0,0,0,0,0,0,0,0,0,0
"29",1,0,0,1,0,0,0,0,0,0,0,0,0
"30",1,0,0,0,0,0,0,0,0,0,0,1,0
"31",0,1,0,0,0,0,0,0,0,0,0,0,0
"32",1,0,0.0909090909090909,0,0.0909090909090909,0,0.363636363636364,0,0.181818181818182,0.181818181818182,0.0909090909090909,0,0
"33",0,1,0,0,0,0,0,0,0,0,0,0,0
"34",0,1,0,0,0,0,0,0,0,0,0,0,0
"35",0,1,0,0,0,0,0,0,0,0,0,0,0
"36",1,0,0,0,0.5,0,0,0,0,0,0.5,0,0
"37",1,0,1,0,0,0,0,0,0,0,0,0,0
"38",0,1,0,0,0,0,0,0,0,0,0,0,0
"39",0,1,0,0,0,0,0,0,0,0,0,0,0
"40",0,1,0,0,0,0,0,0,0,0,0,0,0
"41",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0
"42",0,1,0,0,0,0,0,0,0,0,0,0,0
"43",1,0,0,1,0,0,0,0,0,0,0,0,0
"44",1,0,1,0,0,0,0,0,0,0,0,0,0
"45",0,1,0,0,0,0,0,0,0,0,0,0,0
"46",0,1,0,0,0,0,0,0,0,0,0,0,0
"47",0,1,0,0,0,0,0,0,0,0,0,0,0
"48",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0
"49",1,0,0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0,0,0
"50",1,0,0,0.5,0,0,0,0,0.5,0,0,0,0
"51",1,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0
"52",1,0,0,0,1,0,0,0,0,0,0,0,0
"53",0,1,0,0,0,0,0,0,0,0,0,0,0
"54",1,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"55",0,1,0,0,0,0,0,0,0,0,0,0,0
"56",0,1,0,0,0,0,0,0,0,0,0,0,0
"57",1,0,0,0,0.166666666666667,0,0.166666666666667,0,0,0,0.333333333333333,0.333333333333333,0
"58",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0
"59",1,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0
"60",1,0,0,1,0,0,0,0,0,0,0,0,0
"61",1,0,1,0,0,0,0,0,0,0,0,0,0
"62",1,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0
"63",1,0,0,0,0,0,0,0,0,0,1,0,0
"64",1,0,0,0,0,0,0,0,1,0,0,0,0
"65",1,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0
"66",0,1,0,0,0,0,0,0,0,0,0,0,0
"67",1,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0
"68",1,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0,0
"69",0,1,0,0,0,0,0,0,0,0,0,0,0
"70",1,0,0,1,0,0,0,0,0,0,0,0,0
"71",0,1,0,0,0,0,0,0,0,0,0,0,0
"72",0,1,0,0,0,0,0,0,0,0,0,0,0
"73",0,1,0,0,0,0,0,0,0,0,0,0,0
"74",0,1,0,0,0,0,0,0,0,0,0,0,0
"75",0,1,0,0,0,0,0,0,0,0,0,0,0
"76",0,1,0,0,0,0,0,0,0,0,0,0,0
"77",0,1,0,0,0,0,0,0,0,0,0,0,0
"78",1,0,0,1,0,0,0,0,0,0,0,0,0
"79",0,1,0,0,0,0,0,0,0,0,0,0,0
"80",0,1,0,0,0,0,0,0,0,0,0,0,0
"81",1,0,0.5,0,0,0,0,0,0,0,0.5,0,0
"82",1,0,0,0,0.25,0,0.25,0,0,0.25,0.25,0,0
"83",0,1,0,0,0,0,0,0,0,0,0,0,0
"84",0,1,0,0,0,0,0,0,0,0,0,0,0
"85",0,1,0,0,0,0,0,0,0,0,0,0,0
"86",0,1,0,0,0,0,0,0,0,0,0,0,0
"87",1,0,0,1,0,0,0,0,0,0,0,0,0
"88",0,1,0,0,0,0,0,0,0,0,0,0,0
"89",0,1,0,0,0,0,0,0,0,0,0,0,0
