"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",10,0,1
"3",3,0,1
"4",12,0,1
"5",17,0,1
"6",12,0,1
"7",15,0,1
"8",1,0,1
"9",5,0,1
"10",5,0,1
"11",6,0,1
"12",0,0,1
"13",8,0,1
"14",9,0,1
"15",5,0,1
"16",3,0,1
"17",8,0,1
"18",5,0,1
"19",7,0,1
"20",9,0,1
"21",10,0,1
"22",4,0,1
"23",0,0,1
"24",17,0,1
"25",0,0,1
"26",1,0,1
"27",0,0,1
"28",0,0,1
"29",2,0,1
"30",4,0,1
"31",3,0,1
"32",5,0,1
"33",4,0,1
"34",3,0,1
"35",12,0,1
"36",0,0,1
"37",5,0,1
"38",6,0,1
"39",8,0,1
"40",6,0,1
"41",15,0,1
"42",6,0,1
"43",1,0,1
"44",5,0,1
"45",9,0,1
"46",6,0,1
"47",4,0,1
"48",0,0,1
"49",25,0,1
"50",14,0,1
"51",10,0,1
"52",5,0,1
"53",10,0,1
"54",14,0,1
"55",15,0,1
"56",5,0,1
"57",9,0,1
"58",5,0,1
"59",12,0,1
"60",5,0,1
"61",13,0,1
"62",2,0,1
"63",0,0,1
"64",6,0,1
"65",4,0,1
"66",2,0,1
"67",8,0,1
"68",5,0,1
"69",2,0,1
"70",8,0,1
"71",2,0,1
"72",3,0,1
"73",7,0,1
"74",5,0,1
"75",6,0,1
"76",8,0,1
"77",0,0,1
"78",50,0,1
"79",16,0,1
"80",19,0,1
"81",5,0,1
"82",19,0,1
"83",4,0,1
"84",7,0,1
"85",13,0,1
"86",13,0,1
"87",8,0,1
"88",21,0,1
"89",15,0,1
"90",0,0,1
"91",18,0,1
"92",14,0,1
"93",13,0,1
"94",1,0,1
"95",4,0,1
"96",6,0,1
"97",4,0,1
"98",4,0,1
"99",0,0,1
"100",4,0,1
"101",1,0,1
"102",9,0,1
"103",18,0,1
"104",18,0,1
"105",0,0,1
"106",12,0,1
"107",13,0,1
"108",2,0,1
"109",9,0,1
"110",2,0,1
"111",17,0,1
"112",3,0,1
"113",2,0,1
"114",9,0,1
"115",13,0,1
"116",0,0,1
"117",81,0,1
"118",30,0,1
"119",17,0,1
"120",27,0,1
"121",19,0,1
"122",35,0,1
"123",4,0,1
