"","FBL_number","No_FBL","FBL"
"1",0,0,1
"2",0,0,1
"3",4,0,1
"4",22,0,1
"5",0,0,1
"6",59,0,1
"7",69,0,1
"8",0,0,1
"9",11,0,1
"10",0,0,1
"11",19,0,1
"12",0,0,1
"13",0,0,1
"14",0,0,1
"15",0,0,1
"16",8,0,1
"17",0,0,1
"18",45,0,1
"19",58,0,1
"20",0,0,1
"21",0,0,1
"22",33,0,1
"23",0,0,1
"24",17,0,1
"25",0,0,1
"26",0,0,1
"27",0,0,1
"28",1,0,1
"29",0,0,1
"30",0,0,1
"31",0,0,1
"32",0,0,1
"33",0,0,1
"34",0,0,1
"35",0,0,1
"36",0,0,1
"37",10,0,1
"38",0,0,1
"39",0,0,1
"40",0,0,1
"41",0,0,1
"42",0,0,1
"43",0,0,1
"44",63,0,1
"45",87,0,1
"46",0,0,1
"47",137,0,1
"48",0,0,1
"49",155,0,1
"50",94,0,1
"51",384,0,1
"52",82,0,1
"53",102,0,1
"54",0,0,1
"55",0,0,1
"56",108,0,1
"57",0,0,1
"58",0,0,1
"59",190,0,1
"60",0,0,1
"61",0,0,1
"62",0,0,1
"63",0,0,1
"64",193,0,1
"65",0,0,1
"66",72,0,1
"67",109,0,1
"68",130,0,1
"69",0,0,1
"70",0,0,1
"71",0,0,1
"72",0,0,1
"73",0,0,1
"74",0,0,1
"75",0,0,1
"76",0,0,1
"77",0,0,1
"78",679,0,1
"79",0,0,1
"80",0,0,1
"81",50,0,1
"82",0,0,1
"83",0,0,1
"84",0,0,1
"85",84,0,1
"86",0,0,1
"87",160,0,1
"88",0,0,1
"89",199,0,1
"90",0,0,1
"91",92,0,1
"92",76,0,1
"93",56,0,1
"94",0,0,1
"95",29,0,1
"96",61,0,1
"97",29,0,1
"98",0,0,1
"99",11,0,1
"100",0,0,1
"101",0,0,1
"102",0,0,1
"103",0,0,1
"104",0,0,1
"105",0,0,1
"106",59,0,1
"107",0,0,1
"108",0,0,1
"109",111,0,1
"110",5,0,1
"111",0,0,1
"112",26,0,1
"113",7,0,1
"114",0,0,1
"115",12,0,1
"116",0,0,1
"117",1829,0,1
"118",0,0,1
"119",358,0,1
"120",0,0,1
"121",358,0,1
"122",0,0,1
"123",71,0,1
"124",0,0,1
"125",0,0,1
"126",223,0,1
"127",0,0,1
"128",0,0,1
"129",95,0,1
"130",111,0,1
"131",0,0,1
"132",0,0,1
"133",0,0,1
"134",0,0,1
"135",0,0,1
"136",44,0,1
"137",15,0,1
"138",0,0,1
"139",54,0,1
"140",41,0,1
"141",0,0,1
"142",0,0,1
"143",210,0,1
"144",19,0,1
"145",135,0,1
"146",0,0,1
"147",141,0,1
"148",140,0,1
"149",222,0,1
"150",0,0,1
"151",135,0,1
"152",0,0,1
"153",91,0,1
"154",0,0,1
"155",0,0,1
"156",8,0,1
"157",0,0,1
