"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",2,0,1
"3",1,0,1
"4",3,0,1
"5",1,0,1
"6",2,0,1
"7",6,0,1
"8",2,0,1
"9",0,0,1
"10",2,0,1
"11",1,0,1
"12",0,0,1
"13",0,0,1
"14",0,0,1
"15",0,0,1
"16",0,0,1
"17",0,0,1
"18",0,0,1
"19",0,0,1
"20",0,0,1
"21",0,0,1
"22",0,0,1
"23",0,0,1
"24",6,0,1
"25",0,0,1
"26",0,0,1
"27",0,0,1
"28",0,0,1
"29",0,0,1
"30",0,0,1
"31",1,0,1
"32",1,0,1
"33",0,0,1
"34",1,0,1
"35",0,0,1
"36",2,0,1
"37",3,0,1
"38",1,0,1
"39",1,0,1
"40",7,0,1
"41",1,0,1
"42",1,0,1
"43",0,0,1
"44",6,0,1
"45",0,0,1
"46",1,0,1
"47",0,0,1
"48",0,0,1
"49",1,0,1
"50",5,0,1
"51",0,0,1
"52",0,0,1
"53",1,0,1
"54",5,0,1
"55",0,0,1
"56",1,0,1
"57",0,0,1
"58",3,0,1
"59",4,0,1
"60",0,0,1
"61",0,0,1
"62",2,0,1
"63",0,0,1
"64",0,0,1
"65",2,0,1
"66",1,0,1
"67",2,0,1
"68",0,0,1
"69",1,0,1
"70",1,0,1
"71",1,0,1
"72",0,0,1
"73",9,0,1
"74",1,0,1
"75",1,0,1
"76",0,0,1
"77",2,0,1
"78",3,0,1
"79",1,0,1
"80",2,0,1
"81",3,0,1
"82",1,0,1
"83",2,0,1
"84",2,0,1
"85",0,0,1
"86",0,0,1
"87",3,0,1
"88",1,0,1
"89",0,0,1
"90",0,0,1
"91",0,0,1
"92",0,0,1
"93",0,0,1
"94",0,0,1
"95",0,0,1
"96",0,0,1
"97",0,0,1
"98",2,0,1
"99",0,0,1
"100",3,0,1
"101",5,0,1
"102",2,0,1
"103",1,0,1
"104",2,0,1
"105",5,0,1
"106",2,0,1
"107",3,0,1
"108",2,0,1
"109",2,0,1
"110",0,0,1
"111",11,0,1
"112",5,0,1
"113",1,0,1
"114",4,0,1
"115",2,0,1
"116",5,0,1
"117",3,0,1
"118",4,0,1
"119",2,0,1
"120",4,0,1
"121",0,0,1
"122",3,0,1
"123",7,0,1
"124",5,0,1
"125",2,0,1
"126",1,0,1
"127",4,0,1
"128",1,0,1
"129",3,0,1
"130",2,0,1
"131",4,0,1
"132",2,0,1
"133",0,0,1
"134",0,0,1
"135",2,0,1
"136",1,0,1
"137",1,0,1
"138",1,0,1
"139",1,0,1
"140",0,0,1
"141",0,0,1
"142",0,0,1
"143",0,0,1
"144",1,0,1
"145",0,0,1
"146",0,0,1
"147",0,0,1
"148",0,0,1
"149",1,0,1
"150",2,0,1
"151",2,0,1
"152",5,0,1
"153",2,0,1
"154",3,0,1
