"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",94,0,1
"3",0,0,1
"4",0,0,1
"5",0,0,1
"6",5,0,1
"7",75,0,1
"8",13,0,1
"9",50,0,1
"10",7,0,1
"11",0,0,1
"12",34,0,1
"13",0,0,1
"14",42,0,1
"15",6,0,1
"16",6,0,1
"17",10,0,1
"18",98,0,1
"19",1,0,1
"20",0,0,1
"21",0,0,1
"22",9,0,1
"23",8,0,1
"24",0,0,1
"25",0,0,1
"26",10,0,1
"27",0,0,1
"28",115,0,1
"29",0,0,1
"30",2,0,1
"31",96,0,1
"32",0,0,1
"33",5,0,1
"34",6,0,1
"35",29,0,1
"36",0,0,1
"37",0,0,1
"38",23,0,1
"39",0,0,1
"40",2,0,1
"41",115,0,1
"42",0,0,1
"43",0,0,1
"44",18,0,1
"45",0,0,1
"46",0,0,1
"47",0,0,1
"48",0,0,1
"49",0,0,1
"50",1,0,1
"51",91,0,1
"52",0,0,1
"53",0,0,1
"54",0,0,1
"55",0,0,1
"56",0,0,1
"57",0,0,1
"58",0,0,1
"59",0,0,1
"60",0,0,1
"61",0,0,1
"62",0,0,1
"63",8,0,1
"64",0,0,1
"65",0,0,1
"66",0,0,1
"67",0,0,1
"68",2,0,1
"69",0,0,1
"70",0,0,1
"71",5,0,1
"72",0,0,1
"73",0,0,1
"74",7,0,1
"75",3,0,1
"76",57,0,1
"77",0,0,1
"78",0,0,1
"79",1,0,1
"80",0,0,1
"81",0,0,1
"82",8,0,1
"83",8,0,1
"84",33,0,1
"85",4,0,1
"86",9,0,1
"87",0,0,1
"88",10,0,1
"89",1,0,1
"90",8,0,1
"91",0,0,1
"92",0,0,1
"93",0,0,1
"94",5,0,1
"95",10,0,1
"96",0,0,1
"97",10,0,1
"98",0,0,1
"99",10,0,1
"100",7,0,1
"101",0,0,1
"102",18,0,1
"103",0,0,1
"104",16,0,1
"105",5,0,1
"106",0,0,1
"107",21,0,1
"108",32,0,1
"109",0,0,1
"110",1,0,1
"111",35,0,1
"112",0,0,1
"113",11,0,1
"114",0,0,1
"115",0,0,1
"116",3,0,1
"117",2,0,1
"118",5,0,1
"119",0,0,1
"120",43,0,1
"121",36,0,1
"122",10,0,1
"123",0,0,1
"124",44,0,1
"125",10,0,1
"126",0,0,1
"127",0,0,1
"128",0,0,1
"129",0,0,1
"130",1,0,1
"131",7,0,1
"132",0,0,1
"133",10,0,1
"134",1,0,1
"135",6,0,1
"136",21,0,1
"137",11,0,1
"138",3,0,1
"139",0,0,1
"140",34,0,1
"141",0,0,1
"142",9,0,1
"143",3,0,1
"144",0,0,1
"145",0,0,1
"146",8,0,1
"147",23,0,1
"148",4,0,1
"149",5,0,1
"150",0,0,1
"151",9,0,1
"152",0,0,1
"153",54,0,1
"154",3,0,1
"155",0,0,1
"156",0,0,1
"157",1,0,1
"158",70,0,1
"159",0,0,1
"160",24,0,1
"161",2,0,1
"162",0,0,1
"163",56,0,1
"164",2,0,1
"165",0,0,1
"166",29,0,1
"167",0,0,1
"168",0,0,1
