"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",0,0,1
"3",0,0,1
"4",0,0,1
"5",0,0,1
"6",0,0,1
"7",0,0,1
"8",0,0,1
"9",0,0,1
"10",0,0,1
"11",0,0,1
"12",0,0,1
"13",0,0,1
"14",0,0,1
"15",0,0,1
"16",0,0,1
"17",0,0,1
"18",0,0,1
"19",0,0,1
"20",0,0,1
"21",0,0,1
"22",0,0,1
"23",0,0,1
"24",1,0,1
"25",5,0,1
"26",1,0,1
"27",5,0,1
"28",1,0,1
"29",0,0,1
"30",5,0,1
"31",6,0,1
"32",0,0,1
"33",6,0,1
"34",5,0,1
"35",5,0,1
"36",5,0,1
"37",0,0,1
"38",2,0,1
"39",0,0,1
"40",6,0,1
"41",0,0,1
"42",4,0,1
"43",3,0,1
"44",0,0,1
"45",3,0,1
"46",0,0,1
"47",0,0,1
"48",0,0,1
"49",1,0,1
"50",0,0,1
"51",0,0,1
"52",2,0,1
"53",1,0,1
"54",1,0,1
"55",1,0,1
"56",0,0,1
"57",0,0,1
"58",0,0,1
"59",31,0,1
"60",25,0,1
"61",10,0,1
"62",29,0,1
"63",26,0,1
"64",9,0,1
"65",13,0,1
"66",30,0,1
"67",13,0,1
"68",26,0,1
"69",31,0,1
"70",0,0,1
"71",0,0,1
"72",4,0,1
"73",0,0,1
"74",0,0,1
"75",0,0,1
"76",0,0,1
"77",3,0,1
"78",0,0,1
"79",0,0,1
"80",16,0,1
"81",1,0,1
"82",19,0,1
"83",9,0,1
"84",28,0,1
"85",2,0,1
"86",23,0,1
"87",31,0,1
"88",0,0,1
"89",7,0,1
"90",0,0,1
"91",7,0,1
"92",3,0,1
"93",7,0,1
"94",9,0,1
"95",18,0,1
"96",0,0,1
"97",12,0,1
"98",13,0,1
"99",0,0,1
"100",1,0,1
"101",3,0,1
"102",4,0,1
"103",5,0,1
"104",32,0,1
"105",0,0,1
"106",75,0,1
"107",53,0,1
"108",42,0,1
"109",97,0,1
"110",28,0,1
"111",46,0,1
"112",32,0,1
"113",35,0,1
"114",48,0,1
"115",1,0,1
"116",32,0,1
"117",70,0,1
"118",90,0,1
"119",70,0,1
"120",95,0,1
"121",0,0,1
"122",0,0,1
"123",2,0,1
"124",0,0,1
"125",0,0,1
"126",0,0,1
"127",0,0,1
"128",0,0,1
"129",0,0,1
"130",0,0,1
"131",2,0,1
"132",0,0,1
"133",0,0,1
"134",0,0,1
"135",0,0,1
"136",4,0,1
"137",1,0,1
"138",0,0,1
"139",0,0,1
"140",0,0,1
"141",0,0,1
"142",0,0,1
"143",1,0,1
"144",0,0,1
"145",3,0,1
"146",4,0,1
"147",0,0,1
"148",25,0,1
"149",18,0,1
"150",17,0,1
"151",27,0,1
"152",2,0,1
"153",21,0,1
"154",9,0,1
"155",24,0,1
"156",24,0,1
"157",12,0,1
