"","FBL_number","No_FBL","FBL"
"1",0,0,1
"2",39,0,1
"3",91,0,1
"4",0,0,1
"5",60,0,1
"6",66,0,1
"7",68,0,1
"8",45,0,1
"9",9,0,1
"10",38,0,1
"11",0,0,1
"12",164,0,1
"13",68,0,1
"14",13,0,1
"15",3,0,1
"16",59,0,1
"17",0,0,1
"18",65,0,1
"19",0,0,1
"20",0,0,1
"21",25,0,1
"22",54,0,1
"23",0,0,1
"24",38,0,1
"25",12,0,1
"26",23,0,1
"27",28,0,1
"28",41,0,1
"29",32,0,1
"30",0,0,1
"31",0,0,1
"32",84,0,1
"33",44,0,1
"34",4,0,1
"35",7,0,1
"36",96,0,1
"37",127,0,1
"38",65,0,1
"39",219,0,1
"40",0,0,1
"41",0,0,1
"42",33,0,1
"43",5,0,1
"44",152,0,1
"45",25,0,1
"46",61,0,1
"47",112,0,1
"48",42,0,1
"49",75,0,1
"50",0,0,1
"51",112,0,1
"52",365,0,1
"53",121,0,1
"54",113,0,1
"55",27,0,1
"56",515,0,1
"57",495,0,1
"58",242,0,1
"59",65,0,1
"60",219,0,1
"61",0,0,1
"62",75,0,1
"63",31,0,1
"64",36,0,1
"65",29,0,1
"66",16,0,1
"67",31,0,1
"68",31,0,1
"69",72,0,1
"70",62,0,1
"71",125,0,1
"72",0,0,1
"73",107,0,1
"74",304,0,1
"75",42,0,1
"76",140,0,1
"77",197,0,1
"78",280,0,1
"79",165,0,1
"80",253,0,1
"81",88,0,1
"82",0,0,1
"83",120,0,1
"84",62,0,1
"85",219,0,1
"86",127,0,1
"87",164,0,1
"88",195,0,1
"89",33,0,1
"90",1,0,1
"91",323,0,1
"92",127,0,1
"93",0,0,1
"94",90,0,1
"95",110,0,1
"96",227,0,1
"97",172,0,1
"98",131,0,1
"99",0,0,1
"100",131,0,1
"101",45,0,1
"102",22,0,1
"103",101,0,1
"104",266,0,1
"105",134,0,1
"106",0,0,1
"107",127,0,1
"108",33,0,1
"109",109,0,1
"110",260,0,1
"111",10,0,1
"112",99,0,1
"113",16,0,1
"114",67,0,1
"115",4,0,1
"116",78,0,1
"117",18,0,1
"118",1,0,1
"119",103,0,1
"120",0,0,1
"121",0,0,1
"122",26,0,1
"123",0,0,1
"124",0,0,1
"125",13,0,1
"126",0,0,1
"127",0,0,1
"128",0,0,1
"129",0,0,1
"130",94,0,1
"131",21,0,1
"132",0,0,1
"133",0,0,1
"134",0,0,1
"135",105,0,1
"136",0,0,1
"137",0,0,1
"138",0,0,1
"139",0,0,1
"140",0,0,1
"141",0,0,1
"142",144,0,1
"143",59,0,1
"144",59,0,1
"145",0,0,1
"146",235,0,1
"147",232,0,1
"148",98,0,1
"149",322,0,1
"150",62,0,1
"151",122,0,1
"152",17,0,1
"153",220,0,1
"154",520,0,1
"155",0,0,1
"156",61,0,1
"157",91,0,1
"158",29,0,1
"159",130,0,1
"160",88,0,1
"161",33,0,1
"162",116,0,1
"163",61,0,1
"164",86,0,1
"165",176,0,1
"166",0,0,1
"167",48,0,1
"168",199,0,1
"169",201,0,1
"170",197,0,1
