"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",0,0,1
"3",0,0,1
"4",0,0,1
"5",0,0,1
"6",0,0,1
"7",0,0,1
"8",0,0,1
"9",0,0,1
"10",0,0,1
"11",0,0,1
"12",0,0,1
"13",0,0,1
"14",0,0,1
"15",0,0,1
"16",0,0,1
"17",0,0,1
"18",0,0,1
"19",0,0,1
"20",0,0,1
"21",0,0,1
"22",0,0,1
"23",0,0,1
"24",1,0,1
"25",2,0,1
"26",1,0,1
"27",2,0,1
"28",1,0,1
"29",0,0,1
"30",2,0,1
"31",2,0,1
"32",0,0,1
"33",2,0,1
"34",2,0,1
"35",2,0,1
"36",2,0,1
"37",0,0,1
"38",0,0,1
"39",0,0,1
"40",3,0,1
"41",0,0,1
"42",2,0,1
"43",0,0,1
"44",0,0,1
"45",0,0,1
"46",0,0,1
"47",1,0,1
"48",0,0,1
"49",1,0,1
"50",0,0,1
"51",0,0,1
"52",1,0,1
"53",1,0,1
"54",1,0,1
"55",2,0,1
"56",2,0,1
"57",0,0,1
"58",0,0,1
"59",8,0,1
"60",8,0,1
"61",5,0,1
"62",6,0,1
"63",8,0,1
"64",4,0,1
"65",5,0,1
"66",7,0,1
"67",5,0,1
"68",6,0,1
"69",7,0,1
"70",0,0,1
"71",0,0,1
"72",0,0,1
"73",0,0,1
"74",0,0,1
"75",0,0,1
"76",0,0,1
"77",0,0,1
"78",0,0,1
"79",0,0,1
"80",1,0,1
"81",0,0,1
"82",3,0,1
"83",2,0,1
"84",3,0,1
"85",0,0,1
"86",3,0,1
"87",3,0,1
"88",0,0,1
"89",5,0,1
"90",0,0,1
"91",4,0,1
"92",4,0,1
"93",5,0,1
"94",5,0,1
"95",6,0,1
"96",0,0,1
"97",4,0,1
"98",4,0,1
"99",0,0,1
"100",1,0,1
"101",3,0,1
"102",2,0,1
"103",3,0,1
"104",5,0,1
"105",0,0,1
"106",0,0,1
"107",0,0,1
"108",0,0,1
"109",0,0,1
"110",0,0,1
"111",0,0,1
"112",0,0,1
"113",0,0,1
"114",0,0,1
"115",0,0,1
"116",0,0,1
"117",0,0,1
"118",0,0,1
"119",0,0,1
"120",0,0,1
"121",0,0,1
"122",0,0,1
"123",0,0,1
"124",2,0,1
"125",1,0,1
"126",2,0,1
"127",2,0,1
"128",2,0,1
"129",1,0,1
"130",2,0,1
"131",3,0,1
"132",0,0,1
"133",2,0,1
"134",0,0,1
"135",1,0,1
"136",4,0,1
"137",2,0,1
"138",0,0,1
"139",0,0,1
"140",1,0,1
"141",1,0,1
"142",1,0,1
"143",3,0,1
"144",0,0,1
"145",4,0,1
"146",5,0,1
"147",0,0,1
"148",0,0,1
"149",0,0,1
"150",0,0,1
"151",0,0,1
"152",0,0,1
"153",0,0,1
"154",0,0,1
"155",0,0,1
"156",0,0,1
"157",0,0,1
