"","FBL_number","No_FBL","FBL"
"1",0,0,1
"2",0,0,1
"3",47,0,1
"4",163,0,1
"5",0,0,1
"6",0,0,1
"7",76,0,1
"8",0,0,1
"9",2044,0,1
"10",0,0,1
"11",0,0,1
"12",591,0,1
"13",0,0,1
"14",313,0,1
"15",1121,0,1
"16",310,0,1
"17",832,0,1
"18",641,0,1
"19",0,0,1
"20",591,0,1
"21",312,0,1
"22",161,0,1
"23",0,0,1
"24",275,0,1
"25",59,0,1
"26",0,0,1
"27",153,0,1
"28",1,0,1
"29",4,0,1
"30",0,0,1
"31",1090,0,1
"32",1082,0,1
"33",343,0,1
"34",23,0,1
"35",541,0,1
"36",41,0,1
"37",182,0,1
"38",321,0,1
"39",0,0,1
"40",31,0,1
"41",407,0,1
"42",0,0,1
"43",457,0,1
"44",1,0,1
"45",112,0,1
"46",3,0,1
"47",71,0,1
"48",181,0,1
"49",44,0,1
"50",0,0,1
"51",317,0,1
"52",5,0,1
"53",0,0,1
"54",0,0,1
"55",0,0,1
"56",430,0,1
"57",411,0,1
"58",533,0,1
"59",0,0,1
"60",1079,0,1
"61",754,0,1
"62",0,0,1
"63",0,0,1
"64",156,0,1
"65",317,0,1
"66",391,0,1
"67",8,0,1
"68",7,0,1
"69",262,0,1
"70",475,0,1
"71",0,0,1
"72",555,0,1
"73",0,0,1
"74",208,0,1
"75",0,0,1
"76",88,0,1
"77",0,0,1
"78",69,0,1
"79",329,0,1
"80",0,0,1
"81",587,0,1
"82",245,0,1
"83",6,0,1
"84",0,0,1
"85",193,0,1
"86",210,0,1
"87",0,0,1
"88",0,0,1
"89",0,0,1
"90",19,0,1
"91",0,0,1
"92",0,0,1
"93",0,0,1
"94",510,0,1
"95",1,0,1
"96",124,0,1
"97",0,0,1
"98",94,0,1
"99",244,0,1
"100",0,0,1
"101",0,0,1
"102",90,0,1
"103",0,0,1
"104",0,0,1
"105",0,0,1
"106",635,0,1
"107",660,0,1
"108",252,0,1
"109",0,0,1
"110",0,0,1
"111",0,0,1
"112",806,0,1
"113",1200,0,1
"114",192,0,1
"115",0,0,1
"116",0,0,1
"117",341,0,1
"118",340,0,1
"119",243,0,1
"120",120,0,1
"121",9,0,1
"122",0,0,1
"123",0,0,1
"124",0,0,1
"125",17,0,1
"126",0,0,1
"127",0,0,1
"128",8,0,1
"129",0,0,1
"130",4,0,1
"131",2,0,1
"132",0,0,1
"133",0,0,1
"134",3,0,1
"135",0,0,1
"136",189,0,1
"137",0,0,1
"138",219,0,1
"139",156,0,1
"140",79,0,1
"141",0,0,1
"142",58,0,1
"143",0,0,1
"144",143,0,1
"145",0,0,1
"146",4911,0,1
"147",16,0,1
"148",1699,0,1
"149",337,0,1
"150",51,0,1
"151",0,0,1
"152",1085,0,1
"153",2327,0,1
"154",1658,0,1
"155",667,0,1
"156",0,0,1
