"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0
"2",1,0,0.0656108597285068,0.16289592760181,0.081447963800905,0.0656108597285068,0.122171945701358,0.0429864253393665,0.113122171945701,0.1289592760181,0.115384615384616,0.101809954751131,0
"3",1,0,0,0,0,0,1,0,0,0,0,0,0
"4",0,1,0,0,0,0,0,0,0,0,0,0,0
"5",0,1,0,0,0,0,0,0,0,0,0,0,0
"6",1,0,0,0.166666666666667,0.333333333333333,0,0,0,0,0,0,0.5,0
"7",1,0,0.0529801324503311,0.142384105960265,0.0794701986754967,0.0529801324503311,0.122516556291391,0.0364238410596027,0.132450331125828,0.145695364238411,0.129139072847682,0.105960264900662,0
"8",1,0,0,0.0869565217391304,0.173913043478261,0,0.130434782608696,0,0.173913043478261,0.0869565217391304,0.130434782608696,0.217391304347826,0
"9",1,0,0.0637450199203187,0.123505976095617,0.0637450199203187,0.0597609561752988,0.127490039840637,0.0517928286852589,0.143426294820717,0.167330677290837,0.103585657370518,0.095617529880478,0
"10",1,0,0,0.181818181818182,0.181818181818182,0,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0.181818181818182,0
"11",0,1,0,0,0,0,0,0,0,0,0,0,0
"12",1,0,0.0363636363636364,0.109090909090909,0.109090909090909,0.0454545454545455,0.127272727272727,0.0818181818181818,0.0727272727272727,0.154545454545455,0.109090909090909,0.154545454545455,0
"13",0,1,0,0,0,0,0,0,0,0,0,0,0
"14",1,0,0.0296296296296296,0.0962962962962963,0.103703703703704,0.0518518518518518,0.140740740740741,0.0666666666666667,0.0888888888888889,0.155555555555556,0.133333333333333,0.133333333333333,0
"15",1,0,0,0.285714285714286,0.285714285714286,0,0.142857142857143,0,0,0.285714285714286,0,0,0
"16",1,0,0,0,0.4,0,0.2,0,0,0.2,0,0.2,0
"17",1,0,0,0.130434782608696,0.217391304347826,0,0.0869565217391304,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.0434782608695652,0.304347826086957,0
"18",1,0,0.0677618069815195,0.162217659137577,0.0616016427104723,0.0698151950718686,0.121149897330596,0.0390143737166324,0.149897330595483,0.13347022587269,0.117043121149897,0.0780287474332649,0
"19",0,1,0,0,0,0,0,0,0,0,0,0,0
"20",0,1,0,0,0,0,0,0,0,0,0,0,0
"21",1,0,0,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0
"22",1,0,0,0,0.1,0.1,0.3,0,0.1,0.1,0.3,0,0
"23",1,0,0,0.0769230769230769,0.153846153846154,0,0.0769230769230769,0,0.384615384615385,0.153846153846154,0.0769230769230769,0.0769230769230769,0
"24",0,1,0,0,0,0,0,0,0,0,0,0,0
"25",0,1,0,0,0,0,0,0,0,0,0,0,0
"26",1,0,0,0.133333333333333,0.266666666666667,0,0.133333333333333,0,0,0.0666666666666667,0.0666666666666667,0.333333333333333,0
"27",0,1,0,0,0,0,0,0,0,0,0,0,0
"28",1,0,0.0539130434782609,0.156521739130435,0.0608695652173913,0.0765217391304348,0.121739130434782,0.0452173913043478,0.137391304347826,0.125217391304348,0.12695652173913,0.0956521739130434,0
"29",0,1,0,0,0,0,0,0,0,0,0,0,0
"30",0,1,0,0,0,0,0,0,0,0,0,0,0
"31",1,0,0.062111801242236,0.153209109730849,0.062111801242236,0.0683229813664596,0.122153209109731,0.0476190476190476,0.134575569358178,0.146997929606625,0.109730848861284,0.093167701863354,0
"32",0,1,0,0,0,0,0,0,0,0,0,0,0
"33",1,0,0,0,0.5,0,0.25,0,0,0,0.25,0,0
"34",1,0,0,0,0.5,0,0.166666666666667,0,0,0.166666666666667,0,0.166666666666667,0
"35",1,0,0.0333333333333333,0.0916666666666667,0.0416666666666667,0.075,0.166666666666667,0.0583333333333333,0.158333333333333,0.191666666666667,0.133333333333333,0.05,0
"36",0,1,0,0,0,0,0,0,0,0,0,0,0
