"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",0,0,1
"3",0,0,1
"4",0,0,1
"5",0,0,1
"6",0,0,1
"7",1,0,1
"8",8,0,1
"9",8,0,1
"10",0,0,1
"11",1,0,1
"12",2,0,1
"13",0,0,1
"14",3,0,1
"15",4,0,1
"16",1,0,1
"17",9,0,1
"18",0,0,1
"19",2,0,1
"20",1,0,1
"21",3,0,1
"22",13,0,1
"23",15,0,1
"24",16,0,1
"25",1,0,1
"26",0,0,1
"27",1,0,1
"28",1,0,1
"29",3,0,1
"30",4,0,1
"31",0,0,1
"32",2,0,1
"33",0,0,1
"34",2,0,1
"35",2,0,1
"36",7,0,1
"37",0,0,1
"38",0,0,1
"39",0,0,1
"40",0,0,1
"41",0,0,1
"42",0,0,1
"43",0,0,1
"44",0,0,1
"45",0,0,1
"46",0,0,1
"47",0,0,1
"48",0,0,1
"49",4,0,1
"50",0,0,1
"51",13,0,1
"52",0,0,1
"53",8,0,1
"54",0,0,1
"55",0,0,1
"56",1,0,1
"57",1,0,1
"58",10,0,1
"59",14,0,1
"60",17,0,1
"61",0,0,1
"62",16,0,1
"63",4,0,1
"64",0,0,1
"65",1,0,1
"66",0,0,1
"67",0,0,1
"68",2,0,1
"69",3,0,1
"70",5,0,1
"71",0,0,1
"72",46,0,1
"73",1,0,1
"74",5,0,1
"75",0,0,1
"76",19,0,1
"77",8,0,1
"78",3,0,1
"79",2,0,1
"80",6,0,1
"81",4,0,1
"82",42,0,1
"83",3,0,1
"84",5,0,1
"85",23,0,1
"86",8,0,1
"87",0,0,1
"88",10,0,1
"89",23,0,1
"90",14,0,1
"91",0,0,1
"92",2,0,1
"93",36,0,1
"94",23,0,1
"95",0,0,1
"96",1,0,1
"97",10,0,1
"98",12,0,1
"99",0,0,1
"100",1,0,1
"101",0,0,1
"102",0,0,1
"103",1,0,1
"104",2,0,1
"105",3,0,1
"106",0,0,1
"107",1,0,1
"108",1,0,1
"109",9,0,1
"110",6,0,1
"111",1,0,1
"112",0,0,1
"113",9,0,1
"114",0,0,1
"115",5,0,1
"116",10,0,1
"117",9,0,1
"118",1,0,1
"119",29,0,1
"120",8,0,1
"121",0,0,1
"122",1,0,1
"123",10,0,1
"124",0,0,1
"125",0,0,1
"126",3,0,1
"127",0,0,1
"128",0,0,1
"129",0,0,1
"130",18,0,1
"131",10,0,1
"132",14,0,1
"133",10,0,1
"134",7,0,1
"135",6,0,1
"136",5,0,1
"137",0,0,1
"138",4,0,1
"139",0,0,1
"140",1,0,1
"141",3,0,1
"142",1,0,1
"143",0,0,1
"144",0,0,1
"145",11,0,1
"146",0,0,1
"147",0,0,1
"148",0,0,1
"149",2,0,1
"150",1,0,1
"151",1,0,1
"152",3,0,1
"153",1,0,1
"154",1,0,1
"155",0,0,1
"156",3,0,1
"157",6,0,1
