"","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"1",0,1,0,0,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0,0
"3",0,1,0,0,0,0,0,0,0,0,0
"4",1,0,0,0.5,0,0,0,0,0,0.5,0
"5",0,1,0,0,0,0,0,0,0,0,0
"6",0,1,0,0,0,0,0,0,0,0,0
"7",1,0,1,0,0,0,0,0,0,0,0
"8",1,0,0,0,0,0.2,0,0.2,0.4,0.2,0
"9",1,0,0,1,0,0,0,0,0,0,0
"10",0,1,0,0,0,0,0,0,0,0,0
"11",1,0,1,0,0,0,0,0,0,0,0
"12",1,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0.333333333333333,0
"13",1,0,0,0,0,0,0,0,1,0,0
"14",0,1,0,0,0,0,0,0,0,0,0
"15",0,1,0,0,0,0,0,0,0,0,0
"16",0,1,0,0,0,0,0,0,0,0,0
"17",1,0,0,0.111111111111111,0,0.111111111111111,0,0.222222222222222,0.222222222222222,0.333333333333333,0
"18",1,0,0,1,0,0,0,0,0,0,0
"19",1,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0
"20",1,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0
"21",1,0,0.25,0,0,0,0,0.25,0,0.5,0
"22",1,0,0,0.375,0,0,0,0,0.375,0.25,0
"23",1,0,0,0.571428571428571,0,0,0,0,0.428571428571429,0,0
"24",1,0,0,0.166666666666667,0,0,0,0,0.5,0.333333333333333,0
"25",1,0,1,0,0,0,0,0,0,0,0
"26",0,1,0,0,0,0,0,0,0,0,0
"27",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0
"28",0,1,0,0,0,0,0,0,0,0,0
"29",0,1,0,0,0,0,0,0,0,0,0
"30",0,1,0,0,0,0,0,0,0,0,0
"31",1,0,0,1,0,0,0,0,0,0,0
"32",1,0,0.25,0,0,0,0.25,0,0.25,0.25,0
"33",0,1,0,0,0,0,0,0,0,0,0
"34",0,1,0,0,0,0,0,0,0,0,0
"35",1,0,0.5,0,0,0,0,0,0.25,0.25,0
"36",1,0,0,0,0,0,0,0,0.5,0.5,0
"37",1,0,0,0,0,0,0,0,1,0,0
"38",0,1,0,0,0,0,0,0,0,0,0
"39",0,1,0,0,0,0,0,0,0,0,0
"40",1,0,0,0,0,0,0,0,1,0,0
"41",0,1,0,0,0,0,0,0,0,0,0
"42",0,1,0,0,0,0,0,0,0,0,0
"43",1,0,1,0,0,0,0,0,0,0,0
"44",1,0,0,1,0,0,0,0,0,0,0
"45",0,1,0,0,0,0,0,0,0,0,0
"46",0,1,0,0,0,0,0,0,0,0,0
"47",0,1,0,0,0,0,0,0,0,0,0
"48",0,1,0,0,0,0,0,0,0,0,0
"49",1,0,0,0,0,0,0,0,1,0,0
"50",0,1,0,0,0,0,0,0,0,0,0
"51",0,1,0,0,0,0,0,0,0,0,0
"52",1,0,1,0,0,0,0,0,0,0,0
"53",1,0,0,1,0,0,0,0,0,0,0
"54",0,1,0,0,0,0,0,0,0,0,0
"55",0,1,0,0,0,0,0,0,0,0,0
"56",1,0,0,0,0,0,0,0,0,1,0
"57",1,0,0,0,0,0,0,0,1,0,0
"58",0,1,0,0,0,0,0,0,0,0,0
"59",1,0,0,0.6,0,0,0,0.4,0,0,0
"60",1,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0
"61",0,1,0,0,0,0,0,0,0,0,0
"62",1,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0
"63",1,0,0,1,0,0,0,0,0,0,0
"64",0,1,0,0,0,0,0,0,0,0,0
"65",0,1,0,0,0,0,0,0,0,0,0
"66",1,0,0,0,0,0,0,0,0,1,0
"67",0,1,0,0,0,0,0,0,0,0,0
"68",1,0,1,0,0,0,0,0,0,0,0
"69",1,0,0,0,0,0,0,0,0,1,0
"70",0,1,0,0,0,0,0,0,0,0,0
"71",1,0,0,0,0,0,0,0,0,1,0
"72",1,0,0,0.642857142857143,0,0,0,0.214285714285714,0.142857142857143,0,0
"73",1,0,0,0.5,0,0,0,0,0.5,0,0
"74",1,0,0,1,0,0,0,0,0,0,0
"75",0,1,0,0,0,0,0,0,0,0,0
"76",1,0,0.3,0.1,0,0,0,0,0,0.6,0
