"","Loop_number","No_loop","Loop"
"1",60,0,1
"2",69,0,1
"3",9,0,1
"4",1,0,1
"5",2,0,1
"6",531,0,1
"7",135,0,1
"8",293,0,1
"9",182,0,1
"10",497,0,1
"11",102,0,1
"12",10,0,1
"13",76,0,1
"14",17,0,1
"15",2,0,1
"16",11,0,1
"17",65,0,1
"18",91,0,1
"19",6,0,1
"20",145,0,1
"21",15,0,1
"22",0,0,1
"23",0,0,1
"24",25,0,1
"25",168,0,1
"26",215,0,1
"27",18,0,1
"28",76,0,1
"29",89,0,1
"30",7,0,1
"31",7,0,1
"32",0,0,1
"33",250,0,1
"34",10,0,1
"35",241,0,1
"36",359,0,1
"37",71,0,1
"38",141,0,1
"39",89,0,1
"40",54,0,1
"41",190,0,1
"42",61,0,1
"43",259,0,1
"44",3,0,1
"45",16,0,1
"46",0,0,1
"47",4,0,1
"48",17,0,1
"49",57,0,1
"50",0,0,1
"51",247,0,1
"52",1,0,1
"53",59,0,1
"54",18,0,1
"55",96,0,1
"56",0,0,1
"57",58,0,1
"58",2,0,1
"59",0,0,1
"60",78,0,1
"61",17,0,1
"62",88,0,1
"63",5,0,1
"64",73,0,1
"65",75,0,1
"66",68,0,1
"67",35,0,1
"68",2,0,1
"69",0,0,1
"70",45,0,1
"71",34,0,1
"72",4,0,1
"73",260,0,1
"74",38,0,1
"75",58,0,1
"76",95,0,1
"77",29,0,1
"78",4,0,1
"79",0,0,1
"80",94,0,1
"81",104,0,1
"82",97,0,1
"83",4,0,1
"84",4,0,1
"85",9,0,1
"86",60,0,1
"87",1,0,1
"88",106,0,1
"89",29,0,1
"90",1,0,1
"91",39,0,1
"92",4,0,1
"93",57,0,1
"94",25,0,1
"95",6,0,1
"96",2,0,1
"97",44,0,1
"98",11,0,1
"99",20,0,1
"100",2,0,1
"101",96,0,1
"102",38,0,1
"103",33,0,1
"104",19,0,1
"105",0,0,1
"106",229,0,1
"107",876,0,1
"108",0,0,1
"109",69,0,1
"110",44,0,1
"111",176,0,1
"112",3,0,1
"113",72,0,1
"114",7,0,1
"115",112,0,1
"116",160,0,1
"117",256,0,1
"118",195,0,1
"119",0,0,1
"120",3,0,1
"121",0,0,1
"122",0,0,1
"123",5,0,1
"124",42,0,1
"125",5,0,1
"126",40,0,1
"127",1,0,1
"128",3,0,1
"129",87,0,1
"130",0,0,1
"131",0,0,1
"132",176,0,1
"133",48,0,1
"134",0,0,1
"135",0,0,1
"136",85,0,1
"137",0,0,1
"138",78,0,1
"139",0,0,1
"140",0,0,1
"141",122,0,1
"142",46,0,1
"143",35,0,1
"144",106,0,1
"145",1,0,1
"146",13,0,1
"147",56,0,1
"148",0,0,1
"149",37,0,1
"150",261,0,1
"151",108,0,1
"152",23,0,1
"153",41,0,1
"154",4,0,1
"155",9,0,1
"156",80,0,1
"157",128,0,1
"158",1,0,1
"159",1,0,1
"160",66,0,1
"161",37,0,1
"162",156,0,1
"163",1,0,1
"164",46,0,1
"165",77,0,1
"166",24,0,1
"167",25,0,1
"168",140,0,1
"169",7,0,1
"170",159,0,1
"171",24,0,1
"172",15,0,1
"173",92,0,1
"174",3,0,1
"175",0,0,1
"176",29,0,1
"177",603,0,1
"178",176,0,1
"179",20,0,1
"180",53,0,1
"181",38,0,1
"182",3,0,1
"183",49,0,1
"184",6,0,1
"185",183,0,1
"186",277,0,1
"187",1,0,1
"188",111,0,1
"189",27,0,1
"190",45,0,1
"191",1,0,1
"192",9,0,1
"193",79,0,1
"194",1,0,1
"195",34,0,1
"196",7,0,1
"197",4,0,1
"198",39,0,1
"199",34,0,1
"200",246,0,1
"201",4,0,1
"202",56,0,1
"203",56,0,1
"204",1,0,1
"205",23,0,1
"206",42,0,1
"207",0,0,1
"208",4,0,1
"209",39,0,1
"210",0,0,1
"211",229,0,1
"212",304,0,1
"213",215,0,1
"214",0,0,1
"215",108,0,1
"216",0,0,1
"217",31,0,1
"218",253,0,1
"219",106,0,1
"220",1,0,1
"221",115,0,1
"222",1,0,1
"223",6,0,1
"224",93,0,1
"225",17,0,1
"226",0,0,1
"227",120,0,1
"228",76,0,1
"229",0,0,1
"230",59,0,1
"231",0,0,1
"232",6,0,1
"233",0,0,1
"234",64,0,1
"235",0,0,1
"236",97,0,1
"237",15,0,1
"238",3,0,1
"239",0,0,1
"240",33,0,1
"241",73,0,1
"242",18,0,1
"243",17,0,1
"244",2,0,1
"245",166,0,1
"246",674,0,1
"247",42,0,1
"248",14,0,1
"249",130,0,1
"250",60,0,1
"251",61,0,1
"252",0,0,1
"253",984,0,1
"254",7,0,1
"255",28,0,1
"256",46,0,1
"257",12,0,1
"258",51,0,1
"259",339,0,1
"260",74,0,1
"261",1,0,1
"262",6,0,1
"263",6,0,1
"264",7,0,1
"265",23,0,1
"266",0,0,1
"267",5,0,1
"268",5,0,1
"269",3,0,1
"270",343,0,1
"271",66,0,1
"272",156,0,1
"273",24,0,1
"274",1,0,1
"275",6,0,1
"276",31,0,1
"277",9,0,1
"278",32,0,1
"279",158,0,1
"280",90,0,1
"281",41,0,1
"282",31,0,1
"283",115,0,1
"284",0,0,1
"285",63,0,1
"286",15,0,1
"287",3,0,1
"288",136,0,1
"289",8,0,1
"290",76,0,1
"291",28,0,1
"292",69,0,1
"293",19,0,1
"294",34,0,1
"295",2,0,1
"296",0,0,1
"297",1,0,1
"298",17,0,1
"299",34,0,1
"300",9,0,1
"301",15,0,1
"302",6,0,1
"303",6,0,1
"304",0,0,1
"305",3,0,1
"306",37,0,1
"307",1,0,1
"308",1,0,1
"309",11,0,1
"310",45,0,1
"311",0,0,1
"312",30,0,1
"313",3,0,1
"314",37,0,1
"315",45,0,1
"316",36,0,1
"317",17,0,1
"318",179,0,1
"319",10,0,1
"320",5,0,1
"321",106,0,1
"322",0,0,1
"323",26,0,1
"324",7,0,1
"325",0,0,1
"326",0,0,1
"327",0,0,1
"328",21,0,1
"329",23,0,1
"330",0,0,1
"331",10,0,1
"332",22,0,1
"333",8,0,1
"334",35,0,1
"335",1,0,1
"336",41,0,1
"337",16,0,1
"338",2,0,1
"339",0,0,1
"340",0,0,1
"341",38,0,1
"342",21,0,1
"343",14,0,1
"344",0,0,1
"345",128,0,1
"346",16,0,1
"347",89,0,1
"348",52,0,1
"349",68,0,1
"350",31,0,1
"351",34,0,1
"352",127,0,1
"353",125,0,1
"354",1,0,1
"355",8,0,1
"356",96,0,1
"357",1,0,1
"358",0,0,1
"359",0,0,1
"360",150,0,1
"361",1,0,1
"362",6,0,1
"363",0,0,1
"364",0,0,1
"365",5,0,1
"366",7,0,1
"367",0,0,1
"368",29,0,1
"369",87,0,1
"370",9,0,1
"371",53,0,1
"372",1,0,1
"373",0,0,1
"374",18,0,1
"375",10,0,1
"376",55,0,1
"377",2,0,1
"378",29,0,1
"379",93,0,1
"380",18,0,1
"381",22,0,1
"382",26,0,1
"383",18,0,1
"384",117,0,1
"385",0,0,1
"386",146,0,1
"387",531,0,1
"388",28,0,1
"389",220,0,1
"390",280,0,1
"391",0,0,1
"392",0,0,1
"393",219,0,1
"394",345,0,1
"395",283,0,1
"396",174,0,1
"397",8,0,1
"398",4,0,1
"399",9,0,1
"400",12,0,1
"401",0,0,1
"402",0,0,1
"403",70,0,1
"404",49,0,1
"405",0,0,1
"406",145,0,1
"407",1,0,1
"408",13,0,1
"409",6,0,1
"410",2,0,1
"411",127,0,1
"412",82,0,1
"413",95,0,1
"414",0,0,1
"415",18,0,1
"416",106,0,1
"417",154,0,1
"418",0,0,1
"419",244,0,1
"420",106,0,1
"421",7,0,1
"422",177,0,1
"423",777,0,1
"424",158,0,1
"425",13,0,1
"426",60,0,1
"427",1555,0,1
"428",75,0,1
"429",680,0,1
"430",48,0,1
"431",8,0,1
"432",165,0,1
"433",37,0,1
"434",0,0,1
"435",59,0,1
"436",119,0,1
"437",350,0,1
"438",15,0,1
"439",105,0,1
"440",150,0,1
"441",137,0,1
"442",178,0,1
"443",3,0,1
"444",42,0,1
"445",59,0,1
"446",44,0,1
"447",283,0,1
"448",1,0,1
"449",18,0,1
"450",88,0,1
"451",288,0,1
"452",341,0,1
"453",141,0,1
"454",1,0,1
"455",12,0,1
"456",113,0,1
"457",0,0,1
"458",9,0,1
"459",243,0,1
"460",212,0,1
"461",210,0,1
"462",0,0,1
"463",8,0,1
"464",99,0,1
"465",80,0,1
"466",26,0,1
"467",12,0,1
"468",6,0,1
"469",66,0,1
"470",6,0,1
"471",107,0,1
"472",40,0,1
"473",23,0,1
"474",6,0,1
"475",1,0,1
"476",74,0,1
"477",11,0,1
"478",2,0,1
"479",247,0,1
"480",14,0,1
"481",37,0,1
"482",151,0,1
"483",63,0,1
"484",46,0,1
"485",31,0,1
"486",78,0,1
"487",70,0,1
"488",96,0,1
"489",1,0,1
"490",20,0,1
"491",19,0,1
"492",155,0,1
"493",12,0,1
"494",198,0,1
"495",6,0,1
"496",192,0,1
"497",1,0,1
"498",248,0,1
"499",20,0,1
"500",544,0,1
"501",0,0,1
"502",28,0,1
"503",2,0,1
"504",10,0,1
"505",0,0,1
"506",45,0,1
"507",24,0,1
"508",48,0,1
"509",183,0,1
"510",11,0,1
"511",0,0,1
"512",7,0,1
"513",60,0,1
"514",0,0,1
"515",20,0,1
"516",177,0,1
"517",6,0,1
"518",23,0,1
"519",149,0,1
"520",0,0,1
"521",48,0,1
"522",112,0,1
"523",2,0,1
"524",83,0,1
"525",5,0,1
"526",305,0,1
"527",12,0,1
"528",35,0,1
"529",4,0,1
"530",0,0,1
"531",298,0,1
"532",35,0,1
"533",0,0,1
"534",69,0,1
"535",116,0,1
"536",42,0,1
"537",5,0,1
"538",2,0,1
"539",0,0,1
"540",44,0,1
"541",46,0,1
"542",1,0,1
"543",1,0,1
"544",0,0,1
"545",95,0,1
"546",122,0,1
"547",9,0,1
"548",25,0,1
"549",24,0,1
"550",14,0,1
"551",21,0,1
"552",140,0,1
"553",0,0,1
"554",22,0,1
"555",0,0,1
"556",24,0,1
"557",39,0,1
"558",58,0,1
"559",104,0,1
"560",0,0,1
"561",37,0,1
"562",13,0,1
"563",28,0,1
"564",290,0,1
"565",36,0,1
"566",0,0,1
"567",62,0,1
"568",28,0,1
"569",77,0,1
"570",6,0,1
"571",40,0,1
"572",9,0,1
"573",100,0,1
"574",53,0,1
"575",0,0,1
"576",46,0,1
"577",16,0,1
"578",22,0,1
"579",0,0,1
"580",178,0,1
"581",7,0,1
"582",27,0,1
"583",134,0,1
"584",4,0,1
"585",82,0,1
"586",1,0,1
"587",32,0,1
"588",49,0,1
"589",88,0,1
"590",10,0,1
"591",10,0,1
"592",9,0,1
"593",4,0,1
"594",0,0,1
"595",9,0,1
"596",0,0,1
