"","Loop_number","No_loop","Loop"
"1",69,0,1
"2",9,0,1
"3",2,0,1
"4",7,0,1
"5",10,0,1
"6",141,0,1
"7",3,0,1
"8",0,0,1
"9",17,0,1
"10",0,0,1
"11",1,0,1
"12",0,0,1
"13",2,0,1
"14",0,0,1
"15",78,0,1
"16",5,0,1
"17",68,0,1
"18",2,0,1
"19",0,0,1
"20",29,0,1
"21",0,0,1
"22",4,0,1
"23",44,0,1
"24",20,0,1
"25",19,0,1
"26",44,0,1
"27",256,0,1
"28",0,0,1
"29",3,0,1
"30",0,0,1
"31",0,0,1
"32",3,0,1
"33",0,0,1
"34",0,0,1
"35",0,0,1
"36",0,0,1
"37",0,0,1
"38",0,0,1
"39",56,0,1
"40",0,0,1
"41",37,0,1
"42",1,0,1
"43",1,0,1
"44",0,0,1
"45",6,0,1
"46",23,0,1
"47",4,0,1
"48",0,0,1
"49",0,0,1
"50",1,0,1
"51",0,0,1
"52",0,0,1
"53",6,0,1
"54",64,0,1
"55",0,0,1
"56",15,0,1
"57",0,0,1
"58",2,0,1
"59",130,0,1
"60",0,0,1
"61",1,0,1
"62",0,0,1
"63",63,0,1
"64",3,0,1
"65",69,0,1
"66",2,0,1
"67",0,0,1
"68",1,0,1
"69",17,0,1
"70",6,0,1
"71",0,0,1
"72",1,0,1
"73",1,0,1
"74",0,0,1
"75",3,0,1
"76",10,0,1
"77",5,0,1
"78",106,0,1
"79",0,0,1
"80",26,0,1
"81",0,0,1
"82",0,0,1
"83",0,0,1
"84",0,0,1
"85",0,0,1
"86",8,0,1
"87",1,0,1
"88",0,0,1
"89",0,0,1
"90",0,0,1
"91",0,0,1
"92",0,0,1
"93",0,0,1
"94",0,0,1
"95",12,0,1
"96",0,0,1
"97",0,0,1
"98",0,0,1
"99",1,0,1
"100",2,0,1
"101",95,0,1
"102",0,0,1
"103",7,0,1
"104",13,0,1
"105",59,0,1
"106",1,0,1
"107",0,0,1
"108",0,0,1
"109",63,0,1
"110",6,0,1
"111",1,0,1
"112",248,0,1
"113",0,0,1
"114",10,0,1
"115",0,0,1
"116",0,0,1
"117",0,0,1
"118",0,0,1
"119",2,0,1
"120",0,0,1
"121",1,0,1
"122",0,0,1
"123",9,0,1
"124",24,0,1
"125",0,0,1
"126",0,0,1
"127",0,0,1
"128",0,0,1
"129",77,0,1
"130",0,0,1
"131",0,0,1
"132",27,0,1
"133",9,0,1
"134",4,0,1
"135",0,0,1
"136",1,0,1
"137",59,0,1
"138",62,0,1
"139",37,0,1
"140",10,0,1
"141",0,0,1
"142",47,0,1
"143",0,0,1
"144",18,0,1
"145",0,0,1
"146",0,0,1
"147",0,0,1
"148",0,0,1
"149",0,0,1
"150",0,0,1
"151",0,0,1
"152",2,0,1
"153",0,0,1
"154",0,0,1
"155",0,0,1
"156",0,0,1
"157",13,0,1
"158",0,0,1
"159",0,0,1
"160",0,0,1
"161",0,0,1
"162",0,0,1
"163",0,0,1
"164",0,0,1
"165",0,0,1
"166",18,0,1
"167",51,0,1
"168",0,0,1
"169",0,0,1
"170",0,0,1
