"","Loop_number","No_loop","Loop"
"1",293,0,1
"2",17,0,1
"3",168,0,1
"4",7,0,1
"5",241,0,1
"6",247,0,1
"7",96,0,1
"8",58,0,1
"9",260,0,1
"10",60,0,1
"11",96,0,1
"12",77,0,1
"13",159,0,1
"14",603,0,1
"15",277,0,1
"16",111,0,1
"17",246,0,1
"18",56,0,1
"19",984,0,1
"20",46,0,1
"21",3,0,1
"22",87,0,1
"23",93,0,1
"24",18,0,1
"25",283,0,1
"26",141,0,1
"27",212,0,1
"28",26,0,1
"29",37,0,1
"30",46,0,1
"31",31,0,1
"32",24,0,1
"33",20,0,1
"34",48,0,1
"35",14,0,1
"36",140,0,1
"37",9,0,1
"38",80,0,1
"39",157,0,1
"40",160,0,1
"41",100,0,1
"42",645,0,1
"43",1092,0,1
"44",170,0,1
"45",263,0,1
"46",201,0,1
"47",222,0,1
"48",634,0,1
"49",346,0,1
"50",4,0,1
"51",76,0,1
"52",31,0,1
"53",102,0,1
"54",283,0,1
"55",111,0,1
"56",361,0,1
"57",60,0,1
"58",27,0,1
"59",110,0,1
"60",36,0,1
"61",47,0,1
"62",28,0,1
"63",171,0,1
"64",58,0,1
"65",87,0,1
"66",114,0,1
"67",106,0,1
"68",10,0,1
"69",88,0,1
"70",37,0,1
"71",40,0,1
"72",63,0,1
"73",549,0,1
"74",22,0,1
"75",48,0,1
"76",109,0,1
"77",84,0,1
"78",68,0,1
"79",125,0,1
"80",16,0,1
"81",70,0,1
"82",39,0,1
"83",44,0,1
"84",4,0,1
"85",578,0,1
"86",90,0,1
"87",222,0,1
"88",118,0,1
"89",4,0,1
"90",195,0,1
"91",91,0,1
"92",33,0,1
"93",64,0,1
"94",1150,0,1
"95",1150,0,1
"96",383,0,1
"97",138,0,1
"98",166,0,1
"99",401,0,1
"100",333,0,1
"101",154,0,1
"102",128,0,1
"103",35,0,1
"104",20,0,1
"105",128,0,1
"106",126,0,1
"107",1290,0,1
"108",75,0,1
"109",150,0,1
"110",69,0,1
"111",37,0,1
"112",594,0,1
"113",75,0,1
"114",207,0,1
"115",25,0,1
"116",855,0,1
"117",1094,0,1
"118",252,0,1
"119",222,0,1
"120",42,0,1
"121",210,0,1
"122",771,0,1
"123",726,0,1
"124",192,0,1
"125",221,0,1
"126",91,0,1
"127",551,0,1
"128",514,0,1
"129",244,0,1
"130",277,0,1
"131",19,0,1
"132",29,0,1
"133",101,0,1
"134",323,0,1
"135",353,0,1
"136",43,0,1
"137",549,0,1
"138",111,0,1
"139",329,0,1
"140",229,0,1
"141",17,0,1
"142",163,0,1
"143",153,0,1
"144",36,0,1
"145",74,0,1
"146",60,0,1
"147",146,0,1
"148",23,0,1
"149",20,0,1
"150",11,0,1
"151",19,0,1
"152",24,0,1
"153",137,0,1
"154",140,0,1
"155",98,0,1
"156",10,0,1
"157",67,0,1
"158",0,0,1
"159",11,0,1
"160",6,0,1
"161",73,0,1
"162",40,0,1
"163",22,0,1
"164",13,0,1
"165",18,0,1
"166",71,0,1
"167",189,0,1
"168",63,0,1
"169",39,0,1
"170",23,0,1
"171",32,0,1
"172",14,0,1
"173",20,0,1
"174",42,0,1
"175",12,0,1
