"","FBL_number","No_FBL","FBL"
"1",970,0,1
"2",43,0,1
"3",1260,0,1
"4",10,0,1
"5",0,0,1
"6",1647,0,1
"7",338,0,1
"8",57,0,1
"9",2165,0,1
"10",207,0,1
"11",0,0,1
"12",264,0,1
"13",1149,0,1
"14",6856,0,1
"15",2602,0,1
"16",357,0,1
"17",1777,0,1
"18",129,0,1
"19",15846,0,1
"20",210,0,1
"21",1,0,1
"22",465,0,1
"23",592,0,1
"24",0,0,1
"25",3617,0,1
"26",0,0,1
"27",581,0,1
"28",13,0,1
"29",150,0,1
"30",237,0,1
"31",14,0,1
"32",41,0,1
"33",1,0,1
"34",0,0,1
"35",22,0,1
"36",842,0,1
"37",0,0,1
"38",0,0,1
"39",1362,0,1
"40",1360,0,1
"41",504,0,1
"42",3956,0,1
"43",5351,0,1
"44",1219,0,1
"45",974,0,1
"46",1468,0,1
"47",2075,0,1
"48",0,0,1
"49",0,0,1
"50",5,0,1
"51",83,0,1
"52",0,0,1
"53",1536,0,1
"54",2733,0,1
"55",1159,0,1
"56",5534,0,1
"57",0,0,1
"58",272,0,1
"59",607,0,1
"60",0,0,1
"61",0,0,1
"62",179,0,1
"63",506,0,1
"64",262,0,1
"65",0,0,1
"66",227,0,1
"67",149,0,1
"68",40,0,1
"69",161,0,1
"70",0,0,1
"71",71,0,1
"72",229,0,1
"73",5384,0,1
"74",84,0,1
"75",161,0,1
"76",507,0,1
"77",266,0,1
"78",356,0,1
"79",547,0,1
"80",7,0,1
"81",229,0,1
"82",57,0,1
"83",38,0,1
"84",0,0,1
"85",3868,0,1
"86",397,0,1
"87",0,0,1
"88",0,0,1
"89",30,0,1
"90",544,0,1
"91",61,0,1
"92",0,0,1
"93",289,0,1
"94",14057,0,1
"95",9975,0,1
"96",4480,0,1
"97",444,0,1
"98",440,0,1
"99",6375,0,1
"100",1312,0,1
"101",317,0,1
"102",463,0,1
"103",61,0,1
"104",0,0,1
"105",1714,0,1
"106",949,0,1
"107",23135,0,1
"108",156,0,1
"109",538,0,1
"110",157,0,1
"111",175,0,1
"112",7804,0,1
"113",125,0,1
"114",0,0,1
"115",78,0,1
"116",4329,0,1
"117",9517,0,1
"118",3582,0,1
"119",1588,0,1
"120",184,0,1
"121",1944,0,1
"122",14113,0,1
"123",10608,0,1
"124",2952,0,1
"125",2384,0,1
"126",968,0,1
"127",9099,0,1
"128",9322,0,1
"129",3184,0,1
"130",0,0,1
"131",66,0,1
"132",0,0,1
"133",318,0,1
"134",3120,0,1
"135",3339,0,1
"136",526,0,1
"137",7337,0,1
"138",195,0,1
"139",3054,0,1
"140",0,0,1
"141",0,0,1
"142",1612,0,1
"143",1438,0,1
"144",227,0,1
"145",307,0,1
"146",550,0,1
"147",0,0,1
"148",15,0,1
"149",13,0,1
"150",6,0,1
"151",19,0,1
"152",0,0,1
"153",0,0,1
"154",262,0,1
"155",621,0,1
"156",16,0,1
"157",230,0,1
"158",0,0,1
"159",11,0,1
"160",0,0,1
"161",0,0,1
"162",0,0,1
"163",36,0,1
"164",0,0,1
"165",1,0,1
"166",193,0,1
"167",0,0,1
"168",96,0,1
"169",23,0,1
"170",32,0,1
"171",135,0,1
"172",0,0,1
"173",67,0,1
"174",45,0,1
"175",18,0,1
"176",0,0,1
"177",558,0,1
"178",22,0,1
"179",1094,0,1
"180",54,0,1
"181",48,0,1
"182",105,0,1
"183",0,0,1
"184",3448,0,1
"185",3921,0,1
"186",484,0,1
"187",250,0,1
"188",1039,0,1
"189",0,0,1
"190",499,0,1
"191",253,0,1
"192",194,0,1
"193",4745,0,1
"194",782,0,1
"195",2872,0,1
"196",473,0,1
"197",0,0,1
"198",1580,0,1
"199",4670,0,1
"200",195,0,1
"201",89,0,1
"202",527,0,1
"203",1900,0,1
"204",140,0,1
"205",0,0,1
"206",1510,0,1
"207",0,0,1
"208",0,0,1
"209",0,0,1
"210",67,0,1
"211",4040,0,1
"212",209,0,1
"213",188,0,1
"214",453,0,1
"215",844,0,1
"216",0,0,1
"217",634,0,1
"218",0,0,1
"219",26710,0,1
"220",11478,0,1
"221",6214,0,1
"222",9258,0,1
"223",10,0,1
"224",0,0,1
"225",219,0,1
"226",0,0,1
"227",837,0,1
"228",229,0,1
"229",8252,0,1
"230",6919,0,1
"231",2720,0,1
"232",2380,0,1
"233",2296,0,1
"234",7141,0,1
"235",0,0,1
"236",0,0,1
"237",148,0,1
"238",158,0,1
"239",390,0,1
"240",326,0,1
"241",340,0,1
"242",513,0,1
"243",1047,0,1
"244",50,0,1
"245",8876,0,1
"246",75,0,1
"247",0,0,1
"248",6371,0,1
"249",4732,0,1
"250",695,0,1
"251",902,0,1
"252",1777,0,1
"253",749,0,1
"254",2019,0,1
"255",0,0,1
"256",5531,0,1
"257",6025,0,1
"258",1925,0,1
"259",604,0,1
"260",0,0,1
"261",18,0,1
"262",6,0,1
"263",0,0,1
"264",0,0,1
"265",0,0,1
"266",1966,0,1
"267",2967,0,1
"268",8283,0,1
"269",3870,0,1
"270",2125,0,1
"271",4366,0,1
"272",1200,0,1
"273",4126,0,1
"274",0,0,1
"275",2322,0,1
"276",218,0,1
"277",0,0,1
"278",22,0,1
"279",0,0,1
"280",0,0,1
"281",3690,0,1
"282",207,0,1
"283",847,0,1
"284",1112,0,1
"285",0,0,1
"286",23,0,1
"287",1704,0,1
"288",4864,0,1
"289",12021,0,1
"290",4669,0,1
"291",2547,0,1
"292",15,0,1
"293",3705,0,1
"294",407,0,1
