"","Loop_number","No_loop","Loop"
"1",84,0,1
"2",9,0,1
"3",33,0,1
"4",5,0,1
"5",34,0,1
"6",38,0,1
"7",24,0,1
"8",12,0,1
"9",103,0,1
"10",16,0,1
"11",22,0,1
"12",10,0,1
"13",28,0,1
"14",143,0,1
"15",35,0,1
"16",25,0,1
"17",38,0,1
"18",16,0,1
"19",195,0,1
"20",17,0,1
"21",4,0,1
"22",18,0,1
"23",21,0,1
"24",5,0,1
"25",40,0,1
"26",15,0,1
"27",70,0,1
"28",10,0,1
"29",13,0,1
"30",11,0,1
"31",6,0,1
"32",6,0,1
"33",5,0,1
"34",12,0,1
"35",8,0,1
"36",30,0,1
"37",2,0,1
"38",11,0,1
"39",31,0,1
"40",29,0,1
"41",13,0,1
"42",159,0,1
"43",187,0,1
"44",39,0,1
"45",32,0,1
"46",36,0,1
"47",33,0,1
"48",65,0,1
"49",48,0,1
"50",4,0,1
"51",20,0,1
"52",9,0,1
"53",20,0,1
"54",37,0,1
"55",26,0,1
"56",57,0,1
"57",19,0,1
"58",9,0,1
"59",25,0,1
"60",12,0,1
"61",18,0,1
"62",6,0,1
"63",30,0,1
"64",16,0,1
"65",18,0,1
"66",53,0,1
"67",17,0,1
"68",7,0,1
"69",15,0,1
"70",11,0,1
"71",13,0,1
"72",16,0,1
"73",123,0,1
"74",8,0,1
"75",13,0,1
"76",26,0,1
"77",41,0,1
"78",13,0,1
"79",30,0,1
"80",2,0,1
"81",16,0,1
"82",13,0,1
"83",14,0,1
"84",3,0,1
"85",127,0,1
"86",23,0,1
"87",32,0,1
"88",26,0,1
"89",5,0,1
"90",32,0,1
"91",24,0,1
"92",14,0,1
"93",17,0,1
"94",191,0,1
"95",195,0,1
"96",84,0,1
"97",26,0,1
"98",37,0,1
"99",56,0,1
"100",92,0,1
"101",26,0,1
"102",21,0,1
"103",10,0,1
"104",5,0,1
"105",26,0,1
"106",32,0,1
"107",212,0,1
"108",41,0,1
"109",52,0,1
"110",18,0,1
"111",8,0,1
"112",64,0,1
"113",22,0,1
"114",28,0,1
"115",11,0,1
"116",164,0,1
"117",175,0,1
"118",43,0,1
"119",42,0,1
"120",16,0,1
"121",36,0,1
"122",152,0,1
"123",155,0,1
"124",45,0,1
"125",51,0,1
"126",21,0,1
"127",75,0,1
"128",64,0,1
"129",54,0,1
"130",51,0,1
"131",9,0,1
"132",12,0,1
"133",26,0,1
"134",47,0,1
"135",99,0,1
"136",9,0,1
"137",63,0,1
"138",24,0,1
"139",47,0,1
"140",39,0,1
"141",8,0,1
"142",31,0,1
"143",40,0,1
"144",16,0,1
"145",18,0,1
"146",20,0,1
"147",21,0,1
"148",19,0,1
"149",4,0,1
"150",6,0,1
"151",6,0,1
"152",5,0,1
"153",25,0,1
"154",38,0,1
"155",25,0,1
"156",9,0,1
"157",21,0,1
"158",2,0,1
"159",8,0,1
"160",6,0,1
"161",11,0,1
"162",9,0,1
"163",4,0,1
"164",5,0,1
"165",9,0,1
"166",25,0,1
"167",42,0,1
"168",9,0,1
"169",5,0,1
"170",5,0,1
"171",7,0,1
"172",5,0,1
"173",21,0,1
"174",16,0,1
"175",7,0,1
"176",7,0,1
"177",15,0,1
"178",4,0,1
"179",34,0,1
"180",12,0,1
"181",5,0,1
"182",6,0,1
"183",24,0,1
"184",103,0,1
"185",102,0,1
"186",10,0,1
"187",4,0,1
"188",15,0,1
"189",7,0,1
"190",17,0,1
"191",7,0,1
"192",12,0,1
"193",124,0,1
"194",21,0,1
"195",38,0,1
"196",31,0,1
"197",28,0,1
"198",64,0,1
"199",85,0,1
"200",20,0,1
"201",10,0,1
"202",26,0,1
"203",96,0,1
"204",20,0,1
"205",15,0,1
"206",31,0,1
"207",8,0,1
"208",44,0,1
"209",36,0,1
"210",17,0,1
"211",111,0,1
"212",7,0,1
"213",15,0,1
"214",19,0,1
"215",21,0,1
"216",15,0,1
"217",22,0,1
"218",26,0,1
"219",237,0,1
"220",72,0,1
"221",64,0,1
"222",53,0,1
"223",4,0,1
"224",40,0,1
"225",18,0,1
"226",20,0,1
"227",26,0,1
"228",25,0,1
"229",136,0,1
"230",121,0,1
"231",44,0,1
"232",32,0,1
"233",47,0,1
"234",76,0,1
"235",21,0,1
"236",5,0,1
"237",51,0,1
"238",22,0,1
"239",22,0,1
"240",19,0,1
"241",14,0,1
"242",21,0,1
"243",90,0,1
"244",19,0,1
"245",166,0,1
"246",8,0,1
"247",8,0,1
"248",120,0,1
"249",100,0,1
"250",16,0,1
"251",15,0,1
"252",24,0,1
"253",14,0,1
"254",31,0,1
"255",45,0,1
"256",163,0,1
"257",51,0,1
"258",42,0,1
"259",20,0,1
"260",5,0,1
"261",5,0,1
"262",5,0,1
"263",6,0,1
"264",10,0,1
"265",34,0,1
"266",82,0,1
"267",73,0,1
"268",158,0,1
"269",48,0,1
"270",43,0,1
"271",49,0,1
"272",33,0,1
"273",54,0,1
"274",38,0,1
"275",40,0,1
"276",12,0,1
"277",14,0,1
"278",22,0,1
"279",12,0,1
"280",24,0,1
"281",63,0,1
"282",12,0,1
"283",26,0,1
"284",25,0,1
"285",12,0,1
"286",15,0,1
"287",31,0,1
"288",106,0,1
"289",190,0,1
"290",112,0,1
"291",37,0,1
"292",5,0,1
"293",42,0,1
"294",25,0,1
"295",44,0,1
"296",25,0,1
"297",10,0,1
"298",4,0,1
"299",4,0,1
"300",17,0,1
"301",135,0,1
"302",3,0,1
"303",41,0,1
"304",4,0,1
"305",36,0,1
"306",12,0,1
"307",1,0,1
"308",2,0,1
"309",27,0,1
"310",91,0,1
"311",101,0,1
"312",27,0,1
"313",38,0,1
"314",15,0,1
"315",38,0,1
"316",65,0,1
"317",130,0,1
"318",4,0,1
"319",23,0,1
"320",6,0,1
"321",12,0,1
"322",41,0,1
"323",47,0,1
"324",20,0,1
"325",64,0,1
"326",31,0,1
"327",48,0,1
"328",62,0,1
"329",68,0,1
"330",24,0,1
"331",26,0,1
"332",14,0,1
"333",12,0,1
"334",99,0,1
"335",31,0,1
"336",40,0,1
"337",57,0,1
"338",55,0,1
"339",53,0,1
"340",11,0,1
"341",13,0,1
"342",9,0,1
"343",12,0,1
"344",4,0,1
"345",11,0,1
"346",7,0,1
"347",5,0,1
"348",10,0,1
"349",15,0,1
"350",11,0,1
"351",11,0,1
"352",44,0,1
"353",127,0,1
"354",84,0,1
"355",165,0,1
"356",150,0,1
"357",48,0,1
"358",25,0,1
"359",28,0,1
"360",42,0,1
"361",42,0,1
"362",22,0,1
"363",6,0,1
"364",4,0,1
"365",13,0,1
"366",6,0,1
"367",35,0,1
"368",9,0,1
"369",9,0,1
"370",23,0,1
"371",11,0,1
"372",6,0,1
"373",1,0,1
"374",5,0,1
"375",7,0,1
"376",310,0,1
"377",41,0,1
"378",52,0,1
"379",16,0,1
"380",10,0,1
"381",96,0,1
"382",23,0,1
"383",34,0,1
"384",9,0,1
"385",88,0,1
"386",174,0,1
"387",15,0,1
"388",46,0,1
"389",41,0,1
"390",39,0,1
"391",33,0,1
"392",24,0,1
"393",14,0,1
"394",43,0,1
"395",44,0,1
"396",15,0,1
"397",36,0,1
"398",39,0,1
"399",17,0,1
"400",53,0,1
"401",12,0,1
"402",5,0,1
"403",27,0,1
"404",115,0,1
"405",72,0,1
"406",21,0,1
"407",18,0,1
"408",25,0,1
"409",174,0,1
"410",151,0,1
"411",43,0,1
"412",52,0,1
"413",29,0,1
"414",43,0,1
"415",12,0,1
"416",16,0,1
"417",6,0,1
"418",6,0,1
"419",22,0,1
"420",113,0,1
"421",315,0,1
"422",31,0,1
"423",51,0,1
"424",51,0,1
"425",33,0,1
"426",31,0,1
"427",31,0,1
"428",24,0,1
"429",13,0,1
"430",37,0,1
"431",36,0,1
"432",119,0,1
"433",22,0,1
"434",26,0,1
"435",15,0,1
"436",12,0,1
"437",5,0,1
"438",10,0,1
"439",17,0,1
"440",241,0,1
"441",122,0,1
"442",55,0,1
"443",33,0,1
"444",6,0,1
"445",12,0,1
"446",30,0,1
"447",31,0,1
"448",8,0,1
"449",26,0,1
"450",29,0,1
"451",21,0,1
"452",152,0,1
"453",43,0,1
"454",24,0,1
"455",3,0,1
"456",29,0,1
"457",98,0,1
"458",21,0,1
"459",176,0,1
"460",153,0,1
"461",39,0,1
"462",36,0,1
"463",98,0,1
"464",63,0,1
"465",11,0,1
"466",28,0,1
"467",30,0,1
"468",21,0,1
"469",6,0,1
"470",147,0,1
"471",54,0,1
"472",10,0,1
"473",49,0,1
"474",56,0,1
"475",41,0,1
"476",2,0,1
"477",8,0,1
"478",39,0,1
"479",11,0,1
"480",13,0,1
"481",20,0,1
"482",8,0,1
"483",14,0,1
"484",60,0,1
"485",93,0,1
"486",24,0,1
"487",21,0,1
"488",16,0,1
