"","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"1",1,0,0.101449275362319,0.217391304347826,0.0434782608695652,0.0579710144927536,0.130434782608696,0.0434782608695652,0.144927536231884,0.173913043478261,0.0579710144927536,0.0289855072463768,0
"2",1,0,0,0.111111111111111,0.222222222222222,0,0,0.111111111111111,0,0.111111111111111,0.111111111111111,0.333333333333333,0
"3",1,0,0,0,0.5,0,0,0,0,0,0,0.5,0
"4",1,0,0,0.428571428571429,0,0,0.285714285714286,0,0,0.142857142857143,0.142857142857143,0,0
"5",1,0,0,0.2,0,0,0.1,0,0,0.4,0,0.3,0
"6",1,0,0.00709219858156028,0.127659574468085,0.205673758865248,0.0283687943262411,0.049645390070922,0.0567375886524823,0.0354609929078014,0.0780141843971631,0.148936170212766,0.262411347517731,0
"7",1,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0
"8",0,1,0,0,0,0,0,0,0,0,0,0,0
"9",1,0,0.0588235294117647,0.176470588235294,0,0.294117647058824,0,0,0.352941176470588,0,0.117647058823529,0,0
"10",0,1,0,0,0,0,0,0,0,0,0,0,0
"11",1,0,0,0,1,0,0,0,0,0,0,0,0
"12",0,1,0,0,0,0,0,0,0,0,0,0,0
"13",1,0,0,0,0,0,0,0.5,0,0,0,0.5,0
"14",0,1,0,0,0,0,0,0,0,0,0,0,0
"15",1,0,0.0769230769230769,0.205128205128205,0.0384615384615385,0.0256410256410256,0.0897435897435897,0.0256410256410256,0.153846153846154,0.192307692307692,0.115384615384615,0.0769230769230769,0
"16",1,0,0,0,0.2,0,0.2,0,0,0,0.4,0.2,0
"17",1,0,0.176470588235294,0.147058823529412,0,0.0441176470588235,0.132352941176471,0.0147058823529412,0.235294117647059,0.191176470588235,0.0588235294117647,0,0
"18",1,0,0,0.5,0,0,0,0,0,0,0.5,0,0
"19",0,1,0,0,0,0,0,0,0,0,0,0,0
