"","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1",1,0,0.0528455284552846,0.947154471544713,0.0365853658536585,0.0813008130081301,0.317073170731707,0.565040650406505,0
"2",1,0,1,0,0.125,0.25,0.5,0.125,0
"3",0,1,0,0,0,0,0,0,0
"4",1,0,0,0.999999999999998,0.0294117647058824,0.0588235294117647,0.367647058823529,0.544117647058823,0
"5",1,0,0,1,0.0350877192982456,0.0350877192982456,0.280701754385965,0.649122807017544,0
"6",0,1,0,0,0,0,0,0,0
"7",1,0,0,1,0.05,0.075,0.4,0.475,0
"8",0,1,0,0,0,0,0,0,0
"9",1,0,0.12037708484409,0.879622915155891,0.00580130529369108,0.0333575054387237,0.201595358955766,0.759245830311809,0
"10",1,0,0.0593080724876441,0.940691927512352,0.0197693574958814,0.0494233937397035,0.248764415156507,0.682042833607909,0
"11",1,0,1,0,0.5,0.5,0,0,0
"12",0,1,0,0,0,0,0,0,0
"13",0,1,0,0,0,0,0,0,0
"14",1,0,0.146258503401361,0.85374149659864,0.0136054421768707,0.0238095238095238,0.234693877551021,0.727891156462586,0
"15",1,0,0.0892857142857143,0.910714285714283,0.0107142857142857,0.0285714285714286,0.264285714285714,0.69642857142857,0
"16",1,0,0.281553398058252,0.718446601941746,0.00647249190938511,0.0226537216828479,0.210355987055016,0.760517799352749,0
"17",0,1,0,0,0,0,0,0,0
"18",1,0,0.00236406619385343,0.997635933806148,0.00945626477541371,0.0378250591016548,0.23404255319149,0.718676122931443,0
"19",1,0,0.227171492204899,0.772828507795097,0.0200445434298441,0.0623608017817372,0.233853006681514,0.683741648106902,0
"20",1,0,0.0465949820788531,0.953405017921139,0.017921146953405,0.0663082437275986,0.249103942652329,0.666666666666665,0
"21",1,0,0.198473282442748,0.801526717557253,0.0152671755725191,0.0229007633587786,0.244274809160306,0.717557251908398,0
"22",0,1,0,0,0,0,0,0,0
"23",1,0,0,1,0.0240963855421687,0.0481927710843374,0.216867469879518,0.710843373493976,0
"24",0,1,0,0,0,0,0,0,0
"25",1,0,0,0.999999999999998,0.015748031496063,0.0393700787401575,0.244094488188976,0.700787401574802,0
"26",1,0,0.217687074829932,0.782312925170069,0.0136054421768707,0.0340136054421769,0.251700680272109,0.700680272108844,0
"27",1,0,0.398936170212766,0.601063829787234,0.0159574468085106,0.0319148936170213,0.223404255319149,0.72872340425532,0
"28",1,0,0,0.999999999999996,0.0169491525423729,0.0451977401129944,0.259887005649718,0.677966101694914,0
"29",0,1,0,0,0,0,0,0,0
"30",0,1,0,0,0,0,0,0,0
"31",1,0,0,1,0.0236406619385343,0.0685579196217495,0.252955082742317,0.6548463356974,0
"32",1,0,0.0161290322580645,0.983870967741935,0.0645161290322581,0.112903225806452,0.32258064516129,0.5,0
"33",0,1,0,0,0,0,0,0,0
"34",0,1,0,0,0,0,0,0,0
"35",0,1,0,0,0,0,0,0,0
"36",1,0,0.137704918032787,0.862295081967209,0.019672131147541,0.0786885245901639,0.252459016393442,0.649180327868851,0
"37",1,0,0,0.999999999999999,0.0430107526881721,0.0967741935483871,0.28494623655914,0.575268817204301,0
"38",1,0,0.280701754385965,0.719298245614036,0.0701754385964912,0.0701754385964912,0.315789473684211,0.543859649122807,0
"39",1,0,0,1,0.03,0.05,0.34,0.58,0
"40",0,1,0,0,0,0,0,0,0
"41",0,1,0,0,0,0,0,0,0
"42",0,1,0,0,0,0,0,0,0
"43",1,0,0,1,0.0454545454545455,0.0909090909090909,0.409090909090909,0.454545454545455,0
"44",1,0,0,1,0,0.0666666666666667,0.133333333333333,0.8,0
"45",1,0,0,1,0.2,0.3,0.3,0.2,0
"46",1,0,1,0,1,0,0,0,0
"47",0,1,0,0,0,0,0,0,0
"48",1,0,0,1,0.0444444444444444,0.0666666666666667,0.333333333333333,0.555555555555555,0
"49",0,1,0,0,0,0,0,0,0
"50",0,1,0,0,0,0,0,0,0
"51",0,1,0,0,0,0,0,0,0
"52",1,0,0.0277777777777778,0.972222222222223,0.111111111111111,0.166666666666667,0.305555555555556,0.416666666666667,0
"53",1,0,0.198979591836735,0.801020408163256,0.0136054421768707,0.0646258503401361,0.239795918367347,0.681972789115641,0
"54",1,0,0.0626450116009281,0.937354988399066,0.0232018561484919,0.0672853828306264,0.252900232018562,0.65661252900232,0
"55",1,0,1,0,0,0.0421052631578947,0.189473684210526,0.768421052631579,0
"56",0,1,0,0,0,0,0,0,0
"57",1,0,0.593103448275863,0.406896551724138,0.00689655172413793,0.0344827586206897,0.186206896551724,0.772413793103449,0
"58",0,1,0,0,0,0,0,0,0
"59",1,0,0,0.999999999999999,0,0.0434782608695652,0.108695652173913,0.847826086956521,0
"60",0,1,0,0,0,0,0,0,0
"61",1,0,0,1,0.0136986301369863,0.0479452054794521,0.229452054794521,0.708904109589043,0
"62",1,0,0.28125,0.71875,0.03125,0.078125,0.328125,0.5625,0
"63",1,0,0.269230769230769,0.730769230769229,0.0432692307692308,0.120192307692308,0.259615384615385,0.576923076923076,0
"64",1,0,0,1,0.571428571428571,0.285714285714286,0.142857142857143,0,0
"65",0,1,0,0,0,0,0,0,0
"66",1,0,0,0.999999999999999,0,0.0789473684210526,0.263157894736842,0.657894736842105,0
"67",1,0,0,1,0.0833333333333333,0.0833333333333333,0.25,0.583333333333333,0
"68",1,0,0.0227272727272727,0.977272727272727,0.0454545454545455,0.0454545454545455,0.318181818181818,0.590909090909091,0
"69",1,0,0,1,0.05,0.116666666666667,0.316666666666667,0.516666666666667,0
"70",0,1,0,0,0,0,0,0,0
"71",1,0,0.0933333333333333,0.906666666666666,0.0533333333333333,0.08,0.573333333333333,0.293333333333333,0
"72",1,0,0.0588235294117647,0.941176470588235,0.352941176470588,0.117647058823529,0.529411764705882,0,0
"73",0,1,0,0,0,0,0,0,0
"74",1,0,0,1,0.111111111111111,0.111111111111111,0.444444444444444,0.333333333333333,0
"75",1,0,0,1,0.5,0,0.5,0,0
"76",0,1,0,0,0,0,0,0,0
"77",1,0,0,1,0.333333333333333,0,0.666666666666667,0,0
"78",0,1,0,0,0,0,0,0,0
"79",0,1,0,0,0,0,0,0,0
"80",1,0,1,0,1,0,0,0,0
"81",0,1,0,0,0,0,0,0,0
"82",1,0,0.16195856873823,0.838041431261776,0.00941619585687382,0.0338983050847458,0.188323917137476,0.768361581920909,0
"83",1,0,0.175824175824176,0.824175824175822,0.0153846153846154,0.0615384615384615,0.237362637362637,0.685714285714284,0
"84",0,1,0,0,0,0,0,0,0
"85",1,0,1,0,0.5,0,0.5,0,0
"86",1,0,0,1,0.0769230769230769,0.0769230769230769,0.307692307692308,0.538461538461539,0
"87",1,0,1,0,0.0416666666666667,0.0833333333333333,0.25,0.625,0
"88",0,1,0,0,0,0,0,0,0
"89",1,0,0.166666666666667,0.833333333333332,0.0222222222222222,0.0555555555555556,0.222222222222222,0.7,0
"90",1,0,0.275862068965517,0.724137931034482,0.0197044334975369,0.0394088669950739,0.251231527093596,0.689655172413792,0
"91",0,1,0,0,0,0,0,0,0
"92",1,0,0,0.999999999999997,0.012448132780083,0.0401106500691563,0.203319502074688,0.74412171507607,0
"93",1,0,0.239819004524887,0.760180995475111,0.0113122171945701,0.0384615384615385,0.203619909502262,0.746606334841627,0
"94",1,0,0,1.00000000000001,0.0119331742243437,0.0310262529832936,0.217183770883055,0.739856801909312,0
"95",0,1,0,0,0,0,0,0,0
"96",1,0,0.999999999999998,0,0.0197368421052632,0.0394736842105263,0.230263157894737,0.710526315789473,0
"97",1,0,0.068,0.932000000000001,0.016,0.028,0.248,0.708000000000001,0
"98",0,1,0,0,0,0,0,0,0
"99",0,1,0,0,0,0,0,0,0
"100",1,0,0.08,0.92,0.24,0.08,0.32,0.36,0
"101",0,1,0,0,0,0,0,0,0
"102",0,1,0,0,0,0,0,0,0
"103",0,1,0,0,0,0,0,0,0
"104",0,1,0,0,0,0,0,0,0
"105",1,0,1,0,1,0,0,0,0
"106",1,0,0,1,1,0,0,0,0
"107",1,0,1,0,1,0,0,0,0
"108",1,0,0.0927835051546392,0.90721649484536,0.123711340206186,0.144329896907217,0.453608247422681,0.278350515463917,0
"109",1,0,0,1,0.0833333333333333,0.166666666666667,0.416666666666667,0.333333333333333,0
"110",1,0,0,1,0.285714285714286,0.285714285714286,0.428571428571429,0,0
"111",1,0,1,0,1,0,0,0,0
"112",1,0,0,1,0.0909090909090909,0.181818181818182,0.454545454545455,0.272727272727273,0
"113",0,1,0,0,0,0,0,0,0
"114",1,0,0,1,0.285714285714286,0.142857142857143,0.428571428571429,0.142857142857143,0
"115",1,0,0,1,0.166666666666667,0.166666666666667,0.5,0.166666666666667,0
"116",1,0,0.00833333333333333,0.991666666666666,0.0416666666666667,0.0833333333333333,0.3,0.575,0
"117",1,0,0,0.999999999999999,0.04,0.12,0.36,0.48,0
"118",1,0,0,1,0.0746268656716418,0.149253731343284,0.343283582089552,0.432835820895522,0
