"","Loop_number","No_loop","Loop"
"1",18,0,1
"2",2,0,1
"3",74,0,1
"4",1,0,1
"5",128,0,1
"6",21,0,1
"7",0,0,1
"8",24,0,1
"9",96,0,1
"10",1,0,1
"11",5,0,1
"12",0,0,1
"13",20,0,1
"14",22,0,1
"15",3,0,1
"16",13,0,1
"17",19,0,1
"18",19,0,1
"19",7,0,1
"20",0,0,1
"21",0,0,1
"22",14,0,1
"23",9,0,1
"24",0,0,1
"25",2,0,1
"26",13,0,1
"27",14,0,1
"28",12,0,1
"29",10,0,1
"30",8,0,1
"31",0,0,1
"32",0,0,1
"33",1,0,1
"34",1,0,1
"35",0,0,1
"36",11,0,1
"37",31,0,1
"38",57,0,1
"39",160,0,1
"40",134,0,1
"41",78,0,1
"42",150,0,1
"43",138,0,1
"44",68,0,1
"45",1,0,1
"46",13,0,1
"47",18,0,1
"48",10,0,1
"49",45,0,1
"50",56,0,1
"51",62,0,1
"52",27,0,1
"53",69,0,1
"54",2,0,1
"55",10,0,1
"56",14,0,1
"57",16,0,1
"58",14,0,1
"59",67,0,1
"60",18,0,1
"61",53,0,1
"62",0,0,1
"63",39,0,1
"64",82,0,1
"65",17,0,1
"66",0,0,1
"67",0,0,1
"68",0,0,1
"69",1,0,1
"70",11,0,1
"71",105,0,1
"72",77,0,1
"73",0,0,1
"74",89,0,1
"75",0,0,1
"76",1,0,1
"77",52,0,1
"78",0,0,1
"79",84,0,1
"80",3,0,1
"81",41,0,1
"82",1,0,1
"83",20,0,1
"84",3,0,1
"85",19,0,1
"86",29,0,1
"87",32,0,1
"88",32,0,1
"89",3,0,1
"90",15,0,1
"91",7,0,1
"92",14,0,1
"93",5,0,1
"94",15,0,1
"95",9,0,1
"96",11,0,1
"97",8,0,1
"98",9,0,1
"99",8,0,1
"100",8,0,1
"101",20,0,1
"102",0,0,1
"103",2,0,1
"104",11,0,1
"105",3,0,1
"106",14,0,1
"107",1,0,1
"108",1,0,1
"109",68,0,1
"110",17,0,1
"111",16,0,1
"112",11,0,1
"113",6,0,1
"114",27,0,1
"115",3,0,1
"116",10,0,1
"117",29,0,1
"118",18,0,1
"119",18,0,1
"120",8,0,1
"121",22,0,1
"122",0,0,1
"123",5,0,1
"124",4,0,1
"125",1,0,1
"126",9,0,1
"127",2,0,1
"128",2,0,1
"129",4,0,1
"130",9,0,1
"131",18,0,1
"132",4,0,1
"133",5,0,1
"134",9,0,1
"135",3,0,1
"136",4,0,1
"137",0,0,1
"138",0,0,1
"139",2,0,1
"140",3,0,1
"141",4,0,1
"142",3,0,1
"143",3,0,1
"144",1,0,1
"145",0,0,1
"146",54,0,1
"147",32,0,1
"148",4,0,1
"149",4,0,1
"150",15,0,1
"151",9,0,1
"152",3,0,1
"153",25,0,1
"154",1,0,1
"155",0,0,1
"156",1,0,1
"157",0,0,1
"158",12,0,1
"159",3,0,1
"160",19,0,1
"161",1,0,1
"162",9,0,1
"163",7,0,1
"164",2,0,1
"165",8,0,1
"166",5,0,1
"167",10,0,1
"168",14,0,1
"169",0,0,1
"170",7,0,1
"171",1,0,1
"172",0,0,1
"173",0,0,1
"174",2,0,1
"175",0,0,1
"176",12,0,1
"177",7,0,1
"178",1,0,1
"179",5,0,1
"180",20,0,1
"181",7,0,1
"182",12,0,1
"183",33,0,1
"184",3,0,1
"185",24,0,1
"186",3,0,1
"187",5,0,1
"188",10,0,1
"189",15,0,1
"190",0,0,1
"191",2,0,1
"192",12,0,1
"193",16,0,1
"194",10,0,1
"195",23,0,1
"196",6,0,1
"197",9,0,1
"198",25,0,1
"199",5,0,1
"200",4,0,1
"201",7,0,1
"202",4,0,1
"203",20,0,1
"204",8,0,1
"205",18,0,1
"206",0,0,1
"207",0,0,1
"208",2,0,1
"209",0,0,1
"210",0,0,1
"211",12,0,1
"212",3,0,1
"213",89,0,1
"214",80,0,1
"215",50,0,1
"216",30,0,1
"217",2,0,1
"218",9,0,1
"219",25,0,1
"220",0,0,1
"221",14,0,1
"222",34,0,1
"223",1,0,1
"224",53,0,1
"225",0,0,1
"226",38,0,1
"227",0,0,1
"228",2,0,1
"229",45,0,1
"230",6,0,1
"231",17,0,1
"232",13,0,1
"233",26,0,1
"234",23,0,1
"235",13,0,1
"236",15,0,1
"237",10,0,1
"238",1,0,1
"239",26,0,1
"240",16,0,1
"241",1,0,1
"242",0,0,1
"243",19,0,1
"244",1,0,1
"245",5,0,1
"246",10,0,1
"247",0,0,1
"248",25,0,1
"249",49,0,1
"250",0,0,1
"251",52,0,1
"252",2,0,1
"253",120,0,1
"254",13,0,1
"255",1,0,1
"256",5,0,1
"257",10,0,1
"258",3,0,1
"259",10,0,1
"260",18,0,1
"261",8,0,1
"262",22,0,1
"263",7,0,1
"264",1,0,1
"265",3,0,1
"266",10,0,1
"267",4,0,1
"268",5,0,1
"269",2,0,1
"270",26,0,1
"271",1,0,1
"272",5,0,1
"273",13,0,1
"274",3,0,1
"275",2,0,1
"276",1,0,1
"277",6,0,1
"278",1,0,1
"279",0,0,1
"280",3,0,1
"281",4,0,1
"282",12,0,1
"283",5,0,1
"284",3,0,1
"285",0,0,1
"286",4,0,1
"287",13,0,1
"288",4,0,1
"289",53,0,1
"290",52,0,1
"291",1,0,1
"292",4,0,1
"293",2,0,1
"294",7,0,1
"295",1,0,1
"296",4,0,1
"297",1,0,1
"298",1,0,1
"299",9,0,1
"300",2,0,1
"301",11,0,1
"302",4,0,1
"303",7,0,1
"304",3,0,1
"305",2,0,1
"306",2,0,1
"307",4,0,1
"308",2,0,1
"309",9,0,1
"310",3,0,1
"311",0,0,1
"312",2,0,1
"313",1,0,1
"314",0,0,1
"315",1,0,1
"316",2,0,1
"317",0,0,1
"318",4,0,1
"319",1,0,1
"320",2,0,1
"321",137,0,1
"322",5,0,1
"323",20,0,1
"324",16,0,1
"325",104,0,1
"326",4,0,1
"327",3,0,1
"328",2,0,1
"329",20,0,1
"330",13,0,1
"331",17,0,1
"332",5,0,1
"333",13,0,1
"334",33,0,1
"335",0,0,1
"336",22,0,1
"337",17,0,1
"338",3,0,1
"339",7,0,1
"340",0,0,1
"341",1,0,1
"342",13,0,1
"343",0,0,1
"344",21,0,1
"345",11,0,1
"346",1,0,1
"347",0,0,1
"348",0,0,1
"349",0,0,1
"350",0,0,1
"351",6,0,1
"352",0,0,1
"353",0,0,1
"354",15,0,1
"355",142,0,1
"356",67,0,1
"357",7,0,1
"358",3,0,1
"359",11,0,1
"360",62,0,1
"361",51,0,1
"362",0,0,1
"363",1,0,1
"364",10,0,1
"365",26,0,1
"366",3,0,1
"367",27,0,1
"368",39,0,1
"369",7,0,1
"370",4,0,1
"371",5,0,1
"372",29,0,1
"373",3,0,1
"374",3,0,1
"375",24,0,1
"376",32,0,1
"377",0,0,1
"378",5,0,1
"379",23,0,1
"380",31,0,1
"381",36,0,1
"382",5,0,1
"383",0,0,1
"384",4,0,1
"385",2,0,1
"386",2,0,1
"387",0,0,1
"388",57,0,1
"389",6,0,1
"390",0,0,1
"391",0,0,1
"392",0,0,1
"393",12,0,1
"394",0,0,1
"395",0,0,1
"396",0,0,1
"397",1,0,1
"398",0,0,1
"399",0,0,1
"400",0,0,1
"401",1,0,1
"402",0,0,1
"403",2,0,1
"404",1,0,1
"405",0,0,1
"406",2,0,1
"407",0,0,1
"408",2,0,1
"409",1,0,1
"410",1,0,1
"411",1,0,1
"412",1,0,1
"413",0,0,1
"414",1,0,1
"415",0,0,1
"416",0,0,1
"417",0,0,1
"418",0,0,1
"419",0,0,1
"420",0,0,1
"421",5,0,1
"422",85,0,1
"423",4,0,1
"424",68,0,1
"425",0,0,1
"426",13,0,1
"427",0,0,1
"428",13,0,1
"429",9,0,1
"430",0,0,1
"431",13,0,1
"432",6,0,1
"433",0,0,1
"434",8,0,1
"435",0,0,1
"436",11,0,1
"437",1,0,1
"438",1,0,1
"439",5,0,1
"440",5,0,1
"441",8,0,1
"442",5,0,1
"443",5,0,1
"444",8,0,1
"445",10,0,1
"446",1,0,1
"447",13,0,1
"448",7,0,1
"449",0,0,1
"450",2,0,1
"451",2,0,1
"452",1,0,1
"453",0,0,1
"454",11,0,1
"455",0,0,1
"456",40,0,1
"457",11,0,1
"458",15,0,1
"459",27,0,1
"460",86,0,1
"461",0,0,1
"462",0,0,1
"463",0,0,1
"464",11,0,1
"465",7,0,1
"466",4,0,1
"467",8,0,1
"468",7,0,1
"469",21,0,1
"470",14,0,1
"471",12,0,1
"472",19,0,1
"473",1,0,1
"474",4,0,1
"475",0,0,1
"476",9,0,1
"477",12,0,1
"478",2,0,1
"479",4,0,1
"480",15,0,1
"481",1,0,1
"482",13,0,1
"483",10,0,1
"484",10,0,1
"485",0,0,1
"486",5,0,1
"487",1,0,1
"488",0,0,1
"489",1,0,1
"490",1,0,1
"491",3,0,1
"492",20,0,1
"493",10,0,1
"494",0,0,1
"495",102,0,1
"496",19,0,1
"497",10,0,1
"498",6,0,1
"499",2,0,1
"500",36,0,1
"501",6,0,1
"502",19,0,1
"503",12,0,1
"504",17,0,1
"505",4,0,1
"506",7,0,1
"507",17,0,1
"508",21,0,1
"509",14,0,1
"510",11,0,1
"511",18,0,1
"512",1,0,1
"513",16,0,1
"514",3,0,1
"515",8,0,1
"516",9,0,1
"517",6,0,1
"518",14,0,1
"519",17,0,1
"520",17,0,1
"521",0,0,1
"522",1,0,1
"523",0,0,1
"524",0,0,1
"525",11,0,1
"526",10,0,1
"527",48,0,1
"528",2,0,1
"529",1,0,1
"530",18,0,1
"531",34,0,1
"532",7,0,1
"533",13,0,1
"534",34,0,1
"535",61,0,1
"536",4,0,1
"537",2,0,1
"538",16,0,1
"539",2,0,1
"540",2,0,1
"541",19,0,1
"542",4,0,1
"543",1,0,1
"544",12,0,1
"545",8,0,1
"546",9,0,1
"547",0,0,1
"548",16,0,1
"549",2,0,1
"550",4,0,1
"551",23,0,1
"552",0,0,1
"553",18,0,1
"554",21,0,1
"555",17,0,1
"556",4,0,1
"557",1,0,1
"558",3,0,1
"559",0,0,1
"560",3,0,1
"561",24,0,1
"562",0,0,1
"563",36,0,1
"564",0,0,1
"565",9,0,1
"566",72,0,1
"567",2,0,1
"568",3,0,1
"569",16,0,1
"570",10,0,1
"571",1,0,1
"572",0,0,1
"573",6,0,1
"574",0,0,1
"575",7,0,1
"576",8,0,1
"577",6,0,1
"578",5,0,1
"579",5,0,1
"580",1,0,1
"581",1,0,1
"582",3,0,1
"583",5,0,1
"584",2,0,1
"585",3,0,1
"586",8,0,1
"587",6,0,1
"588",4,0,1
"589",1,0,1
"590",7,0,1
"591",0,0,1
"592",0,0,1
"593",0,0,1
"594",0,0,1
"595",0,0,1
"596",26,0,1
"597",0,0,1
"598",13,0,1
"599",0,0,1
"600",101,0,1
"601",12,0,1
"602",126,0,1
"603",48,0,1
"604",20,0,1
"605",82,0,1
"606",48,0,1
"607",3,0,1
"608",8,0,1
"609",31,0,1
"610",4,0,1
"611",107,0,1
"612",0,0,1
"613",48,0,1
"614",45,0,1
"615",66,0,1
"616",14,0,1
"617",32,0,1
"618",10,0,1
"619",46,0,1
"620",0,0,1
"621",20,0,1
"622",20,0,1
"623",18,0,1
"624",26,0,1
"625",1,0,1
"626",10,0,1
"627",1,0,1
"628",1,0,1
"629",0,0,1
"630",4,0,1
"631",26,0,1
"632",5,0,1
"633",0,0,1
"634",13,0,1
"635",121,0,1
"636",107,0,1
"637",44,0,1
"638",19,0,1
"639",2,0,1
"640",23,0,1
"641",18,0,1
"642",14,0,1
"643",8,0,1
"644",17,0,1
"645",5,0,1
"646",20,0,1
"647",11,0,1
"648",21,0,1
"649",11,0,1
"650",17,0,1
"651",7,0,1
"652",1,0,1
"653",11,0,1
"654",2,0,1
"655",23,0,1
"656",8,0,1
"657",3,0,1
"658",17,0,1
"659",0,0,1
"660",11,0,1
"661",30,0,1
"662",5,0,1
"663",2,0,1
"664",5,0,1
"665",1,0,1
"666",55,0,1
"667",6,0,1
"668",119,0,1
"669",33,0,1
"670",9,0,1
"671",11,0,1
"672",22,0,1
"673",94,0,1
"674",10,0,1
"675",15,0,1
"676",11,0,1
"677",7,0,1
"678",2,0,1
"679",1,0,1
"680",1,0,1
"681",22,0,1
"682",24,0,1
"683",49,0,1
"684",24,0,1
"685",8,0,1
"686",12,0,1
"687",2,0,1
"688",24,0,1
"689",18,0,1
"690",35,0,1
"691",10,0,1
"692",14,0,1
"693",15,0,1
"694",19,0,1
"695",36,0,1
"696",17,0,1
"697",4,0,1
"698",2,0,1
"699",2,0,1
"700",1,0,1
"701",60,0,1
"702",13,0,1
"703",3,0,1
"704",79,0,1
"705",7,0,1
"706",13,0,1
"707",42,0,1
"708",18,0,1
"709",10,0,1
"710",90,0,1
"711",2,0,1
"712",43,0,1
"713",1,0,1
"714",33,0,1
"715",3,0,1
"716",39,0,1
"717",2,0,1
"718",11,0,1
"719",15,0,1
"720",10,0,1
"721",20,0,1
"722",2,0,1
"723",4,0,1
"724",3,0,1
"725",9,0,1
"726",50,0,1
"727",4,0,1
"728",24,0,1
"729",10,0,1
"730",4,0,1
"731",2,0,1
"732",9,0,1
"733",13,0,1
"734",0,0,1
"735",0,0,1
"736",93,0,1
"737",3,0,1
"738",58,0,1
"739",0,0,1
"740",46,0,1
"741",0,0,1
"742",5,0,1
"743",50,0,1
"744",1,0,1
"745",0,0,1
"746",0,0,1
"747",20,0,1
"748",17,0,1
"749",9,0,1
"750",2,0,1
"751",16,0,1
"752",24,0,1
"753",0,0,1
"754",23,0,1
"755",2,0,1
"756",17,0,1
"757",0,0,1
"758",33,0,1
"759",16,0,1
"760",13,0,1
"761",6,0,1
"762",13,0,1
"763",23,0,1
"764",4,0,1
"765",8,0,1
"766",0,0,1
"767",0,0,1
"768",10,0,1
"769",10,0,1
"770",0,0,1
"771",43,0,1
"772",17,0,1
"773",10,0,1
"774",11,0,1
"775",9,0,1
"776",45,0,1
"777",2,0,1
"778",37,0,1
"779",1,0,1
"780",46,0,1
"781",18,0,1
"782",8,0,1
"783",5,0,1
"784",25,0,1
"785",3,0,1
"786",6,0,1
"787",44,0,1
"788",1,0,1
"789",5,0,1
"790",5,0,1
"791",6,0,1
"792",5,0,1
"793",3,0,1
"794",23,0,1
"795",7,0,1
"796",3,0,1
"797",15,0,1
"798",0,0,1
"799",10,0,1
"800",14,0,1
"801",2,0,1
"802",7,0,1
"803",7,0,1
"804",15,0,1
"805",0,0,1
"806",11,0,1
"807",11,0,1
"808",10,0,1
"809",80,0,1
"810",92,0,1
"811",95,0,1
"812",90,0,1
"813",1,0,1
"814",2,0,1
"815",75,0,1
"816",4,0,1
"817",30,0,1
"818",32,0,1
"819",4,0,1
"820",25,0,1
"821",21,0,1
"822",55,0,1
"823",4,0,1
"824",36,0,1
"825",15,0,1
"826",2,0,1
"827",12,0,1
"828",0,0,1
"829",36,0,1
"830",20,0,1
"831",0,0,1
"832",23,0,1
"833",2,0,1
"834",2,0,1
"835",26,0,1
"836",0,0,1
"837",2,0,1
"838",9,0,1
"839",0,0,1
"840",0,0,1
"841",117,0,1
"842",101,0,1
"843",1,0,1
"844",7,0,1
"845",10,0,1
"846",49,0,1
"847",4,0,1
"848",78,0,1
"849",22,0,1
"850",0,0,1
"851",27,0,1
"852",7,0,1
"853",0,0,1
"854",4,0,1
"855",0,0,1
"856",3,0,1
"857",2,0,1
"858",38,0,1
"859",48,0,1
"860",10,0,1
"861",28,0,1
"862",1,0,1
"863",26,0,1
"864",1,0,1
"865",27,0,1
"866",12,0,1
"867",12,0,1
"868",6,0,1
"869",33,0,1
"870",26,0,1
"871",1,0,1
"872",0,0,1
"873",2,0,1
"874",0,0,1
"875",0,0,1
"876",50,0,1
"877",0,0,1
"878",1,0,1
"879",0,0,1
"880",0,0,1
"881",2,0,1
"882",3,0,1
"883",0,0,1
"884",2,0,1
"885",0,0,1
"886",0,0,1
"887",0,0,1
"888",1,0,1
"889",0,0,1
"890",2,0,1
"891",1,0,1
"892",0,0,1
"893",4,0,1
"894",2,0,1
"895",4,0,1
"896",4,0,1
"897",4,0,1
"898",0,0,1
"899",2,0,1
"900",0,0,1
"901",1,0,1
"902",0,0,1
"903",3,0,1
"904",0,0,1
"905",1,0,1
"906",0,0,1
"907",0,0,1
"908",1,0,1
"909",3,0,1
"910",3,0,1
"911",124,0,1
"912",8,0,1
"913",141,0,1
"914",11,0,1
"915",2,0,1
"916",86,0,1
"917",3,0,1
"918",0,0,1
"919",30,0,1
"920",6,0,1
"921",3,0,1
"922",28,0,1
"923",6,0,1
"924",23,0,1
"925",13,0,1
"926",8,0,1
"927",18,0,1
"928",21,0,1
"929",6,0,1
"930",15,0,1
"931",9,0,1
"932",1,0,1
"933",12,0,1
"934",5,0,1
"935",1,0,1
"936",24,0,1
"937",14,0,1
"938",5,0,1
"939",8,0,1
"940",17,0,1
"941",1,0,1
"942",0,0,1
"943",6,0,1
"944",10,0,1
"945",3,0,1
"946",14,0,1
"947",56,0,1
"948",1,0,1
"949",70,0,1
"950",1,0,1
"951",12,0,1
"952",6,0,1
"953",39,0,1
"954",8,0,1
"955",0,0,1
"956",17,0,1
"957",0,0,1
"958",1,0,1
"959",12,0,1
"960",6,0,1
"961",5,0,1
"962",8,0,1
"963",13,0,1
"964",6,0,1
"965",12,0,1
"966",2,0,1
"967",15,0,1
"968",17,0,1
"969",13,0,1
"970",11,0,1
"971",9,0,1
"972",3,0,1
"973",11,0,1
"974",1,0,1
"975",0,0,1
"976",1,0,1
"977",0,0,1
"978",1,0,1
"979",1,0,1
"980",0,0,1
"981",40,0,1
"982",9,0,1
"983",21,0,1
"984",0,0,1
"985",41,0,1
"986",41,0,1
"987",16,0,1
"988",6,0,1
"989",6,0,1
"990",1,0,1
"991",1,0,1
"992",7,0,1
"993",1,0,1
"994",2,0,1
"995",0,0,1
"996",9,0,1
"997",0,0,1
"998",10,0,1
"999",10,0,1
"1000",8,0,1
"1001",3,0,1
"1002",0,0,1
"1003",9,0,1
"1004",1,0,1
"1005",6,0,1
"1006",0,0,1
"1007",9,0,1
"1008",7,0,1
"1009",2,0,1
"1010",10,0,1
"1011",0,0,1
"1012",1,0,1
"1013",1,0,1
"1014",2,0,1
"1015",0,0,1
"1016",5,0,1
"1017",58,0,1
"1018",10,0,1
"1019",10,0,1
"1020",0,0,1
"1021",9,0,1
"1022",104,0,1
"1023",1,0,1
"1024",87,0,1
"1025",80,0,1
"1026",6,0,1
"1027",1,0,1
"1028",14,0,1
"1029",8,0,1
"1030",5,0,1
"1031",15,0,1
"1032",8,0,1
"1033",1,0,1
"1034",7,0,1
"1035",2,0,1
"1036",31,0,1
"1037",0,0,1
"1038",6,0,1
"1039",29,0,1
"1040",21,0,1
"1041",8,0,1
"1042",20,0,1
"1043",15,0,1
"1044",7,0,1
"1045",20,0,1
"1046",0,0,1
"1047",12,0,1
"1048",2,0,1
"1049",3,0,1
"1050",14,0,1
"1051",0,0,1
"1052",20,0,1
"1053",1,0,1
"1054",26,0,1
"1055",105,0,1
"1056",10,0,1
"1057",0,0,1
"1058",72,0,1
"1059",22,0,1
"1060",6,0,1
"1061",2,0,1
"1062",0,0,1
"1063",18,0,1
"1064",1,0,1
"1065",5,0,1
"1066",2,0,1
"1067",0,0,1
"1068",22,0,1
"1069",7,0,1
"1070",11,0,1
"1071",0,0,1
"1072",1,0,1
"1073",6,0,1
"1074",3,0,1
"1075",6,0,1
"1076",11,0,1
"1077",1,0,1
"1078",1,0,1
"1079",3,0,1
"1080",16,0,1
"1081",1,0,1
"1082",1,0,1
"1083",0,0,1
"1084",0,0,1
"1085",0,0,1
"1086",2,0,1
"1087",0,0,1
"1088",4,0,1
"1089",0,0,1
"1090",12,0,1
"1091",6,0,1
"1092",6,0,1
"1093",3,0,1
"1094",1,0,1
"1095",8,0,1
"1096",0,0,1
"1097",3,0,1
"1098",1,0,1
"1099",0,0,1
"1100",3,0,1
"1101",1,0,1
"1102",0,0,1
"1103",1,0,1
"1104",1,0,1
"1105",0,0,1
"1106",0,0,1
"1107",8,0,1
"1108",0,0,1
"1109",2,0,1
"1110",1,0,1
"1111",0,0,1
"1112",2,0,1
"1113",6,0,1
"1114",0,0,1
"1115",3,0,1
"1116",0,0,1
"1117",0,0,1
"1118",0,0,1
"1119",1,0,1
"1120",0,0,1
"1121",18,0,1
"1122",1,0,1
"1123",10,0,1
"1124",83,0,1
"1125",29,0,1
"1126",70,0,1
"1127",98,0,1
"1128",84,0,1
"1129",14,0,1
"1130",0,0,1
"1131",5,0,1
"1132",22,0,1
"1133",0,0,1
"1134",34,0,1
"1135",14,0,1
"1136",68,0,1
"1137",77,0,1
"1138",36,0,1
"1139",14,0,1
"1140",2,0,1
"1141",29,0,1
"1142",10,0,1
"1143",2,0,1
"1144",12,0,1
"1145",18,0,1
"1146",2,0,1
"1147",14,0,1
"1148",11,0,1
"1149",9,0,1
"1150",40,0,1
"1151",0,0,1
"1152",0,0,1
"1153",5,0,1
"1154",1,0,1
"1155",6,0,1
"1156",56,0,1
"1157",13,0,1
"1158",7,0,1
"1159",15,0,1
"1160",7,0,1
"1161",6,0,1
"1162",62,0,1
"1163",0,0,1
"1164",1,0,1
"1165",5,0,1
"1166",1,0,1
"1167",7,0,1
"1168",10,0,1
