"","Loop_number","No_loop","Loop"
"1",2,0,1
"2",0,0,1
"3",25,0,1
"4",0,0,1
"5",21,0,1
"6",7,0,1
"7",0,0,1
"8",11,0,1
"9",38,0,1
"10",1,0,1
"11",5,0,1
"12",0,0,1
"13",8,0,1
"14",6,0,1
"15",5,0,1
"16",7,0,1
"17",7,0,1
"18",8,0,1
"19",3,0,1
"20",0,0,1
"21",2,0,1
"22",7,0,1
"23",3,0,1
"24",0,0,1
"25",2,0,1
"26",5,0,1
"27",3,0,1
"28",3,0,1
"29",3,0,1
"30",4,0,1
"31",1,0,1
"32",0,0,1
"33",2,0,1
"34",2,0,1
"35",1,0,1
"36",13,0,1
"37",4,0,1
"38",9,0,1
"39",41,0,1
"40",34,0,1
"41",33,0,1
"42",44,0,1
"43",41,0,1
"44",22,0,1
"45",0,0,1
"46",10,0,1
"47",11,0,1
"48",11,0,1
"49",14,0,1
"50",13,0,1
"51",16,0,1
"52",6,0,1
"53",19,0,1
"54",3,0,1
"55",9,0,1
"56",7,0,1
"57",12,0,1
"58",5,0,1
"59",23,0,1
"60",7,0,1
"61",14,0,1
"62",0,0,1
"63",10,0,1
"64",19,0,1
"65",6,0,1
"66",2,0,1
"67",0,0,1
"68",0,0,1
"69",2,0,1
"70",2,0,1
"71",38,0,1
"72",33,0,1
"73",0,0,1
"74",18,0,1
"75",0,0,1
"76",1,0,1
"77",20,0,1
"78",0,0,1
"79",36,0,1
"80",4,0,1
"81",13,0,1
"82",1,0,1
"83",10,0,1
"84",6,0,1
"85",8,0,1
"86",11,0,1
"87",12,0,1
"88",13,0,1
"89",3,0,1
"90",7,0,1
"91",5,0,1
"92",3,0,1
"93",3,0,1
"94",10,0,1
"95",5,0,1
"96",5,0,1
"97",9,0,1
"98",6,0,1
"99",5,0,1
"100",5,0,1
"101",12,0,1
"102",0,0,1
"103",0,0,1
"104",6,0,1
"105",3,0,1
"106",5,0,1
"107",3,0,1
"108",1,0,1
"109",45,0,1
"110",6,0,1
"111",2,0,1
"112",1,0,1
"113",1,0,1
"114",9,0,1
"115",0,0,1
"116",7,0,1
"117",10,0,1
"118",10,0,1
"119",8,0,1
"120",7,0,1
"121",11,0,1
"122",1,0,1
"123",5,0,1
"124",2,0,1
"125",3,0,1
"126",5,0,1
"127",3,0,1
"128",1,0,1
"129",7,0,1
"130",5,0,1
"131",10,0,1
"132",3,0,1
"133",4,0,1
"134",4,0,1
"135",6,0,1
"136",1,0,1
"137",0,0,1
"138",1,0,1
"139",2,0,1
"140",0,0,1
"141",1,0,1
"142",4,0,1
"143",0,0,1
"144",0,0,1
"145",0,0,1
"146",24,0,1
"147",24,0,1
"148",3,0,1
"149",0,0,1
"150",0,0,1
"151",3,0,1
"152",0,0,1
"153",8,0,1
"154",2,0,1
"155",0,0,1
"156",3,0,1
"157",0,0,1
"158",7,0,1
"159",2,0,1
"160",7,0,1
"161",0,0,1
"162",9,0,1
"163",5,0,1
"164",3,0,1
"165",2,0,1
"166",1,0,1
"167",8,0,1
"168",8,0,1
"169",1,0,1
"170",6,0,1
"171",2,0,1
"172",1,0,1
"173",1,0,1
"174",3,0,1
"175",0,0,1
"176",9,0,1
"177",7,0,1
"178",3,0,1
"179",2,0,1
"180",10,0,1
"181",4,0,1
"182",8,0,1
"183",20,0,1
"184",4,0,1
"185",17,0,1
"186",0,0,1
"187",2,0,1
"188",5,0,1
"189",4,0,1
"190",0,0,1
"191",0,0,1
"192",5,0,1
"193",6,0,1
"194",7,0,1
"195",9,0,1
"196",5,0,1
"197",5,0,1
"198",8,0,1
"199",2,0,1
"200",2,0,1
"201",1,0,1
"202",2,0,1
"203",8,0,1
"204",5,0,1
"205",8,0,1
"206",0,0,1
"207",0,0,1
"208",2,0,1
"209",0,0,1
"210",0,0,1
"211",9,0,1
"212",4,0,1
"213",37,0,1
"214",35,0,1
"215",15,0,1
"216",6,0,1
"217",0,0,1
"218",3,0,1
"219",17,0,1
