"","Loop_number","No_loop","Loop"
"1",21,0,1
"2",5,0,1
"3",0,0,1
"4",8,0,1
"5",6,0,1
"6",5,0,1
"7",8,0,1
"8",0,0,1
"9",41,0,1
"10",22,0,1
"11",10,0,1
"12",11,0,1
"13",11,0,1
"14",14,0,1
"15",13,0,1
"16",6,0,1
"17",9,0,1
"18",38,0,1
"19",33,0,1
"20",36,0,1
"21",13,0,1
"22",1,0,1
"23",10,0,1
"24",6,0,1
"25",8,0,1
"26",11,0,1
"27",12,0,1
"28",13,0,1
"29",3,0,1
"30",7,0,1
"31",45,0,1
"32",7,0,1
"33",1,0,1
"34",2,0,1
"35",3,0,1
"36",24,0,1
"37",24,0,1
"38",3,0,1
"39",8,0,1
"40",2,0,1
"41",3,0,1
"42",0,0,1
"43",7,0,1
"44",7,0,1
"45",10,0,1
"46",0,0,1
"47",2,0,1
"48",4,0,1
"49",0,0,1
"50",0,0,1
"51",5,0,1
"52",7,0,1
"53",37,0,1
"54",35,0,1
"55",6,0,1
"56",2,0,1
"57",16,0,1
"58",1,0,1
"59",9,0,1
"60",2,0,1
"61",17,0,1
"62",4,0,1
"63",40,0,1
"64",11,0,1
"65",8,0,1
"66",9,0,1
"67",7,0,1
"68",13,0,1
"69",6,0,1
"70",3,0,1
"71",14,0,1
"72",15,0,1
"73",2,0,1
"74",5,0,1
"75",2,0,1
"76",3,0,1
"77",3,0,1
"78",0,0,1
"79",3,0,1
"80",3,0,1
"81",2,0,1
"82",57,0,1
"83",35,0,1
"84",1,0,1
"85",1,0,1
"86",7,0,1
"87",5,0,1
"88",3,0,1
"89",3,0,1
"90",11,0,1
"91",0,0,1
"92",29,0,1
"93",21,0,1
"94",20,0,1
"95",1,0,1
"96",10,0,1
"97",13,0,1
"98",4,0,1
"99",1,0,1
"100",19,0,1
"101",0,0,1
"102",1,0,1
"103",1,0,1
"104",0,0,1
"105",1,0,1
"106",2,0,1
"107",3,0,1
"108",22,0,1
"109",10,0,1
"110",5,0,1
"111",0,0,1
"112",7,0,1
"113",9,0,1
"114",5,0,1
"115",3,0,1
"116",12,0,1
"117",16,0,1
"118",24,0,1
"119",2,0,1
"120",8,0,1
"121",8,0,1
"122",8,0,1
"123",9,0,1
"124",1,0,1
"125",2,0,1
"126",2,0,1
"127",29,0,1
"128",15,0,1
"129",7,0,1
"130",6,0,1
"131",5,0,1
"132",2,0,1
"133",6,0,1
"134",7,0,1
"135",9,0,1
"136",8,0,1
"137",5,0,1
"138",11,0,1
"139",5,0,1
"140",3,0,1
"141",2,0,1
"142",2,0,1
"143",10,0,1
"144",2,0,1
"145",3,0,1
"146",7,0,1
"147",2,0,1
"148",1,0,1
"149",4,0,1
"150",2,0,1
"151",2,0,1
"152",33,0,1
"153",13,0,1
"154",2,0,1
"155",3,0,1
"156",2,0,1
"157",11,0,1
"158",13,0,1
"159",14,0,1
"160",29,0,1
"161",41,0,1
"162",6,0,1
"163",9,0,1
"164",5,0,1
"165",6,0,1
"166",13,0,1
"167",8,0,1
"168",9,0,1
"169",16,0,1
"170",26,0,1
"171",40,0,1
"172",1,0,1
"173",0,0,1
"174",2,0,1
"175",12,0,1
"176",32,0,1
"177",26,0,1
"178",3,0,1
"179",14,0,1
"180",4,0,1
"181",5,0,1
"182",3,0,1
"183",6,0,1
"184",26,0,1
"185",22,0,1
"186",26,0,1
"187",0,0,1
"188",9,0,1
"189",4,0,1
"190",8,0,1
"191",9,0,1
"192",18,0,1
"193",11,0,1
"194",9,0,1
"195",22,0,1
"196",2,0,1
"197",12,0,1
"198",3,0,1
"199",5,0,1
"200",15,0,1
"201",10,0,1
"202",23,0,1
"203",11,0,1
"204",1,0,1
"205",0,0,1
"206",1,0,1
"207",1,0,1
"208",1,0,1
"209",12,0,1
"210",4,0,1
"211",0,0,1
"212",0,0,1
"213",0,0,1
"214",2,0,1
"215",0,0,1
"216",34,0,1
"217",49,0,1
"218",4,0,1
"219",14,0,1
"220",7,0,1
"221",12,0,1
"222",4,0,1
"223",8,0,1
"224",16,0,1
"225",26,0,1
"226",7,0,1
"227",2,0,1
"228",2,0,1
"229",7,0,1
"230",1,0,1
"231",4,0,1
"232",5,0,1
"233",9,0,1
"234",5,0,1
"235",21,0,1
"236",2,0,1
"237",5,0,1
"238",0,0,1
"239",5,0,1
"240",0,0,1
"241",7,0,1
"242",5,0,1
"243",39,0,1
"244",7,0,1
"245",12,0,1
"246",5,0,1
"247",3,0,1
"248",6,0,1
"249",4,0,1
"250",2,0,1
"251",5,0,1
"252",3,0,1
"253",27,0,1
"254",30,0,1
"255",3,0,1
"256",0,0,1
"257",15,0,1
"258",3,0,1
"259",1,0,1
"260",4,0,1
"261",12,0,1
"262",8,0,1
"263",1,0,1
"264",1,0,1
"265",0,0,1
"266",2,0,1
"267",0,0,1
"268",31,0,1
"269",25,0,1
"270",34,0,1
"271",37,0,1
"272",3,0,1
"273",10,0,1
"274",2,0,1
"275",12,0,1
"276",23,0,1
"277",13,0,1
"278",17,0,1
"279",6,0,1
"280",3,0,1
"281",7,0,1
"282",0,0,1
"283",3,0,1
"284",5,0,1
"285",2,0,1
"286",33,0,1
"287",26,0,1
"288",17,0,1
"289",24,0,1
"290",15,0,1
"291",6,0,1
"292",17,0,1
"293",9,0,1
"294",7,0,1
"295",6,0,1
"296",7,0,1
"297",9,0,1
"298",2,0,1
"299",18,0,1
"300",0,0,1
"301",8,0,1
"302",0,0,1
"303",6,0,1
"304",9,0,1
"305",7,0,1
"306",4,0,1
"307",2,0,1
"308",21,0,1
"309",6,0,1
"310",8,0,1
"311",12,0,1
"312",5,0,1
"313",17,0,1
"314",2,0,1
"315",1,0,1
"316",0,0,1
"317",2,0,1
"318",3,0,1
"319",4,0,1
"320",2,0,1
"321",19,0,1
"322",12,0,1
"323",14,0,1
"324",9,0,1
"325",3,0,1
"326",8,0,1
"327",16,0,1
"328",7,0,1
"329",5,0,1
"330",11,0,1
"331",11,0,1
"332",15,0,1
"333",1,0,1
"334",2,0,1
"335",5,0,1
"336",1,0,1
"337",2,0,1
"338",4,0,1
"339",0,0,1
"340",3,0,1
"341",31,0,1
"342",20,0,1
"343",27,0,1
"344",10,0,1
"345",1,0,1
"346",2,0,1
"347",2,0,1
"348",3,0,1
"349",5,0,1
"350",4,0,1
"351",26,0,1
"352",42,0,1
"353",1,0,1
"354",21,0,1
"355",1,0,1
"356",3,0,1
"357",3,0,1
"358",2,0,1
"359",23,0,1
"360",1,0,1
"361",4,0,1
"362",2,0,1
"363",3,0,1
"364",3,0,1
"365",2,0,1
"366",1,0,1
"367",35,0,1
"368",16,0,1
"369",8,0,1
"370",2,0,1
"371",3,0,1
"372",2,0,1
"373",4,0,1
"374",5,0,1
"375",1,0,1
"376",20,0,1
"377",11,0,1
"378",6,0,1
"379",2,0,1
"380",1,0,1
"381",4,0,1
"382",1,0,1
"383",1,0,1
"384",2,0,1
"385",12,0,1
"386",32,0,1
"387",8,0,1
"388",14,0,1
"389",3,0,1
"390",0,0,1
"391",2,0,1
"392",1,0,1
"393",0,0,1
"394",7,0,1
"395",12,0,1
"396",5,0,1
"397",2,0,1
"398",6,0,1
"399",5,0,1
"400",1,0,1
"401",0,0,1
"402",36,0,1
"403",6,0,1
"404",6,0,1
"405",1,0,1
"406",1,0,1
"407",7,0,1
"408",4,0,1
"409",2,0,1
"410",0,0,1
"411",0,0,1
"412",0,0,1
"413",7,0,1
"414",1,0,1
"415",17,0,1
"416",2,0,1
"417",0,0,1
"418",10,0,1
"419",6,0,1
"420",0,0,1
"421",4,0,1
"422",1,0,1
"423",22,0,1
"424",6,0,1
"425",2,0,1
"426",5,0,1
"427",1,0,1
"428",5,0,1
"429",0,0,1
"430",23,0,1
"431",28,0,1
"432",5,0,1
"433",10,0,1
"434",0,0,1
"435",10,0,1
"436",1,0,1
"437",4,0,1
"438",3,0,1
"439",0,0,1
"440",57,0,1
"441",25,0,1
"442",3,0,1
"443",3,0,1
"444",0,0,1
"445",6,0,1
"446",13,0,1
"447",8,0,1
"448",68,0,1
"449",27,0,1
"450",19,0,1
"451",7,0,1
"452",4,0,1
"453",6,0,1
"454",17,0,1
"455",15,0,1
"456",9,0,1
"457",35,0,1
"458",8,0,1
