"","Loop_number","No_loop","Loop"
"1",1,0,1
"2",0,0,1
"3",14,0,1
"4",38,0,1
"5",11,0,1
"6",11,0,1
"7",65,0,1
"8",41,0,1
"9",38,0,1
"10",22,0,1
"11",27,0,1
"12",7,0,1
"13",9,0,1
"14",16,0,1
"15",45,0,1
"16",30,0,1
"17",69,0,1
"18",4,0,1
"19",12,0,1
"20",30,0,1
"21",24,0,1
"22",100,0,1
"23",96,0,1
"24",81,0,1
"25",8,0,1
"26",6,0,1
"27",13,0,1
"28",10,0,1
"29",9,0,1
"30",22,0,1
"31",3,0,1
"32",21,0,1
"33",4,0,1
"34",38,0,1
"35",30,0,1
"36",116,0,1
"37",17,0,1
"38",4,0,1
"39",5,0,1
"40",8,0,1
"41",14,0,1
"42",22,0,1
"43",21,0,1
"44",3,0,1
"45",12,0,1
"46",6,0,1
"47",6,0,1
"48",2,0,1
"49",20,0,1
"50",9,0,1
"51",85,0,1
"52",23,0,1
"53",32,0,1
"54",8,0,1
"55",4,0,1
"56",5,0,1
"57",5,0,1
"58",37,0,1
"59",63,0,1
"60",46,0,1
"61",47,0,1
"62",61,0,1
"63",31,0,1
"64",4,0,1
"65",11,0,1
"66",12,0,1
"67",18,0,1
"68",16,0,1
"69",35,0,1
"70",50,0,1
"71",2,0,1
"72",136,0,1
"73",13,0,1
"74",70,0,1
"75",7,0,1
"76",140,0,1
"77",65,0,1
"78",22,0,1
"79",5,0,1
"80",43,0,1
"81",37,0,1
"82",113,0,1
"83",40,0,1
"84",65,0,1
"85",44,0,1
"86",51,0,1
"87",5,0,1
"88",40,0,1
"89",54,0,1
"90",56,0,1
"91",13,0,1
"92",76,0,1
"93",109,0,1
"94",152,0,1
"95",1,0,1
"96",13,0,1
"97",214,0,1
"98",89,0,1
"99",4,0,1
"100",18,0,1
"101",7,0,1
"102",3,0,1
"103",9,0,1
"104",46,0,1
"105",30,0,1
"106",31,0,1
"107",13,0,1
"108",7,0,1
"109",46,0,1
"110",42,0,1
"111",3,0,1
"112",13,0,1
"113",42,0,1
"114",0,0,1
"115",29,0,1
"116",176,0,1
"117",102,0,1
"118",36,0,1
"119",119,0,1
"120",47,0,1
"121",10,0,1
"122",62,0,1
"123",71,0,1
"124",13,0,1
"125",11,0,1
"126",13,0,1
"127",2,0,1
"128",8,0,1
"129",1,0,1
"130",31,0,1
"131",90,0,1
"132",74,0,1
"133",51,0,1
"134",91,0,1
"135",59,0,1
"136",48,0,1
