"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",0,0,1
"3",7,0,1
"4",14,0,1
"5",7,0,1
"6",1,0,1
"7",14,0,1
"8",13,0,1
"9",16,0,1
"10",6,0,1
"11",7,0,1
"12",9,0,1
"13",2,0,1
"14",4,0,1
"15",10,0,1
"16",12,0,1
"17",16,0,1
"18",3,0,1
"19",7,0,1
"20",16,0,1
"21",18,0,1
"22",26,0,1
"23",26,0,1
"24",22,0,1
"25",4,0,1
"26",2,0,1
"27",11,0,1
"28",5,0,1
"29",3,0,1
"30",5,0,1
"31",5,0,1
"32",4,0,1
"33",1,0,1
"34",13,0,1
"35",26,0,1
"36",27,0,1
"37",4,0,1
"38",1,0,1
"39",3,0,1
"40",3,0,1
"41",4,0,1
"42",0,0,1
"43",12,0,1
"44",8,0,1
"45",0,0,1
"46",3,0,1
"47",1,0,1
"48",1,0,1
"49",5,0,1
"50",0,0,1
"51",11,0,1
"52",7,0,1
"53",13,0,1
"54",3,0,1
"55",0,0,1
"56",2,0,1
"57",2,0,1
"58",3,0,1
"59",15,0,1
"60",14,0,1
"61",4,0,1
"62",20,0,1
"63",10,0,1
"64",3,0,1
"65",4,0,1
"66",9,0,1
"67",3,0,1
"68",11,0,1
"69",7,0,1
"70",7,0,1
"71",1,0,1
"72",25,0,1
"73",5,0,1
"74",36,0,1
"75",0,0,1
"76",36,0,1
"77",12,0,1
"78",3,0,1
"79",3,0,1
"80",8,0,1
"81",12,0,1
"82",32,0,1
"83",4,0,1
"84",16,0,1
"85",13,0,1
"86",15,0,1
"87",4,0,1
"88",12,0,1
"89",14,0,1
"90",18,0,1
"91",7,0,1
"92",27,0,1
"93",21,0,1
"94",34,0,1
"95",2,0,1
"96",10,0,1
"97",52,0,1
"98",17,0,1
"99",2,0,1
"100",5,0,1
"101",6,0,1
"102",1,0,1
"103",2,0,1
"104",20,0,1
"105",8,0,1
"106",15,0,1
"107",4,0,1
"108",1,0,1
"109",20,0,1
"110",17,0,1
"111",2,0,1
"112",3,0,1
"113",14,0,1
"114",0,0,1
"115",19,0,1
"116",54,0,1
"117",35,0,1
"118",0,0,1
"119",26,0,1
"120",10,0,1
"121",5,0,1
"122",24,0,1
"123",24,0,1
"124",2,0,1
"125",12,0,1
"126",6,0,1
"127",0,0,1
"128",2,0,1
"129",3,0,1
"130",10,0,1
"131",26,0,1
"132",17,0,1
"133",19,0,1
"134",12,0,1
"135",11,0,1
"136",17,0,1
"137",3,0,1
"138",6,0,1
"139",2,0,1
"140",4,0,1
"141",17,0,1
"142",16,0,1
"143",7,0,1
"144",9,0,1
"145",9,0,1
"146",3,0,1
"147",7,0,1
"148",3,0,1
"149",7,0,1
"150",1,0,1
"151",2,0,1
"152",12,0,1
"153",3,0,1
"154",8,0,1
"155",3,0,1
"156",8,0,1
"157",0,0,1
