"","FBL_number","No_FBL","FBL"
"1",276,0,1
"2",322,0,1
"3",0,0,1
"4",0,0,1
"5",86,0,1
"6",0,0,1
"7",114,0,1
"8",839,0,1
"9",367,0,1
"10",258,0,1
"11",391,0,1
"12",327,0,1
"13",122,0,1
"14",107,0,1
"15",81,0,1
"16",45,0,1
"17",0,0,1
"18",113,0,1
"19",35,0,1
"20",0,0,1
"21",44,0,1
"22",169,0,1
"23",0,0,1
"24",124,0,1
"25",184,0,1
"26",451,0,1
"27",117,0,1
"28",0,0,1
"29",0,0,1
"30",0,0,1
"31",0,0,1
"32",43,0,1
"33",44,0,1
"34",72,0,1
"35",29,0,1
"36",8,0,1
"37",23,0,1
"38",0,0,1
"39",192,0,1
"40",0,0,1
"41",0,0,1
"42",0,0,1
"43",37,0,1
"44",23,0,1
"45",323,0,1
"46",0,0,1
"47",127,0,1
"48",199,0,1
"49",133,0,1
"50",503,0,1
"51",252,0,1
"52",0,0,1
"53",177,0,1
"54",243,0,1
"55",215,0,1
"56",426,0,1
"57",622,0,1
"58",201,0,1
"59",315,0,1
"60",0,0,1
"61",217,0,1
"62",160,0,1
"63",424,0,1
"64",126,0,1
"65",139,0,1
"66",0,0,1
"67",154,0,1
"68",0,0,1
"69",62,0,1
"70",85,0,1
"71",165,0,1
"72",0,0,1
"73",0,0,1
"74",43,0,1
"75",73,0,1
"76",13,0,1
"77",0,0,1
"78",23,0,1
"79",0,0,1
"80",0,0,1
"81",50,0,1
"82",112,0,1
"83",27,0,1
"84",56,0,1
"85",2,0,1
"86",9,0,1
"87",265,0,1
"88",460,0,1
"89",202,0,1
"90",135,0,1
"91",0,0,1
"92",171,0,1
"93",137,0,1
"94",461,0,1
"95",586,0,1
"96",75,0,1
"97",12,0,1
"98",170,0,1
"99",132,0,1
"100",133,0,1
"101",70,0,1
"102",207,0,1
"103",0,0,1
"104",6,0,1
"105",145,0,1
"106",115,0,1
"107",184,0,1
"108",244,0,1
"109",0,0,1
"110",215,0,1
"111",0,0,1
"112",8,0,1
"113",973,0,1
"114",250,0,1
"115",205,0,1
"116",277,0,1
"117",0,0,1
"118",0,0,1
"119",25,0,1
"120",23,0,1
"121",0,0,1
"122",86,0,1
"123",38,0,1
"124",54,0,1
"125",0,0,1
"126",45,0,1
"127",818,0,1
"128",0,0,1
"129",0,0,1
"130",184,0,1
"131",144,0,1
"132",0,0,1
"133",225,0,1
"134",0,0,1
"135",0,0,1
"136",148,0,1
"137",0,0,1
"138",137,0,1
"139",13,0,1
"140",98,0,1
"141",0,0,1
"142",724,0,1
"143",344,0,1
"144",360,0,1
"145",0,0,1
"146",0,0,1
"147",578,0,1
"148",178,0,1
"149",141,0,1
"150",0,0,1
"151",101,0,1
"152",0,0,1
"153",125,0,1
"154",0,0,1
"155",187,0,1
"156",0,0,1
"157",141,0,1
"158",401,0,1
"159",357,0,1
"160",283,0,1
"161",135,0,1
"162",0,0,1
"163",46,0,1
"164",0,0,1
"165",159,0,1
"166",104,0,1
"167",0,0,1
"168",0,0,1
"169",156,0,1
"170",234,0,1
"171",347,0,1
"172",0,0,1
"173",181,0,1
"174",138,0,1
"175",41,0,1
"176",66,0,1
"177",0,0,1
"178",0,0,1
"179",172,0,1
"180",0,0,1
"181",24,0,1
"182",179,0,1
"183",107,0,1
"184",0,0,1
"185",0,0,1
"186",50,0,1
"187",0,0,1
"188",68,0,1
"189",114,0,1
"190",0,0,1
"191",36,0,1
"192",557,0,1
"193",396,0,1
"194",148,0,1
"195",496,0,1
"196",0,0,1
"197",124,0,1
"198",0,0,1
"199",0,0,1
"200",223,0,1
"201",0,0,1
"202",125,0,1
"203",31,0,1
"204",0,0,1
"205",0,0,1
"206",20,0,1
"207",0,0,1
"208",508,0,1
"209",0,0,1
"210",236,0,1
"211",0,0,1
"212",0,0,1
"213",0,0,1
"214",1,0,1
"215",147,0,1
"216",0,0,1
"217",71,0,1
"218",1,0,1
"219",550,0,1
"220",0,0,1
"221",0,0,1
"222",314,0,1
"223",0,0,1
"224",0,0,1
"225",512,0,1
"226",9,0,1
"227",0,0,1
"228",149,0,1
"229",106,0,1
"230",0,0,1
"231",0,0,1
"232",0,0,1
