"","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1",1,0,0,1,0.4,0.2,0.4,0,0
"2",0,1,0,0,0,0,0,0,0
"3",1,0,0,1,1,0,0,0,0
"4",0,1,0,0,0,0,0,0,0
"5",0,1,0,0,0,0,0,0,0
"6",0,1,0,0,0,0,0,0,0
"7",1,0,0,0.999999999999999,0.0227272727272727,0.136363636363636,0.295454545454545,0.545454545454545,0
"8",1,0,0.36085626911315,0.639143730886852,0.00611620795107034,0.0244648318042813,0.195718654434251,0.7737003058104,0
"9",0,1,0,0,0,0,0,0,0
"10",0,1,0,0,0,0,0,0,0
"11",0,1,0,0,0,0,0,0,0
"12",0,1,0,0,0,0,0,0,0
"13",0,1,0,0,0,0,0,0,0
"14",0,1,0,0,0,0,0,0,0
"15",0,1,0,0,0,0,0,0,0
"16",1,0,0,1,0.0344827586206897,0.0862068965517241,0.310344827586207,0.568965517241379,0
"17",1,0,0.529411764705882,0.470588235294117,0.013840830449827,0.027681660899654,0.238754325259515,0.719723183391006,0
"18",0,1,0,0,0,0,0,0,0
"19",0,1,0,0,0,0,0,0,0
"20",1,0,0,1,1,0,0,0,0
"21",0,1,0,0,0,0,0,0,0
"22",1,0,1,0,0.0072463768115942,0.0434782608695652,0.239130434782609,0.710144927536232,0
"23",1,0,0.999999999999997,0,0,0.0147058823529412,0.147058823529412,0.838235294117645,0
"24",1,0,1,0,0.0099009900990099,0.0198019801980198,0.188118811881188,0.782178217821783,0
"25",0,1,0,0,0,0,0,0,0
"26",1,0,0,1,0.2,0.3,0.3,0.2,0
"27",0,1,0,0,0,0,0,0,0
"28",0,1,0,0,0,0,0,0,0
"29",0,1,0,0,0,0,0,0,0
"30",0,1,0,0,0,0,0,0,0
"31",1,0,0,1,0.178571428571429,0.25,0.392857142857143,0.178571428571429,0
"32",0,1,0,0,0,0,0,0,0
"33",0,1,0,0,0,0,0,0,0
"34",0,1,0,0,0,0,0,0,0
"35",0,1,0,0,0,0,0,0,0
"36",1,0,0.533083645443197,0.466916354556805,0.00374531835205993,0.0162297128589263,0.179775280898877,0.800249687890139,0
"37",0,1,0,0,0,0,0,0,0
"38",0,1,0,0,0,0,0,0,0
"39",0,1,0,0,0,0,0,0,0
"40",0,1,0,0,0,0,0,0,0
"41",1,0,0,0.999999999999999,0,0.0652173913043478,0.260869565217391,0.673913043478261,0
"42",0,1,0,0,0,0,0,0,0
"43",0,1,0,0,0,0,0,0,0
"44",1,0,0,1,0.363636363636364,0.272727272727273,0.363636363636364,0,0
"45",0,1,0,0,0,0,0,0,0
"46",0,1,0,0,0,0,0,0,0
"47",0,1,0,0,0,0,0,0,0
"48",0,1,0,0,0,0,0,0,0
"49",0,1,0,0,0,0,0,0,0
"50",1,0,0,0.999999999999999,0.0967741935483871,0.0645161290322581,0.483870967741935,0.354838709677419,0
"51",0,1,0,0,0,0,0,0,0
"52",0,1,0,0,0,0,0,0,0
"53",1,0,0,0.999999999999997,0.00460829493087558,0.0230414746543779,0.244239631336406,0.728110599078339,0
"54",0,1,0,0,0,0,0,0,0
"55",1,0,0,1,0.217391304347826,0.0434782608695652,0.347826086956522,0.391304347826087,0
"56",0,1,0,0,0,0,0,0,0
"57",0,1,0,0,0,0,0,0,0
"58",0,1,0,0,0,0,0,0,0
"59",1,0,0.242647058823529,0.757352941176468,0.0110294117647059,0.0220588235294118,0.19485294117647,0.772058823529409,0
