"","Loop_number","No_loop","Loop"
"1",902,0,1
"2",729,0,1
"3",293,0,1
"4",132,0,1
"5",122,0,1
"6",2448,0,1
"7",836,0,1
"8",1240,0,1
"9",1168,0,1
"10",2040,0,1
"11",367,0,1
"12",158,0,1
"13",415,0,1
"14",155,0,1
"15",96,0,1
"16",157,0,1
"17",320,0,1
"18",267,0,1
"19",230,0,1
"20",373,0,1
"21",217,0,1
"22",50,0,1
"23",18,0,1
"24",336,0,1
"25",465,0,1
"26",644,0,1
"27",209,0,1
"28",336,0,1
"29",420,0,1
"30",111,0,1
"31",68,0,1
"32",194,0,1
"33",614,0,1
"34",150,0,1
"35",796,0,1
"36",1213,0,1
"37",448,0,1
"38",869,0,1
"39",403,0,1
"40",360,0,1
"41",797,0,1
"42",662,0,1
"43",893,0,1
"44",133,0,1
"45",355,0,1
"46",0,0,1
"47",64,0,1
"48",248,0,1
"49",430,0,1
"50",5,0,1
"51",537,0,1
"52",25,0,1
"53",363,0,1
"54",144,0,1
"55",460,0,1
"56",43,0,1
"57",294,0,1
"58",18,0,1
"59",17,0,1
"60",306,0,1
"61",284,0,1
"62",265,0,1
"63",79,0,1
"64",270,0,1
"65",280,0,1
"66",314,0,1
"67",186,0,1
"68",18,0,1
"69",0,0,1
"70",198,0,1
"71",667,0,1
"72",508,0,1
"73",1383,0,1
"74",720,0,1
"75",774,0,1
"76",845,0,1
"77",725,0,1
"78",301,0,1
"79",52,0,1
"80",946,0,1
"81",498,0,1
"82",491,0,1
"83",135,0,1
"84",147,0,1
"85",219,0,1
"86",458,0,1
"87",86,0,1
"88",402,0,1
"89",262,0,1
"90",189,0,1
"91",271,0,1
"92",175,0,1
"93",492,0,1
"94",273,0,1
"95",231,0,1
"96",118,0,1
"97",329,0,1
"98",194,0,1
"99",325,0,1
"100",114,0,1
"101",405,0,1
"102",388,0,1
"103",204,0,1
"104",171,0,1
"105",87,0,1
"106",1164,0,1
"107",1914,0,1
"108",46,0,1
"109",410,0,1
"110",356,0,1
"111",742,0,1
"112",169,0,1
"113",767,0,1
"114",264,0,1
"115",902,0,1
"116",483,0,1
"117",665,0,1
"118",526,0,1
"119",9,0,1
"120",69,0,1
"121",1,0,1
"122",0,0,1
"123",77,0,1
"124",250,0,1
"125",110,0,1
"126",145,0,1
"127",46,0,1
"128",22,0,1
"129",417,0,1
"130",12,0,1
"131",2,0,1
"132",374,0,1
"133",235,0,1
"134",5,0,1
"135",0,0,1
"136",322,0,1
"137",0,0,1
"138",409,0,1
"139",42,0,1
"140",0,0,1
"141",1374,0,1
"142",591,0,1
"143",649,0,1
"144",1028,0,1
"145",423,0,1
"146",441,0,1
"147",872,0,1
"148",84,0,1
"149",415,0,1
"150",1731,0,1
"151",560,0,1
"152",181,0,1
"153",442,0,1
"154",144,0,1
"155",78,0,1
"156",313,0,1
"157",474,0,1
"158",115,0,1
"159",45,0,1
"160",329,0,1
"161",437,0,1
"162",558,0,1
"163",38,0,1
"164",328,0,1
"165",523,0,1
"166",373,0,1
"167",312,0,1
"168",681,0,1
"169",199,0,1
"170",705,0,1
"171",330,0,1
"172",214,0,1
"173",384,0,1
"174",261,0,1
"175",95,0,1
"176",718,0,1
"177",2111,0,1
"178",943,0,1
"179",482,0,1
"180",795,0,1
"181",752,0,1
"182",164,0,1
"183",840,0,1
"184",211,0,1
"185",1352,0,1
"186",664,0,1
"187",96,0,1
"188",453,0,1
"189",256,0,1
"190",272,0,1
"191",80,0,1
"192",87,0,1
"193",352,0,1
"194",92,0,1
"195",210,0,1
"196",235,0,1
"197",200,0,1
"198",441,0,1
"199",264,0,1
"200",665,0,1
"201",159,0,1
"202",408,0,1
"203",462,0,1
"204",32,0,1
"205",335,0,1
"206",294,0,1
"207",40,0,1
"208",117,0,1
"209",296,0,1
"210",169,0,1
"211",702,0,1
"212",731,0,1
"213",778,0,1
"214",34,0,1
"215",696,0,1
"216",0,0,1
"217",511,0,1
"218",933,0,1
"219",394,0,1
"220",119,0,1
"221",257,0,1
"222",65,0,1
"223",26,0,1
"224",166,0,1
"225",208,0,1
"226",0,0,1
"227",261,0,1
"228",155,0,1
"229",0,0,1
"230",236,0,1
"231",4,0,1
"232",79,0,1
"233",27,0,1
"234",281,0,1
"235",58,0,1
"236",335,0,1
"237",139,0,1
"238",34,0,1
"239",17,0,1
"240",124,0,1
"241",254,0,1
"242",132,0,1
"243",188,0,1
"244",43,0,1
"245",405,0,1
"246",1915,0,1
"247",736,0,1
"248",450,0,1
"249",880,0,1
"250",529,0,1
"251",1195,0,1
"252",44,0,1
"253",2347,0,1
"254",316,0,1
"255",426,0,1
"256",311,0,1
"257",101,0,1
"258",406,0,1
"259",780,0,1
"260",447,0,1
"261",59,0,1
"262",96,0,1
"263",198,0,1
"264",215,0,1
"265",376,0,1
"266",93,0,1
"267",170,0,1
"268",152,0,1
"269",190,0,1
"270",793,0,1
"271",338,0,1
"272",457,0,1
"273",171,0,1
"274",53,0,1
"275",103,0,1
"276",345,0,1
"277",102,0,1
"278",183,0,1
"279",291,0,1
"280",347,0,1
"281",680,0,1
"282",553,0,1
"283",641,0,1
"284",2,0,1
"285",791,0,1
"286",425,0,1
"287",179,0,1
"288",713,0,1
"289",295,0,1
"290",699,0,1
"291",205,0,1
"292",306,0,1
"293",74,0,1
"294",255,0,1
"295",29,0,1
"296",4,0,1
"297",40,0,1
"298",99,0,1
"299",211,0,1
"300",148,0,1
"301",105,0,1
"302",47,0,1
"303",138,0,1
"304",49,0,1
"305",44,0,1
"306",259,0,1
"307",35,0,1
"308",7,0,1
"309",89,0,1
"310",179,0,1
"311",0,0,1
"312",197,0,1
"313",54,0,1
"314",119,0,1
"315",239,0,1
"316",386,0,1
"317",118,0,1
"318",771,0,1
"319",203,0,1
"320",158,0,1
"321",639,0,1
"322",0,0,1
"323",295,0,1
"324",158,0,1
"325",0,0,1
"326",11,0,1
"327",100,0,1
"328",91,0,1
"329",202,0,1
"330",24,0,1
"331",104,0,1
"332",164,0,1
"333",69,0,1
"334",128,0,1
"335",31,0,1
"336",126,0,1
"337",63,0,1
"338",49,0,1
"339",13,0,1
"340",0,0,1
"341",153,0,1
"342",193,0,1
"343",220,0,1
"344",6,0,1
"345",316,0,1
"346",197,0,1
"347",221,0,1
"348",213,0,1
"349",264,0,1
"350",171,0,1
"351",712,0,1
"352",740,0,1
"353",933,0,1
"354",116,0,1
"355",292,0,1
"356",803,0,1
"357",42,0,1
"358",122,0,1
"359",28,0,1
"360",1016,0,1
"361",80,0,1
"362",160,0,1
"363",13,0,1
"364",7,0,1
"365",83,0,1
"366",134,0,1
"367",29,0,1
"368",262,0,1
"369",265,0,1
"370",111,0,1
"371",300,0,1
"372",30,0,1
"373",57,0,1
"374",172,0,1
"375",177,0,1
"376",333,0,1
"377",61,0,1
"378",176,0,1
"379",454,0,1
"380",193,0,1
"381",191,0,1
"382",178,0,1
"383",197,0,1
"384",554,0,1
"385",3,0,1
"386",1086,0,1
"387",1429,0,1
"388",567,0,1
"389",1034,0,1
"390",1326,0,1
"391",22,0,1
"392",112,0,1
"393",945,0,1
"394",1218,0,1
"395",1526,0,1
"396",528,0,1
"397",105,0,1
"398",151,0,1
"399",125,0,1
"400",136,0,1
"401",0,0,1
"402",1,0,1
"403",242,0,1
"404",274,0,1
"405",26,0,1
"406",428,0,1
"407",85,0,1
"408",111,0,1
"409",100,0,1
"410",88,0,1
"411",409,0,1
"412",375,0,1
"413",287,0,1
"414",162,0,1
"415",133,0,1
"416",417,0,1
"417",357,0,1
"418",16,0,1
"419",480,0,1
"420",505,0,1
"421",252,0,1
"422",1259,0,1
"423",3009,0,1
"424",1032,0,1
"425",870,0,1
"426",1611,0,1
"427",3472,0,1
"428",885,0,1
"429",2834,0,1
"430",610,0,1
"431",141,0,1
"432",560,0,1
"433",426,0,1
"434",38,0,1
"435",288,0,1
"436",657,0,1
"437",744,0,1
"438",469,0,1
"439",326,0,1
"440",700,0,1
"441",671,0,1
"442",796,0,1
"443",253,0,1
"444",257,0,1
"445",482,0,1
"446",386,0,1
"447",867,0,1
"448",105,0,1
"449",363,0,1
"450",480,0,1
"451",814,0,1
"452",940,0,1
"453",625,0,1
"454",6,0,1
"455",257,0,1
"456",895,0,1
"457",13,0,1
"458",268,0,1
"459",1410,0,1
"460",1013,0,1
"461",837,0,1
"462",92,0,1
"463",319,0,1
"464",1224,0,1
"465",1004,0,1
"466",303,0,1
"467",227,0,1
"468",104,0,1
"469",366,0,1
"470",153,0,1
"471",315,0,1
"472",532,0,1
"473",143,0,1
"474",65,0,1
"475",116,0,1
"476",324,0,1
"477",331,0,1
"478",43,0,1
"479",735,0,1
"480",290,0,1
"481",273,0,1
"482",500,0,1
"483",364,0,1
"484",382,0,1
"485",224,0,1
"486",291,0,1
"487",329,0,1
"488",507,0,1
"489",38,0,1
"490",202,0,1
"491",241,0,1
"492",1073,0,1
"493",576,0,1
"494",1146,0,1
"495",220,0,1
"496",1208,0,1
"497",137,0,1
"498",1235,0,1
"499",672,0,1
"500",1872,0,1
"501",43,0,1
"502",311,0,1
"503",100,0,1
"504",260,0,1
"505",61,0,1
"506",435,0,1
"507",254,0,1
"508",393,0,1
"509",645,0,1
"510",147,0,1
"511",16,0,1
"512",158,0,1
"513",362,0,1
"514",42,0,1
"515",165,0,1
"516",535,0,1
"517",283,0,1
"518",162,0,1
"519",401,0,1
"520",60,0,1
"521",355,0,1
"522",338,0,1
"523",81,0,1
"524",448,0,1
"525",120,0,1
"526",720,0,1
"527",336,0,1
"528",329,0,1
"529",187,0,1
"530",9,0,1
"531",1123,0,1
"532",360,0,1
"533",30,0,1
"534",418,0,1
"535",726,0,1
"536",208,0,1
"537",63,0,1
"538",36,0,1
"539",0,0,1
"540",209,0,1
"541",174,0,1
"542",59,0,1
"543",9,0,1
"544",14,0,1
"545",300,0,1
"546",374,0,1
"547",66,0,1
"548",126,0,1
