"","Type","Sum"
"2","1emnp",3
"7","1emnp",2
"8","1emnp",1
"9","1emnp",3
"12","1emnp",2
"14","1emnp",38
"17","1emnp",1
"18","1emnp",1
"19","1emnp",22
"20","1emnp",52
"23","1emnp",1
"24","1emnp",1
"26","1emnp",21
"28","1emnp",33
"32","1emnp",15
"34","1emnp",1
"35","1emnp",1
"36","1emnp",62
"43","1emnp",1
"44","1emnp",14
"45","1emnp",7
"46","1emnp",7
"48","1emnp",76
"49","1emnp",89
"50","1emnp",2
"53","1emnp",1
"54","1emnp",34
"55","1emnp",1
"57","1emnp",29
"58","1emnp",3
"59","1emnp",43
"60","1emnp",43
"61","1emnp",1
"62","1emnp",1
"64","1emnp",163
"66","1emnp",3
"74","1emnp",4
"77","1emnp",1
"78","1emnp",1
"79","1emnp",14
"82","1emnp",9
"84","1emnp",5
"89","1emnp",5
"92","1emnp",3
"94","1emnp",47
"96","1emnp",2
"98","1emnp",15
"100","1emnp",1
"103","1emnp",1
"107","1emnp",10
"108","1emnp",1
"110","1emnp",3
"113","1emnp",5
"115","1emnp",4
"118","1emnp",27
"119","1emnp",22
"122","1emnp",4
"123","1emnp",2
"1109","1emnp",1
"1110","1emnp",1
"1111","1emnp",20
"1112","1emnp",20
"1113","1emnp",3
"1114","1emnp",5
"1115","1emnp",2
"1116","1emnp",104
"1117","1emnp",1
"1118","1emnp",1
"1119","1emnp",1
"1120","1emnp",1
"1121","1emnp",1
"1122","1emnp",3
"1123","1emnp",1
"1124","1emnp",3
"1125","1emnp",2
"1126","1emnp",1
"1134","1emnp",1
"1135","1emnp",1
"1136","1emnp",1
"1137","1emnp",1
"1138","1emnp",1
"1139","1emnp",4
"1140","1emnp",1
"1143","1emnp",21
"1144","1emnp",6
"1145","1emnp",73
"1146","1emnp",20
"1147","1emnp",20
"1148","1emnp",20
"1149","1emnp",14
"1150","1emnp",14
"1151","1emnp",14
"1152","1emnp",14
"1153","1emnp",14
"1154","1emnp",14
"1155","1emnp",32
"1156","1emnp",28
"1157","1emnp",3
"1158","1emnp",21
"1159","1emnp",1
"1160","1emnp",17
"1161","1emnp",5
"1162","1emnp",19
"1163","1emnp",3
"1164","1emnp",37
"1165","1emnp",8
"1167","1emnp",1
"1168","1emnp",17
"1169","1emnp",16
"1170","1emnp",10
"1171","1emnp",16
"1172","1emnp",3
"1173","1emnp",8
"1174","1emnp",22
"1175","1emnp",6
"1176","1emnp",7
"1181","1emnp",15
"1182","1emnp",6
"1183","1emnp",9
"1184","1emnp",1
"1185","1emnp",1
"1186","1emnp",1
"1187","1emnp",3
"1189","1emnp",11
"1190","1emnp",8
"1191","1emnp",1
"1193","1emnp",2
"1195","1emnp",1
"1196","1emnp",1
"1197","1emnp",1
"1198","1emnp",6
"1199","1emnp",5
"1200","1emnp",5
"1201","1emnp",5
"1202","1emnp",5
"1209","1emnp",2
"1210","1emnp",55
"1211","1emnp",2
"1212","1emnp",8
"1213","1emnp",2
"1214","1emnp",2
"1215","1emnp",2
"1216","1emnp",2
"1217","1emnp",2
"1218","1emnp",2
"1219","1emnp",2
"1220","1emnp",12
"1221","1emnp",8
"1223","1emnp",43
"1224","1emnp",24
"1225","1emnp",2
"1226","1emnp",8
"1227","1emnp",8
"1228","1emnp",8
"1229","1emnp",8
"1230","1emnp",8
"1231","1emnp",3
"1232","1emnp",1
"1233","1emnp",7
"1234","1emnp",1
"1235","1emnp",1
"1236","1emnp",1
"1237","1emnp",1
"1238","1emnp",3
"1239","1emnp",1
"1240","1emnp",3
"1241","1emnp",3
"1242","1emnp",13
"1244","1emnp",3
"1245","1emnp",3
"1246","1emnp",21
"1248","1emnp",2
"1249","1emnp",8
"1250","1emnp",4
"1252","1emnp",3
"1253","1emnp",1
"1254","1emnp",3
"1255","1emnp",3
"1256","1emnp",7
"1257","1emnp",47
"1258","1emnp",3
"1260","1emnp",2
"1261","1emnp",7
"1263","1emnp",26
"1264","1emnp",45
"1265","1emnp",1
"1266","1emnp",14
"1267","1emnp",40
"1268","1emnp",7
"1269","1emnp",7
"1270","1emnp",26
"1271","1emnp",37
"1273","1emnp",14
"1274","1emnp",5
"1276","1emnp",47
"1278","1emnp",3
"1279","1emnp",23
"1280","1emnp",1
"1281","1emnp",16
"1282","1emnp",16
"1283","1emnp",23
"1284","1emnp",23
"1285","1emnp",1
"1286","1emnp",4
"1287","1emnp",3
"1288","1emnp",4
"1289","1emnp",4
"1290","1emnp",3
"1291","1emnp",1
"1292","1emnp",4
"1293","1emnp",7
"1294","1emnp",5
"1295","1emnp",4
"1296","1emnp",4
"1297","1emnp",4
"1298","1emnp",8
"1299","1emnp",4
"1300","1emnp",9
"1301","1emnp",21
"1302","1emnp",21
"1303","1emnp",21
"1304","1emnp",9
"1305","1emnp",4
"1306","1emnp",15
"1307","1emnp",1
"1308","1emnp",1
"1309","1emnp",2
"1310","1emnp",2
"1311","1emnp",2
"1312","1emnp",13
"1313","1emnp",13
"1314","1emnp",13
"1315","1emnp",13
"1316","1emnp",13
"1317","1emnp",13
"1318","1emnp",13
"1319","1emnp",13
"1320","1emnp",13
"1321","1emnp",8
"1322","1emnp",8
"1323","1emnp",8
"1324","1emnp",14
"1325","1emnp",6
"1326","1emnp",6
"1327","1emnp",6
"1328","1emnp",6
"1329","1emnp",6
"1330","1emnp",6
"1331","1emnp",4
"1332","1emnp",3
"1333","1emnp",4
"1334","1emnp",1
"1335","1emnp",4
"1336","1emnp",4
"1337","1emnp",4
"1339","1emnp",9
"1340","1emnp",9
"1342","1emnp",5
"1343","1emnp",5
"1344","1emnp",1
"1345","1emnp",12
"1347","1emnp",3
"1348","1emnp",17
"1349","1emnp",17
"1350","1emnp",17
"1351","1emnp",17
"1352","1emnp",17
"1353","1emnp",17
"1354","1emnp",17
"1355","1emnp",17
"1356","1emnp",17
"1357","1emnp",17
"1358","1emnp",24
"1359","1emnp",7
"1360","1emnp",1
"1361","1emnp",1
"1362","1emnp",4
"1365","1emnp",1
"1372","1emnp",10
"1373","1emnp",1
"1374","1emnp",5
"1375","1emnp",9
"1376","1emnp",9
"1377","1emnp",9
"1378","1emnp",1
"1379","1emnp",9
"1380","1emnp",5
"1381","1emnp",5
"1382","1emnp",1
"1387","1emnp",29
"1388","1emnp",29
"1389","1emnp",29
"1390","1emnp",29
"1391","1emnp",1
"1392","1emnp",1
"1393","1emnp",2
"1394","1emnp",1
"1395","1emnp",3
"1396","1emnp",1
"1397","1emnp",1
"1398","1emnp",1
"1399","1emnp",13
"1400","1emnp",1
"1401","1emnp",1
