"","Loop_number","No_loop","Loop"
"1",151,0,1
"2",72,0,1
"3",35,0,1
"4",18,0,1
"5",30,0,1
"6",158,0,1
"7",56,0,1
"8",0,0,1
"9",38,0,1
"10",4,0,1
"11",9,0,1
"12",8,0,1
"13",7,0,1
"14",7,0,1
"15",50,0,1
"16",14,0,1
"17",38,0,1
"18",7,0,1
"19",0,0,1
"20",165,0,1
"21",24,0,1
"22",24,0,1
"23",41,0,1
"24",42,0,1
"25",33,0,1
"26",97,0,1
"27",84,0,1
"28",7,0,1
"29",19,0,1
"30",2,0,1
"31",0,0,1
"32",7,0,1
"33",5,0,1
"34",2,0,1
"35",7,0,1
"36",0,0,1
"37",0,0,1
"38",0,0,1
"39",170,0,1
"40",26,0,1
"41",108,0,1
"42",11,0,1
"43",11,0,1
"44",17,0,1
"45",62,0,1
"46",50,0,1
"47",23,0,1
"48",29,0,1
"49",3,0,1
"50",61,0,1
"51",0,0,1
"52",0,0,1
"53",20,0,1
"54",49,0,1
"55",20,0,1
"56",28,0,1
"57",10,0,1
"58",16,0,1
"59",166,0,1
"60",9,0,1
"61",10,0,1
"62",5,0,1
"63",143,0,1
"64",56,0,1
"65",50,0,1
"66",10,0,1
"67",0,0,1
"68",12,0,1
"69",19,0,1
"70",15,0,1
"71",17,0,1
"72",14,0,1
"73",3,0,1
"74",0,0,1
"75",13,0,1
"76",38,0,1
"77",52,0,1
"78",110,0,1
"79",1,0,1
"80",40,0,1
"81",0,0,1
"82",6,0,1
"83",9,0,1
"84",0,0,1
"85",5,0,1
"86",82,0,1
"87",28,0,1
"88",57,0,1
"89",22,0,1
"90",4,0,1
"91",3,0,1
"92",2,0,1
"93",11,0,1
"94",41,0,1
"95",30,0,1
"96",0,0,1
"97",2,0,1
"98",17,0,1
"99",23,0,1
"100",28,0,1
"101",41,0,1
"102",9,0,1
"103",80,0,1
"104",165,0,1
"105",48,0,1
"106",2,0,1
"107",5,0,1
"108",43,0,1
"109",32,0,1
"110",66,0,1
"111",41,0,1
"112",202,0,1
"113",10,0,1
"114",27,0,1
"115",13,0,1
"116",6,0,1
"117",11,0,1
"118",7,0,1
"119",9,0,1
"120",0,0,1
"121",12,0,1
"122",5,0,1
"123",19,0,1
"124",30,0,1
"125",0,0,1
"126",2,0,1
"127",2,0,1
"128",21,0,1
"129",158,0,1
"130",10,0,1
"131",9,0,1
"132",27,0,1
"133",21,0,1
"134",7,0,1
"135",7,0,1
