"","Loop_number","No_loop","Loop"
"1",0,0,1
"2",0,0,1
"3",2,0,1
"4",0,0,1
"5",4,0,1
"6",0,0,1
"7",2,0,1
"8",4,0,1
"9",0,0,1
"10",301,0,1
"11",111,0,1
"12",18,0,1
"13",155,0,1
"14",38,0,1
"15",66,0,1
"16",94,0,1
"17",33,0,1
"18",67,0,1
"19",39,0,1
"20",0,0,1
"21",0,0,1
"22",6,0,1
"23",7,0,1
"24",3,0,1
"25",0,0,1
"26",2,0,1
"27",6,0,1
"28",0,0,1
"29",2,0,1
"30",10,0,1
"31",0,0,1
"32",29,0,1
"33",0,0,1
"34",6,0,1
"35",3,0,1
"36",15,0,1
"37",0,0,1
"38",4,0,1
"39",0,0,1
"40",0,0,1
"41",13,0,1
"42",0,0,1
"43",0,0,1
"44",0,0,1
"45",118,0,1
"46",10,0,1
"47",20,0,1
"48",5,0,1
"49",0,0,1
"50",259,0,1
"51",49,0,1
"52",203,0,1
"53",28,0,1
"54",11,0,1
"55",85,0,1
"56",0,0,1
"57",24,0,1
"58",0,0,1
"59",30,0,1
"60",1,0,1
"61",0,0,1
"62",14,0,1
"63",5,0,1
"64",10,0,1
"65",0,0,1
"66",465,0,1
"67",114,0,1
"68",201,0,1
"69",11,0,1
"70",6,0,1
"71",4,0,1
"72",47,0,1
"73",84,0,1
"74",0,0,1
"75",77,0,1
"76",0,0,1
"77",0,0,1
"78",0,0,1
"79",34,0,1
"80",31,0,1
"81",50,0,1
"82",13,0,1
"83",29,0,1
"84",9,0,1
"85",4,0,1
"86",15,0,1
"87",0,0,1
"88",9,0,1
"89",14,0,1
"90",16,0,1
"91",25,0,1
"92",0,0,1
"93",28,0,1
"94",22,0,1
"95",4,0,1
"96",5,0,1
"97",0,0,1
"98",132,0,1
"99",37,0,1
"100",14,0,1
"101",60,0,1
"102",83,0,1
"103",72,0,1
"104",26,0,1
"105",0,0,1
"106",133,0,1
"107",14,0,1
"108",10,0,1
"109",29,0,1
"110",0,0,1
"111",519,0,1
"112",78,0,1
"113",2,0,1
"114",116,0,1
"115",0,0,1
"116",92,0,1
"117",25,0,1
"118",0,0,1
"119",249,0,1
"120",18,0,1
"121",28,0,1
"122",16,0,1
"123",0,0,1
"124",30,0,1
"125",12,0,1
"126",6,0,1
"127",41,0,1
"128",0,0,1
"129",10,0,1
"130",0,0,1
"131",153,0,1
"132",2,0,1
"133",30,0,1
"134",0,0,1
"135",11,0,1
"136",0,0,1
"137",575,0,1
"138",199,0,1
"139",428,0,1
"140",328,0,1
"141",65,0,1
"142",65,0,1
"143",45,0,1
"144",143,0,1
"145",157,0,1
"146",57,0,1
"147",0,0,1
"148",105,0,1
"149",51,0,1
"150",20,0,1
"151",7,0,1
"152",0,0,1
"153",26,0,1
"154",4,0,1
"155",6,0,1
"156",0,0,1
"157",118,0,1
