"","Loop_number","No_loop","Loop"
"1",222,0,1
"2",30,0,1
"3",39,0,1
"4",58,0,1
"5",50,0,1
"6",25,0,1
"7",65,0,1
"8",70,0,1
"9",137,0,1
"10",168,0,1
"11",62,0,1
"12",68,0,1
"13",61,0,1
"14",42,0,1
"15",248,0,1
"16",52,0,1
"17",23,0,1
"18",44,0,1
"19",44,0,1
"20",51,0,1
"21",280,0,1
"22",152,0,1
"23",77,0,1
"24",70,0,1
"25",53,0,1
"26",129,0,1
"27",19,0,1
"28",54,0,1
"29",68,0,1
"30",76,0,1
"31",305,0,1
"32",65,0,1
"33",56,0,1
"34",72,0,1
"35",22,0,1
"36",56,0,1
"37",57,0,1
"38",157,0,1
"39",49,0,1
"40",42,0,1
"41",46,0,1
"42",59,0,1
"43",188,0,1
"44",338,0,1
"45",47,0,1
"46",73,0,1
"47",67,0,1
"48",45,0,1
"49",43,0,1
"50",15,0,1
"51",47,0,1
"52",146,0,1
"53",18,0,1
"54",27,0,1
"55",27,0,1
"56",163,0,1
"57",39,0,1
"58",45,0,1
"59",54,0,1
"60",29,0,1
"61",25,0,1
"62",61,0,1
"63",188,0,1
"64",218,0,1
"65",62,0,1
"66",37,0,1
"67",228,0,1
"68",403,0,1
"69",367,0,1
"70",41,0,1
"71",74,0,1
"72",38,0,1
"73",73,0,1
"74",79,0,1
"75",80,0,1
"76",82,0,1
"77",56,0,1
"78",251,0,1
"79",180,0,1
"80",186,0,1
"81",40,0,1
"82",29,0,1
"83",40,0,1
"84",29,0,1
"85",38,0,1
"86",32,0,1
"87",33,0,1
"88",26,0,1
"89",25,0,1
"90",30,0,1
"91",290,0,1
"92",44,0,1
"93",59,0,1
"94",39,0,1
"95",27,0,1
"96",63,0,1
"97",38,0,1
"98",42,0,1
"99",31,0,1
"100",49,0,1
"101",43,0,1
"102",33,0,1
"103",31,0,1
"104",50,0,1
"105",51,0,1
"106",44,0,1
"107",52,0,1
"108",34,0,1
"109",31,0,1
"110",44,0,1
"111",121,0,1
"112",314,0,1
"113",77,0,1
"114",51,0,1
"115",41,0,1
"116",62,0,1
"117",63,0,1
"118",29,0,1
"119",301,0,1
"120",326,0,1
"121",262,0,1
"122",147,0,1
"123",298,0,1
"124",64,0,1
"125",63,0,1
"126",71,0,1
"127",69,0,1
"128",58,0,1
"129",71,0,1
"130",74,0,1
"131",87,0,1
"132",68,0,1
"133",31,0,1
"134",57,0,1
"135",47,0,1
"136",56,0,1
"137",49,0,1
"138",33,0,1
"139",61,0,1
"140",200,0,1
"141",207,0,1
"142",53,0,1
"143",49,0,1
"144",53,0,1
"145",55,0,1
"146",291,0,1
"147",244,0,1
"148",98,0,1
"149",281,0,1
"150",81,0,1
"151",47,0,1
"152",84,0,1
"153",86,0,1
"154",42,0,1
"155",225,0,1
"156",190,0,1
"157",36,0,1
"158",50,0,1
"159",51,0,1
"160",36,0,1
"161",53,0,1
"162",51,0,1
"163",36,0,1
"164",56,0,1
"165",44,0,1
"166",45,0,1
"167",35,0,1
"168",38,0,1
"169",27,0,1
"170",70,0,1
"171",55,0,1
"172",52,0,1
"173",62,0,1
"174",189,0,1
"175",130,0,1
"176",12,0,1
"177",21,0,1
"178",53,0,1
"179",29,0,1
"180",53,0,1
"181",37,0,1
"182",41,0,1
"183",24,0,1
"184",33,0,1
"185",25,0,1
"186",32,0,1
"187",22,0,1
"188",18,0,1
"189",93,0,1
"190",210,0,1
"191",32,0,1
"192",24,0,1
