"","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"1",0,1,0,0,0,0,0,0,0
"2",1,0,1,0,1,0,0,0,0
"3",1,0,1,0,1,0,0,0,0
"4",1,0,1,0,1,0,0,0,0
"5",0,1,0,0,0,0,0,0,0
"6",0,1,0,0,0,0,0,0,0
"7",0,1,0,0,0,0,0,0,0
"8",1,0,1,0,1,0,0,0,0
"9",0,1,0,0,0,0,0,0,0
"10",0,1,0,0,0,0,0,0,0
"11",0,1,0,0,0,0,0,0,0
"12",0,1,0,0,0,0,0,0,0
"13",0,1,0,0,0,0,0,0,0
"14",0,1,0,0,0,0,0,0,0
"15",0,1,0,0,0,0,0,0,0
"16",0,1,0,0,0,0,0,0,0
"17",0,1,0,0,0,0,0,0,0
"18",0,1,0,0,0,0,0,0,0
"19",0,1,0,0,0,0,0,0,0
"20",0,1,0,0,0,0,0,0,0
"21",0,1,0,0,0,0,0,0,0
"22",0,1,0,0,0,0,0,0,0
"23",0,1,0,0,0,0,0,0,0
"24",0,1,0,0,0,0,0,0,0
"25",0,1,0,0,0,0,0,0,0
"26",0,1,0,0,0,0,0,0,0
"27",0,1,0,0,0,0,0,0,0
"28",0,1,0,0,0,0,0,0,0
"29",0,1,0,0,0,0,0,0,0
"30",0,1,0,0,0,0,0,0,0
"31",0,1,0,0,0,0,0,0,0
"32",0,1,0,0,0,0,0,0,0
"33",0,1,0,0,0,0,0,0,0
"34",0,1,0,0,0,0,0,0,0
"35",0,1,0,0,0,0,0,0,0
"36",0,1,0,0,0,0,0,0,0
"37",0,1,0,0,0,0,0,0,0
"38",1,0,0,1,1,0,0,0,0
"39",0,1,0,0,0,0,0,0,0
"40",0,1,0,0,0,0,0,0,0
"41",1,0,0.526315789473684,0.473684210526316,0.210526315789474,0.105263157894737,0.368421052631579,0.315789473684211,0
"42",0,1,0,0,0,0,0,0,0
"43",0,1,0,0,0,0,0,0,0
"44",0,1,0,0,0,0,0,0,0
"45",0,1,0,0,0,0,0,0,0
"46",0,1,0,0,0,0,0,0,0
"47",0,1,0,0,0,0,0,0,0
"48",1,0,1,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0
"49",1,0,0.25,0.75,0.25,0.125,0.5,0.125,0
"50",0,1,0,0,0,0,0,0,0
"51",0,1,0,0,0,0,0,0,0
"52",1,0,0,1,0.25,0,0.5,0.25,0
"53",0,1,0,0,0,0,0,0,0
"54",0,1,0,0,0,0,0,0,0
"55",1,0,1,0,1,0,0,0,0
"56",0,1,0,0,0,0,0,0,0
"57",1,0,1,0,1,0,0,0,0
"58",1,0,0,1,0.5,0,0.5,0,0
"59",0,1,0,0,0,0,0,0,0
"60",1,0,1,0,0,0,1,0,0
"61",1,0,0,1,0.2,0.2,0.4,0.2,0
"62",1,0,1,0,0.125,0,0.625,0.25,0
"63",0,1,0,0,0,0,0,0,0
"64",0,1,0,0,0,0,0,0,0
"65",0,1,0,0,0,0,0,0,0
"66",1,0,1,0,1,0,0,0,0
"67",1,0,0.111111111111111,0.888888888888889,0.222222222222222,0,0.666666666666667,0.111111111111111,0
"68",0,1,0,0,0,0,0,0,0
"69",0,1,0,0,0,0,0,0,0
"70",0,1,0,0,0,0,0,0,0
"71",0,1,0,0,0,0,0,0,0
"72",0,1,0,0,0,0,0,0,0
"73",0,1,0,0,0,0,0,0,0
