"","Loop_number","No_loop","Loop"
"1",9,0,1
"2",19,0,1
"3",17,0,1
"4",4,0,1
"5",17,0,1
"6",19,0,1
"7",9,0,1
"8",0,0,1
"9",16,0,1
"10",8,0,1
"11",19,0,1
"12",11,0,1
"13",1,0,1
"14",12,0,1
"15",11,0,1
"16",10,0,1
"17",11,0,1
"18",9,0,1
"19",0,0,1
"20",1,0,1
"21",3,0,1
"22",1,0,1
"23",11,0,1
"24",29,0,1
"25",21,0,1
"26",18,0,1
"27",3,0,1
"28",2,0,1
"29",17,0,1
"30",15,0,1
"31",13,0,1
"32",5,0,1
"33",16,0,1
"34",4,0,1
"35",10,0,1
"36",1,0,1
"37",1,0,1
"38",6,0,1
"39",20,0,1
"40",15,0,1
"41",21,0,1
"42",22,0,1
"43",0,0,1
"44",5,0,1
"45",0,0,1
"46",1,0,1
"47",4,0,1
"48",1,0,1
"49",3,0,1
"50",3,0,1
"51",5,0,1
"52",0,0,1
"53",4,0,1
"54",0,0,1
"55",0,0,1
"56",2,0,1
"57",1,0,1
"58",3,0,1
"59",15,0,1
"60",1,0,1
"61",15,0,1
"62",6,0,1
"63",13,0,1
"64",4,0,1
"65",1,0,1
"66",0,0,1
"67",0,0,1
"68",3,0,1
"69",1,0,1
"70",1,0,1
"71",9,0,1
"72",13,0,1
"73",0,0,1
"74",3,0,1
"75",0,0,1
"76",0,0,1
"77",2,0,1
"78",14,0,1
"79",23,0,1
"80",13,0,1
"81",19,0,1
"82",26,0,1
"83",18,0,1
"84",0,0,1
"85",6,0,1
"86",8,0,1
"87",4,0,1
"88",0,0,1
"89",8,0,1
"90",6,0,1
"91",4,0,1
"92",5,0,1
"93",7,0,1
"94",0,0,1
"95",0,0,1
"96",0,0,1
"97",0,0,1
"98",24,0,1
"99",6,0,1
"100",27,0,1
"101",3,0,1
"102",5,0,1
"103",0,0,1
"104",3,0,1
"105",0,0,1
"106",3,0,1
"107",13,0,1
"108",20,0,1
"109",1,0,1
"110",14,0,1
"111",6,0,1
"112",0,0,1
"113",3,0,1
"114",0,0,1
"115",6,0,1
"116",0,0,1
"117",0,0,1
"118",7,0,1
"119",0,0,1
"120",5,0,1
"121",0,0,1
"122",1,0,1
"123",0,0,1
"124",0,0,1
"125",1,0,1
"126",1,0,1
"127",1,0,1
"128",0,0,1
"129",2,0,1
"130",1,0,1
"131",7,0,1
"132",2,0,1
"133",0,0,1
"134",1,0,1
"135",3,0,1
"136",1,0,1
"137",12,0,1
"138",7,0,1
"139",0,0,1
"140",5,0,1
"141",9,0,1
"142",0,0,1
"143",0,0,1
"144",1,0,1
"145",1,0,1
"146",17,0,1
"147",13,0,1
"148",2,0,1
"149",10,0,1
"150",3,0,1
"151",3,0,1
"152",3,0,1
"153",3,0,1
"154",8,0,1
"155",8,0,1
"156",2,0,1
"157",1,0,1
"158",1,0,1
"159",1,0,1
"160",0,0,1
"161",0,0,1
"162",2,0,1
"163",0,0,1
"164",1,0,1
"165",3,0,1
"166",0,0,1
"167",6,0,1
