"","Loop_number","No_loop","Loop"
"1",19,0,1
"2",8,0,1
"3",8,0,1
"4",9,0,1
"5",39,0,1
"6",0,0,1
"7",22,0,1
"8",25,0,1
"9",32,0,1
"10",21,0,1
"11",113,0,1
"12",73,0,1
"13",19,0,1
"14",12,0,1
"15",3,0,1
"16",71,0,1
"17",56,0,1
"18",13,0,1
"19",29,0,1
"20",34,0,1
"21",4,0,1
"22",3,0,1
"23",4,0,1
"24",1,0,1
"25",38,0,1
"26",0,0,1
"27",4,0,1
"28",22,0,1
"29",5,0,1
"30",0,0,1
"31",36,0,1
"32",9,0,1
"33",17,0,1
"34",10,0,1
"35",17,0,1
"36",1,0,1
"37",4,0,1
"38",4,0,1
"39",2,0,1
"40",0,0,1
"41",90,0,1
"42",3,0,1
"43",36,0,1
"44",39,0,1
"45",14,0,1
"46",47,0,1
"47",5,0,1
"48",12,0,1
"49",3,0,1
"50",2,0,1
"51",44,0,1
"52",8,0,1
"53",45,0,1
"54",29,0,1
"55",34,0,1
"56",49,0,1
"57",46,0,1
"58",1,0,1
"59",20,0,1
"60",4,0,1
"61",37,0,1
"62",6,0,1
"63",7,0,1
"64",4,0,1
"65",1,0,1
"66",5,0,1
"67",1,0,1
"68",0,0,1
"69",3,0,1
"70",2,0,1
"71",2,0,1
"72",60,0,1
"73",14,0,1
"74",0,0,1
"75",16,0,1
"76",15,0,1
"77",10,0,1
"78",64,0,1
"79",59,0,1
"80",5,0,1
"81",35,0,1
"82",12,0,1
"83",8,0,1
"84",3,0,1
"85",14,0,1
"86",0,0,1
"87",0,0,1
"88",4,0,1
"89",16,0,1
"90",30,0,1
"91",0,0,1
"92",39,0,1
"93",0,0,1
"94",1,0,1
"95",31,0,1
"96",2,0,1
"97",2,0,1
"98",11,0,1
"99",3,0,1
"100",35,0,1
"101",17,0,1
"102",23,0,1
"103",8,0,1
"104",1,0,1
"105",4,0,1
"106",17,0,1
"107",64,0,1
"108",4,0,1
"109",4,0,1
"110",26,0,1
"111",6,0,1
"112",31,0,1
"113",49,0,1
"114",31,0,1
"115",3,0,1
"116",26,0,1
"117",29,0,1
"118",36,0,1
"119",19,0,1
"120",23,0,1
"121",2,0,1
"122",22,0,1
"123",6,0,1
"124",75,0,1
"125",15,0,1
"126",2,0,1
"127",26,0,1
"128",35,0,1
"129",14,0,1
"130",1,0,1
"131",19,0,1
"132",0,0,1
"133",0,0,1
"134",16,0,1
"135",31,0,1
"136",8,0,1
"137",9,0,1
"138",7,0,1
"139",3,0,1
"140",3,0,1
"141",82,0,1
"142",50,0,1
"143",18,0,1
"144",4,0,1
"145",62,0,1
"146",3,0,1
"147",4,0,1
"148",3,0,1
"149",6,0,1
"150",5,0,1
"151",9,0,1
"152",0,0,1
"153",1,0,1
"154",5,0,1
"155",1,0,1
"156",33,0,1
"157",1,0,1
"158",34,0,1
"159",11,0,1
"160",9,0,1
"161",5,0,1
"162",3,0,1
"163",44,0,1
"164",12,0,1
"165",10,0,1
"166",3,0,1
"167",11,0,1
"168",32,0,1
"169",2,0,1
"170",0,0,1
"171",2,0,1
"172",4,0,1
"173",54,0,1
"174",8,0,1
"175",16,0,1
"176",6,0,1
"177",3,0,1
"178",10,0,1
"179",45,0,1
"180",33,0,1
"181",1,0,1
"182",2,0,1
"183",26,0,1
"184",33,0,1
"185",69,0,1
"186",34,0,1
"187",7,0,1
"188",18,0,1
"189",27,0,1
"190",5,0,1
"191",36,0,1
"192",2,0,1
"193",1,0,1
"194",29,0,1
"195",0,0,1
"196",4,0,1
"197",0,0,1
"198",0,0,1
"199",123,0,1
"200",100,0,1
"201",29,0,1
"202",31,0,1
"203",12,0,1
"204",26,0,1
"205",11,0,1
"206",36,0,1
"207",83,0,1
"208",30,0,1
"209",15,0,1
"210",20,0,1
"211",2,0,1
"212",9,0,1
"213",0,0,1
"214",13,0,1
"215",3,0,1
"216",0,0,1
"217",32,0,1
"218",13,0,1
"219",7,0,1
"220",1,0,1
"221",6,0,1
"222",9,0,1
"223",64,0,1
"224",11,0,1
"225",0,0,1
"226",17,0,1
"227",14,0,1
"228",28,0,1
"229",7,0,1
"230",15,0,1
"231",8,0,1
"232",0,0,1
"233",3,0,1
"234",4,0,1
"235",2,0,1
"236",9,0,1
"237",12,0,1
"238",3,0,1
"239",1,0,1
"240",3,0,1
"241",25,0,1
"242",13,0,1
"243",21,0,1
"244",2,0,1
"245",4,0,1
"246",3,0,1
"247",2,0,1
"248",72,0,1
"249",0,0,1
"250",42,0,1
"251",6,0,1
"252",6,0,1
"253",34,0,1
"254",4,0,1
"255",26,0,1
"256",4,0,1
"257",2,0,1
"258",7,0,1
