"","FBL_number","No_FBL","FBL"
"1",17,0,1
"2",0,0,1
"3",0,0,1
"4",44,0,1
"5",273,0,1
"6",0,0,1
"7",46,0,1
"8",47,0,1
"9",98,0,1
"10",98,0,1
"11",377,0,1
"12",325,0,1
"13",76,0,1
"14",0,0,1
"15",0,0,1
"16",424,0,1
"17",486,0,1
"18",90,0,1
"19",174,0,1
"20",162,0,1
"21",0,0,1
"22",0,0,1
"23",11,0,1
"24",0,0,1
"25",138,0,1
"26",0,0,1
"27",31,0,1
"28",32,0,1
"29",0,0,1
"30",0,0,1
"31",143,0,1
"32",11,0,1
"33",22,0,1
"34",25,0,1
"35",68,0,1
"36",4,0,1
"37",8,0,1
"38",0,0,1
"39",0,0,1
"40",0,0,1
"41",741,0,1
"42",0,0,1
"43",279,0,1
"44",196,0,1
"45",118,0,1
"46",174,0,1
"47",0,0,1
"48",96,0,1
"49",0,0,1
"50",0,0,1
"51",451,0,1
"52",0,0,1
"53",320,0,1
"54",155,0,1
"55",234,0,1
"56",51,0,1
"57",221,0,1
"58",3,0,1
"59",84,0,1
"60",0,0,1
"61",99,0,1
"62",0,0,1
"63",11,0,1
"64",18,0,1
"65",1,0,1
"66",15,0,1
"67",0,0,1
"68",0,0,1
"69",6,0,1
"70",0,0,1
"71",0,0,1
"72",245,0,1
"73",7,0,1
"74",0,0,1
"75",15,0,1
"76",50,0,1
"77",30,0,1
"78",456,0,1
"79",230,0,1
"80",0,0,1
"81",149,0,1
"82",45,0,1
"83",0,0,1
"84",0,0,1
"85",32,0,1
"86",0,0,1
"87",0,0,1
"88",22,0,1
"89",7,0,1
"90",225,0,1
"91",0,0,1
"92",112,0,1
"93",1,0,1
"94",0,0,1
"95",139,0,1
"96",0,0,1
"97",0,0,1
"98",18,0,1
"99",0,0,1
"100",201,0,1
"101",75,0,1
"102",85,0,1
"103",0,0,1
"104",0,0,1
"105",0,0,1
"106",49,0,1
"107",260,0,1
"108",8,0,1
"109",0,0,1
"110",185,0,1
"111",13,0,1
"112",159,0,1
"113",236,0,1
"114",115,0,1
"115",0,0,1
"116",149,0,1
"117",119,0,1
"118",270,0,1
"119",60,0,1
"120",93,0,1
"121",2,0,1
"122",98,0,1
"123",7,0,1
"124",532,0,1
"125",150,0,1
"126",0,0,1
"127",144,0,1
"128",192,0,1
"129",82,0,1
"130",0,0,1
"131",39,0,1
"132",0,0,1
"133",0,0,1
"134",54,0,1
"135",88,0,1
"136",4,0,1
"137",30,0,1
"138",51,0,1
"139",0,0,1
"140",0,0,1
"141",340,0,1
"142",286,0,1
"143",92,0,1
"144",0,0,1
"145",339,0,1
"146",0,0,1
"147",0,0,1
"148",0,0,1
"149",0,0,1
"150",0,0,1
"151",0,0,1
"152",0,0,1
"153",0,0,1
"154",0,0,1
"155",0,0,1
"156",121,0,1
"157",0,0,1
"158",234,0,1
"159",55,0,1
"160",44,0,1
"161",34,0,1
"162",31,0,1
"163",192,0,1
"164",66,0,1
"165",64,0,1
"166",0,0,1
"167",80,0,1
"168",53,0,1
"169",0,0,1
"170",0,0,1
"171",7,0,1
"172",23,0,1
"173",60,0,1
"174",0,0,1
"175",19,0,1
"176",6,0,1
"177",5,0,1
"178",8,0,1
"179",257,0,1
"180",96,0,1
"181",0,0,1
"182",52,0,1
"183",74,0,1
"184",132,0,1
"185",340,0,1
"186",128,0,1
"187",0,0,1
"188",129,0,1
"189",173,0,1
"190",0,0,1
"191",143,0,1
"192",0,0,1
"193",0,0,1
"194",87,0,1
"195",0,0,1
"196",9,0,1
"197",0,0,1
"198",0,0,1
"199",497,0,1
"200",438,0,1
"201",177,0,1
"202",103,0,1
"203",0,0,1
"204",226,0,1
"205",0,0,1
"206",355,0,1
"207",178,0,1
"208",99,0,1
"209",123,0,1
"210",84,0,1
"211",0,0,1
"212",60,0,1
"213",0,0,1
"214",33,0,1
"215",0,0,1
"216",0,0,1
"217",48,0,1
"218",20,0,1
"219",16,0,1
"220",0,0,1
"221",21,0,1
"222",14,0,1
"223",212,0,1
"224",45,0,1
"225",0,0,1
"226",54,0,1
"227",35,0,1
"228",140,0,1
"229",0,0,1
"230",46,0,1
"231",12,0,1
"232",0,0,1
"233",0,0,1
"234",1,0,1
"235",0,0,1
"236",6,0,1
"237",21,0,1
"238",1,0,1
"239",0,0,1
"240",2,0,1
"241",222,0,1
"242",14,0,1
"243",91,0,1
"244",0,0,1
"245",0,0,1
"246",0,0,1
"247",4,0,1
"248",336,0,1
"249",0,0,1
"250",171,0,1
"251",0,0,1
"252",3,0,1
"253",144,0,1
"254",8,0,1
"255",49,0,1
"256",0,0,1
"257",0,0,1
"258",0,0,1
