"","Loop_number","No_loop","Loop"
"1",4,0,1
"2",3,0,1
"3",6,0,1
"4",7,0,1
"5",16,0,1
"6",1,0,1
"7",7,0,1
"8",10,0,1
"9",11,0,1
"10",7,0,1
"11",17,0,1
"12",35,0,1
"13",4,0,1
"14",3,0,1
"15",2,0,1
"16",31,0,1
"17",27,0,1
"18",5,0,1
"19",7,0,1
"20",12,0,1
"21",2,0,1
"22",3,0,1
"23",1,0,1
"24",1,0,1
"25",25,0,1
"26",0,0,1
"27",3,0,1
"28",9,0,1
"29",2,0,1
"30",2,0,1
"31",24,0,1
"32",3,0,1
"33",3,0,1
"34",1,0,1
"35",6,0,1
"36",1,0,1
"37",2,0,1
"38",0,0,1
"39",2,0,1
"40",1,0,1
"41",34,0,1
"42",1,0,1
"43",13,0,1
"44",12,0,1
"45",6,0,1
"46",28,0,1
"47",7,0,1
"48",6,0,1
"49",5,0,1
"50",3,0,1
"51",19,0,1
"52",5,0,1
"53",10,0,1
"54",11,0,1
"55",11,0,1
"56",13,0,1
"57",34,0,1
"58",3,0,1
"59",9,0,1
"60",4,0,1
"61",25,0,1
"62",6,0,1
"63",5,0,1
"64",4,0,1
"65",2,0,1
"66",7,0,1
"67",1,0,1
"68",0,0,1
"69",4,0,1
"70",3,0,1
"71",1,0,1
"72",32,0,1
"73",8,0,1
"74",0,0,1
"75",9,0,1
"76",8,0,1
"77",7,0,1
"78",37,0,1
"79",29,0,1
"80",4,0,1
"81",16,0,1
"82",6,0,1
"83",5,0,1
"84",3,0,1
"85",21,0,1
"86",1,0,1
"87",0,0,1
"88",1,0,1
"89",6,0,1
"90",20,0,1
"91",0,0,1
"92",15,0,1
"93",1,0,1
"94",3,0,1
"95",27,0,1
"96",0,0,1
"97",3,0,1
"98",8,0,1
"99",3,0,1
"100",22,0,1
"101",4,0,1
"102",6,0,1
"103",2,0,1
"104",2,0,1
"105",6,0,1
"106",8,0,1
"107",26,0,1
"108",5,0,1
"109",4,0,1
"110",9,0,1
"111",1,0,1
"112",7,0,1
"113",5,0,1
"114",8,0,1
"115",2,0,1
"116",2,0,1
"117",6,0,1
"118",25,0,1
"119",5,0,1
"120",9,0,1
"121",0,0,1
"122",6,0,1
"123",2,0,1
"124",40,0,1
"125",6,0,1
"126",1,0,1
"127",7,0,1
"128",10,0,1
"129",14,0,1
"130",1,0,1
"131",8,0,1
"132",4,0,1
"133",1,0,1
"134",11,0,1
"135",27,0,1
"136",7,0,1
"137",6,0,1
"138",7,0,1
"139",4,0,1
"140",3,0,1
"141",44,0,1
"142",14,0,1
"143",8,0,1
"144",7,0,1
"145",15,0,1
"146",4,0,1
"147",6,0,1
"148",2,0,1
"149",6,0,1
"150",4,0,1
"151",7,0,1
"152",0,0,1
"153",2,0,1
"154",8,0,1
"155",6,0,1
"156",17,0,1
"157",2,0,1
"158",25,0,1
"159",3,0,1
"160",6,0,1
"161",4,0,1
"162",2,0,1
"163",27,0,1
"164",3,0,1
"165",3,0,1
"166",0,0,1
"167",5,0,1
"168",19,0,1
"169",3,0,1
"170",0,0,1
"171",3,0,1
"172",5,0,1
"173",18,0,1
"174",5,0,1
"175",6,0,1
"176",3,0,1
"177",3,0,1
"178",4,0,1
"179",30,0,1
"180",11,0,1
"181",2,0,1
"182",1,0,1
"183",7,0,1
"184",10,0,1
"185",29,0,1
"186",12,0,1
"187",2,0,1
"188",6,0,1
"189",11,0,1
"190",2,0,1
"191",18,0,1
"192",2,0,1
"193",1,0,1
"194",9,0,1
"195",0,0,1
"196",5,0,1
"197",0,0,1
"198",0,0,1
"199",44,0,1
"200",46,0,1
"201",14,0,1
"202",15,0,1
"203",8,0,1
"204",14,0,1
"205",6,0,1
"206",22,0,1
"207",32,0,1
"208",11,0,1
"209",6,0,1
"210",5,0,1
"211",1,0,1
"212",8,0,1
"213",0,0,1
"214",6,0,1
"215",3,0,1
"216",0,0,1
"217",15,0,1
"218",15,0,1
"219",4,0,1
"220",1,0,1
"221",4,0,1
"222",2,0,1
"223",22,0,1
"224",13,0,1
"225",1,0,1
"226",4,0,1
"227",7,0,1
"228",21,0,1
"229",2,0,1
"230",4,0,1
"231",4,0,1
"232",0,0,1
"233",2,0,1
"234",2,0,1
"235",3,0,1
"236",4,0,1
"237",5,0,1
"238",1,0,1
"239",1,0,1
"240",0,0,1
"241",7,0,1
"242",5,0,1
"243",15,0,1
"244",3,0,1
"245",2,0,1
"246",3,0,1
"247",1,0,1
"248",34,0,1
"249",2,0,1
"250",13,0,1
"251",3,0,1
"252",5,0,1
"253",22,0,1
"254",6,0,1
"255",13,0,1
"256",6,0,1
"257",1,0,1
"258",7,0,1
